category,datetime,headline,id,image,related,source,summary,url
company,1629236709,Micron (MU) Stock Moves -0.21%: What You Should Know,69709589,https://s.yimg.com/uu/api/res/1.2/xMhOxlfdhVA7Ts3pP3IHyA--~B/aD02MzM7dz05MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/b369e357aa3d42cc28ac674490d4ae83,MU,Yahoo,"In the latest trading session, Micron (MU) closed at $70.78, marking a -0.21% move from the previous day.",https://finnhub.io/api/news?id=5085b182d604f7af0651af6f7962ea30445cea57d3344035c979275c6f71a0fe
company,1629204600,"Q2 13F Roundup: How Buffett, Einhorn, Ackman And Others Adjusted Their Portfolios",69703689,https://cdn.benzinga.com/files/imagecache/og_image_social_share_1200x630/images/story/2012/wall-street-4847634_1920_0_2_45.jpg,MU,Benzinga,"The latest round of 13F filings from institutional investors is out, revealing to the world the stocks that some of the richest and most successful investors have been buying and...",https://finnhub.io/api/news?id=91ffba0e3281eab3338f8a49b056d02bbe4273eafdd27b97ddd08607bece7466
company,1629203940,"Senator Investment Group LP Buys Amazon.com Inc, CME Group Inc, Marsh & McLennan Inc, Sells Aon PLC, Citigroup Inc, JPMorgan Chase",69717408,,MU,GuruFocus,,https://finnhub.io/api/news?id=adb522c4f963971e5763438f2bfc5e92e3d10655d48cc0c67cbc988edc44c6f6
company,1629203940,"Parametrica Management Ltd Buys BioNTech SE, StoneCo, Tilray Inc, Sells Tencent Music Entertainment Group, JD.com Inc, Norwegian Cruise Line Holdings",69717434,,MU,GuruFocus,,https://finnhub.io/api/news?id=6e51c8dfe6e5dfcbead55b7fad6a06021f357ed32804e912e3d909b858c5dc1e
company,1629199620,"Most Active Equity Options For Midday - Tuesday, Aug. 17",69716815,,MU,TalkMarkets,,https://finnhub.io/api/news?id=e39234bd9f69060dc8c7fcf31480e7910fbe0a9386f28be8ce3968196b25660a
company,1629185949,ASML's Growth Outlook Set To Surprise To Upside Significantly,69692974,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1200829368/medium_image_1200829368.jpg,MU,SeekingAlpha,"As a result of cyclical, structural, and geopolitical forces, semi fab equipment capex will be elevated in the next few years. I see a 23% upside.",https://finnhub.io/api/news?id=bede3a5f74fc6ee900c01308293c30aca093cc0ec1cc5faab72b0e66bc519ff0
company,1629167940,"Caisse De Depot Et Placement Du Quebec Buys Microsoft Corp, Apple Inc, Facebook Inc, Sells Lightspeed Commerce Inc, Royal Bank of Canada, Manulife Financial Corp",69718824,,MU,GuruFocus,,https://finnhub.io/api/news?id=ff676c722670ad83d0e40e3adc96207f19a7d75d8da30f4f084970292025e9cf
company,1629166500,Seth Klarman's Top 2nd-Quarter Trades,69717425,https://static.gurufocus.com/photos/companies/portfolio_brief_case.jpg,MU,GuruFocus,"The Baupost Group invests in tech picks, sells out of Fox",https://finnhub.io/api/news?id=571b2b26e42a58c6de56305d0e6f4ba3a68b681140ba0bf54e055459baef721d
company,1629164126,Micron: This Is Another Buy-The-Drop Opportunity,69688711,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1220136527/medium_image_1220136527.jpg,MU,SeekingAlpha,"The market fears Micron is in a 'late-stage' expansion, with margins poised to decline. But strong DRAM demand and ASP projections indicate that Micron can expand.",https://finnhub.io/api/news?id=38ebaaf7448c8ddb617ff087e189aa5b38e6905bc473d5503094156f9039e96b
company,1629130656,"Micron Technology: Winter May Be Coming, But Not This Year... Nor The Next",69684478,,MU,SeekingAlpha,,https://finnhub.io/api/news?id=4f1912e9a3a0966b32cb5654dccff4b403216f5cc9fc574321fb962532bd5434
