category,datetime,headline,id,image,related,source,summary,url
company,1629117540,"Berry Street Capital Management LLP Buys IHS Markit, Nuance Communications Inc, Proofpoint Inc, Sells RealPage Inc, , ",69694325,,MXIM,GuruFocus,,https://finnhub.io/api/news?id=d884f5bb5534555bfc0dd5eae19e75976a3954eb2351409fc0e2001f00e7534e
company,1629115200,Trinamic's 3-Phase MOSFET Gate Driver Maximizes Battery Life and Cuts Component Count by Half,69684714,https://s.yimg.com/uu/api/res/1.2/ejWA_g0CNiWuZ0Ve85_dMw--~B/aD0yMjU7dz00MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/prnewswire.com/f91e5d2dff793282d5c65dda96a306d5,MXIM,Yahoo,"TRINAMIC Motion Control GmbH & Co. KG, now part of Maxim Integrated Products, Inc. (NASDAQ: MXIM), introduces the fully integrated TMC6140-LA 3-phase MOSFET gate driver that simplifies design and maximizes battery life of brushless direct current (DC) motor drives. The TMC6140-LA 3-phase MOSFET gate driver integrates all three bottom shunt amplifiers to provide a complete motor drive solution with 30-percent improved power efficiency, while simplifying design by reducing component count by half",https://finnhub.io/api/news?id=778418287da34b8f690ec307de3707826eb0d287848fecf5aded716096436d39
company,1629100800,Trinamic's 3-Phase MOSFET Gate Driver Maximizes Battery Life and Cuts Component Count by Half,69679533,,MXIM,PR Newswire,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=5b82f220eb0a1138857af2bb287a94622c87402c3d40af9b5bfe3aeea17e7dce
company,1628825280,"Soros Fund buys Figs, exits Denbury in Q2",69667092,,MXIM,Thefly.com,"George Soros' Soros ... FIGS, INFO, PTRA, MQ, PPD, BIDU, DEN, VIPS, TME, IQ, AMZN, MXIM, ELAN, GOOGL, CLVT, LQD, VICI, UPST, TXN, QS, LBRDK, QQQ, DHI",https://finnhub.io/api/news?id=bd3aaacd13d287b4791f297e6ca8acfeea729b216893306937cb0c1c2f052ac7
company,1628788200,"Maxim Integrated Products Inc. stock falls Thursday, underperforms market",69659353,https://images.mktw.net/im-220105/social,MXIM,MarketWatch,"Shares of Maxim Integrated Products Inc. shed 1.48% to $98.46 Thursday, on what proved to be an all-around positive trading session for the stock market,...",https://finnhub.io/api/news?id=ce269b26d15611f18d7f0c4eeaf8cbc1ca5ff097f23854b32a258a445af26d4e
company,1628770392,Supply Crunch Puts Microchips in Focus: 5 Stocks to Buy,69633758,https://s.yimg.com/uu/api/res/1.2/4NwKkurRBU8_esdmz5IRdQ--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/c63097631eea65259644ae1a55a1f22b,MXIM,Yahoo,"Growing demand for microchips is driving sales, which is helping companies like Maxim Integrated Products (MXIM) and Texas Instruments Incorporated (TXN).",https://finnhub.io/api/news?id=57e29b387033b2dde1ce5b2c4a979d78c39d6acc8a084577b968620b9a02c28f
company,1628701800,"Maxim Integrated Products Inc. stock falls Wednesday, underperforms market",69628038,https://images.mktw.net/im-220105/social,MXIM,MarketWatch,"Shares of Maxim Integrated Products Inc. dropped 0.16% to $99.94 Wednesday, on what proved to be an all-around great trading session for the stock market,...",https://finnhub.io/api/news?id=291c1ac6a7aed9a8e8d7cc28d6a41d9f72f8426c0b4f96da705060389bb11406
company,1628615400,"Maxim Integrated Products Inc. stock falls Tuesday, underperforms market",69628039,https://images.mktw.net/im-220105/social,MXIM,MarketWatch,"Shares of Maxim Integrated Products Inc. shed 0.37% to $100.10 Tuesday, on what proved to be an all-around great trading session for the stock market, with...",https://finnhub.io/api/news?id=6c8e32fc7c52fb6e77876932e30df0d77a9048d27f34f14669a5de730d240f19
company,1628614646,Maxim Integrated's Standalone Value Limits Downside Risk From The ADI Deal,69604184,,MXIM,SeekingAlpha,,https://finnhub.io/api/news?id=bc2d11ced0d2c71e8cb91f602e8202c340a66fa40844d73e43fef76bb9d5b739
company,1628529000,Maxim Integrated Products Inc. stock outperforms competitors despite losses on the day,69586379,https://images.mktw.net/im-220105/social,MXIM,MarketWatch,"Shares of Maxim Integrated Products Inc. slumped 0.21% to $100.47 Monday, on what proved to be an all-around poor trading session for the stock market, with...",https://finnhub.io/api/news?id=6bc62537e3b161dd9e72fd3ed8b522910eb2395d930916179057b334f0f12b73
company,1628269800,Maxim Integrated Products Inc. stock outperforms competitors on strong trading day,69586380,https://images.mktw.net/im-220105/social,MXIM,MarketWatch,"Shares of Maxim Integrated Products Inc. inched 0.22% higher to $100.68 Friday, on what proved to be an all-around positive trading session for the stock...",https://finnhub.io/api/news?id=e390afcbbc03ff8dc5f2e1a9bbaeedd8e4985c53bd81ad8adcd66a52e16fc652
company,1628237411,Wall Street Breakfast: Eyeing Payrolls Progress (Podcast),69540075,https://static3.seekingalpha.com/assets/podcasts/wsb-d57bf915fd82bac19817953c2e226c7610de9fc3a36c166d7c276e18e86311ea.png,MXIM,SeekingAlpha,"Our top stories today: The July Jobs Report and the Fed, Apple and Software to Detect Child Abuse and M&A Anxiety May Ebb",https://finnhub.io/api/news?id=58bde83b58cac0e4285614fe4522cd0841bf7014a5415c9fde822de5155192ec
company,1628232745,Wall Street Breakfast: Eyeing Payrolls Progress,69539260,https://static.seekingalpha.com/assets/og_image_1200-29b2bfe1a595477db6826bd2126c63ac2091efb7ec76347a8e7f81ba17e3de6c.png,MXIM,SeekingAlpha,"Listen on the go! A daily podcast of Wall Street Breakfast will be available by 8:00 a.m. on Seeking Alpha, iTunes, Stitcher and Spotify.",https://finnhub.io/api/news?id=6cc6dc7f5e76aa36b7f1cd0e958933dcf92c9a8afb7f9675e86f70e110f1749b
company,1628183400,Maxim Integrated Products Inc. stock underperforms Thursday when compared to competitors,69586381,https://images.mktw.net/im-220105/social,MXIM,MarketWatch,"Shares of Maxim Integrated Products Inc. shed 0.58% to $100.46 Thursday, on what proved to be an all-around positive trading session for the stock market,...",https://finnhub.io/api/news?id=9747cdfb40f43ec4885829b9400903f13c625aaf7793ae053f1040b8564a38e2
