category,datetime,headline,id,image,related,source,summary,url
company,1629133800,"Nasdaq Inc. stock rises Monday, outperforms market",69695092,https://images.mktw.net/im-220105/social,NDAQ,MarketWatch,"Shares of Nasdaq Inc. inched 0.62% higher to $192.17 Monday, on what proved to be an all-around positive trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=eeccec777ac5175caf651433611a96c878854c538dd4bc6a584055797fb32ae1
company,1628874600,Nasdaq Inc. stock outperforms market on strong trading day,69662757,https://images.mktw.net/im-220105/social,NDAQ,MarketWatch,"Shares of Nasdaq Inc. inched 0.47% higher to $190.99 Friday, on what proved to be an all-around favorable trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=e6d423a832eec7da05242f6c2f1d22bf6638c01883c5e8ddce3cc7ceaf2feb9e
company,1628788260,"Nasdaq Inc. stock rises Thursday, outperforms market",69643593,https://images.mktw.net/im-220105/social,NDAQ,MarketWatch,"Shares of Nasdaq Inc. inched 0.41% higher to $190.09 Thursday, on what proved to be an all-around favorable trading session for the stock market, with the...",https://finnhub.io/api/news?id=9a53f9fbfaee4c40a5453578e294d5ace8abf617954b58bbee26eb315d9e4663
company,1628758320,Jefferies to hold a virtual summit,69635621,,NDAQ,Thefly.com,"2021 Virtual Financial Se... ALLY, APO, AXP, BAC, BK, BLK, IBKR, JPM, MKTX, NDAQ, PRG, SLM, WFC",https://finnhub.io/api/news?id=edcd34d324cf8d6b8deb57be434ac4412655bc9b3795b1c3897438f45ae48c5a
company,1628701800,"Nasdaq Inc. stock rises Wednesday, still underperforms market",69643594,https://images.mktw.net/im-220105/social,NDAQ,MarketWatch,"Shares of Nasdaq Inc. inched 0.24% higher to $189.32 Wednesday, on what proved to be an all-around great trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=097f75102900ea37244fafd904ffb4ef8c5066964cf7a2889a1deb3f0a93b4a4
company,1628654100,UBS to hold a virtual conference,69614154,,NDAQ,Thefly.com,"Financial Services Virtua... AXS, BK, BPOP, CBOE, CBRE, CG, CME, FDS, GCMG, HLNE, IBTX, IFCZF, IVZ, JLL, JPM, KMPR, LPLA, MCO, NDAQ, OWL, PRU, SPGI, STEP, VCTR, WAL, WETF, WTFC",https://finnhub.io/api/news?id=ebd9830172442c485bc3c67d66d819a56f948e5ffdd27f2f22589af3943cddf8
company,1628627100,"Nasdaq Announces End-Of-Month Open Short Interest Positions in Nasdaq Stocks as of Settlement Date July 30, 2021",69603969,https://s.yimg.com/uu/api/res/1.2/qaJe7n_uSrPE7Nf8x154vw--~B/aD00ODM7dz02OTQ7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/globenewswire.com/a7c419d2d144c10f1f5e5b3d47c02bb6,NDAQ,Yahoo,"Nasdaq Short Interest Days - August 10 2021 Nasdaq Short Interest Days - August 10 2021 NEW YORK, Aug. 10, 2021 (GLOBE NEWSWIRE) -- At the end of the settlement date of July 30, 2021, short interest in 2,770 Nasdaq Global MarketSM securities totalled 8,508,823,975 shares compared with 8,537,253,537 shares in 2,732 Global Market issues reported for the prior settlement date of July 15, 2021. The end-of-month July short interest represents 3.45 days compared with 2.95 days for the prior reporting",https://finnhub.io/api/news?id=333164430b8580639257fdf9094de0f4dafb92c94b66dc5451f0339ad80ee28f
company,1628615460,"Nasdaq Inc. stock rises Tuesday, still underperforms market",69643596,https://images.mktw.net/im-220105/social,NDAQ,MarketWatch,"Shares of Nasdaq Inc. inched 0.10% higher to $188.86 Tuesday, on what proved to be an all-around favorable trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=5b83d759d22f63db243b6a0178f06a031b481652f6fd2a2728f9af3ad467634a
company,1628612700,"Nasdaq Announces End-Of-Month Open Short Interest Positions in Nasdaq Stocks as of Settlement Date July 30, 2021",69614155,,NDAQ,GlobeNewswire,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=9e0bfe12308b2bc1839d4d31a064540518d43f755dace49fc9b43670e8c8e4b0
company,1628606940,The (Opening) Bell Tolls for Thee—If You’re Lucky ,69649694,https://images.wsj.net/im-383227/social,NDAQ,DowJones,"In the red-hot IPO market, companies go to great lengths to win the honor of ringing the NYSE or Nasdaq opening bell. CEOs get “a little creative.”",https://finnhub.io/api/news?id=8bf9807b36fdda0f4a64b88bd11c0d3e25f76ff1725ed2f9b66347382a6fb1af
