category,datetime,headline,id,image,related,source,summary,url
company,1629238800,Movie Theatres Are Reopening. So Where Do Streaming Services Go From Here?,69709880,https://static.seekingalpha.com/assets/og_image_1200-29b2bfe1a595477db6826bd2126c63ac2091efb7ec76347a8e7f81ba17e3de6c.png,NFLX,SeekingAlpha,"Andriy Yastreb, Telecom and Media Analyst at TD Asset Management, discusses what the economic reopening means for streaming subscribers growth going forward.",https://finnhub.io/api/news?id=ea3929ef90833f9bf87ad72207c2f78e30dacda8c4976720fa0d9a3dcd1baade
company,1629215820,3 Stocks I'm Never Selling,69702658,,NFLX,Yahoo,The best investors in the world swear by holding high-quality companies for decades on end. These stocks fit that bill.,https://finnhub.io/api/news?id=1c2d701e8bdacaba99d632b2e6dcffc294c40662a2590fc493da67ffa5c6afc2
company,1629208162,This Supercharged Growth Stock May Have Gained a Longstanding Advantage,69694367,,NFLX,Yahoo,A surge in users over the past 18 months has helped the company nearly double the value it provides customers.,https://finnhub.io/api/news?id=540f3e9a1d742a00d92c3fda92ea1480399d078aaa718bab185958647691b812
company,1629204600,"Q2 13F Roundup: How Buffett, Einhorn, Ackman And Others Adjusted Their Portfolios",69703689,https://cdn.benzinga.com/files/imagecache/og_image_social_share_1200x630/images/story/2012/wall-street-4847634_1920_0_2_45.jpg,NFLX,Benzinga,"The latest round of 13F filings from institutional investors is out, revealing to the world the stocks that some of the richest and most successful investors have been buying and...",https://finnhub.io/api/news?id=91ffba0e3281eab3338f8a49b056d02bbe4273eafdd27b97ddd08607bece7466
company,1629203580,The top iPhone and iPad apps on App Store,69717444,,NFLX,"Associated Press, The",Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=3e6e5a54ac48bff11ceec4776b1a3fbf5f049f2e8f282e3eb42feb95667885b7
company,1629198840,Game On: An exclusive talk with 'Where the Heart Leads' developer Armature,69716530,https://image.thefly.com/catalog/202108/img_1187.jpg,NFLX,Thefly.com,Says Sony a ,https://finnhub.io/api/news?id=15a74e85a0ae12641bf0b5ba177e0f92c4becb6dcc9998abe31f42cd95f9ebd6
company,1629191489,Disney Is Next Target For This SVOD Service As It Overtakes Netflix In Southeast Asia,69693576,https://s.yimg.com/uu/api/res/1.2/uFBR1Mq2mXY95phUb6eB4w--~B/aD00MDA7dz02MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/Benzinga/afa3798d81ba54b01c3ac646385f166a,NFLX,Yahoo,"Viu is now Southeast Asia’s second largest streaming video-on-demand service by paid subscribers, just behind the Walt Disney Co’s (NYSE: DIS) Disney+ and ahead of Netflix Inc (NASDAQ: NFLX), Bloomberg News reported on Monday, citing research firm Media Partners Asia. What Happened: The Hong Kong-based company is mulling a potential initial public offering and aiming to further lift subscriber base by pivoting to creating more original content that includes Korean original dramas. Viu, launched",https://finnhub.io/api/news?id=3e04b1914651e8bcc7c050af4878a88beea2aec5c9be92c132f2c0cda1b1c7ce
company,1629188460,Meet Troika at the Benzinga Reopening Stocks Summit this Month,69696512,https://cdn.benzinga.com/files/imagecache/og_image_social_share_1200x630/sites/all/themes/bz2/images/bz-icon.png,NFLX,Benzinga,Troika Media Group (NASDAQ: TRKA) is a full-service brand solution company that uses data science solutions to build brand equity. Troika incorporates marketing and research to...,https://finnhub.io/api/news?id=0c7fcb25b2d7e2bf2b7dd5130f70a18db9c4c385e98bfdcdca74395f8fcca518
company,1629188355,"Best VPN deals for August: Pay less for privacy with discounts on ExpressVPN, NordVPN and more",69692042,https://s.yimg.com/uu/api/res/1.2/9Hun8MS1a9jz9TPEGeSDfA--~B/aD02ODg7dz0xMDI0O2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/the_independent_577/e0bcb10bf4dde9943bd5dcee65fe9dd0,NFLX,Yahoo,"Whether you’re looking for software for your phone or laptop, snap up one of these discounts",https://finnhub.io/api/news?id=e5d743a8b0f10cc005ff07cdc84579013c14d505c362b4d78d3380ce7ddb3914
company,1629177060,Disney Is Next Target For This SVOD Service As It Overtakes Netflix In Southeast Asia,69701553,https://cdn.benzinga.com/files/imagecache/og_image_social_share_1200x630/images/story/2012/glenn-carstens-peters-eoqhsffbhrk-unsplash_5.jpg,NFLX,Benzinga,"Viu is now Southeast Asia’s second largest streaming video-on-demand service by paid subscribers, just behind the Walt Disney Co’s (NYSE: DIS) Disney+...",https://finnhub.io/api/news?id=8cd453126ff035f2e9694a23610d9ca2a0b31c9339a75fc7ffd8d50a79ee81d7
