category,datetime,headline,id,image,related,source,summary,url
company,1629133860,Nielsen Holdings PLC stock underperforms Monday when compared to competitors,69692916,https://images.mktw.net/im-220105/social,NLSN,MarketWatch,"Shares of Nielsen Holdings PLC sank 0.39% to $22.92 Monday, on what proved to be an all-around favorable trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=c17ace8c70295d961b90e28b9cce6238532ed23563f955465d29427a1423d300
company,1628874660,Nielsen Holdings PLC stock underperforms Friday when compared to competitors,69692917,https://images.mktw.net/im-220105/social,NLSN,MarketWatch,"Shares of Nielsen Holdings PLC shed 0.65% to $23.01 Friday, on what proved to be an all-around great trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=f0ec9084f8bee2bcae79f1bac4eebe9e92750c0c1a25959cba7fe6c4d0a4ff10
company,1628831460,Nielsen initiates MRC hiatus for national TV ratings service,69654017,,NLSN,Thefly.com,Nielsen announced yesterd... NLSN,https://finnhub.io/api/news?id=42a5ac02cb5c47980529c0afbfb0ab860725aac027365215be59212793fb50b0
company,1628794980,Nielsen Asks to Take a Break From Key Media-Industry Seal of Approval,69649692,https://images.wsj.net/im-384844/social,NLSN,DowJones,"Nielsen Holdings has asked the Media Rating Council, the media industry’s measurement watchdog, to pause accreditation for its national TV rating service, a move that would leave the measurement giant’s core product without the organization’s seal of approval for the first time since the 1960s.",https://finnhub.io/api/news?id=c3f0119bfa27b0a3187fe71bae160042114dc0e121e4b37ee5cd418d0bc33acd
company,1628788260,Nielsen Holdings PLC stock underperforms Thursday when compared to competitors,69692918,https://images.mktw.net/im-220105/social,NLSN,MarketWatch,"Shares of Nielsen Holdings PLC slipped 1.15% to $23.16 Thursday, on what proved to be an all-around great trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=0cfbff17e4e472ad04c4ee409c4e1819e59edfafb65e4ec81fa6389cc5ada5d7
company,1628701860,Nielsen Holdings PLC stock outperforms market on strong trading day,69692919,https://images.mktw.net/im-220105/social,NLSN,MarketWatch,"Shares of Nielsen Holdings PLC inched 0.90% higher to $23.43 Wednesday, on what proved to be an all-around positive trading session for the stock market,...",https://finnhub.io/api/news?id=06f86f80aeccd1fe0825630dcc94f48c01a8e3c45ed8acca37646c71cfcf9258
company,1628615460,Nielsen Holdings PLC stock outperforms market on strong trading day,69609107,https://images.mktw.net/im-220105/social,NLSN,MarketWatch,"Shares of Nielsen Holdings PLC rose 1.22% to $23.22 Tuesday, on what proved to be an all-around positive trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=94e36f0bd465aac0b47e9e7f19d11eb6f9412d47e5bfe448d73866258cca6ce3
company,1628589600,Nielsen and Meredith Corporation Renew Multi-year Agreement for Local TV Audience Measurement,69593697,https://s.yimg.com/uu/api/res/1.2/l4_c0yoQ5FdiTLW_HlhnIw--~B/aD0xNjt3PTE2O2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/prnewswire.com/7f1960a189691f650b0937a3dfd58a7c,NLSN,Yahoo,"Nielsen (NYSE: NLSN) and Meredith Corporation (NYSE: MDP), announced today that they have reached a multi-year renewal agreement for Nielsen Local TV ratings. The agreement includes a range of audience measurement and analytical services across all Meredith's local stations, including Nielsen Scarborough. Nielsen Scarborough will provide in-depth consumer behavior data on more than 2,000 categories about local shopping, product purchasing, lifestyle and media usage to give Meredith a complete vi",https://finnhub.io/api/news?id=cb0f635ca95d1af2de10bb856f43364c039c07c2a17e894f3e8e7c60b8489f48
company,1628575200,Nielsen and Meredith Corporation Renew Multi-year Agreement for Local TV Audience Measurement,69598525,,NLSN,PR Newswire,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=b3d79c4b366c1f3c6494b2384f06149f1d1ad2e28d92b10a1d88f5c307fe9952
company,1628572320,"Nielsen, Meredith reach multi-year renewal agreement for local TV ratings",69598526,,NLSN,Thefly.com,"Nielsen (NLSN) and Meredi... NLSN, MDP",https://finnhub.io/api/news?id=6ecaf91f56ed44375e1a236563bc68bdccf2fa6df594dc4038817b24ff0a1b92
