category,datetime,headline,id,image,related,source,summary,url
company,1629222801,"ServiceNow Will Continue To Lag The Markets, Weighed Down By Valuation",69706420,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1173020535/medium_image_1173020535.jpg,NOW,SeekingAlpha,"Shares of ServiceNow have barely budged since reporting Q2 earnings beats, despite a sizable beat to Wall Street's expectations and a slight acceleration in growth.",https://finnhub.io/api/news?id=f62b92469ee27c98783cb593504a9a418922c459247e4e8f905c00289ab2d6d6
company,1629171540,"Bain Capital Public Equity Management II, LLC Buys Amazon.com Inc, StoneCo, Driven Brands Holdings Inc, Sells Las Vegas Sands Corp, MetLife Inc, Aon PLC",69717436,,NOW,GuruFocus,,https://finnhub.io/api/news?id=bb9bb560aefe9ed09a36186172ed4420c6aeb1dc4d81264fce216d631b7aa20c
company,1629171540,"Beta Wealth Group, Inc. Buys JPMorgan Equity Premium Income ETF, Invesco S&P 500 Downside Hedged ETF, JPMorgan Ultra-Short Municipal Income ETF, Sells BTC iShares International Aggregate Bond Fund, FT Cboe Vest U.S. Equity Deep Buffer ETF - Februar, Unite",69717237,,NOW,GuruFocus,,https://finnhub.io/api/news?id=a598378e5d409e73726913ffabde4f7f4715c986489d025b5b51809afed8ab57
company,1629171540,"Ontario Teachers Pension Plan Board Buys Stem Inc, Netflix Inc, Microsoft Corp, Sells The AZEK Co Inc, Consumer Discretionary Select Sector SPDR, Communication Services Select Sector SPDR Fund",69716706,,NOW,GuruFocus,,https://finnhub.io/api/news?id=a57519df47601f05c9ff19b8c224a39f1bdc2b806a592eb932f6d5a5a3ce0163
company,1629167940,"Cim Investment Mangement Inc Buys Pinterest Inc, Etsy Inc, eBay Inc, Sells Facebook Inc, Oracle Corp, Cisco Systems Inc",69716688,,NOW,GuruFocus,,https://finnhub.io/api/news?id=1f16cdbbed48d1df318947890b321386e9d3a431b5d4e3148e04a5d112533567
company,1629133920,"ServiceNow Inc. stock falls Monday, underperforms market",69687214,https://images.mktw.net/im-220105/social,NOW,MarketWatch,"Shares of ServiceNow Inc. slipped 1.29% to $580.22 Monday, on what proved to be an all-around positive trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=8915d9cb339e6e63bf6c3f9f6b53b2ef37005d477e9728a613238cafb2971e04
company,1629117540,"MayTech Global Investments, LLC Buys ServiceNow Inc, Teladoc Health Inc, iShares Core S&P 500 ETF, Sells CME Group Inc, Vanguard Value ETF, iShares Core U.S. Aggregate Bond ETF",69696864,,NOW,GuruFocus,,https://finnhub.io/api/news?id=6f6eb75ea7fbdeac02be8c24a6a2be39f9498e302aadbee94ad5975bb0dac6db
company,1629113940,"MBM Wealth Consultants, LLC Buys SPDR Bloomberg Barclays Short Term High Yield Bond, Vanguard Short-Term Corporate Bond ETF, iShares Interest Rate Hedged Corporate Bond ETF, Sells iShares 0-5 Year High Yield Corporate Bond ETF, Vanguard Mortgage-Backed Se",69694842,,NOW,GuruFocus,,https://finnhub.io/api/news?id=e275530822109eb01c5ddb2764e6ed57a9a9000924401c5a183d3a2f7330e964
company,1629099540,"Farallon Capital Management Llc Buys , ServiceNow Inc, New York Times Co, Sells Alphabet Inc, , ",69695975,,NOW,GuruFocus,,https://finnhub.io/api/news?id=18eeb7c1f66956c58f9b00d0aaef7f079c6c39dfdbb9d68431760df878b0b4aa
company,1629099540,"Alamar Capital Management, LLC Buys Playtika Holding Corp, Paysafe, Palo Alto Networks Inc, Sells RealPage Inc, Amazon.com Inc, Proofpoint Inc",69696866,,NOW,GuruFocus,,https://finnhub.io/api/news?id=bf0d8d2b1756777bc1d935fab6424e3afeec9724d115ad28bfe4da3995febd41
