category,datetime,headline,id,image,related,source,summary,url
company,1629205267,NRG Energy 2020 Sustainability Report: Employee Engagement,69703429,https://s.yimg.com/uu/api/res/1.2/RjDmn7UMHNk5okpTWS5sKw--~B/aD0zMTc7dz02NTA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/news_direct/3851efb40056d92934dfabc93bdfa930,NRG,Yahoo,"NRG invests in the well-being of employees. We provide programs that holistically support physical, emotional, and financial wellness, allowing our colleagues the opportunity to take control of the...",https://finnhub.io/api/news?id=eacc88f60bbf2976bbf925ae59cb0a4aea977bef9f899023bef580cb07501308
company,1629200340,"Ubs Oconnor Llc Buys , , , Sells , RealPage Inc, ",69716516,,NRG,GuruFocus,,https://finnhub.io/api/news?id=c938fae1cf713667ec54a417acf9d7a07f568d13705a5d7ca2e7237f12f3d54c
company,1629167940,"Gluskin Sheff & Assoc Inc Buys Barrick Gold Corp, NRG Energy Inc, WM Technology Inc, Sells iShares Russell 2000 ETF, iShares iBoxx USD Investment Grade Corporate Bond , SPDR S&P Regional Banking ETF",69716610,,NRG,GuruFocus,,https://finnhub.io/api/news?id=90326b9d2e551865b3fadad8b13f0d265a885b3d0ec57f676a89c2611361c5a3
company,1629113700,"Omega Advisors buys Bausch Health, exits Comcast Class A in Q2",69696289,,NRG,Thefly.com,"Leon Cooperman's Ome... LAD, BHC, PFSI, EFA, MGY, IFF, CMCSA, FOA, WSC, VRT, NRG, PXD, FOE, NAVI, OCN, TRN, BBDC, GOOGL, COOP, ATH, FISV, CI",https://finnhub.io/api/news?id=1278d365c61dca3991bb866120ddfadbd379c42c77a6614a158c4e054c3b1570
company,1629110280,"Omega Advisors Buys Lithia Motors Inc, Finance of America Inc, WillScot Mobile Mini Holdings Corp, Sells Ferro Corp, Magnolia Oil & Gas Corp, Navient Corp",69696328,,NRG,GuruFocus,,https://finnhub.io/api/news?id=eec12da70d1feaf3ee1dcf82a6a2033bc14b7f4bf905fbcb5f4a9fc9828cb615
company,1629088740,"Pzena Investment Management LLC Buys NRG Energy Inc, Westinghouse Air Brake Technologies Corp, Exxon Mobil Corp, Sells Viatris Inc, Morgan Stanley, TCF Financial Corp",69696726,,NRG,GuruFocus,,https://finnhub.io/api/news?id=a76bc99fdcd5b12d9931b01fb9638176b153fd7b4bcbf185631bfc8b5377c413
company,1629085140,"Goldentree Asset Management Lp Buys Frontier Communications Parent Inc, Valaris, Builders FirstSource Inc, Sells California Resources Corp, Eagle Bulk Shipping Inc, Denbury Inc",69695503,,NRG,GuruFocus,,https://finnhub.io/api/news?id=2e44ff46ae9503aa720a1229c3ed703f3b961d409bee46e9137355987d62ae68
company,1628949592,10 Utilities Stocks with Over 3% Yield,69667585,,NRG,Yahoo,"In this article, we will be looking at 10 utilities stocks with over 3% yield. To skip our detailed analysis of utility stocks, you can go directly to see the 5 Utilities Stocks with Over 3% Yield. In the midst of a prolonged economic recession and threats of rising inflation and interest rates, investor circles and […]",https://finnhub.io/api/news?id=3d3413c317bb8c7a95b602d37f058b39ed639dfb958fd0fefd6761eceeefbb27
company,1628874720,"NRG Energy Inc. stock rises Friday, outperforms market",69667404,https://images.mktw.net/im-220105/social,NRG,MarketWatch,"Shares of NRG Energy Inc. advanced 1.37% to $43.65 Friday, on what proved to be an all-around favorable trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=3757583a90aa9292d9925066852e1bc85e8d15da174aa7d335bf73137dd54b3a
company,1628788320,NRG Energy Inc. stock underperforms Thursday when compared to competitors,69651080,https://images.mktw.net/im-220105/social,NRG,MarketWatch,"Shares of NRG Energy Inc. slipped 0.28% to $43.06 Thursday, on what proved to be an all-around great trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=90abd706dbb8351e93ccad077200203f0c8b8c4b00dcc3d31c16ab347ebe7c1b
