category,datetime,headline,id,image,related,source,summary,url
company,1629203412,"If You Invested $1000 in Norfolk Southern a Decade Ago, This is How Much It'd Be Worth Now",69700995,https://s.yimg.com/uu/api/res/1.2/7h8ntzJXcDOdVmDKQ08gRg--~B/aD02MDA7dz05MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/e8e4b0344809eaac6d73c9fd25fd180a,NSC,Yahoo,"Investing in certain stocks can pay off in the long run, especially if you hold on for a decade or more.",https://finnhub.io/api/news?id=438cf1f9b80489278aca05b4da275a3e16ad9e3155b1dbc0c61914ff3e7d9ecc
company,1629133920,Norfolk Southern Corp. stock outperforms competitors on strong trading day,69691038,https://images.mktw.net/im-220105/social,NSC,MarketWatch,"Shares of Norfolk Southern Corp. inched 0.30% higher to $269.73 Monday, on what proved to be an all-around favorable trading session for the stock market,...",https://finnhub.io/api/news?id=278c0b57cfdb05872d96aa5725f4b832b87c2916d5f071ed9b64e3efa290e85f
company,1629124802,Norfolk Southern (NSC) to Resume Its Pennsylvania Terminal,69682662,https://s.yimg.com/uu/api/res/1.2/3r4eWyhhJmpksR6qYP16CA--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/5fe250e28c6a69f5d7959b4b36e6056f,NSC,Yahoo,Norfolk Southern's (NSC) initiative to restart its intermodal facility in Pennsylvania is expected to alleviate supply-chain congestion and improve network fluidity among other factors.,https://finnhub.io/api/news?id=5000885416fc811da3eee8969a55167793a8a2896e90a23072fa4669f71261ef
company,1629120601,3 Railroad Stocks to Overcome Industry's Near-Term Challenges,69682995,https://s.yimg.com/uu/api/res/1.2/PxOsKZ7mUiZUC0_3631rDw--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/6532783c7cf070d2adbe0a4c88dc4b19,NSC,Yahoo,"Rising fuel expenses are a threat to the Zacks Transportation - Rail industry's prospects. However, continued improvement in volumes is expected to buoy UNP, CSX and NSC.",https://finnhub.io/api/news?id=2caf7fd7dcf99896415818a6b7c1d0c44dc96194c417e91466b65f166a384944
company,1629099540,"Mirabella Financial Services Llp Buys Costco Wholesale Corp, Norfolk Southern Corp, Financial Select Sector SPDR, Sells Fidelity National Information Services Inc, Charles River Laboratories International Inc, VANECK VECTORS ETF",69694343,,NSC,GuruFocus,,https://finnhub.io/api/news?id=4e5aab2412bad1e8ba0f9556a4b6a972ae8f41892b1458f9820d69086775dcd7
company,1628994724,Dividend Challenger Highlights: Week Of August 15,69673739,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1072593728/medium_image_1072593728.jpg,NSC,SeekingAlpha,A weekly summary of dividend activity for Dividend Challengers. Companies which changed their dividends. Companies with upcoming ex-dividend dates. Companies with upcoming pay dates.,https://finnhub.io/api/news?id=76874e06ea6b8cd156c39ddbe109ecc0b58a096a6e4d022943c443714bf939b8
company,1628979420,Dividend Income Summary: Bert's July 2021 Summary,69672703,,NSC,SeekingAlpha,,https://finnhub.io/api/news?id=8edbca8d4e82449616ae5bced5397ff42ed4f86397bf68e44e1f90a70bc37e3e
company,1628877600,Norfolk Southern to reopen Pennsylvania intermodal facility,69660515,https://s.yimg.com/uu/api/res/1.2/Y1thVILd0Dbw9fnwJ9Oj8g--~B/aD0xMDQ7dz00MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/prnewswire.com/329c4910bc896d8074f0a5a5778143ca,NSC,Yahoo,"Norfolk Southern (NYSE: NSC) today announced plans to reopen its intermodal facility in Greencastle, Pennsylvania, creating capacity to support economic growth and help ease supply-chain congestion that has slowed the flow of commerce across all modes of the U.S. transportation sector.",https://finnhub.io/api/news?id=3a36dffafeea3b4178b4d510726f63fed52e07eba51b963eacf4dc893b37975d
company,1628874720,"Norfolk Southern Corp. stock falls Friday, underperforms market",69662812,https://images.mktw.net/im-220105/social,NSC,MarketWatch,"Shares of Norfolk Southern Corp. dropped 0.03% to $268.92 Friday, on what proved to be an all-around great trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=d640987462d0faede80882bb7758abd5b480cb18f27e0dcf4794d299a7a41da1
company,1628863200,Norfolk Southern to reopen Pennsylvania intermodal facility,69668461,,NSC,PR Newswire,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=91f11d8e25e240b43199741fa273333b79b0da644323093627db860b8f0399f9
company,1628816580,Norfolk Southern to reopen Pennsylvania intermodal facility,69668462,,NSC,Thefly.com,Norfolk Southern announce... NSC,https://finnhub.io/api/news?id=bf6b5e5317fad38f013594fc973adc8727539c1491f28a612df605f889e6841c
company,1628788320,"Norfolk Southern Corp. stock rises Thursday, outperforms market",69662813,https://images.mktw.net/im-220105/social,NSC,MarketWatch,"Shares of Norfolk Southern Corp. rallied 1.24% to $269.01 Thursday, on what proved to be an all-around positive trading session for the stock market, with...",https://finnhub.io/api/news?id=a096a70f1e17463c6c12f98c42186daaa04b80f55aa86778ccdd8d8849de9b5c
company,1628787600,Norfolk Southern to present at Deutsche Bank 2021 Transportation Conference,69645649,,NSC,Yahoo,Norfolk Southern Corporation (NYSE: NSC) Executive Vice President and Chief Financial Officer Mark R. George and Executive Vice President and Chief Operating Officer Cindy M. Sanborn will make a presentation at:,https://finnhub.io/api/news?id=b27905d1271f1bf13b6e1e551e5cb1855e4a97de634ddd92aec1d105d874bf9a
company,1628773200,Norfolk Southern to present at Deutsche Bank 2021 Transportation Conference,69656045,,NSC,PR Newswire,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=6d7754cab083b1ff193dd8946ae69901d1d9ec96ed11e9d26ddedc45219facf0
company,1628762340,NSC October 1st Options Begin Trading,69656046,,NSC,Stock Options Channel,"Staff article entitled NSC October 1st Options Begin Trading, about stock options, from Stock Options Channel.",https://finnhub.io/api/news?id=f38e3a8b8deb617b776f06204653c7c6a1fe0e8fe91cb2cecd766e7879a4e757
company,1628701920,"Norfolk Southern Corp. stock rises Wednesday, outperforms market",69662814,https://images.mktw.net/im-220105/social,NSC,MarketWatch,"Shares of Norfolk Southern Corp. advanced 2.56% to $265.71 Wednesday, on what proved to be an all-around positive trading session for the stock market, with...",https://finnhub.io/api/news?id=9f005fd916843e2d78479c55c9f00f7a4e5d94d416fb9f0fd22a5d1446796663
company,1628686500,North American rail traffic rose 1.1% in week ended August 7,69632730,,NSC,Thefly.com,"The Association of Americ... CNI, CP, CSX, KSU, NSC, UNP, TRN, GBX, RAIL",https://finnhub.io/api/news?id=baaa60fd0b45321b7d0dc0a434a54356440b9106f078cc900e168bbfa1eb69f9
company,1628615520,Norfolk Southern Corp. stock outperforms competitors on strong trading day,69662815,https://images.mktw.net/im-220105/social,NSC,MarketWatch,"Shares of Norfolk Southern Corp. rose 1.33% to $259.07 Tuesday, on what proved to be an all-around positive trading session for the stock market, with the...",https://finnhub.io/api/news?id=0f52ff656e7c1f7d37b1758724a6c088e8a605600baee82fa853b096469346bb
company,1628529120,"Norfolk Southern Corp. stock falls Monday, underperforms market",69662816,https://images.mktw.net/im-220105/social,NSC,MarketWatch,"Shares of Norfolk Southern Corp. slumped 0.13% to $255.67 Monday, on what proved to be an all-around poor trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=ee2520179199321843a538a81b2134dbf838c3548c83b99d2727e088a9c600f8
company,1628517600,Norfolk Southern releases 2021 ESG report,69582773,https://s.yimg.com/uu/api/res/1.2/Y1thVILd0Dbw9fnwJ9Oj8g--~B/aD0xMDQ7dz00MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/prnewswire.com/329c4910bc896d8074f0a5a5778143ca,NSC,Yahoo,"Norfolk Southern Corporation (NYSE: NSC) today released its 14th annual report on corporate responsibility. The company's report received a name change this year, now known as the Environmental, Social, and Governance Report, to better reflect the company's holistic commitment to a sustainable enterprise.",https://finnhub.io/api/news?id=3c1d21150fd1a29a96c6eff8c35104ac28275b7b0baeba718ef56fa88623de30
company,1628505480,"Wabtec Modernizes 1,000th Locomotive",69596439,https://cdn.benzinga.com/files/imagecache/og_image_social_share_1200x630/images/story/2012/rails-3309912_1920_114.jpg,NSC,Benzinga,"Wabtec has modernized its 1,000th locomotive in North and South America, the rail equipment manufacturer noted on Friday.

Wabtec (NYSE: WAB) says rehabilitating older locomotives...",https://finnhub.io/api/news?id=46ea952b37bad0acc920117833a2ad3ab90e18e5dd99696da1c83afe82c35c1d
company,1628503200,Norfolk Southern releases 2021 ESG report,69581229,,NSC,PR Newswire,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=e59272c7ed1c0fbb1ce65c6efa010a6c7ca1d5e9ba8855d3d26d1398f854e95f
