category,datetime,headline,id,image,related,source,summary,url
company,1629133920,NetApp Inc. stock underperforms Monday when compared to competitors,69692738,https://images.mktw.net/im-220105/social,NTAP,MarketWatch,"Shares of NetApp Inc. slumped 0.58% to $81.80 Monday, on what proved to be an all-around positive trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=0ed9cb61de59da95c55fd3965e6b8410e4bb0f9453a9c0b3228a25b89a0c7327
company,1629085140,"Waycross Partners, Llc Buys DexCom Inc, Intuitive Surgical Inc, NetApp Inc, Sells Microsoft Corp, Goldman Sachs Group Inc, Bank of America Corp",69695043,,NTAP,GuruFocus,,https://finnhub.io/api/news?id=fc91a4eca0e53b904940e095c499e4257256443e89be88fb4a4ef1187cc539c3
company,1628874720,"NetApp Inc. stock falls Friday, underperforms market",69663548,https://images.mktw.net/im-220105/social,NTAP,MarketWatch,"Shares of NetApp Inc. sank 0.94% to $82.28 Friday, on what proved to be an all-around favorable trading session for the stock market, with the S&P 500 Index...",https://finnhub.io/api/news?id=4e8bcc3d6dd9a1231ebcbfd57daa11f3ee0a4523fe38bb2418ff17aa7eac2a47
company,1628788320,"NetApp Inc. stock rises Thursday, outperforms market",69663549,https://images.mktw.net/im-220105/social,NTAP,MarketWatch,"Shares of NetApp Inc. inched 0.44% higher to $83.06 Thursday, on what proved to be an all-around great trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=9af959eb66f6759d7567901adb92f0c54fb0b0e3cfaf32f123030fa5923dee0c
company,1628701920,"NetApp Inc. stock rises Wednesday, still underperforms market",69663550,https://images.mktw.net/im-220105/social,NTAP,MarketWatch,"Shares of NetApp Inc. inched 0.15% higher to $82.70 Wednesday, on what proved to be an all-around positive trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=70a43041c235fed99ff4131facff102c15d4b621e89dc3c47e706d5b6b84a8e5
company,1628649360,Primecap Management's Top 2nd-Quarter Trades,69632734,https://static.gurufocus.com/photos/others/Portfolio.jpg,NTAP,GuruFocus,"Firm trims its largest holding, ups stake in Splunk",https://finnhub.io/api/news?id=6e504a35bfb546d3f74acf8cfc320d57c8d1a8b29a045c285fb24c988feaee37
company,1628615520,NetApp Inc. stock underperforms Tuesday when compared to competitors despite daily gains,69663551,https://images.mktw.net/im-220105/social,NTAP,MarketWatch,"Shares of NetApp Inc. inched 0.40% higher to $82.58 Tuesday, on what proved to be an all-around favorable trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=391d6e97aa26b2fe19d484530780d27e439f15c5e88064c9ce6762c70378f6a0
company,1628529120,NetApp Inc. stock outperforms market on strong trading day,69663552,https://images.mktw.net/im-220105/social,NTAP,MarketWatch,"Shares of NetApp Inc. inched 0.10% higher to $82.25 Monday, on what proved to be an all-around grim trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=4e2f92b4f7deb530987c1ba26602d858ab287f6f23f2fbf360cdf4656e729cb5
company,1628269920,"NetApp Inc. stock rises Friday, outperforms market",69566291,https://images.mktw.net/im-220105/social,NTAP,MarketWatch,"Shares of NetApp Inc. inched 0.85% higher to $82.17 Friday, on what proved to be an all-around favorable trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=a39a6804969d703511563ac9923f0710d8034bd5182a4d9bca206dafef5d280d
company,1628193660,NetApp Hosts First Quarter of Fiscal Year 2022 Financial Results Webcast,69531064,https://s.yimg.com/uu/api/res/1.2/Pis4INbSzFswgI5Y8VNkHQ--~B/aD04NTt3PTQ4MDthcHBpZD15dGFjaHlvbg--/https://media.zenfs.com/en/business-wire.com/a298f3d5d24a06b93759671e69be0106,NTAP,Yahoo,"SUNNYVALE, Calif., August 05, 2021--After market close on Wednesday, August 25, 2021, NetApp will announce financial results for the first quarter of fiscal year 2022, which ended July 30, 2021.",https://finnhub.io/api/news?id=50825a15814317f45b5c3a609c570af46dc73cdcbec08821381342e87a95c32e
company,1628183520,"NetApp Inc. stock rises Thursday, still underperforms market",69546995,https://images.mktw.net/im-220105/social,NTAP,MarketWatch,"Shares of NetApp Inc. inched 0.14% higher to $81.48 Thursday, on what proved to be an all-around great trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=841ced0cfd6409620d4a9fe9661314efd37927bc7641a040700ebcef65b905a8
company,1628179260,NetApp Hosts First Quarter of Fiscal Year 2022 Financial Results Webcast,69546344,,NTAP,Business Wire,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=84e1f140678b17b4a7547e9b64c4c73fdbb60cd9e818e3ef8d135a814294dea7
company,1628126820,Interesting NTAP Put And Call Options For September 24th,69546345,,NTAP,Stock Options Channel,"Staff article entitled Interesting NTAP Put And Call Options For September 24th, about stock options, from Stock Options Channel.",https://finnhub.io/api/news?id=5a837ec40fcf205e64d1e1e76534f6771c92beed9bca543e989b390028b1d3f1
company,1628097120,"NetApp Inc. stock falls Wednesday, still outperforms market",69546997,https://images.mktw.net/im-220105/social,NTAP,MarketWatch,"Shares of NetApp Inc. slid 0.44% to $81.37 Wednesday, on what proved to be an all-around dismal trading session for the stock market, with the S&P 500 Index...",https://finnhub.io/api/news?id=4602daecf5b0e5f00d91f401f018b816c46723e8861c873b745f005aee7c1a15
company,1628063220,NTAP Crosses Above Average Analyst Target,69494599,,NTAP,ETF Channel,"Staff article entitled NTAP Crosses Above Average Analyst Target, about ETFs, from ETF Channel.",https://finnhub.io/api/news?id=bd9e4e156c374c7b414834ce0c33a051fd68be9b3ef02e19d25d29bc2352e0e5
company,1628010720,NetApp Inc. stock outperforms competitors on strong trading day,69546998,https://images.mktw.net/im-220105/social,NTAP,MarketWatch,"Shares of NetApp Inc. advanced 2.00% to $81.73 Tuesday, on what proved to be an all-around great trading session for the stock market, with the S&P 500 Index...",https://finnhub.io/api/news?id=182d4c38c1398cf1ca88a06798b3c7592c45336a18abdbfe711aa23e3123c0a2
company,1627924320,"NetApp Inc. stock rises Monday, outperforms market",69460710,https://images.mktw.net/im-220105/social,NTAP,MarketWatch,"Shares of NetApp Inc. inched 0.68% higher to $80.13 Monday, on what proved to be an all-around rough trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=be1c0826ace9678340f692648930f8bd22d84e670c4dad5a6a23f340a554914d
company,1627829496,The Retiree's Dividend Portfolio - Jane's June Update: Targeting Double-Digit Dividend Income Growth,69435178,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1126636461/medium_image_1126636461.jpg,NTAP,SeekingAlpha,We have continued to take advantage of selling select positions when share price reaches certain levels. Click here to read more about John and Jane's portfolio.,https://finnhub.io/api/news?id=d267b65adbc4684c23b38f817bb04ae016e008ea15d307f62b34b21706523644
company,1627665120,"NetApp Inc. stock rises Friday, outperforms market",69430231,https://images.mktw.net/im-220105/social,NTAP,MarketWatch,"Shares of NetApp Inc. inched 0.73% higher to $79.59 Friday, on what proved to be an all-around rough trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=8a52c1aafd5457b702db13329e80cf816ae4829c330cef757b8ed29af3650e5f
company,1627642716,NetApp (NASDAQ:NTAP) Is Doing The Right Things To Multiply Its Share Price,69415973,https://s.yimg.com/uu/api/res/1.2/teKwdFu78rgnl2pUwvDJtw--~B/aD00MzI7dz0xMTk0O2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/simply_wall_st__316/435262445ed0ec580756e993baba457c,NTAP,Yahoo,"Finding a business that has the potential to grow substantially is not easy, but it is possible if we look at a few key...",https://finnhub.io/api/news?id=33694b2f05c80de6f34661aef5089ea92bbccb066deff39d21599fb135cc10be
company,1627578720,"NetApp Inc. stock rises Thursday, outperforms market",69402560,https://images.mktw.net/im-220105/social,NTAP,MarketWatch,"Shares of NetApp Inc. rallied 1.02% to $79.01 Thursday, on what proved to be an all-around positive trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=ce3a8e00d05311c68af7e6647a6b7f52cf323ab2cbfdf22bf82ac83df37d2d93
company,1627492320,NetApp Inc. stock outperforms market on strong trading day,69402562,https://images.mktw.net/im-220105/social,NTAP,MarketWatch,"Shares of NetApp Inc. inched 0.32% higher to $78.21 Wednesday, on what proved to be an all-around poor trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=df9f0ad06c50f5775475a274a29fe0b1d3884081c56e1480749dedf66fd7d008
company,1627405920,NetApp Inc. stock underperforms Tuesday when compared to competitors,69402563,https://images.mktw.net/im-220105/social,NTAP,MarketWatch,"Shares of NetApp Inc. shed 0.75% to $77.96 Tuesday, on what proved to be an all-around rough trading session for the stock market, with the S&P 500 Index...",https://finnhub.io/api/news?id=78db56beda98b5a2123b56feba7911be36e2bf25cf8e7f1308913187d90073bd
company,1627319520,NetApp Inc. stock outperforms competitors on strong trading day,69402565,https://images.mktw.net/im-220105/social,NTAP,MarketWatch,"Shares of NetApp Inc. advanced 1.07% to $78.55 Monday, on what proved to be an all-around favorable trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=bfdbee307901f9fabc118c744948347bd3cd46035343b71814da23bfe7be4881
company,1627177013,Dividend Challenger Highlights: Week Of July 25,69314214,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1072593728/medium_image_1072593728.jpg,NTAP,SeekingAlpha,A weekly summary of dividend activity for Dividend Challengers. Companies which changed their dividends. Companies with upcoming ex-dividend dates. Companies with upcoming pay dates.,https://finnhub.io/api/news?id=5c5c9ba95dd20818abc9381bc60be64af423a49b9bd61f13ff11fed741ace275
company,1627060320,"NetApp Inc. stock rises Friday, still underperforms market",69318967,https://images.mktw.net/im-220105/social,NTAP,MarketWatch,"Shares of NetApp Inc. inched 0.76% higher to $77.72 Friday, on what proved to be an all-around favorable trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=0e6335796c5741bbf6e17fa87902d20becc6bd19dbdc3a4ce7867767e2c7aeb2
company,1627033380,Interesting NTAP Put And Call Options For March 2022,69292147,,NTAP,Stock Options Channel,"Staff article entitled Interesting NTAP Put And Call Options For March 2022, about stock options, from Stock Options Channel.",https://finnhub.io/api/news?id=f893adfcf0555af3bb071015cbe1ba683b6d35b9740d608ff06d8896087a4356
company,1626973920,NetApp Inc. stock outperforms competitors despite losses on the day,69318968,https://images.mktw.net/im-220105/social,NTAP,MarketWatch,"Shares of NetApp Inc. slid 1.49% to $77.13 Thursday, on what proved to be an all-around favorable trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=5fd969062287faf25c3472b3f914794dff85b377d4b63c6fbf711024b7d1086a
company,1626887520,"NetApp Inc. stock rises Wednesday, still underperforms market",69318969,https://images.mktw.net/im-220105/social,NTAP,MarketWatch,"Shares of NetApp Inc. inched 0.08% higher to $78.30 Wednesday, on what proved to be an all-around positive trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=9a97d0a8c6dbced5bdbf00fc4b3cd5e20e47a0ea8960688bea8e023ea47c7996
company,1626835140,"Sky Investment Group LLC Buys Facebook Inc, Boeing Co, Cummins Inc, Sells Fortune Brands Home & Security Inc, Gilead Sciences Inc, AT&T Inc",69267628,,NTAP,GuruFocus,,https://finnhub.io/api/news?id=7336686b0fb939a19974feddc517b24cdc2775449cac66d6d72ffe1b29eca4ab
company,1626801120,"NetApp Inc. stock rises Tuesday, still underperforms market",69318970,https://images.mktw.net/im-220105/social,NTAP,MarketWatch,"Shares of NetApp Inc. rose 1.22% to $78.24 Tuesday, on what proved to be an all-around favorable trading session for the stock market, with the S&P 500 Index...",https://finnhub.io/api/news?id=8a9003435241d8583b5eec60fdc5b46ff9a16b5c987d5f6362e26d8d95672e8b
