category,datetime,headline,id,image,related,source,summary,url
company,1629203940,"Vestor Capital, Llc Buys Canadian National Railway Co, Zuora Inc, UnitedHealth Group Inc, Sells Global Payments Inc, Advanced Micro Devices Inc, Main Street Capital Corp",69717591,,NTRS,GuruFocus,,https://finnhub.io/api/news?id=2972262a55b0cf91981a08fb6c6f20276bd5b4c62777c9cdfeaee975851b7e05
company,1629133920,Northern Trust Corp. stock outperforms competitors despite losses on the day,69687196,https://images.mktw.net/im-220105/social,NTRS,MarketWatch,"Shares of Northern Trust Corp. shed 0.05% to $116.31 Monday, on what proved to be an all-around favorable trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=33d38beca845ed03b0d974ca82ed325c4924e922914d3e091dce8eac9d7413e0
company,1629092340,"Virginia Retirement Systems Et Al Buys Northern Trust Corp, Allstate Corp, Ameren Corp, Sells Eli Lilly and Co, NextEra Energy Inc, Alibaba Group Holding",69694143,,NTRS,GuruFocus,,https://finnhub.io/api/news?id=7823093e9cc10088d0bfa99e1ac08b163a982b908ab9e0856ca0e42e34b614bd
company,1628874720,Northern Trust Corp. stock outperforms competitors despite losses on the day,69687197,https://images.mktw.net/im-220105/social,NTRS,MarketWatch,"Shares of Northern Trust Corp. slid 0.96% to $116.37 Friday, on what proved to be an all-around great trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=a8e9439a52a8de4480f1da81d5fda8b1a15c4f2aad706ab2df67729750eff7b3
company,1628788320,"Northern Trust Corp. stock rises Thursday, still underperforms market",69687198,https://images.mktw.net/im-220105/social,NTRS,MarketWatch,"Shares of Northern Trust Corp. inched 0.18% higher to $117.50 Thursday, on what proved to be an all-around great trading session for the stock market, with...",https://finnhub.io/api/news?id=043144a2e2f3db18f780b5471a4777e88f4db213feecab150ef1f89f55344306
company,1628767800,Wellteq Signs Global Agreement to Supply Digital Wellness Services to Fortune 500 US Bank Northern Trust Corporation,69631751,https://s.yimg.com/uu/api/res/1.2/95ZeQjG0q1XKXGx1epRI8Q--~B/aD00ODA7dz00ODA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/business-wire.com/419b55897d7faed03906f9b8413e66c9,NTRS,Yahoo,"VANCOUVER, British Columbia, August 12, 2021--WELLTEQ SIGNS GLOBAL AGREEMENT TO SUPPLY DIGITAL WELLNESS SERVICES TO FORTUNE 500 US BANK NORTHERN TRUST CORPORATION",https://finnhub.io/api/news?id=2913a1a892143d9ef01417ba5a679d97a0e67455f086db00eb84750b4b257dd0
company,1628753400,Wellteq Signs Global Agreement to Supply Digital Wellness Services to Fortune 500 US Bank Northern Trust Corporation,69635944,,NTRS,Business Wire,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=2a22fe25f856a5cfb1aa5af3d19ed9a647cb0ae144ac22e9b5b5d11f3200ca43
company,1628701920,"Northern Trust Corp. stock rises Wednesday, outperforms market",69687199,https://images.mktw.net/im-220105/social,NTRS,MarketWatch,"Shares of Northern Trust Corp. advanced 1.40% to $117.29 Wednesday, on what proved to be an all-around positive trading session for the stock market, with...",https://finnhub.io/api/news?id=9573a13a9e93ad17d5fcf640442b53b1465d94dc8461c0a5f2eda8c69547b494
company,1628620260,"Northern Trust Asset Management recognized by InvestmentNews as a 2021 Excellence in Diversity, Equity and Inclusion Award Winner",69602742,https://s.yimg.com/uu/api/res/1.2/hYvL05znZO57y2no_SYCuA--~B/aD0xNDQ7dz00NzA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/business-wire.com/26eceaa284bf3a8daffcc1cb9baf2a3f,NTRS,Yahoo,"CHICAGO, August 10, 2021--InvestmentNews has recognized Northern Trust Asset Management (NTAM) as a 2021 Excellence in Diversity, Equity and Inclusion Award winner.",https://finnhub.io/api/news?id=9ec9768327f9621f75cf2be113583f926f12a1922a42aa06beef34342e1f4966
company,1628615520,Northern Trust Corp. stock outperforms market on strong trading day,69687200,https://images.mktw.net/im-220105/social,NTRS,MarketWatch,"Shares of Northern Trust Corp. inched 0.62% higher to $115.67 Tuesday, on what proved to be an all-around great trading session for the stock market, with...",https://finnhub.io/api/news?id=a99a217ba736cef917cd84ef4aa4b1e33759669adc3321473262b626e6aa0f3a
company,1628605860,"Northern Trust Asset Management recognized by InvestmentNews as a 2021 Excellence in Diversity, Equity and Inclusion Award Winner",69617698,,NTRS,Business Wire,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=731dfc717468d6cf98f4bc0909e0ce7ca5bcd7e4da27eaa5a8ad1ef6460f118a
company,1628600112,3 Northern Mutual Funds for Scintillating Returns,69600514,https://s.yimg.com/uu/api/res/1.2/yrdY5TFnGVnrFjG_7brkog--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/116929cb0355bf536e162d3461ccfa6b,NTRS,Yahoo,Below we focus on three top-ranked Northern Trust mutual funds. Each has earned a Zacks Mutual Fund Rank #1 (Strong Buy) or 2 (Buy).,https://finnhub.io/api/news?id=2098cede780fc7d424c51b8246263589607180ff45971f26310487778d6d7065
company,1628529120,"Northern Trust Corp. stock falls Monday, underperforms market",69687201,https://images.mktw.net/im-220105/social,NTRS,MarketWatch,"Shares of Northern Trust Corp. shed 0.36% to $114.96 Monday, on what proved to be an all-around rough trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=0e900a84864abaebc90c981baef7e1dc26d1c1f16417e242d94e5347710d1baf
company,1628519400,Northern Trust Universe Data: Reopening and Vaccination Progress Drives Strong Returns for U.S. Plan Sponsors in Q2 2021,69581848,https://s.yimg.com/uu/api/res/1.2/kqQI4q3xebosEnOnxjojQw--~B/aD0xNDQ7dz00NzA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/business-wire.com/8a4f66767f2caeb862ef77f41b3a748f,NTRS,Yahoo,"CHICAGO, August 09, 2021--The median plan in the Northern Trust Universe returned 6.0% for the quarter, the fifth-best quarterly result over the last 10 years.",https://finnhub.io/api/news?id=1f76936b31b139f6e44e6e9f58438411263f7778a5d18d73b2a3e5a02f646b05
company,1628505000,Northern Trust Universe Data: Reopening and Vaccination Progress Drives Strong Returns for U.S. Plan Sponsors in Q2 2021,69598000,,NTRS,Business Wire,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=051686dd90d1551ee048d0d6fb589e0d282d3ab85c3f1f31e9d122fccc7dd5d7
company,1628269920,Northern Trust Corp. stock outperforms market on strong trading day,69572700,https://images.mktw.net/im-220105/social,NTRS,MarketWatch,"Shares of Northern Trust Corp. advanced 2.80% to $115.37 Friday, on what proved to be an all-around favorable trading session for the stock market, with the...",https://finnhub.io/api/news?id=222fe63eca1613aef9ff85ef6aa566e7548a61f8f5be7153a9c0ce309e905c53
company,1628244000,Website for North Dakota Growth Fund Launches,69546156,,NTRS,Business Wire,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=984393e317f1121e6f7e831c67e640866aa914f2127515df101503e4230558f4
company,1628222100,Piper Sandler to hold a virtual forum,69542342,,NTRS,Thefly.com,"Wealth Management Virtual... BAC, BK, GS, JPM, MS, NTRS",https://finnhub.io/api/news?id=85466f91c63250c23069f3bbcbc82f5e6d5a3707ed4ad7f36ec3f627b65c48de
company,1628183520,"Northern Trust Corp. stock rises Thursday, outperforms market",69572701,https://images.mktw.net/im-220105/social,NTRS,MarketWatch,"Shares of Northern Trust Corp. inched 0.94% higher to $112.23 Thursday, on what proved to be an all-around great trading session for the stock market, with...",https://finnhub.io/api/news?id=9d0702784af7f542a713b56d9a022c87a1f84afe45f4ef237a0b66e8fd825ef4
company,1628170898,High Growth Dividend Stocks For August 2021,69525037,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1257149042/medium_image_1257149042.jpg,NTRS,SeekingAlpha,"I present 30 High Growth Dividend Stocks for consideration in August 2021. There are 4 new stocks on this month's watchlist, 3 with dividend yields above 2%.",https://finnhub.io/api/news?id=707c7745c50f9a6c045917873a1afc369958de41776cd7a66c298bba7c9ebed4
company,1628143809,Northern Trust (NASDAQ:NTRS) Has Announced A Dividend Of US$0.70,69513234,https://s.yimg.com/uu/api/res/1.2/6aUxsyZINKOU9.9KrHnBOA--~B/aD00MzI7dz0xMTk0O2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/simply_wall_st__316/4470f143ba4f4c0e99553a639759c619,NTRS,Yahoo,Northern Trust Corporation ( NASDAQ:NTRS ) has announced that it will pay a dividend of US$0.70 per share on the 1st of...,https://finnhub.io/api/news?id=52c24c95ae5a66414c37f1e97820b4b5991f7668062a3e57d5ab67293c0697cd
company,1628135700,Piper Sandler to hold a virtual forum,69514521,,NTRS,Thefly.com,"Wealth Management Virtual... BAC, BK, GS, JPM, MS, NTRS",https://finnhub.io/api/news?id=39368296c13ea1a00e03f6d308b75cf36327a4d81bec180ffaa1ab9d95c238a9
