category,datetime,headline,id,image,related,source,summary,url
company,1628874780,"NVR Inc. stock falls Friday, underperforms market",69664427,https://images.mktw.net/im-220105/social,NVR,MarketWatch,"Shares of NVR Inc. slipped 0.24% to $5,252.49 Friday, on what proved to be an all-around great trading session for the stock market, with the S&P 500 Index...",https://finnhub.io/api/news?id=978898c7c36ff5efc3d1eaf756a0595a9ecd0ae013ff232981322ea18639cc1e
company,1628788380,NVR Inc. stock outperforms competitors despite losses on the day,69664428,https://images.mktw.net/im-220105/social,NVR,MarketWatch,"Shares of NVR Inc. slid 0.77% to $5,265.02 Thursday, on what proved to be an all-around favorable trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=309aa1886319a76e5c16167bfa99ef7ddc43d7e8cce90ac6ad945db10e744059
company,1628701980,NVR Inc. stock outperforms market on strong trading day,69664429,https://images.mktw.net/im-220105/social,NVR,MarketWatch,"Shares of NVR Inc. advanced 2.13% to $5,305.75 Wednesday, on what proved to be an all-around great trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=e385ef0ee820be05448d19fea2b09a8b9684fcbeac0834a24f5ed9913b08dc95
company,1628615580,"NVR Inc. stock rises Tuesday, outperforms market",69664430,https://images.mktw.net/im-220105/social,NVR,MarketWatch,"Shares of NVR Inc. inched 0.78% higher to $5,195.01 Tuesday, on what proved to be an all-around positive trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=548ed7f6f02eaea7e0aab85d55e0e26007a4845b3ed6bf4b2c30d11086ac782a
company,1628529180,"NVR Inc. stock falls Monday, underperforms market",69586340,https://images.mktw.net/im-220105/social,NVR,MarketWatch,"Shares of NVR Inc. slipped 1.11% to $5,154.97 Monday, on what proved to be an all-around rough trading session for the stock market, with the S&P 500 Index...",https://finnhub.io/api/news?id=3dea452ebafae5d35c136990409fbc9b365b066f5e298492a869bccbc6752658
company,1628510981,NVR (NYSE:NVR) Is Reinvesting To Multiply In Value,69587147,https://s.yimg.com/uu/api/res/1.2/6ry1lSqabYRXpcHwCvmZMw--~B/aD00MzI7dz0xMTk0O2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/simply_wall_st__316/7715bc952676bef2d237800a14b80e8c,NVR,Yahoo,"Finding a business that has the potential to grow substantially is not easy, but it is possible if we look at a few key...",https://finnhub.io/api/news?id=8e1bfb47bad6eb32b92ca050c13e31e8431bdffec53d606e842d15e4fba61be7
company,1628269980,"NVR Inc. stock falls Friday, underperforms market",69568136,https://images.mktw.net/im-220105/social,NVR,MarketWatch,"Shares of NVR Inc. shed 1.89% to $5,212.95 Friday, on what proved to be an all-around great trading session for the stock market, with the S&P 500 Index...",https://finnhub.io/api/news?id=916d821005c7893c4d62d243dfc7d4d380ea4823a089608b1a319afdcb93d273
company,1628244180,Stocks That Hit 52-Week Highs On Friday,69543465,https://cdn.benzinga.com/files/imagecache/og_image_social_share_1200x630/sites/all/themes/bz2/images/bz-icon.png,NVR,Benzinga," 
 
Before 10 a.m. ET on Friday, 175 companies set new 52-week highs.
Key Facts:

Nike (NYSE:NKE) was the biggest company by market cap to set a new 52-week high.
The...",https://finnhub.io/api/news?id=f0da0355297f6b31c14aac2944d6c7c8cb6a2f9d5e51e4e2a2106999c8f33db8
company,1628183580,"NVR Inc. stock rises Thursday, outperforms market",69568137,https://images.mktw.net/im-220105/social,NVR,MarketWatch,"Shares of NVR Inc. advanced 1.34% to $5,313.57 Thursday, on what proved to be an all-around positive trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=1f3bb2c256f4f8dae94b72a4c69cbddc25a8b9942402848f76fa83224ffc889d
company,1628099143,NVR sets $500 million stock buyback program,69509606,,NVR,Yahoo,"NVR Inc. said Wednesday that its board of directors has authorized the repurchase of $500 million worth of stock. The home builder's stock slipped 0.2% to $5,286.99 in recent afternoon trading. Based on current prices, the buyback program could represent 2.65% of the shares outstanding. In the second quarter, the company bought back about $376.9 million worth of stock, after repurchasing about $377.4 million worth of shares in the first quarter. The stock has rallied 29.6% year to date, while th",https://finnhub.io/api/news?id=d606a1629b8e54cdf1ab3812eab7de7589cd7af3fe43068b333f36d8bbafd153
company,1628098140,"NVR, Inc. Announces Share Repurchase",69509607,https://s.yimg.com/uu/api/res/1.2/_Xx3vfMvCnX1hOq.auy3Nw--~B/aD0xNjt3PTE2O2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/prnewswire.com/5472a68a13e65f342c1e0641df494fdc,NVR,Yahoo,"NVR, Inc. (NYSE: NVR) announced today that its Board of Directors has authorized the repurchase of $500 million of its outstanding common stock. The purchases will occur from time to time in the open market and/or in privately negotiated transactions as market conditions permit. The Company indicated that the authorization is a continuation of the stock repurchase program that began in 1994 and is consistent with NVR's strategy of maximizing shareholder value. Consistent with prior authorization",https://finnhub.io/api/news?id=a0a08e0f551e7b783d07e39363aa46e9cc3ce18faddbd85b2005ec2102f69535
company,1628097180,NVR Inc. stock outperforms competitors despite losses on the day,69568138,https://images.mktw.net/im-220105/social,NVR,MarketWatch,"Shares of NVR Inc. sank 0.98% to $5,243.56 Wednesday, on what proved to be an all-around poor trading session for the stock market, with the S&P 500 Index...",https://finnhub.io/api/news?id=12cd9e0862dc8b524a2731b48f147c52c808d093358fd630643e8caaf3ef969f
company,1628090640,NVR Board Approves $500M Stock Buyback,69521484,https://cdn.benzinga.com/files/imagecache/og_image_social_share_1200x630/images/story/2012/aaconsumerv3_392.png,NVR,Benzinga,"NVR Inc’s (NYSE: NVR) Board of Directors has approved the repurchase of $500 million of its outstanding common stock.
The company indicated that the approval...",https://finnhub.io/api/news?id=368b2f8f8cc06bd8dce23d858f32fbc4b5e654c068a592f1ce2e837551fde487
company,1628084743,NVR sets $500 million stock buyback program,69568139,https://s.wsj.net/public/resources/MWimages/MW-GP644_MicroS_ZG_20180906154215.jpg,NVR,MarketWatch,NVR Inc. undefined said Wednesday that its board of directors has authorized the repurchase of $500 million worth of stock. The home builder's stock slipped...,https://finnhub.io/api/news?id=f6d9fd92ec06984dc40ffa5d6e9d1ce03ca95141ffc563c74aaee27a94d412aa
company,1628083740,"NVR, Inc. Announces Share Repurchase",69522560,,NVR,PR Newswire,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=e2058907b9e46df520560caa63698c17a590d260316412b258909d3482f96153
company,1628080260,NVR authorizes repurchase of $500M in common stock,69522561,,NVR,Thefly.com,"NVR, Inc. announced that ... NVR",https://finnhub.io/api/news?id=d6baa312637c85fd6262be32bca5cd768e24c9c6217a923c2d14b47957c5dd5e
company,1628010780,NVR Inc. stock outperforms competitors on strong trading day,69568140,https://images.mktw.net/im-220105/social,NVR,MarketWatch,"Shares of NVR Inc. rallied 1.30% to $5,295.23 Tuesday, on what proved to be an all-around positive trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=2f4a4e71afe55844a3bfd07056572b8c14e06c8b566040167b5259a1d1302b0a
company,1627994340,"Encompass Wealth Advisors, Llc Buys Airbnb Inc, JPMorgan Ultra-Short Municipal Income ETF, SPDR Gold Shares ETF, Sells First Trust Managed Municipal ETF, iShares Gold Trust, Freeport-McMoRan Inc",69491157,,NVR,GuruFocus,,https://finnhub.io/api/news?id=280434e2f642b765d3ff91069ab9c79495a05b7cf613c673a941d1659cd4183f
company,1627924380,NVR Inc. stock underperforms Monday when compared to competitors despite daily gains,69568141,https://images.mktw.net/im-220105/social,NVR,MarketWatch,"Shares of NVR Inc. inched 0.09% higher to $5,227.42 Monday, on what proved to be an all-around poor trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=54e86e8a8bada3e374b3f0106aaaf6da9516d79e8168fcfeeaa989703dab91e1
company,1627812000,"Mandates, Inflation, And Earnings",69431314,,NVR,SeekingAlpha,,https://finnhub.io/api/news?id=ca4cad8fa68094cd16e53eca92eb601e02b528defb145fc199de27a9b073fe47
company,1627793760,3 Residential Construction Stocks To Avoid As Sales Of New Homes Drop,69447556,,NVR,TalkMarkets,,https://finnhub.io/api/news?id=977816c126ce2b92bf6cf31037c6f6a8aff0e14810c60069301cbcf6ec1be1fc
company,1627665180,NVR Inc. stock underperforms Friday when compared to competitors,69568142,https://images.mktw.net/im-220105/social,NVR,MarketWatch,"Shares of NVR Inc. shed 0.42% to $5,222.60 Friday, on what proved to be an all-around rough trading session for the stock market, with the S&P 500 Index...",https://finnhub.io/api/news?id=c62e51fc52a2cc1ed4cc9c7dcb2d38508ee25fbf351c4533537fd80cab6c3300
company,1627653636,Homebuilder Stocks Gain Despite Weaker New Home Sales,69406451,https://s.yimg.com/cv/apiv2/social/images/yahoo_default_logo-1200x1200.png,NVR,Yahoo,Charts show homebuilder stocks laying the foundation for a move higher. Here's how to trade a leading industry name and sector-themed ETF.,https://finnhub.io/api/news?id=8e0b6d096ee9526e1d3294962b7bb3ed13daa0365d206cad4280c8b27823ce86
company,1627627140,"AltraVue Capital, LLC Buys BGC Partners Inc, StoneX Group Inc, Cable One Inc, Sells Bryn Mawr Bank Corp, SIGA Technologies Inc, Landec Corp",69419392,,NVR,GuruFocus,,https://finnhub.io/api/news?id=f209b57dd0efa13b633a4e48570469968f09e040ad67a33cbd196a2e4f564276
company,1627578780,NVR Inc. stock outperforms market on strong trading day,69568143,https://images.mktw.net/im-220105/social,NVR,MarketWatch,"Shares of NVR Inc. rallied 3.55% to $5,244.89 Thursday, on what proved to be an all-around favorable trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=174643769027ae2cc800a3c09547026c3ba51cd1ba4c637686e1e0a584e268f0
company,1627492380,"NVR Inc. stock falls Wednesday, underperforms market",69568144,https://images.mktw.net/im-220105/social,NVR,MarketWatch,"Shares of NVR Inc. shed 0.81% to $5,064.95 Wednesday, on what proved to be an all-around grim trading session for the stock market, with the S&P 500 Index...",https://finnhub.io/api/news?id=1e441fae81e610a3e08aa6fafa44278992402795a9328f07c5c379e826cb7f30
company,1627439940,"Hendershot Investments Inc. Buys Cognizant Technology Solutions Corp, Canadian National Railway Co, NVR Inc, Sells Genuine Parts Co, VSE Corp",69376961,,NVR,GuruFocus,,https://finnhub.io/api/news?id=b7b1e44967133abe74bb4c93219614607aad01a9c9aeda8a9bdf78d4cdb4d394
