category,datetime,headline,id,image,related,source,summary,url
company,1629193860,Newell Turnaround Is Now Pivoting to Growth,69697829,https://static.gurufocus.com/photos/others/value_investing_price_intrinsic_worth_graham.jpg,NWL,GuruFocus,Newell Brands appears to have turned the corner after shedding assets and reducing debt.,https://finnhub.io/api/news?id=2c814a3a3de043d963bb0ae7859c7e37d3692001884b64abbcafe2705a1ada71
company,1629178380,Investors Bet Corporate Spending and Buybacks Will Support Stocks,69704332,https://images.wsj.net/im-385121/social,NWL,DowJones,Companies’ cash hoards stir hopes for greater spending on business growth and returning money to shareholders.,https://finnhub.io/api/news?id=9131d0b4c774106683f1d8fc3e1800803b2837c979204f9b254bff7ab9ed0f72
company,1628874780,Newell Brands Inc. stock outperforms market on strong trading day,69661083,https://images.mktw.net/im-220105/social,NWL,MarketWatch,"Shares of Newell Brands Inc. inched 0.67% higher to $25.67 Friday, on what proved to be an all-around favorable trading session for the stock market, with...",https://finnhub.io/api/news?id=87f2232527eb9fc2449e1827fa6e215703b7b6904cc6f54a66ada77edf363f9c
company,1628827200,"Icahn exits Herbalife, boosts Xerox in Q2",69667076,,NWL,Thefly.com,"Carl Icahn's Icahn C... HLF, TEN, IEP, XRX, OXY, DK, WBT, LNG, CVI, NWL",https://finnhub.io/api/news?id=37ba15fb96540b49814e83ca476eb0cabb0f38255eb6d4c20145fc8e33841347
company,1628788380,"Newell Brands Inc. stock falls Thursday, underperforms market",69661084,https://images.mktw.net/im-220105/social,NWL,MarketWatch,"Shares of Newell Brands Inc. slipped 1.24% to $25.50 Thursday, on what proved to be an all-around favorable trading session for the stock market, with the...",https://finnhub.io/api/news?id=028094333371a9962e84b8987f4668bbf12cd5ccdf96ec771be35772c0fdec18
company,1628713800,Newell Brands Declares Dividend on Common Stock,69624130,https://s.yimg.com/uu/api/res/1.2/sg_a0JHqzbPIBfqEUed9KA--~B/aD0yNjM7dz00ODA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/business-wire.com/2be0d2c929261874cdd64f36a9ee3379,NWL,Yahoo,"ATLANTA, August 11, 2021--Newell Brands Inc. (NASDAQ: NWL) announced today the declaration of a quarterly cash dividend of $0.23 per share. The dividend is payable September 15, 2021 to common stockholders of record at the close of business on August 31, 2021.",https://finnhub.io/api/news?id=ac1d6f1c2ca2d8e25aa65f6d990536b8c8de0ef252bb00560e1a50e8a3a5fb64
company,1628706720,Newell Brands Stock Challenged to Match Pandemic Success,69624131,https://s.yimg.com/cv/apiv2/social/images/yahoo_default_logo-1200x1200.png,NWL,Yahoo,"On ""Mad Money,"" Jim Cramer talks with the president and CEO of the company that makes everything from candles to coffee makers",https://finnhub.io/api/news?id=6c3cf07fc402d0c1f44ddaeab888844d0c274b8a618fe3ea6bb695e0c4f13f3e
company,1628701980,Newell Brands Inc. stock outperforms competitors on strong trading day,69639228,https://images.mktw.net/im-220105/social,NWL,MarketWatch,"Shares of Newell Brands Inc. rallied 1.22% to $25.82 Wednesday, on what proved to be an all-around favorable trading session for the stock market, with the...",https://finnhub.io/api/news?id=732350de8b7a33e7d1b682b463d191237d25517dbb3566083b64271fa9f237a7
company,1628699400,Newell Brands Declares Dividend on Common Stock,69634266,,NWL,Business Wire,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=27a826de65d0355266ced8d4fac0ae0dd0a22b6d37f15c6a626bbd14a77030d3
company,1628615580,Newell Brands Inc. stock outperforms market on strong trading day,69622375,https://images.mktw.net/im-220105/social,NWL,MarketWatch,"Shares of Newell Brands Inc. rallied 1.07% to $25.51 Tuesday, on what proved to be an all-around positive trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=546f7ca6e388d95fa2fdaa8cfa50625bc375bc56bd9dcdb6805dbbf7f68dd64d
company,1628529180,"Newell Brands Inc. stock falls Monday, underperforms market",69591919,https://images.mktw.net/im-220105/social,NWL,MarketWatch,"Shares of Newell Brands Inc. dropped 0.86% to $25.24 Monday, on what proved to be an all-around rough trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=035763406172e51401c399f6e6923140694d4fd836a18206520cd1e2ac937538
company,1628484360,4 Stocks to Consider as Students Return to School,69595301,https://static.gurufocus.com/1424849098040791040.jpg,NWL,GuruFocus,Stocks with high profitability as classes resume following summer vacation,https://finnhub.io/api/news?id=8a135a32324f3f11c2e3dba4a6307a08e35799108e3aa602131439a335888486
company,1628269980,"Newell Brands Inc. stock rises Friday, outperforms market",69556403,https://images.mktw.net/im-220105/social,NWL,MarketWatch,"Shares of Newell Brands Inc. inched 0.67% higher to $25.46 Friday, on what proved to be an all-around positive trading session for the stock market, with the...",https://finnhub.io/api/news?id=e8e585ca1a4744d40b40cbeea577020d0a4f1e0c465c2e35654fe0ed6d9218bc
company,1628183580,Newell Brands Inc. stock outperforms competitors on strong trading day,69556404,https://images.mktw.net/im-220105/social,NWL,MarketWatch,"Shares of Newell Brands Inc. advanced 1.85% to $25.29 Thursday, on what proved to be an all-around positive trading session for the stock market, with the...",https://finnhub.io/api/news?id=eff14583b1eeab0140e4f855c27f474494b2903149c1e922975e39a4dceac118
