category,datetime,headline,id,image,related,source,summary,url
company,1629167940,"Public Employees Retirement Association Of Colorad Buys Starbucks Corp, NXP Semiconductors NV, IQVIA Holdings Inc, Sells Tesla Inc, Charles River Laboratories International Inc, Diageo PLC",69717070,,NXPI,GuruFocus,,https://finnhub.io/api/news?id=786e3b06e36fa1586c985716e2d615047e53ef8fdd8f898f605dc0aa9a6fcfb8
company,1629117012,Here's How Much a $1000 Investment in NXP Semiconductors Made 10 Years Ago Would Be Worth Today,69688045,https://s.yimg.com/uu/api/res/1.2/HIalcDlt7JZPKSITVlxPuw--~B/aD02MDA7dz05MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/c2fdcaac033e049c74f38d188afcc9f9,NXPI,Yahoo,"Investing in certain stocks can pay off in the long run, especially if you hold on for a decade or more.",https://finnhub.io/api/news?id=25f500b8fc8b2751fedabf07a5cd2b3e53293091ba4f5f2599b4ceead976ef85
company,1628868603,Is NXP Semiconductors N.V. (NXPI) Stock Outpacing Its Computer and Technology Peers This Year?,69660979,https://s.yimg.com/uu/api/res/1.2/aMCT_Lh5K9xNn9.QUdX03w--~B/aD01ODc7dz05MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/17a4db66bb13bdabcbf848550a6ea15a,NXPI,Yahoo,Is (NXPI) Outperforming Other Computer and Technology Stocks This Year?,https://finnhub.io/api/news?id=b1d8ebeff4c836d59fd99760cc5464f6e6c7f858d416c53affbf7e0ecbe93ded
company,1628866919,12 Best 5G Stocks To Invest In Right Now,69653885,,NXPI,Yahoo,"In this article, we will be looking at the 12 best 5G stocks to invest in right now. To skip our detailed analysis of these stocks and the 5G industry, you can go directly to see the 5 Best 5G Stocks To Invest In Right Now. The 5G industry continues to thrive with its potential to […]",https://finnhub.io/api/news?id=413ef06188cbf3e0bf1a4d01ae288fbb44bb9ba2e1a41b2a7291a2cd7ded0804
company,1628759820,"Clover Health, Palantir, Coupang: What to Watch When the Stock Market Opens Today",69643433,https://images.wsj.net/im-382569/social,NXPI,DowJones,Occasional meme stock Clover Health was soaring premarket after its earnings report.,https://finnhub.io/api/news?id=c3abcaa760fae3b5fc04de0a2ef97348dcc13b6e6a5dc9aa666c344074f46f63
company,1628669760,Nxp Semiconductors Nv (NXPI) EVP Sales & Marketing Stephen Owen Sold $2.5 million of Shares,69634768,,NXPI,GuruFocus,,https://finnhub.io/api/news?id=52f65596d78d29a824991db8b8c884c389e855f8c1b4f9fb759cbef7a5f8a91c
company,1628656920,"NXP Semiconductors exec Owen sells over 11,000 common shares",69634769,,NXPI,Thefly.com,"In a regulatory filing, N... NXPI",https://finnhub.io/api/news?id=a3a9a7620dd0a85ecbedc561e24bfc5408fbb799e6ca96bf8e20865dbd4316d2
company,1628656860,"NXP Semiconductors exec Jensen sells 5,300 common shares",69634771,,NXPI,Thefly.com,"In a regulatory filing, N... NXPI",https://finnhub.io/api/news?id=c278ba24f64cf9b4f43b9963a60759e1de057e2315e26f33e0f90d338a11ad8e
company,1628656860,"NXP Semiconductors director Kaeser sells 10,000 common shares",69634770,,NXPI,Thefly.com,"In a regulatory filing, N... NXPI",https://finnhub.io/api/news?id=f60a64271753c473dfbe6a44f509eed49c7dc00902a858d46f6040941a4f7e56
company,1628630280,NXP Semiconductors to Present at Upcoming Investor Conference,69609396,https://s.yimg.com/uu/api/res/1.2/C8eXMc9HjnX2SERkg1bhXw--~B/aD03MDk7dz0xMzI5O2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/globenewswire.com/1970995c6bbbae7c2c92226240b05136,NXPI,Yahoo,"EINDHOVEN, The Netherlands, Aug. 10, 2021 (GLOBE NEWSWIRE) -- NXP Semiconductors N.V. (NASDAQ: NXPI) today announced participation at the following event with the financial community: August 11, 2021, at 1:20PM EST: KeyBanc Technology Leadership Forum (Virtual Event) Interested parties can listen to the live audio webcasts of the event from the NXP Investor Relations website https://investors.nxp.com. Webcast replays will be available within 24 hours. About NXP Semiconductors NXP Semiconductors",https://finnhub.io/api/news?id=c1f8f22814ecab0944c04f56610b345847f32abf575fc6f272f012a83b637370
