category,datetime,headline,id,image,related,source,summary,url
company,1629172500,Old Dominion management to meet with KeyBanc,69696574,,ODFL,Thefly.com,Meetings with CFO Satterf... ODFL,https://finnhub.io/api/news?id=b3281c2dcaaf7e8a2683201a97c42d4505c2927c145a689551977dabffc090a0
company,1629164340,"Kayne Anderson Rudnick Investment Management Llc Buys MediaAlpha Inc, Latham Group Inc, Olo Inc, Sells , CoreLogic Inc, The Trade Desk Inc",69716497,,ODFL,GuruFocus,,https://finnhub.io/api/news?id=341b33c9261a5b3566d55336c711291923398d93a1c8871db80b9d52a2a9202a
company,1629133980,"Old Dominion Freight Line Inc. stock rises Monday, still underperforms market",69695093,https://images.mktw.net/im-220105/social,ODFL,MarketWatch,"Shares of Old Dominion Freight Line Inc. inched 0.24% higher to $281.68 Monday, on what proved to be an all-around positive trading session for the stock...",https://finnhub.io/api/news?id=34af4d12c4d5544f7678ccfd9c5374089ba8980a50d1ad5dddea63617ce508ec
company,1629099540,"RPg Family Wealth Advisory, LLC Buys Southern Copper Corp, Xtrackers MSCI USA ESG Leaders Equity ETF, iShares ESG MSCI USA Leaders ETF, Sells SPDR Blackstone Senior Loan ETF, Chewy Inc, JPMorgan Chase. FR SP ETN REDEEM 24/05/2024 U",69694411,,ODFL,GuruFocus,,https://finnhub.io/api/news?id=e18375c99ff5f826d189fc7fd3441ab06c65d20086c119eae945e9ed878c09b8
company,1629086100,Old Dominion management to meet with KeyBanc,69680320,,ODFL,Thefly.com,Meetings with CFO Satterf... ODFL,https://finnhub.io/api/news?id=824ffedb1cc8122db33e49afc3ea5c6d3b8501e8983fac084ed26cbc7eaf4f6b
company,1628874780,"Old Dominion Freight Line Inc. stock rises Friday, outperforms market",69672170,https://images.mktw.net/im-220105/social,ODFL,MarketWatch,"Shares of Old Dominion Freight Line Inc. inched 0.70% higher to $281.00 Friday, on what proved to be an all-around great trading session for the stock...",https://finnhub.io/api/news?id=3c44a9bb9f1bd32eeb2972e17109a12363dc822fb356f76614a5aa2bd5febbaa
company,1628849640,Stocks That Hit 52-Week Highs On Friday,69654377,https://cdn.benzinga.com/files/imagecache/og_image_social_share_1200x630/sites/all/themes/bz2/images/bz-icon.png,ODFL,Benzinga," 
 
During Friday's morning session, 137 companies made new 52-week highs.
Areas of Significance:

Johnson & Johnson (NYSE:JNJ) was the largest company by market...",https://finnhub.io/api/news?id=919cfcf8895b927cd8d83d2ddf6a052a70eae18899fc75129ed7e7bc069e8da4
company,1628788380,Old Dominion Freight Line Inc. stock outperforms competitors on strong trading day,69672171,https://images.mktw.net/im-220105/social,ODFL,MarketWatch,"Shares of Old Dominion Freight Line Inc. inched 0.98% higher to $279.05 Thursday, on what proved to be an all-around positive trading session for the stock...",https://finnhub.io/api/news?id=48d2c8c9fee3155b71e04ba6bb929919bdfb33bcc37029d4234e8917e990fb60
company,1628782803,KNX vs. ODFL: Which Stock Should Value Investors Buy Now?,69638891,https://s.yimg.com/ny/api/res/1.2/Th45G7EV5y6ceR6Mh4lhAg--/YXBwaWQ9aGlnaGxhbmRlcjt3PTIwMDA7aD0xNTA5/https://s.yimg.com/uu/api/res/1.2/UACuRym2G7Sc_7yqOtSLVQ--~B/aD0yMzUxO3c9MzAwMDthcHBpZD15dGFjaHlvbg--/https://media.zenfs.com/en/zacks.com/c65fb4556b91b6c9dc83e4eff25fede0,ODFL,Yahoo,KNX vs. ODFL: Which Stock Is the Better Value Option?,https://finnhub.io/api/news?id=5449580595a9593021f89559479fb98f7e471d84c1ed39859eb6db9c845a46f5
company,1628701980,Old Dominion Freight Line Inc. stock outperforms market on strong trading day,69626920,https://images.mktw.net/im-220105/social,ODFL,MarketWatch,"Shares of Old Dominion Freight Line Inc. rallied 1.44% to $276.33 Wednesday, on what proved to be an all-around favorable trading session for the stock...",https://finnhub.io/api/news?id=45446af787dcd157926fce9e6e1196e5ebac0703d12039b02c0dac2f28c44d72
company,1628665200,ArcBest's Valuation Suggests A Much Bleaker Freight Market Than The Companies Are Seeing,69612674,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1182783632/medium_image_1182783632.jpg,ODFL,SeekingAlpha,ArcBest (ARCB) shares seem to be discounting a pretty significant upcoming deceleration in the business - out of whack with the realities of the sector. Is freight demand peaking?,https://finnhub.io/api/news?id=b50d8916738860548b65281b07485347427cf93253e629639a5a89424d851ad7
company,1628615580,"Old Dominion Freight Line Inc. stock rises Tuesday, still underperforms market",69626921,https://images.mktw.net/im-220105/social,ODFL,MarketWatch,"Shares of Old Dominion Freight Line Inc. inched 0.08% higher to $272.41 Tuesday, on what proved to be an all-around great trading session for the stock...",https://finnhub.io/api/news?id=518849a97f46506616a91924d528d9432bfaefeb832de53e0ed2a09d74bc5a6a
company,1628557860,Old Dominion management to meet with KeyBanc,69614195,,ODFL,Thefly.com,Meetings with CFO Satterf... ODFL,https://finnhub.io/api/news?id=01e9eae2f7143f512040d36bd6d05d62bfbac814344b390e51f8666d70e0d7b3
company,1628529180,Old Dominion Freight Line Inc. stock outperforms competitors despite losses on the day,69626922,https://images.mktw.net/im-220105/social,ODFL,MarketWatch,"Shares of Old Dominion Freight Line Inc. slumped 0.19% to $272.19 Monday, on what proved to be an all-around grim trading session for the stock market, with...",https://finnhub.io/api/news?id=e08d889c33c4f14167ae9598c67a7aa69587a26825ab236c80680976557ffedf
company,1628512857,Can You Imagine How Elated Old Dominion Freight Line's (NASDAQ:ODFL) Shareholders Feel About Its 490% Share Price Gain?,69583963,https://s.yimg.com/uu/api/res/1.2/SYyLLE_TGxESmxaHD10fMQ--~B/aD00MzI7dz0xMTk0O2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/simply_wall_st__316/976387f9691d9e9c613091b5dddac717,ODFL,Yahoo,Buying shares in the best businesses can build meaningful wealth for you and your family. While the best companies are...,https://finnhub.io/api/news?id=2408dfdb8fcfd89143513f6f95c892020c8e3bdbef4d528504a30b1d1ef40b76
company,1628269980,Old Dominion Freight Line Inc. stock outperforms competitors on strong trading day,69626923,https://images.mktw.net/im-220105/social,ODFL,MarketWatch,"Shares of Old Dominion Freight Line Inc. inched 0.19% higher to $272.72 Friday, on what proved to be an all-around positive trading session for the stock...",https://finnhub.io/api/news?id=4a5113d1e923ce8aaeafd7bffb38c35e1f39fb3b5f444deb1e4e52f65ca496d9
company,1628183580,Old Dominion Freight Line Inc. stock outperforms competitors on strong trading day,69536474,https://images.mktw.net/im-220105/social,ODFL,MarketWatch,"Shares of Old Dominion Freight Line Inc. inched 0.68% higher to $272.19 Thursday, on what proved to be an all-around positive trading session for the stock...",https://finnhub.io/api/news?id=545e4b54adf70a172671e6188f369f106150b4b1438df298ac065e105ddf88a2
company,1628159940,"Wcm Investment Management Buys EPAM Systems Inc, Entegris Inc, Stryker Corp, Sells Accenture PLC, Ecolab Inc, Canadian National Railway Co",69541900,,ODFL,GuruFocus,,https://finnhub.io/api/news?id=4e2453ef950c676ad13cd38d566f0365a51df1d5757e2a8cbee5a6f5f0d7e801
company,1628097180,Old Dominion Freight Line Inc. stock outperforms competitors despite losses on the day,69507227,https://images.mktw.net/im-220105/social,ODFL,MarketWatch,"Shares of Old Dominion Freight Line Inc. slipped 1.26% to $270.36 Wednesday, on what proved to be an all-around dismal trading session for the stock market,...",https://finnhub.io/api/news?id=bf2d12b6ab02e69ba499b148489dbb23f04274e9f6ce912e15a3855b5aec7600
company,1628010780,"Old Dominion Freight Line Inc. stock rises Tuesday, outperforms market",69507230,https://images.mktw.net/im-220105/social,ODFL,MarketWatch,"Shares of Old Dominion Freight Line Inc. advanced 2.64% to $273.82 Tuesday, on what proved to be an all-around positive trading session for the stock market,...",https://finnhub.io/api/news?id=61ad68e8f730364875a81dabb4d0d6b44445b524d2aa3dd156e91f81242043eb
company,1628000700,"Knight-Swift Transportation Caught Between Demand And Supply, Cyclical Bulls And Bears",69473785,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1194754975/medium_image_1194754975.jpg,ODFL,SeekingAlpha,Knight-Swift (KNX): Is the potential of a $60 to $65 fair value worth the risk of getting swept up in a sharp cyclical correction (which could take the shares down 30% or more)? Find out.,https://finnhub.io/api/news?id=5b655beffc14f4d9dead2b108ea79c52056926ccba274bb77e8079c351558cec
company,1627998720,"Old Dominion Freight Line Meets Growing Demand in Six Markets with New, Expanded Service Centers",69471005,https://s.yimg.com/uu/api/res/1.2/VpA_ahm8Z.KHHMsg4JbOxg--~B/aD00ODA7dz00NzQ7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/business-wire.com/923648d74a353a41d2808f5484cb614e,ODFL,Yahoo,"THOMASVILLE, N.C., August 03, 2021--Old Dominion Freight Line, Inc. (Nasdaq: ODFL) has continued to grow its service center network with six new and expanded facilities since February 2021. The Company introduced new service centers in Benicia, Calif., Phoenixville, Pa., and Kenosha, Wis., bringing its total count to 248 service centers, and relocated and/or expanded three more facilities in Colorado Springs, Colo., Milford, Conn. and Warren, Ohio. In the past 10 years, the Company has spent $1.",https://finnhub.io/api/news?id=266e2321e4e48dd198593dd618911529d238fd01fb94427a45c766432cc5f40c
company,1627984320,"Old Dominion Freight Line Meets Growing Demand in Six Markets with New, Expanded Service Centers",69468489,,ODFL,Business Wire,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=67a49b9b688670133b803a24958f647d1cf59bb79e3ac0b353c60fcf053c4f64
company,1627977780,"Tuesday’s Top Analyst Upgrades and Downgrades: Airbnb, Krispy Kreme, Planet Fitness, Square, Workday, XPO Logistics and More",69465369,https://247wallst.com/wp-content/uploads/2018/07/stock-market-financial-data.jpg,ODFL,247WallSt,"Tuesday's top analyst upgrades and downgrades included Airbnb, Krispy Kreme, Old Dominion Freight Line, Planet Fitness, Square, Workday and XPO Logistics.",https://finnhub.io/api/news?id=1a2e8472f2957d4c11a92216820d337ff29e765be2fedc082202def3985adfd7
company,1627924380,Old Dominion Freight Line Inc. stock outperforms competitors despite losses on the day,69507231,https://images.mktw.net/im-220105/social,ODFL,MarketWatch,"Shares of Old Dominion Freight Line Inc. shed 0.88% to $266.79 Monday, on what proved to be an all-around rough trading session for the stock market, with...",https://finnhub.io/api/news?id=aea08298fb6ac81356dc8d91cb01c479f2d769160517898c667fe5ed13b18388
company,1627907940,"Alta Wealth Advisors LLC Buys Atlassian Corporation PLC, NuShares Enhanced Yield U.S. Aggregate Bond ETF, Invesco Total Return Bond ETF, Sells PayPal Holdings Inc, Verizon Communications Inc, Splunk Inc",69465007,,ODFL,GuruFocus,,https://finnhub.io/api/news?id=4e25591159368df83f0712757b33fc28c5f7594264479dae963f189b61b35a57
company,1627897431,Whale Watching - GXO Logistics Spinoff From XPO Logistics Could Unlock Value But Whale CEO Is Selling,69446659,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1284419710/medium_image_1284419710.jpg,ODFL,SeekingAlpha,Spinning off warehouse and supply chain company GXO could unlock value for XPO. But Chairman Brad Jacobs has been selling shares ahead of the spin.,https://finnhub.io/api/news?id=9260def571cb0156c1ea21baf9d610c0588b6ff7e873299e0b9333bb7379e891
company,1627877520,Old Dominion downgraded to Neutral from Buy at Goldman Sachs,69468492,,ODFL,Thefly.com,Goldman Sachs analyst Jor... ODFL,https://finnhub.io/api/news?id=5b10859bff7d6cd0a2e08d297f22d143432015e4dd999bd148cd7c076df7adbb
company,1627877460,Home - The Fly,69468493,,ODFL,Thefly.com,The Fly is a leading digital publisher of real-time financial news. The Fly team scours all sources of company news and delivers short-form stories consisting of only market moving content.,https://finnhub.io/api/news?id=8e9a087a6c23d103baef0c459fd2366d4ba76859f79a761c0c6bce3576f871b4
company,1627839870,Old Dominion Freight Line Is A Beast,69437162,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1053119558/medium_image_1053119558.jpg,ODFL,SeekingAlpha,ODFL has added almost 40% since my January 2021 article thanks to high demand and its ability to generate value.,https://finnhub.io/api/news?id=6a01ef86594e0462efab627095ad1fa2e2d94213b5f66962452275112bc1ff0b
company,1627665180,Old Dominion Freight Line Inc. stock outperforms market on strong trading day,69507233,https://images.mktw.net/im-220105/social,ODFL,MarketWatch,"Shares of Old Dominion Freight Line Inc. inched 0.43% higher to $269.15 Friday, on what proved to be an all-around poor trading session for the stock market,...",https://finnhub.io/api/news?id=c13ac40435e1ccee3e315962c5ab3c6f11a8e5a5a92ab2daa7780d6c0e347789
company,1627578780,"Old Dominion Freight Line Inc. stock rises Thursday, outperforms market",69507235,https://images.mktw.net/im-220105/social,ODFL,MarketWatch,"Shares of Old Dominion Freight Line Inc. advanced 3.46% to $267.99 Thursday, on what proved to be an all-around favorable trading session for the stock...",https://finnhub.io/api/news?id=e29af4bc3ef36eff55e12fe49dabf4374635b0e0cfabdd3752c12ece592a5600
company,1627513255,"Old Dominion Freight Line, inc (ODFL) Q2 2021 Earnings Call Transcript",69372101,https://s.yimg.com/uu/api/res/1.2/zmj.74VZmDKFyMQXCAbujg--~B/aD0xNDk0O3c9MTQwMDthcHBpZD15dGFjaHlvbg--/https://media.zenfs.com/en/motleyfool.com/e48e86dda35543079ee2080fd9208b73,ODFL,Yahoo,"ODFL earnings call for the period ending June 30, 2021.",https://finnhub.io/api/news?id=08b64b0d27abe35133e757aa9212af181489d92678f92da673ebd381f5fa2e3f
company,1627510440,"Old Dominion Stock Shows Improved Strength As Economy Opens, More Goods Shipped",69372102,https://s.yimg.com/uu/api/res/1.2/LjbfINB6s4kUICdM9NyBTw--~B/aD01NjM7dz0xMDAwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/ibd.com/9f6949c323f9d76e2345f09dd55504a2,ODFL,Yahoo,A Relative Strength Rating upgrade for Old Dominion Freight Line shows improving technical performance. Will it continue?,https://finnhub.io/api/news?id=46ae45cafb3320621b77fd13c883db8b2b991b326a2ee455d559b90cfa7bdce6
company,1627497047,Relay Payments Plans To Raise $60M For Lumper Remittance Platform,69372103,https://s.yimg.com/uu/api/res/1.2/9dg26znumcIy6uRdxEWRdQ--~B/aD00MDA7dz02MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/Benzinga/4679b9c4ef234bcb1b9680e34d2b8be1,ODFL,Yahoo,"After quietly raising $43 million over the last six months of 2020, Relay Payments is on its way to raising an additional round for its electronic payment platform. According to a filing with the U.S. Securities and Exchange Commission last week, the Atlanta-based company is looking to raise $60 million, noting it has already raised $44.7 million from four investors since earlier this month. Relay aims to provide a more efficient and safe process for shippers, brokers, fleet managers and drivers",https://finnhub.io/api/news?id=c094a9e19e541a17f6a4627d4ee636552a3e28d4c3912c2f3eb5bb08284d0951
company,1627494047,Old Dominion Freight Line's (ODFL) CEO Greg Gantt on Q2 2021 Results - Earnings Call Transcript,69370810,https://static.seekingalpha.com/assets/og_image_1200-29b2bfe1a595477db6826bd2126c63ac2091efb7ec76347a8e7f81ba17e3de6c.png,ODFL,SeekingAlpha,"Old Dominion Freight Line, Inc. (NASDAQ:ODFL) Q2 2021 Earnings Conference Call July 28, 2021 10:00 AM ET Company Participants Drew Anderson – Senior Director, Product Management Greg Gantt...",https://finnhub.io/api/news?id=302422bdad269780f67a9c5c8a6043ff93de2326b5c9cdc3d3c0e85297a2fa9a
company,1627492380,"Old Dominion Freight Line Inc. stock falls Wednesday, underperforms market",69389114,https://images.mktw.net/im-220105/social,ODFL,MarketWatch,"Shares of Old Dominion Freight Line Inc. slid 0.09% to $259.03 Wednesday, on what proved to be an all-around dismal trading session for the stock market,...",https://finnhub.io/api/news?id=c8d0a89bd9ba94c8f4e667162d57396cfdbed49d78fe9f00f1b381116d0dfd8e
company,1627485663,"Old Dominion's (ODFL) Q2 Earnings Beat Estimates, Increase Y/Y",69372104,https://s.yimg.com/uu/api/res/1.2/X4iL0.wRGtafRtFGy0GtbA--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/b1bff296b902227889dba2aeff00f115,ODFL,Yahoo,Increase in LTL tons and LTL revenue per hundredweight aids Old Dominion's (ODFL) Q2 results.,https://finnhub.io/api/news?id=0041dde1531935428b825ea1bcd34210f5419eb79808e3009dbb552487aba867
company,1627483278,Old Dominion Shatters Record With 72.3% Operating Ratio In Q2,69372105,https://s.yimg.com/uu/api/res/1.2/vNSAd9_zWgz5kiwAs1AQLA--~B/aD00MDA7dz02MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/Benzinga/fe61ed663f5279b358e8b62a114ada8c,ODFL,Yahoo,"Can a sub-70% operating ratio be far behind? That's a question being asked after Old Dominion Freight Line Inc. (NASDAQ: ODFL) posted Wednesday morning an operating ratio of 72.3% in its second quarter. The eye-popping number, which was a quarterly record for the company, meant that the Thomasville, North Carolina-based LTL carrier spent just 72.3 cents for every $1 in revenue. Put another way, Old Dominion achieved an operating margin of 27.7% and did it while bringing on more labor to accommod",https://finnhub.io/api/news?id=5c03003ccbd5a7a6d2710631b6e9ebc175d269419065427f2e2a345ea81f413b
company,1627482452,"Old Dominion Freight Beats Q2 Estimates, Plans $2B Share Repurchase Program",69372106,https://s.yimg.com/uu/api/res/1.2/SUfbEoBr2eAvbgZSfQo.ag--~B/aD00MDA7dz02MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/Benzinga/5fd50771f9c693d01899440230543ef0,ODFL,Yahoo,"View more earnings on ODFLSee more from BenzingaClick here for options trades from BenzingaNorfolk Southern Beats Q2 Estimates, Raises FY21 Operating Ratio OutlookBoeing Stock Flies After Strong Q2 Earnings, 3B Backlog© 2021 Benzinga.com. Benzinga does not provide investment advice. All rights reserved.",https://finnhub.io/api/news?id=9ca41edab550f84b37fd7f6d2defac1bc95bad9cdadebe5254c4d81051cf5f37
company,1627475112,Old Dominion Freight Line (ODFL) Q2 Earnings and Revenues Surpass Estimates,69372107,https://s.yimg.com/uu/api/res/1.2/xopQugjeNyS1VO21qlHkcQ--~B/aD02NzU7dz05MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/3cb5117fc22f5e37890d1860dcd61f9f,ODFL,Yahoo,"Old Dominion (ODFL) delivered earnings and revenue surprises of 6.45% and 6.34%, respectively, for the quarter ended June 2021. Do the numbers hold clues to what lies ahead for the stock?",https://finnhub.io/api/news?id=d6300bd90d057ba166e15cfc57b4283651d3bfad57f1cce4699e517e9647d231
company,1627470000,Old Dominion Freight Line Reports Second Quarter 2021 Earnings Per Diluted Share of $2.31,69372108,https://s.yimg.com/uu/api/res/1.2/iOBZQy3dt1e6EpGPR.OMbg--~B/aD0zNjQ7dz0zNjA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/business-wire.com/c4b6370e2f68a8947e1cbe0fdaf02085,ODFL,Yahoo,"THOMASVILLE, N.C., July 28, 2021--Old Dominion Freight Line, Inc. (Nasdaq: ODFL) today announced financial results for the three-month and six-month periods ended June 30, 2021.",https://finnhub.io/api/news?id=f2ece40013cf613afc5e78355417754bd693878f827ec093ee68b120f4ac40b3
company,1627468860,Old Dominion Shatters Record With 72.3% Operating Ratio In Q2,69369418,https://cdn.benzinga.com/files/imagecache/og_image_social_share_1200x630/images/story/2012/truck-2920533_1920_1_52.jpg,ODFL,Benzinga,"Can a sub-70% operating ratio be far behind?

That's a question being asked after Old Dominion Freight Line Inc. (NASDAQ: ODFL) posted Wednesday morning an operating ratio of 72.3...",https://finnhub.io/api/news?id=bfe48ed4b029e8bdcb9664acb7c44f9f0a9d085c1ba4f3afd9116f938684f117
company,1627468020,"Old Dominion Freight Beats Q2 Estimates, Plans $2B Share Repurchase Program",69369419,https://cdn.benzinga.com/files/imagecache/og_image_social_share_1200x630/images/story/2012/industrial_pic_132.jpg,ODFL,Benzinga,"Old Dominion Freight Line Inc (NASDAQ: ODFL) reported second-quarter revenue growth of 47.2% year-over-year to $1.32 billion, beating the consensus of $1.23...",https://finnhub.io/api/news?id=6af533fa1901cc67063c2e14b3e6eb36342398f9d0cbae74a3df2262091f9c60
company,1627456980,Old Dominion Freight Line: Q2 Earnings Insights,69369420,https://cdn.benzinga.com/files/imagecache/og_image_social_share_1200x630/sites/all/themes/bz2/images/bz-icon.png,ODFL,Benzinga," 
Shares of Old Dominion Freight Line (NASDAQ:ODFL) were unchanged after the company reported Q2 results.
Quarterly Results
Earnings per share rose 84.80% year over year to $...",https://finnhub.io/api/news?id=e94926e6cede607d8c1535c558d37b87d09c4865932eafa158f6f06f5890d856
company,1627456440,Old Dominion: Q2 Earnings Snapshot,69362764,,ODFL,"Associated Press, The",Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=d09de28581a68d09539df0f87ec0bdc1e3b4627248d416e474efc28011324b87
company,1627455600,Old Dominion Freight Line Reports Second Quarter 2021 Earnings Per Diluted Share of $2.31,69362765,,ODFL,Business Wire,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=53ddc45dc798a72043119cf2b0a81beb14ebcc1df0a80e3ec897007d26c0d3b9
company,1627453020,Old Dominion announces new $2B share repurchase program,69362767,,ODFL,Thefly.com,The Company's Board ... ODFL,https://finnhub.io/api/news?id=7461423e265809287a2e7f45ef807cfe668bfe3acdaa8add9ae6e17800552e89
company,1627453020,"Old Dominion reports Q2 EPS  $2.31, consensus $2.09",69362766,,ODFL,Thefly.com,Reports Q2 revenue $1.32B... ODFL,https://finnhub.io/api/news?id=f44fba7ec32eea82853f29718da93efd844203c4c3b00d00bbe72a7b6af059d2
company,1627446420,"Earnings Scheduled For July 28, 2021",69362363,https://cdn.benzinga.com/files/imagecache/og_image_social_share_1200x630/images/story/2012/earnings_scheduled_1910.png,ODFL,Benzinga," 
Companies Reporting Before The Bell
• Barclays (NYSE:BCS) is likely to report quarterly earnings at $0.55 per share on revenue of $7.90 billion.
• United...",https://finnhub.io/api/news?id=4f643e6609f3f0ba7ee2f8c5ab3fe9c72aef6236ecb222306071f566b8d6debd
company,1627405980,Old Dominion Freight Line Inc. stock outperforms market on strong trading day,69366615,https://images.mktw.net/im-220105/social,ODFL,MarketWatch,"Shares of Old Dominion Freight Line Inc. inched 0.19% higher to $259.27 Tuesday, on what proved to be an all-around dismal trading session for the stock...",https://finnhub.io/api/news?id=48d195b89008d88c62334ad37c767e171dfe2051d4d74452e7f2a8c972597a5c
company,1627319580,Old Dominion Freight Line Inc. stock underperforms Monday when compared to competitors,69336016,https://images.mktw.net/im-220105/social,ODFL,MarketWatch,"Shares of Old Dominion Freight Line Inc. sank 0.88% to $258.78 Monday, on what proved to be an all-around great trading session for the stock market, with...",https://finnhub.io/api/news?id=5f670e6813b8d7c5f040502d1b7663facb0979e5b780d0e7476240727197e8f4
company,1627314003,KNX vs. ODFL: Which Stock Should Value Investors Buy Now?,69328681,https://s.yimg.com/uu/api/res/1.2/Fs_R4sd8jCoOMib958Znmg--~B/aD02MDM7dz0xMDAwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/zacks.com/432476d296d64c50172213c0415587c9,ODFL,Yahoo,KNX vs. ODFL: Which Stock Is the Better Value Option?,https://finnhub.io/api/news?id=77cd2d64c61d669bcb3faf483bb9546ca4421d8249325d47612cd94bc59c2d3a
company,1627060380,Old Dominion Freight Line Inc. stock outperforms competitors on strong trading day,69336018,https://images.mktw.net/im-220105/social,ODFL,MarketWatch,"Shares of Old Dominion Freight Line Inc. rose 2.25% to $261.08 Friday, on what proved to be an all-around positive trading session for the stock market, with...",https://finnhub.io/api/news?id=3313c3e81011f15cf5f2d7a6e735c180b3628e4b3a97d5851a983023054eb318
company,1627056604,Can Old Dominion (ODFL) Keep the Earnings Surprise Streak Alive?,69298208,,ODFL,Yahoo,Old Dominion (ODFL) has an impressive earnings surprise history and currently possesses the right combination of the two key ingredients for a likely beat in its next quarterly report.,https://finnhub.io/api/news?id=597214c41e959088d69dde288b3e54e9923debe5598deb2e5c34149525b593f2
company,1627050962,What's in the Offing for Old Dominion (ODFL) in Q2 Earnings?,69295825,,ODFL,Yahoo,"Rise in operating expenses is expected to hurt Old Dominion's (ODFL) second-quarter performance. However, improvement in operating ratio due to higher revenues might have aided.",https://finnhub.io/api/news?id=28b44f16643d4b8237a2c5380d5075c3890e832aa678b303fbca2103404f3066
company,1626973980,Old Dominion Freight Line Inc. stock outperforms market on strong trading day,69336020,https://images.mktw.net/im-220105/social,ODFL,MarketWatch,"Shares of Old Dominion Freight Line Inc. inched 0.37% higher to $255.34 Thursday, on what proved to be an all-around favorable trading session for the stock...",https://finnhub.io/api/news?id=3c02585381265a459b81e1bb25d7e99d4c307092cf66c8d8e19624bdc0f28b4b
company,1626960569,25 Biggest Logistics Companies in the World,69267328,https://s.yimg.com/uu/api/res/1.2/yel1HShZKuQvnQgA0LcaYg--~B/aD01NjM7dz03NTA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/insidermonkey.com/f6739fa754efc135298c01c8b258544b,ODFL,Yahoo,"In this article, we are going to share with you a list of the 25 biggest logistic companies in the world. If you want to skip our comprehensive analysis on these companies, go directly to the 5 Biggest Logistics Companies in the World. Logistics is the process that defines the coordination, allocation, and management of […]",https://finnhub.io/api/news?id=b0026e6135fd4cdb5ebb65fcaff657e161e86838afcc70246218595d3de5a0e2
