category,datetime,headline,id,image,related,source,summary,url
company,1629226800,Omnicom Group Inc. stock underperforms Tuesday when compared to competitors,69710099,https://images.mktw.net/im-220105/social,OMC,MarketWatch,"Shares of Omnicom Group Inc. slipped 1.43% to $74.69 Tuesday, on what proved to be an all-around rough trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=bd09283562c9452a45dd602c666ab69170fd713d64ecb5a1eb8a57e4cc6d305a
company,1629185580,6 Great Ways To Hedge Your Portfolio From The Pending Market Crash,69717147,,OMC,TalkMarkets,,https://finnhub.io/api/news?id=0b5e84094e6c34fdd4180b66ddc97d2092b23dd7f31c38165de9c252b0931116
company,1629167940,"Longview Partners (Guernsey) LTD Buys Marsh & McLennan Inc, TJX Inc, Sells Emerson Electric Co, Omnicom Group Inc, Willis Towers Watson PLC",69717541,,OMC,GuruFocus,,https://finnhub.io/api/news?id=7895620f6ff37db706974277b7b724464ec2ae9ffe997e64e208217eb6522486
company,1629134040,Omnicom Group Inc. stock outperforms market on strong trading day,69710100,https://images.mktw.net/im-220105/social,OMC,MarketWatch,"Shares of Omnicom Group Inc. inched 0.42% higher to $75.77 Monday, on what proved to be an all-around positive trading session for the stock market, with the...",https://finnhub.io/api/news?id=e6e05c5a702c7902f65adb04b1b5160ef871fae1cb89ee8f4b3fb10f9f29f265
company,1629118800,Credera Names Nickoria Johnson Chief Diversity Officer,69678746,https://s.yimg.com/uu/api/res/1.2/DnPrReTBiIbWXuivDDAt_A--~B/aD0xNjt3PTE2O2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/prnewswire.com/5ebfa5073972b22f8fb971b3b36ba4ca,OMC,Yahoo,"Credera, a global boutique consulting firm focused on strategy, transformation, data, and technology, has named Nickoria Johnson to the newly created position of chief diversity officer. Johnson will be responsible for accelerating the mission of amplifying voices of underrepresented groups and synergizing diversity, equity, and inclusion (DE&I) efforts toward unified goals to ensure accessibility, focus, and visibility of DE&I for the firm. Credera is part of Omnicom Precision Marketing Group (",https://finnhub.io/api/news?id=bca55c67efab3c6be506fc0ebc5b8fcc7c4ce5de0864e4b7a1fa5455371608ab
company,1629104400,Credera Names Nickoria Johnson Chief Diversity Officer,69680674,,OMC,PR Newswire,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=0f1c7c5187b543786110c48f2b4e19344976388a782d6a4210179e611bd9ec69
company,1628874840,"Omnicom Group Inc. stock falls Friday, underperforms market",69710101,https://images.mktw.net/im-220105/social,OMC,MarketWatch,"Shares of Omnicom Group Inc. slipped 0.89% to $75.45 Friday, on what proved to be an all-around positive trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=430594f03d97a50b7e69892c8df787b440e5b2b45616ff21cfb5ed8af560a6db
company,1628788440,"Omnicom Group Inc. stock falls Thursday, underperforms market",69659349,https://images.mktw.net/im-220105/social,OMC,MarketWatch,"Shares of Omnicom Group Inc. slid 0.16% to $76.13 Thursday, on what proved to be an all-around favorable trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=1618dd26ed7cce869777e841a0aa62a45168bb4d78e66b149bf52274c96c5d42
company,1628769600,Omnicom Names Gregory Lundberg Senior Vice President of Investor Relations,69631814,https://s.yimg.com/uu/api/res/1.2/kZnASwsweVU6MdPHjlsjyQ--~B/aD0xNjt3PTE2O2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/prnewswire.com/553fe38d76180d421fe90664359dd4d7,OMC,Yahoo,"Omnicom Group Inc. (NYSE: OMC) today announced Gregory Lundberg will join the group as Senior Vice President of Investor Relations. In this role, Lundberg will be responsible for managing all Omnicom investor relations activities with the financial and investment communities. Lundberg will report directly to Omnicom Group's Chief Financial Officer Phil Angelastro. The appointment is effective August 16th.",https://finnhub.io/api/news?id=d9c9dcac504d2133de97f0e8d296dc53c3b6a8fefee47e11fa3a366aec965677
company,1628755200,Omnicom Names Gregory Lundberg Senior Vice President of Investor Relations,69633198,,OMC,PR Newswire,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=e6885c9d9abb7cc77f6dbb1ecff7141a46f41206567de1348483cccfb775913b
company,1628702040,"Omnicom Group Inc. stock rises Wednesday, outperforms market",69659350,https://images.mktw.net/im-220105/social,OMC,MarketWatch,"Shares of Omnicom Group Inc. advanced 1.86% to $76.25 Wednesday, on what proved to be an all-around positive trading session for the stock market, with the...",https://finnhub.io/api/news?id=d0fd89b05f91d429d8c373267573bf4da584af85b600cb483028c6f2d31e0212
company,1628615640,Omnicom Group Inc. stock outperforms market on strong trading day,69659351,https://images.mktw.net/im-220105/social,OMC,MarketWatch,"Shares of Omnicom Group Inc. advanced 2.09% to $74.86 Tuesday, on what proved to be an all-around great trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=36d981de99c3d5d9b2491951daace178d24a43a5bca397ddd69349c8ab7d07a5
company,1628529240,"Omnicom Group Inc. stock falls Monday, underperforms market",69659352,https://images.mktw.net/im-220105/social,OMC,MarketWatch,"Shares of Omnicom Group Inc. shed 1.01% to $73.33 Monday, on what proved to be an all-around grim trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=65c9d947713020fb83a10056843cbb56d09b5f2b91373b8173dc1cefe0d34991
company,1628270040,"Omnicom Group Inc. stock rises Friday, outperforms market",69573704,https://images.mktw.net/im-220105/social,OMC,MarketWatch,"Shares of Omnicom Group Inc. inched 0.68% higher to $74.08 Friday, on what proved to be an all-around great trading session for the stock market, with the...",https://finnhub.io/api/news?id=3323d044f9d335cdb03c3d832b5f9deeb0de8fcacc88357423ae611b90e0b7eb
company,1628263443,"Green Dot (GDOT) Q2 Earnings Beat Estimates, Stock Up 4.5%",69548749,https://s.yimg.com/uu/api/res/1.2/ROqiqZyLZjJwRh5R8itrhQ--~B/aD00MTM7dz02MjA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/43ed1399866728c3173aecfd339d097a,OMC,Yahoo,Green Dot's (GDOT) second-quarter 2021 earnings and revenues increase year over year.,https://finnhub.io/api/news?id=bc15c201249975af8d4934921346b928eb039c98724ae43738cd062b3a0d1bdb
