category,datetime,headline,id,image,related,source,summary,url
company,1629203940,"MARSHALL WACE ASIA Ltd Buys Alphabet Inc, Illumina Inc, Otis Worldwide Corp, Sells Darling Ingredients Inc, Alaska Air Group Inc, Intercontinental Exchange Inc",69716952,,OTIS,GuruFocus,,https://finnhub.io/api/news?id=bec54d496b5b3934d6bcc4ab2bac1cbf40164ade90378301df4a507ba9ee165a
company,1629134040,Otis Worldwide Corp. stock underperforms Monday when compared to competitors despite daily gains,69687210,https://images.mktw.net/im-220105/social,OTIS,MarketWatch,"Shares of Otis Worldwide Corp. rallied 1.37% to $91.90 Monday, on what proved to be an all-around great trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=8b8c38765653f1931c18fdd5cd6766863b315d136b7a6375636d8c8c0fb27f32
company,1629117540,"Sandbar Asset Management LLP Buys Otis Worldwide Corp, Sealed Air Corp, First Solar Inc, Sells Lowe's Inc, Boeing Co, General Electric Co",69694917,,OTIS,GuruFocus,,https://finnhub.io/api/news?id=4948c7e6d2f04784ad24c8c028aed4c0765c2e7db764f4d4887c7ba7498d1d94
company,1629075369,The Retirees' Dividend Portfolio: John And Jane's July Taxable Account Update,69677576,,OTIS,SeekingAlpha,,https://finnhub.io/api/news?id=29c5405a9a97e0e59a78459b971eed457ee0815e61e720d525aa10a2cbe8902c
company,1629014143,"Otis Worldwide Corporation (NYSE:OTIS) Passed Our Checks, And It's About To Pay A US$0.24 Dividend",69676096,,OTIS,Yahoo,It looks like Otis Worldwide Corporation ( NYSE:OTIS ) is about to go ex-dividend in the next three days. The...,https://finnhub.io/api/news?id=24eaff897f0e72a8810741753c1bd48213279dcb3d4d1bc53a073ee68ba36b83
company,1628874840,Otis Worldwide Corp. stock outperforms market on strong trading day,69670204,https://images.mktw.net/im-220105/social,OTIS,MarketWatch,"Shares of Otis Worldwide Corp. inched 0.51% higher to $90.66 Friday, on what proved to be an all-around favorable trading session for the stock market, with...",https://finnhub.io/api/news?id=95af239f681a06203ff51f70e9e83fba7b4210402083de0dbe06ea3bae57bc9b
company,1628842726,Otis Worldwide (NYSE:OTIS) shareholders have earned a 43% return over the last year,69651744,https://s.yimg.com/uu/api/res/1.2/9jcUzKYfUwYqkVFuGwhkDQ--~B/aD00MzI7dz0xMTk0O2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/simply_wall_st__316/4020998fe5d069537fb917fd739e4047,OTIS,Yahoo,"If you want to compound wealth in the stock market, you can do so by buying an index fund. But investors can boost...",https://finnhub.io/api/news?id=f661cdb8cf96bacd29a7c0b0b0c08bff8ee4ec16ab52710e98b04f74d3fe0d2a
company,1628788440,Otis Worldwide Corp. stock outperforms competitors despite losses on the day,69670205,https://images.mktw.net/im-220105/social,OTIS,MarketWatch,"Shares of Otis Worldwide Corp. sank 0.25% to $90.20 Thursday, on what proved to be an all-around favorable trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=49adb4b6c021d47ca164fd0a222913439bf82e1756fa1e8cf2f8654c451b01c8
company,1628702040,Otis Worldwide Corp. stock outperforms market on strong trading day,69670206,https://images.mktw.net/im-220105/social,OTIS,MarketWatch,"Shares of Otis Worldwide Corp. inched 0.62% higher to $90.43 Wednesday, on what proved to be an all-around great trading session for the stock market, with...",https://finnhub.io/api/news?id=39c7f1af928905b7e20de1b81cc12ab9a6cae2108b1863e4a84dc950b42e3d6d
company,1628634427,Nicholas Ward's Dividend Growth Portfolio: July 2021 Update,69608093,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1272890161/medium_image_1272890161.jpg,OTIS,SeekingAlpha,My passive income was up 3.76% y/y in July. My portfolio's total returns were 3.74% in July.,https://finnhub.io/api/news?id=9292b486622e65aef54e6a42c2b3cb2115792462875bba67450d0553822ae847
