category,datetime,headline,id,image,related,source,summary,url
company,1629204600,"Q2 13F Roundup: How Buffett, Einhorn, Ackman And Others Adjusted Their Portfolios",69703689,https://cdn.benzinga.com/files/imagecache/og_image_social_share_1200x630/images/story/2012/wall-street-4847634_1920_0_2_45.jpg,OXY,Benzinga,"The latest round of 13F filings from institutional investors is out, revealing to the world the stocks that some of the richest and most successful investors have been buying and...",https://finnhub.io/api/news?id=91ffba0e3281eab3338f8a49b056d02bbe4273eafdd27b97ddd08607bece7466
company,1629171540,"Advisory Research Inc Buys Denbury Inc, Occidental Petroleum Corp, Stellantis NV, Sells Cummins Inc, Stellantis NV, Leggett & Platt Inc",69716707,,OXY,GuruFocus,,https://finnhub.io/api/news?id=1a2c7b60c9b85e1d876f73c7eac803a03355a47d170aabfc853b0a964ffa34c1
company,1629168540,Occidental Petroleum Corp Stock Getting Very Oversold,69716774,,OXY,Energy Stock Channel,"energy stock channel,OXY,",https://finnhub.io/api/news?id=8850a5c7a46817142c5219a8bcbb67232dfe82e6cc469666755a7d1ac99b731e
company,1629134040,Occidental Petroleum Corp. stock underperforms Monday when compared to competitors,69687232,https://images.mktw.net/im-220105/social,OXY,MarketWatch,"Shares of Occidental Petroleum Corp. slipped 3.88% to $24.79 Monday, on what proved to be an all-around favorable trading session for the stock market, with...",https://finnhub.io/api/news?id=6a806adc4e96c36d37d308e066f8f59fd6d71080e43b9c4edff8f9aa532f5622
company,1629118876,"Stocks making the biggest moves midday: Walmart, Tesla, Rocket, Sonos and more",69682414,https://image.cnbcfm.com/api/v1/image/106908933-1625848381201-gettyimages-1232948230-WALMART_EARNS.jpeg?v=1629131442,OXY,CNBC,These are the stocks posting the largest moves in midday trading. ,https://finnhub.io/api/news?id=34f5f788b13f68d212d4caaada9da0b35c0c75cd0e1f9d0391ed481987751f30
company,1629105180,Get An Even Better Deal On OXY Than Director Chazen Did,69700638,,OXY,Energy Stock Channel,"energy stock channel,OXY,",https://finnhub.io/api/news?id=11f4a58eb60b05f25616946d6b7ae7f445b0369ab0620322be185a744093ac22
company,1629088740,"Paulson & Co. Buys DiDi Global Inc, APA Corp, Royal Dutch Shell PLC, Sells SPDR Gold Shares ETF, , Viatris Inc",69694397,,OXY,GuruFocus,,https://finnhub.io/api/news?id=bba08545717fcdfc9b1de34f26175d4f61abebd68dde55a28687a9f26b106914
company,1629085860,"Paulson buys Bally's, cuts Dish Network in Q2",69694374,,OXY,Thefly.com,"John Paulson's Pauls... APA, RDS.A, BALY, BP, KSU, GLD, TAK, XLE, OXY, XOM, GOLD, SA, VTRS, PCRX, SD, DISH, BHC, HZNP, BSIG, NG",https://finnhub.io/api/news?id=dd71643bfc408d291277f4fe9e791bc8d9deadf456f880e8e6207fc30ca480c7
company,1629085140,"Arctis Global LLC Buys MoneyGram International Inc, HyreCar Inc, Fortress Transportation and Infrastructure Investo, Sells Domtar Corp, Alliance Data Systems Corp, Popular Inc",69698152,,OXY,GuruFocus,,https://finnhub.io/api/news?id=cf9e73b2e17a7eec2fed6aa79062dddf9d1640661bdff3ae337834afee067bfa
company,1629050747,"Dow, S&P 500 close at record highs ahead of major retail earnings reports",69684413,https://image.cnbcfm.com/api/v1/image/106928433-1629144527138-aa_img_10_57_160_137655_1000-1629144414203.jpg?v=1629144569,OXY,CNBC,The Dow Jones Industrial Average and the S&P 500 notched fresh record closes on Monday ahead of major retail earnings reports this week.,https://finnhub.io/api/news?id=ffbc5dab3b0a882a7af353ecae572fca1b0ff624541b72ebb7a851dffa65380b
company,1629019801,How solar power can become a small part of Big Oil's future,69676773,https://image.cnbcfm.com/api/v1/image/106922445-1628169987614-gettyimages-2149215-2121197DM002_solarmine.jpeg?v=1628170266,OXY,CNBC,"U.S. oil firms led by Occidental are tackling carbon. ExxonMobil and Chevron have invested in renewable energy. But it's on the margins, and may stay that way.",https://finnhub.io/api/news?id=55b3b7c8597573227bc0cb28ca2108eabe963e76c56a859309c04e4cd142512d
company,1628979420,Dividend Income Summary: Bert's July 2021 Summary,69672703,,OXY,SeekingAlpha,,https://finnhub.io/api/news?id=8edbca8d4e82449616ae5bced5397ff42ed4f86397bf68e44e1f90a70bc37e3e
company,1628928227,Wall Street Breakfast: What Moved Markets,69666433,https://static.seekingalpha.com/assets/og_image_1200-29b2bfe1a595477db6826bd2126c63ac2091efb7ec76347a8e7f81ba17e3de6c.png,OXY,SeekingAlpha,"Listen on the go! A daily podcast of Wall Street Breakfast will be available by 8:00 a.m. on Seeking Alpha, iTunes, Stitcher and Spotify.",https://finnhub.io/api/news?id=330cdb63f8b3340df7ac0e508c5120f2addab238ffab56260a736ffd7ec54f5a
company,1628881860,"Bill Gates Transfers Deere, Canadian National, and AutoNation Stock",69667273,https://images.barrons.com/im-369833/social,OXY,MarketWatch,"Bill Gates’ investment vehicle Cascade Investment transferred Deere, Canadian National, and AutoNation stock to Melinda French Gates as a result of a...",https://finnhub.io/api/news?id=110b9101b22778fb32b96694c037b7a9e51c8115c6b96852c9397f012a27bccd
company,1628874840,Occidental Petroleum Corp. stock underperforms Friday when compared to competitors,69687234,https://images.mktw.net/im-220105/social,OXY,MarketWatch,"Shares of Occidental Petroleum Corp. shed 4.02% to $25.79 Friday, on what proved to be an all-around positive trading session for the stock market, with the...",https://finnhub.io/api/news?id=f810935629b7f862940846a51e6b0d9b393e33bb1504c5ed0742d8a790d72d62
company,1628827200,"Icahn exits Herbalife, boosts Xerox in Q2",69667076,,OXY,Thefly.com,"Carl Icahn's Icahn C... HLF, TEN, IEP, XRX, OXY, DK, WBT, LNG, CVI, NWL",https://finnhub.io/api/news?id=37ba15fb96540b49814e83ca476eb0cabb0f38255eb6d4c20145fc8e33841347
company,1628788440,"Occidental Petroleum Corp. stock rises Thursday, still underperforms market",69646904,https://images.mktw.net/im-220105/social,OXY,MarketWatch,"Shares of Occidental Petroleum Corp. inched 0.11% higher to $26.87 Thursday, on what proved to be an all-around great trading session for the stock market,...",https://finnhub.io/api/news?id=1e251638754e37199ac5eda368bdba3a46478dca90325153781a354d4c5aacb8
company,1628762640,October 1st Options Now Available For Occidental Petroleum (OXY),69638656,,OXY,Stock Options Channel,"Staff article entitled October 1st Options Now Available For Occidental Petroleum (OXY), about stock options, from Stock Options Channel.",https://finnhub.io/api/news?id=94429d4c6a19beb811fff8ed32bd47d65ab754f7975aced97db79d7290095d5a
company,1628702040,Occidental Petroleum Corp. stock outperforms market on strong trading day,69624874,https://images.mktw.net/im-220105/social,OXY,MarketWatch,"Shares of Occidental Petroleum Corp. rose 2.21% to $26.84 Wednesday, on what proved to be an all-around great trading session for the stock market, with the...",https://finnhub.io/api/news?id=3a9f4766d314e0a189848a800ff7b0f31ed47bd1c48d327be25d7eff2a7eccee
company,1628670360,4 Stocks Insiders Are Buying,69615886,https://cdn.benzinga.com/files/imagecache/og_image_social_share_1200x630/images/story/2012/insider-buying_5.jpg,OXY,Benzinga,"When insiders purchase shares, it indicates their confidence in the company's prospects or that they view the stock as a bargain. Either way, this signals an opportunity to go...",https://finnhub.io/api/news?id=b322bcf3df2dabad75ca70f23256c02b70c6ee0d40c33bf7cf37b87054be9828
company,1628615640,Occidental Petroleum Corp. stock outperforms market on strong trading day,69624875,https://images.mktw.net/im-220105/social,OXY,MarketWatch,"Shares of Occidental Petroleum Corp. rose 2.54% to $26.26 Tuesday, on what proved to be an all-around favorable trading session for the stock market, with...",https://finnhub.io/api/news?id=2468cbfce15bf8d0b6d18b76cccf556e6c3a0dc0e8d4dc69bdb14e8501408161
company,1628614172,Strong U.S. job gains will likely push up Fed tapering: strategist,69601074,https://s.yimg.com/ny/api/res/1.2/dgpy4puPPIqPAiInrJDlTQ--/YXBwaWQ9aGlnaGxhbmRlcjt3PTIwMDA7aD0xMTIz/https://s.yimg.com/hd/cp-video-transcode/prod/2021-08/10/6112ae1e05530c20471bacff/6112ae1e05530c20471bad00_o_U_v2.jpg,OXY,Yahoo,"Stephanie Lang, Homrich Berg Principal and CIO joins Yahoo Finance Live to break down what's moving markets amid the pandemic and discuss what to expect from the Fed this fall.",https://finnhub.io/api/news?id=5e0aea606bff9dc61bbc088dd51ea8d893a2a05c80da41204b0a7518e9f80314
company,1628583146,Wall Street Breakfast: UN Calls Climate Code Red (Podcast),69593528,https://static3.seekingalpha.com/assets/podcasts/wsb-d57bf915fd82bac19817953c2e226c7610de9fc3a36c166d7c276e18e86311ea.png,OXY,SeekingAlpha,"Our top stories today: UN Calls Climate Code Red, AMC rallies after beating quarterly estimates, and Moderna jumps as the FDA evaluates COVID-19 booster shots .",https://finnhub.io/api/news?id=cf0dbce9c836bfbb85eae2e664ed87e0bc3c752c4a6f9a307589cb2834ee462f
company,1628576786,Wall Street Breakfast: Climate Code Red,69592799,,OXY,SeekingAlpha,,https://finnhub.io/api/news?id=0e3f4e886f2d7761b3040eb350b801005490f971c24d2223959416f657ec98f3
company,1628562960,"Stocks wobble; tech companies slip, offsetting other gains",69614129,,OXY,"Associated Press, The",Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=c08f262c1650bb3b6de545d0cc091b3ce8043e5cb5bc954cf9468678bbea786d
company,1628562960,Asian shares mixed as virus fears temper market optimism,69596226,,OXY,"Associated Press, The",Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=c832e80306eb52fa8b50d50fbce42b47854b4b688f32a2fc915b930eae085231
company,1628529240,Occidental Petroleum Corp. stock underperforms Monday when compared to competitors,69624876,https://images.mktw.net/im-220105/social,OXY,MarketWatch,"Shares of Occidental Petroleum Corp. shed 2.96% to $25.61 Monday, on what proved to be an all-around rough trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=f077685bc580ee8f4c7ac167e59f59ee84fe4d6766ee2bd9536850f4014c97ff
company,1628526120,"Sanderson Farms, Tyson Foods rise; Elanco, Occidental fall",69594390,,OXY,"Associated Press, The",Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=e6e8b925f4304848c65b723693d401e9ef080a5778a6aaa311522d899c47a1ba
company,1628512760,"Stocks making the biggest moves midday: Tesla, Coinbase, Tyson Foods and more",69584380,https://image.cnbcfm.com/api/v1/image/106914845-1626917249888-gettyimages-1231348679-ks_20210129_tsl_003.jpeg?v=1626917106,OXY,CNBC,These are the stocks posting the largest moves in midday trading. ,https://finnhub.io/api/news?id=1c31f2ec90cdf18d952379e6671d4e1e64eaf9d3d884174fedd6bdeb8be46c1a
company,1628499720,"Tesla, Berkshire, Occidental, Bitcoin: What to Watch When the Stock Market Opens Today",69585363,https://images.wsj.net/im-362738/social,OXY,DowJones,Energy companies were slipping as crude prices fell.,https://finnhub.io/api/news?id=99b601b5cef3f0a6361c1ebb958b680143971ec2c4d86e4851ff52dd41780c6e
company,1628485860,"Oil Shares Slip As Crude Weakens On China COVID Curbs, Lower GDP Forecast By Investing.com",69579055,https://i-invdn-com.investing.com/news/LYNXNPEC29106_L.jpg,OXY,Investing.com,"Oil Shares Slip As Crude Weakens On China COVID Curbs, Lower GDP Forecast",https://finnhub.io/api/news?id=bd6dcac03311d99ea321c15a0a44f43e8eb501834421d8900ceede850f7c3cf1
company,1628475600,Asian shares mixed as virus fears temper market optimism,69596228,,OXY,"Associated Press, The",Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=47e30971481184a161440785b900c9260d99d1342c532b7d01d5c6ea830346d4
company,1628475600,Energy stocks lead major indexes lower in early US trading,69580043,,OXY,"Associated Press, The",Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=f3aeba13b8679121a3b198a6db0f45c8816962cc760d3eabbefa8269984596c1
company,1628270040,Occidental Petroleum Corp. stock underperforms Friday when compared to competitors despite daily gains,69568196,https://images.mktw.net/im-220105/social,OXY,MarketWatch,"Shares of Occidental Petroleum Corp. inched 0.76% higher to $26.39 Friday, on what proved to be an all-around favorable trading session for the stock market,...",https://finnhub.io/api/news?id=4625d95d77d5870e270c24c4ddf60a7e8c4b4ec1ba504d997182d5c0bbb01fe0
company,1628261400,"Run From Stocks, Hide From Bonds, And Embrace Commodities",69550339,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1296434559/medium_image_1296434559.jpg,OXY,SeekingAlpha,"The broader U.S. stock market is historically overvalued and most equities, including a majority of the popular favorites, offer very poor starting valuations.",https://finnhub.io/api/news?id=496771e4ca8aa585dc6948959c62cd4c65ed7f3be3cb5c32199eb56c8dc5c13f
company,1628237806,We Expect Occidental Petroleum To More Than Double From Here,69540165,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/760657/medium_image_760657.jpg,OXY,SeekingAlpha,Occidental Petroleum is focused on generating incredibly strong shareholder returns while paying down its debt. See why I think OXY is a valuable investment versus its current valuation.,https://finnhub.io/api/news?id=b8992dc542002a7e800d6ed3329d48d8999477fd142942797f310c2146af7647
company,1628184305,"Murphy Oil (MUR) Q2 Earnings Beat, Revenues Miss Estimates",69527073,https://s.yimg.com/uu/api/res/1.2/k801.RUJ07Ee7atwPd.DSQ--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/f54f709ae65e32f6086a21eeef8d44f3,OXY,Yahoo,"Murphy Oil (MUR) reports net income in Q2 against the prior-year's loss figure. Also, its top line improves year over year.",https://finnhub.io/api/news?id=bfa77160d561259f72d2ba2eedc846a2490877978ba96b4d6d4e2e64cd63cf30
company,1628183640,Occidental Petroleum Corp. stock outperforms market on strong trading day,69568197,https://images.mktw.net/im-220105/social,OXY,MarketWatch,"Shares of Occidental Petroleum Corp. advanced 1.95% to $26.19 Thursday, on what proved to be an all-around great trading session for the stock market, with...",https://finnhub.io/api/news?id=5c9ba7bc579de5bb79f64adea7be0c572b63b7c46ef3661b35abec454118d2fa
company,1628158620,Interesting OXY Put And Call Options For September 24th,69546343,,OXY,Stock Options Channel,"Staff article entitled Interesting OXY Put And Call Options For September 24th, about stock options, from Stock Options Channel.",https://finnhub.io/api/news?id=63953a42940c5865cea70f6146da415553b05bfa6e33b99b1ef6e66020b05142
company,1628130682,Occidental Petroleum (OXY) Q2 2021 Earnings Call Transcript,69509099,,OXY,Yahoo,"OXY earnings call for the period ending June 30, 2021.",https://finnhub.io/api/news?id=f6723fcb2edb7798729fa439af5ce01c18538d35f23e503939632a3010525f5a
company,1628097846,Occidental Petroleum Corporation (OXY) CEO Vicki Hollub on Q2 2021 Results - Earnings Call Transcript,69502020,https://static.seekingalpha.com/assets/og_image_1200-29b2bfe1a595477db6826bd2126c63ac2091efb7ec76347a8e7f81ba17e3de6c.png,OXY,SeekingAlpha,"Occidental Petroleum Corporation (NYSE:OXY) Q2 2021 Earnings Conference Call August 4, 2021, 1:00 PM ET Company Participants Vicki Hollub – President and CEO Jeff Alvarez – Vice President...",https://finnhub.io/api/news?id=9a26f2c62b6fcb536c1e07c37834115edb77f720fc595770a6e1e3b11b01af43
company,1628097240,Occidental Petroleum Corp. stock underperforms Wednesday when compared to competitors,69568198,https://images.mktw.net/im-220105/social,OXY,MarketWatch,"Shares of Occidental Petroleum Corp. shed 2.80% to $25.69 Wednesday, on what proved to be an all-around dismal trading session for the stock market, with the...",https://finnhub.io/api/news?id=ba06fb54a2deafcd64893cf07339beb5dfee3706bba4f4e6811cf687b05d0e46
company,1628096040,Shale Company Profits Capped by Wrong-Way Bets as Oil Prices Rose ,69511129,https://images.wsj.net/im-380169/social,OXY,DowJones,Oil companies collected billions of dollars in cash as oil prices surged in the second quarter. But the sum was limited by hedging contracts meant to protect drillers from another price crash.,https://finnhub.io/api/news?id=ba2422dee22f2353dbcf239135bc2f0d9db339d509811eda12f5a560ce1aa59b
company,1628092503,Devon Energy (DVN) Q2 Earnings & Revenues Surpass Estimates,69498530,https://s.yimg.com/uu/api/res/1.2/ShfhwtDyA2WzDBKdAL7M8Q--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/6f2cab89bf2cbad1966358e04258e202,OXY,Yahoo,Devon Energy's (DVN) second-quarter earnings and revenues are better than expected. The company gains from strong production and improved commodity realized prices.,https://finnhub.io/api/news?id=28c975112de61418c0a3b3db8ec86ec4d5052d7361b5589941e6b18b5f9bc9c5
company,1628091723,Occidental (OXY) Q2 Earnings and Revenues Beat Estimates,69498531,https://s.yimg.com/uu/api/res/1.2/lY3wr_2PWydraW.rjQZlyA--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/6e0eea77024f8a02b541f11695d7c6a6,OXY,Yahoo,Occidental Petroleum's (OXY) second-quarter earnings and revenues are better than expected. The company benefits from strong realized commodity prices.,https://finnhub.io/api/news?id=0cf0dee97488e8ff8003db6babae4176babd5d7b0a1a425d6e765b8ea0345e8b
company,1628091654,EQT Corp.: Buy The Forgivable Dip At A 20% Free Cash Flow Yield,69500250,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/484334082/medium_image_484334082.jpg,OXY,SeekingAlpha,EQT Corp has seen its stock price fall in the last few months as the hedging practices of the company have proven detrimental. Read why EQT is a buy on the dip.,https://finnhub.io/api/news?id=d7c9f5a0d40922736802c6fa610cefdcc6c1bbd896f950e29d1920504f88f23b
company,1628078100,"Occidental raises FY21 oil & gas production view to 1,150 Mboed from 1,140",69520910,,OXY,Thefly.com,Sees FY21 OxyChem pre-tax... OXY,https://finnhub.io/api/news?id=171afcb531e1091e65a232e08839cd34fd3a991a5fefb1be266c1945fb2891ef
