category,datetime,headline,id,image,related,source,summary,url
company,1629208450,15 Best Momentum Stocks To Invest In,69694494,,PAYC,Yahoo,"In this article, we discuss the 15 best momentum stocks to invest in. If you want to skip our detailed analysis of these stocks, go directly to the 5 Best Momentum Stocks To Invest In. The influx of retail investors on the market in the past few months has led to an increase in stock […]",https://finnhub.io/api/news?id=c71550c3aca28cd4b99b5cbef6d6bccd1f5f40ee8ea751ea1f1154d0328e98f5
company,1629197820,1 Fintech That Reported an Excellent Second Quarter,69697400,,PAYC,Yahoo,"Fintech company Paycom (NYSE: PAYC) isn't exactly a household name, but it reported some impressive second-quarter earnings.  In this Fool Live video clip, recorded on Aug. 5, Fool.com contributor Brian Feroldi discusses the numbers and why investors might want to put Paycom on their radar.  Brian Feroldi: For those that don't know, Paycom is a company that is focused on human capital management.",https://finnhub.io/api/news?id=0a9e8a5d68cd9c9c4605057931c447c895d274152e183a9d4f24f5bbcd5f0f99
company,1629134040,Paycom Software Inc. stock outperforms market on strong trading day,69687235,https://images.mktw.net/im-220105/social,PAYC,MarketWatch,"Shares of Paycom Software Inc. rallied 2.09% to $473.44 Monday, on what proved to be an all-around great trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=87f04493896841c2afa8f9ce43bff388889cd4dd35b72ca043a7b2588aa33d81
company,1628874840,"Paycom Software Inc. stock falls Friday, underperforms market",69667359,https://images.mktw.net/im-220105/social,PAYC,MarketWatch,"Shares of Paycom Software Inc. shed 1.87% to $463.73 Friday, on what proved to be an all-around favorable trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=d637ec40016f386f1e9395bc77091875a47f2644cdced7484546520754c9d95e
company,1628788440,Paycom Software Inc. stock outperforms market on strong trading day,69644589,https://images.mktw.net/im-220105/social,PAYC,MarketWatch,"Shares of Paycom Software Inc. rallied 1.91% to $472.55 Thursday, on what proved to be an all-around positive trading session for the stock market, with the...",https://finnhub.io/api/news?id=8f4725a813f534581065a30488591ccf571f3c138847326000b6d8ab51a29821
company,1628702040,Paycom Software Inc. stock outperforms competitors on strong trading day,69644590,https://images.mktw.net/im-220105/social,PAYC,MarketWatch,"Shares of Paycom Software Inc. advanced 1.17% to $463.68 Wednesday, on what proved to be an all-around favorable trading session for the stock market, with...",https://finnhub.io/api/news?id=dc792b770c725ee02a88b5e05800c5a90b56152ec7b325fedffa667a72d0bdd0
company,1628686801,How to Find Strong Buy Computer and Technology Stocks Using the Zacks Rank,69616141,https://s.yimg.com/uu/api/res/1.2/nxwFIPS2ImeTQYZMYlnAgg--~B/aD02MDA7dz05MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/1a018a29aef5adbf5b4319f32058e209,PAYC,Yahoo,The Zacks Rank offers investors a way to easily find top-rated stocks and build a winning investment portfolio. Here's why you should take advantage.,https://finnhub.io/api/news?id=d0eca26914a49d0b73dc4fb9fae0ad255c1ef19e5dcbe90d281613e764f35a2e
company,1628615640,Paycom Software Inc. stock underperforms Tuesday when compared to competitors,69644591,https://images.mktw.net/im-220105/social,PAYC,MarketWatch,"Shares of Paycom Software Inc. shed 2.18% to $458.34 Tuesday, on what proved to be an all-around favorable trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=29eaa7dc122c7e2d84eb93e88cb753f64261b0408ff2d53e2af883e8dec26505
company,1628529240,"Paycom Software Inc. stock rises Monday, outperforms market",69644592,https://images.mktw.net/im-220105/social,PAYC,MarketWatch,"Shares of Paycom Software Inc. inched 0.45% higher to $468.56 Monday, on what proved to be an all-around poor trading session for the stock market, with the...",https://finnhub.io/api/news?id=692b3e8e7122744f1a71228b8959e20e74636da4bfa277aff41906affc41e1e4
company,1628272200,Paycom Software Stock Earns 83 Relative Strength Rating,69550509,,PAYC,Yahoo,"Paycom Software saw a positive improvement to its Relative Strength (RS) Rating on Friday, rising from 78 to 83.  IBD's unique RS Rating measures technical performance by using a 1 (worst) to 99 (best) score that indicates how a stock's price action over the last 52 weeks matches up against other publicly traded companies.",https://finnhub.io/api/news?id=8ff58c7b8dc1f3d201173fef7da4177430498b4a3665bb7de94a30d54a06df44
company,1628270040,Paycom Software Inc. stock outperforms competitors on strong trading day,69571487,https://images.mktw.net/im-220105/social,PAYC,MarketWatch,"Shares of Paycom Software Inc. rose 2.01% to $466.45 Friday, on what proved to be an all-around positive trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=51935fd92b756cf43bd384a6e4d42654642427f4d0e3d94f2f6b81490b091152
company,1628241120,Jefferies software analysts to hold analyst/industry conference call,69546647,,PAYC,Thefly.com,"Analysts Samana and Weisf... BIGC, CDAY, HUBS, NICE, PAYC, RNG",https://finnhub.io/api/news?id=6410f0693063a677b91bf3259f11027c213d04fc34ccd887e2b419b71c29b882
company,1628233200,Paycom: HR Of The Future,69539340,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1227412970/medium_image_1227412970.jpg,PAYC,SeekingAlpha,Paycom is a leader in cloud-based human capital management [HCM] delivered as Software-as-a-Service [SaaS] to businesses they serve.,https://finnhub.io/api/news?id=339aa12aa5f9df8667c69775dbfbb85989b02b86e71667eb8c84a540e889447b
company,1628203964,Why Paycom Software Stock Was Soaring This Week,69536284,,PAYC,Yahoo,"Paycom Software (NYSE: PAYC) produced a better than expected earnings report for the second quarter, sending the stock up as much as 14.4% for the week.  On Aug. 3, Paycom Software released its second-quarter earnings report.  This led Paycom's quarterly earnings per share (EPS) to hit $0.97, beating the consensus analyst estimate of $0.83.",https://finnhub.io/api/news?id=4534ab4a17d7df8f3342736a239650899e4761437c01545355603ce837e75ff4
company,1628183640,"Paycom Software Inc. stock rises Thursday, outperforms market",69538945,https://images.mktw.net/im-220105/social,PAYC,MarketWatch,"Shares of Paycom Software Inc. advanced 3.25% to $457.27 Thursday, on what proved to be an all-around positive trading session for the stock market, with the...",https://finnhub.io/api/news?id=237eeb16e8f5ac6d64dd0fc4815ffa4382e7520255035c0a78e1f29d757cbbb7
company,1628152140,PAYC Crosses Above Average Analyst Target,69523042,,PAYC,ETF Channel,"Staff article entitled PAYC Crosses Above Average Analyst Target, about ETFs, from ETF Channel.",https://finnhub.io/api/news?id=86d7863f7a001fa4cd2c6d83442fa056716dc2f3f1da41e4ab48d96f4306f60a
company,1628140680,88 Biggest Movers From Yesterday,69516718,https://cdn.benzinga.com/files/imagecache/og_image_social_share_1200x630/images/story/2012/yesterdays_movers_259.png,PAYC,Benzinga,"Gainers

BeyondSpring Inc. (NASDAQ: BYSI) shares climbed 176% to close at $26.58 on Wednesday in reaction to topline data from DUBLIN-3 Phase 3 trial evaluating plinabulin in...",https://finnhub.io/api/news?id=4da82bb03121fc7c98ea6cb43e59ec7da3a494c74d353515f70ce72df8e84683
company,1628107500,"Paycom to Virtually Present at the Oppenheimer 24th Annual Technology, Internet & Communications Conference",69504699,https://s.yimg.com/uu/api/res/1.2/FJxwZaD5amQT9KfH5arQ7Q--~B/aD00ODA7dz00ODA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/business-wire.com/fe559c9129833ed2a22a4936207b9b39,PAYC,Yahoo,"OKLAHOMA CITY, August 04, 2021--Paycom Software, Inc. (NYSE:PAYC), a leading provider of comprehensive, cloud-based human capital management software, today announced that the company will virtually present at the Oppenheimer 24th Annual Technology, Internet & Communications Conference on Tuesday, August 10, 2021 at 2:55 p.m. Eastern time.",https://finnhub.io/api/news?id=664fb51ca54b4220a3514cdac2713ed69e86e0f18621d70c8c9b8e78bab61520
company,1628105807,Why Paycom Software Stock Soared Today,69504701,https://s.yimg.com/uu/api/res/1.2/pi15jj3osY.KVkORDMXLRQ--~B/aD05MzM7dz0xNDAwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/motleyfool.com/ad2bbfadced68755849d768304db4943,PAYC,Yahoo,"Shares of software-as-a-service provider Paycom Software (NYSE: PAYC) were up by more than 10% on Wednesday after reporting second-quarter earnings that beat analysts' expectations.  Paycom released its Q2 results after the closing bell Tuesday.  The SaaS company, which provides payroll software and human capital management (HCM) solutions for businesses, has been getting a nice boost from the U.S. economic recovery.",https://finnhub.io/api/news?id=7cef8df8f10f6d7ad5f1707cd6e11c0f954f7ebba989202f0ee6d155d47dc766
company,1628097240,Paycom Software Inc. stock outperforms market on strong trading day,69538946,https://images.mktw.net/im-220105/social,PAYC,MarketWatch,"Shares of Paycom Software Inc. jumped 10.70% to $442.86 Wednesday, on what proved to be an all-around rough trading session for the stock market, with the...",https://finnhub.io/api/news?id=76a59a4f0aa7c3488940aec154ecab00bce94415ae38971df485c4f35f73338e
