category,datetime,headline,id,image,related,source,summary,url
company,1629203544,"After 18 months of unrelenting change, HR is burned out, too",69723001,https://image.cnbcfm.com/api/v1/image/106925618-1628710149659-gettyimages-965528672-img_0334.jpeg?v=1628710195,PAYX,CNBC,The burnout many people are feeling well into 2021 — at work and in life — is especially acute for some in human resources.,https://finnhub.io/api/news?id=82b2fa45052d1466cb33b00fc23d7b74b63bc4c6bdd37f9f6f2b7811ad98d4d1
company,1629185400,Paychex price target raised to $111 from $105 at JPMorgan,69700023,,PAYX,Thefly.com,JPMorgan analyst Tien-tsi... PAYX,https://finnhub.io/api/news?id=94d1df36172ba3601450bfba0592e093b90c8ae6bbb73fc9bcf6e35665e9df43
company,1629078420,"David Rolfe Plugs Into Taiwan Semiconductor, Trims Several Top Holdings",69694313,https://static.gurufocus.com/photos/others/conference_david_rolfe_speaking.jpg,PAYX,GuruFocus,Guru reports 2nd-quarter portfolio,https://finnhub.io/api/news?id=e7189bad19ec3397bff6c06ea627fcc88576b5dfc1bdd7f306676f40bb32cb66
company,1628849640,Stocks That Hit 52-Week Highs On Friday,69654377,https://cdn.benzinga.com/files/imagecache/og_image_social_share_1200x630/sites/all/themes/bz2/images/bz-icon.png,PAYX,Benzinga," 
 
During Friday's morning session, 137 companies made new 52-week highs.
Areas of Significance:

Johnson & Johnson (NYSE:JNJ) was the largest company by market...",https://finnhub.io/api/news?id=919cfcf8895b927cd8d83d2ddf6a052a70eae18899fc75129ed7e7bc069e8da4
company,1628788440,"Paychex Inc. stock falls Thursday, underperforms market",69645973,https://images.mktw.net/im-220105/social,PAYX,MarketWatch,"Shares of Paychex Inc. shed 0.21% to $116.51 Thursday, on what proved to be an all-around favorable trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=cd147cc2b96dab5a69b5c9bdb624d52db88d705d83cfe597f8949e99bb38251c
company,1628702040,Paychex Inc. stock outperforms competitors on strong trading day,69645974,https://images.mktw.net/im-220105/social,PAYX,MarketWatch,"Shares of Paychex Inc. inched 0.77% higher to $116.76 Wednesday, on what proved to be an all-around great trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=f3b4aa9463828b0da4e4d39618f5095214b85c6d85f461f7cde35d91b68f402c
company,1628615640,Paychex Inc. stock outperforms competitors on strong trading day,69606708,https://images.mktw.net/im-220105/social,PAYX,MarketWatch,"Shares of Paychex Inc. inched 0.60% higher to $115.87 Tuesday, on what proved to be an all-around favorable trading session for the stock market, with the...",https://finnhub.io/api/news?id=ab9eeb1fcf666b42fc9def012666737b1f70f0d46c93f4465ad8dd11b8188d9c
company,1628610003,G vs. PAYX: Which Stock Is the Better Value Option?,69601065,https://s.yimg.com/uu/api/res/1.2/OL7xfT5pzuzwP2wxb1pcSw--~B/aD02MjU7dz05MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/7ea641b46fe75c0a913349e5e610d6a2,PAYX,Yahoo,G vs. PAYX: Which Stock Is the Better Value Option?,https://finnhub.io/api/news?id=10bbee9edc5f7c74dfa575e606bf26e1243fb54b8fe9a37fc7cdf06cd05c8ce1
company,1628529240,Paychex Inc. stock underperforms Monday when compared to competitors,69606709,https://images.mktw.net/im-220105/social,PAYX,MarketWatch,"Shares of Paychex Inc. shed 0.20% to $115.18 Monday, on what proved to be an all-around dismal trading session for the stock market, with the S&P 500 Index...",https://finnhub.io/api/news?id=4fd79fe81da60a9829415328b19899b23c0cd8e61e540164ca576f0e185f7e8a
company,1628270040,"Paychex Inc. stock rises Friday, still underperforms market",69568759,https://images.mktw.net/im-220105/social,PAYX,MarketWatch,"Shares of Paychex Inc. inched 0.10% higher to $115.41 Friday, on what proved to be an all-around great trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=a71d9712438a819401fe4f34b1bc826e54f96ce65695389ce245904a6d8dd928
