category,datetime,headline,id,image,related,source,summary,url
company,1629200340,"Ubs Oconnor Llc Buys , , , Sells , RealPage Inc, ",69716516,,PBCT,GuruFocus,,https://finnhub.io/api/news?id=c938fae1cf713667ec54a417acf9d7a07f568d13705a5d7ca2e7237f12f3d54c
company,1629134040,People's United Financial Inc. stock underperforms Monday when compared to competitors,69687873,https://images.mktw.net/im-220105/social,PBCT,MarketWatch,"Shares of People's United Financial Inc. sank 0.92% to $16.21 Monday, on what proved to be an all-around great trading session for the stock market, with the...",https://finnhub.io/api/news?id=94cc94b9133324c2accb39d8680d22a28d72f05a4505c14764af446b5146a12b
company,1629095940,"Spring Creek Capital Llc Buys Aspen Aerogels Inc, Nuance Communications Inc, , Sells Ciena Corp, TCF Financial Corp, ",69695625,,PBCT,GuruFocus,,https://finnhub.io/api/news?id=6e16aea1e15f72ee0cf3070a71314153fe15c34752ccb5010db7f3ff80ae50ec
company,1628874840,"People's United Financial Inc. stock falls Friday, underperforms market",69661138,https://images.mktw.net/im-220105/social,PBCT,MarketWatch,"Shares of People's United Financial Inc. shed 1.51% to $16.36 Friday, on what proved to be an all-around positive trading session for the stock market, with...",https://finnhub.io/api/news?id=af271f86616060298bb6afa7871da1c5df69f970cc02a147e2855da8e908123a
company,1628788440,"People's United Financial Inc. stock falls Thursday, underperforms market",69648294,https://images.mktw.net/im-220105/social,PBCT,MarketWatch,"Shares of People's United Financial Inc. dropped 0.60% to $16.61 Thursday, on what proved to be an all-around favorable trading session for the stock market,...",https://finnhub.io/api/news?id=1369de56f67fcdd1c33502e05cfcfa003a9f38968add9d604e5e3a30fb279211
company,1628702040,People's United Financial Inc. stock outperforms competitors on strong trading day,69648295,https://images.mktw.net/im-220105/social,PBCT,MarketWatch,"Shares of People's United Financial Inc. rose 1.95% to $16.71 Wednesday, on what proved to be an all-around favorable trading session for the stock market,...",https://finnhub.io/api/news?id=cf358a0be1b96c308a77cb6162c72c144b87878e6e9601c7a35c46c8c528d15a
company,1628668080,PBCT Crosses Above Average Analyst Target,69616724,,PBCT,ETF Channel,"Staff article entitled PBCT Crosses Above Average Analyst Target, about ETFs, from ETF Channel.",https://finnhub.io/api/news?id=18cea0d60de1b1661ed9bfe0b1758a84fb15d6d80764305701735335fc9bab87
company,1628615640,People's United Financial Inc. stock outperforms market on strong trading day,69648296,https://images.mktw.net/im-220105/social,PBCT,MarketWatch,"Shares of People's United Financial Inc. rose 1.11% to $16.39 Tuesday, on what proved to be an all-around positive trading session for the stock market, with...",https://finnhub.io/api/news?id=38eb358eda0373d17a2cccdafd99df6a5589e30f0435fac71079b209248268ae
company,1628577882,27 Ideal Dividends To Buy Now Per Ben Graham's Formula,69592851,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1331994647/medium_image_1331994647.jpg,PBCT,SeekingAlpha,"These 35 Graham formula picks were screened as of August 5, 2021. 27 matched the dogcatcher ideal of dividend from $1k invested exceeding share price.",https://finnhub.io/api/news?id=8d36e582f5b818d47383387389bc0b1363aa86f86a91000844d66a5589fb0b8e
company,1628545543,People's United Financial Closing Out With Some Soft Notes,69588321,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1250581414/medium_image_1250581414.jpg,PBCT,SeekingAlpha,"People's United isn't ending on a particularly strong note, with second quarter earnings that were below expectations on the pre-provision level, and similar to its acquirer M&T Bank.",https://finnhub.io/api/news?id=874c7432d2f121c41e687f072763c72448d41ba6b310628f006cfd01bb776e11
company,1628529240,People's United Financial Inc. stock outperforms competitors despite losses on the day,69648297,https://images.mktw.net/im-220105/social,PBCT,MarketWatch,"Shares of People's United Financial Inc. dropped 0.25% to $16.21 Monday, on what proved to be an all-around grim trading session for the stock market, with...",https://finnhub.io/api/news?id=4c240774ae3da517541fc7e7b133aaf17a56858f145c64ba3e49f3b2a992ff70
company,1628516716,A Bad Quarter Offers a Good Opportunity to Get In on This Historically Strong Bank Stock,69582943,,PBCT,Yahoo,This bank has struggled in 2021 and now trades at a historically low valuation that could present a good buying opportunity.,https://finnhub.io/api/news?id=223e0a2df39493334147aac37ffeee2223f93eb5a62a55bf162ed41bc8f69bad
company,1628502479,Dividend Champions On Sale - The August 2021 Heat Map,69578510,,PBCT,SeekingAlpha,,https://finnhub.io/api/news?id=893fa366d503d0208a91cb8c53b005109078aaab3227720b6d402b4a25b8d62c
company,1628326800,"Webster Financial Looks Undervalued On Its Post-Merger Potential, But It Has To Convince A Skeptical Market",69561368,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1283871051/medium_image_1283871051.jpg,PBCT,SeekingAlpha,"Webster Financial had a pretty good second quarter, and there looks to be real strength emerging again in the commercial lending operations.",https://finnhub.io/api/news?id=4dbe1f342d78860741248745cad4ee3ee3553e785a041f96246875867c6a3cb6
company,1628270040,"People's United Financial Inc. stock rises Friday, outperforms market",69554796,https://images.mktw.net/im-220105/social,PBCT,MarketWatch,"Shares of People's United Financial Inc. rallied 2.85% to $16.25 Friday, on what proved to be an all-around positive trading session for the stock market,...",https://finnhub.io/api/news?id=6768183f19692f4be023d200b6151404a1139617f410e33805adc354c6fb5ae3
company,1628222040,"S&P 500, Dow Notch Records as Jobs Report Renews Optimism on Recovery By Investing.com",69561861,https://i-invdn-com.investing.com/news/LYNXNPEC1N10U_L.jpg,PBCT,Investing.com,"S&P 500, Dow Notch Records as Jobs Report Renews Optimism on Recovery",https://finnhub.io/api/news?id=058845d9240017b999092071920e0371ea8309de6e86322aec298a2282e67bc6
company,1628212020,"S&P 500, Dow Remain Near Records as Cyclicals Gain on Stronger Jobs Report By Investing.com",69561862,https://i-invdn-com.investing.com/news/LYNXMPEE0G158_L.jpg,PBCT,Investing.com,"S&P 500, Dow Remain Near Records as Cyclicals Gain on Stronger Jobs Report",https://finnhub.io/api/news?id=5d78af2bb41384f706c5b7d3976bf651f1c1d44b65bbb20066de0bb2fd109353
company,1628183640,People's United Financial Inc. stock outperforms competitors on strong trading day,69554797,https://images.mktw.net/im-220105/social,PBCT,MarketWatch,"Shares of People's United Financial Inc. rallied 1.02% to $15.80 Thursday, on what proved to be an all-around positive trading session for the stock market,...",https://finnhub.io/api/news?id=e9e2f6f3ddd07efef626bbccfad3e960b5b7d51ce25ebc4a1368d995080d2613
company,1628134278,NOBL: Dividend Aristocrats ETF Review,69510552,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/514107715/medium_image_514107715.jpg,PBCT,SeekingAlpha,"NOBL has been tracking the S&P 500 Dividend Aristocrats Index since 10/09/2013. Click here to read more about NOBL's strategy and portfolio, past performance, valuation and quality metrics.",https://finnhub.io/api/news?id=94041f04076383c4da1773c7b462a11625809f8804ba7365ea1502599223f49d
company,1628097240,"People's United Financial Inc. stock falls Wednesday, underperforms market",69554798,https://images.mktw.net/im-220105/social,PBCT,MarketWatch,"Shares of People's United Financial Inc. shed 1.94% to $15.64 Wednesday, on what proved to be an all-around dismal trading session for the stock market, with...",https://finnhub.io/api/news?id=8bb719f50e7c220054ce7b5027dbf49945ae67801fd7d94f23b6f931b6a9108a
company,1628079900,6 Stocks with Big Payouts and Less Risk,69500509,https://images.barrons.com/im-379797/social,PBCT,MarketWatch,"High dividend yields are great for equity income investors, but it is possible to get too much of a good thing.",https://finnhub.io/api/news?id=e7cf03e77eff53c1a9d2fee816ad23d4d8ebbd8690d06cd10c1c3a3b6e03222f
company,1628078820,M&T Bank's Acquisition Of People's United Raises Red Flags Over Massive Job Cuts,69503109,https://cdn.benzinga.com/files/imagecache/og_image_social_share_1200x630/images/story/2012/hand-65688_1920.jpg,PBCT,Benzinga,"M&T Bank Corporation's (NYSE: MTB) proposed $7 billion acquisition of People's United Financial, Inc. (NYSE: PBCT) is sparking a new wave of apprehension among elected...",https://finnhub.io/api/news?id=84d26f164b63530860b21e4868bf90f2b011becddfb7ba2e3c809f68d3094f8c
company,1628072227,The 102 Most Reliable Dividends On Earth For August,69490542,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1097327574/medium_image_1097327574.jpg,PBCT,SeekingAlpha,These 102 select dividend stocks ranged 0.16%-8.75% in annual dividend yield. Click here to see the full list of the world's most reliable dividends.,https://finnhub.io/api/news?id=ebbb2da84fecbb5e92d60da41ae5535f1b5f85d692309d37eba998143959c27a
company,1628010840,People's United Financial Inc. stock outperforms competitors on strong trading day,69500510,https://images.mktw.net/im-220105/social,PBCT,MarketWatch,"Shares of People's United Financial Inc. rose 2.05% to $15.95 Tuesday, on what proved to be an all-around favorable trading session for the stock market,...",https://finnhub.io/api/news?id=5bf6b3e2568bdebc1233a231027c0e116a2810d6dc8f033240ca80e493aafd7e
company,1627985196,Kiplinger Outstanding August Dividend Dogs Feature 9 Primed To Buy,69465269,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1269161333/medium_image_1269161333.jpg,PBCT,SeekingAlpha,"From May to December 2020, Kiplinger Today listed five sets of dividend stocks sorted as favorites, super-safe, durable, centenarian, and MoPays.",https://finnhub.io/api/news?id=5b530cbf7342d93963b4efefd00ede459e8a64f0d948691fb62eaf6c7ebe977f
company,1627924440,People's United Financial Inc. stock underperforms Monday when compared to competitors,69500511,https://images.mktw.net/im-220105/social,PBCT,MarketWatch,"Shares of People's United Financial Inc. slumped 0.45% to $15.63 Monday, on what proved to be an all-around dismal trading session for the stock market, with...",https://finnhub.io/api/news?id=464ba7724f4378cd9bea987a5af43083bb1631bb2d40f20c3393ca5ad8ca500b
company,1627665240,People's United Financial Inc. stock underperforms Friday when compared to competitors,69500512,https://images.mktw.net/im-220105/social,PBCT,MarketWatch,"Shares of People's United Financial Inc. slipped 1.07% to $15.70 Friday, on what proved to be an all-around grim trading session for the stock market, with...",https://finnhub.io/api/news?id=ebd435dc7f4e96d03541ef07a568f1e807acb4ee8404a46f347503720a24ddd8
company,1627578840,People's United Financial Inc. stock underperforms Thursday when compared to competitors despite daily gains,69398573,https://images.mktw.net/im-220105/social,PBCT,MarketWatch,"Shares of People's United Financial Inc. inched 0.78% higher to $15.87 Thursday, on what proved to be an all-around great trading session for the stock...",https://finnhub.io/api/news?id=d907c05a3f566c348f7862d20e4acd691bd674ff5ffd8e8d81b7339989a1b3f1
company,1627492440,"People's United Financial Inc. stock falls Wednesday, underperforms market",69398574,https://images.mktw.net/im-220105/social,PBCT,MarketWatch,"Shares of People's United Financial Inc. sank 0.06% to $15.93 Wednesday, on what proved to be an all-around grim trading session for the stock market, with...",https://finnhub.io/api/news?id=a976bcd0f180c5cc5eb86def6defb2ef56bd5b66e920c416d50048630b4a5ac0
company,1627410132,M&T Bank Battered And Bruised As Pre-Provision Earnings Disappoint,69346387,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1183877742/medium_image_1183877742.jpg,PBCT,SeekingAlpha,"M&T Bank posted an ugly second quarter, but the shares look meaningfully undervalued on the basis of mid-single-digit long-term core earnings growth.",https://finnhub.io/api/news?id=4b07c12450fe6a0f2c459a6e108435f74bba62a6793fb9b81b3c3cd60bd9afa8
