category,datetime,headline,id,image,related,source,summary,url
company,1629201600,"PepsiCo Announces ""Net Water Positive"" Commitment",69706724,https://s.yimg.com/uu/api/res/1.2/D72G2WEDmy5ZFWIIjqCt_Q--~B/aD0xNjU7dz00MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/prnewswire.com/649383c262caf046f42201e58c6be00f,PEP,Yahoo,"Today, PepsiCo, Inc. (NASDAQ:PEP) announced its ambition to become ""Net Water Positive"" by 2030, aiming to replenish more water than the company uses, which would place it among the most water-efficient food or beverage manufacturers operating in high-risk watersheds.",https://finnhub.io/api/news?id=7b699d0e851ef15a77af9cab98c7449a14b20abbbf1171b21bf23fe9e5749200
company,1629187200,"PepsiCo Announces ""Net Water Positive"" Commitment",69700275,,PEP,PR Newswire,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=514968e3a70885e42dcfd607c551915c8aa7a4a9c89bdf1e4ef40fc4bab4b7d8
company,1629185580,6 Great Ways To Hedge Your Portfolio From The Pending Market Crash,69717147,,PEP,TalkMarkets,,https://finnhub.io/api/news?id=0b5e84094e6c34fdd4180b66ddc97d2092b23dd7f31c38165de9c252b0931116
company,1629183840,PepsiCo targets 'Net Water Positive' by 2030,69700276,,PEP,Thefly.com,PepsiCo announced its amb... PEP,https://finnhub.io/api/news?id=f55d9826a9f932117bb8b0bd83039a815720925478f72510d7b188a7073dcfa4
company,1629180002,Los Angeles Lakers trade Gatorade for BioSteel to fill team's bench sponsorship,69692550,https://image.cnbcfm.com/api/v1/image/106886531-1621601215518-gettyimages-1232995057-121_05192021_warriors_lakers_pantozzi_0930.jpeg?v=1621601247,PEP,CNBC,BioSteel will have exposure on the Lakers bench and in-arena signage at Staples Center. Beverage deals with top NBA teams can range up to $5 million per year.,https://finnhub.io/api/news?id=11f7904045b1d684a67b2fd90562278dfdf077fc89a23c99bf88c048da891d5c
company,1629141025,Jim Cramer says Fed policy tightening should be low on list of investor worries,69687112,https://image.cnbcfm.com/api/v1/image/104766841-IMG_9442r-jim-cramer.jpg?v=1507753257,PEP,CNBC,CNBC's Jim Cramer said Monday that investors shouldn't base every buy and sell decision on predictions of Federal Reserve policy moves.,https://finnhub.io/api/news?id=152929e9df0c9462c02899b3f298841dc55a6e97599f02a520da98b40c1b4ecf
company,1629135643,Oat milk shortage about to end? Oatly CEO weighs in,69682997,https://s.yimg.com/ny/api/res/1.2/Q9UV_Jtr_uadaKp2yp54HQ--/YXBwaWQ9aGlnaGxhbmRlcjt3PTIwMDA7aD0xMzMz/https://s.yimg.com/os/creatr-uploaded-images/2021-06/9c372290-cd32-11eb-9af7-7fe62bd98c5a,PEP,Yahoo,Oatly CEO Toni Petersson chats with Yahoo Finance fresh off second quarter earnings. Is the oat milk shortage ending?,https://finnhub.io/api/news?id=1b73e3fbc412e729a39d059fe1bdfe64bdd60bd75a2dfb55ed841f24cc7a3055
company,1629115433,PepsiCo: Growth May Be Slowing But It Is Still A Buy,69681353,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1282574257/medium_image_1282574257.jpg,PEP,SeekingAlpha,"Growth for PepsiCo is slowing, but the company is doing a wonderful job with acquisitions. Read more to see why I think PEP stock is still a buy.",https://finnhub.io/api/news?id=597d8e7243e0f62bb39b1aa00e869d5769b0fd36b0f843c6a1bfa461cb33e5f4
company,1629104081,Kraft Heinz: This Buffet Play Is A Long-Term Buy,69678696,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/51213833/medium_image_51213833.jpg,PEP,SeekingAlpha,Kraft is in the low growth phase of the business lifecycle. The stock is currently trading at historic lows.,https://finnhub.io/api/news?id=58a3e55540f5d4c0c634389b43c2b64de1aa34da1635a94cbbb1e15a7a9a70fa
company,1629095940,"Triton Wealth Management, PLLC Buys Schwab US Dividend Equity ETF, NVIDIA Corp, First Trust Technology AlphaDEX Fund, Sells First Trust US Equity Opportunities ETF, ARK Next Generation Internet ETF, Norwegian Cruise Line Holdings",69694615,,PEP,GuruFocus,,https://finnhub.io/api/news?id=5e6b15b6c0705b085a1686795a7b370827f140d39656f1d9ecd3aa3a6b411094
company,1629088740,"Nli International Inc Buys Accenture PLC, PepsiCo Inc, Intel Corp, Sells American Electric Power Co Inc, Cerner Corp, Goldman Sachs Group Inc",69696655,,PEP,GuruFocus,,https://finnhub.io/api/news?id=06cf245090f56000a2a41a2d57a93ef558c7442c26b03f3f2de0895d34d9987a
company,1629084018,PepsiCo Inc: Fully Priced But Very Manageable Risks,69677566,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1326187119/medium_image_1326187119.jpg,PEP,SeekingAlpha,"PepsiCo is a quintessential example of a dividend growth stock. Given its wide yield spread and safe dividend, the stock is very suitable for risk-averse investors and income investors.",https://finnhub.io/api/news?id=86bf3ad5896920a3f2a2f6ab69dd0b2fcb21666d78150a0c284907c16dba3218
company,1629081886,"PepsiCo: Still Juicy, With Or Without Juices",69677570,,PEP,SeekingAlpha,,https://finnhub.io/api/news?id=dd785fd6347c1127a544960b413d310a3aac6f21575855f801d0bb69e697aa6f
company,1628891409,PepsiCo (PEP) Outpaces Stock Market Gains: What You Should Know,69662720,https://s.yimg.com/uu/api/res/1.2/9tpS8u8rAmiEoUItmUZeOA--~B/aD02MDE7dz05MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/090f58c1efbe3555b861102525e50b39,PEP,Yahoo,"PepsiCo (PEP) closed the most recent trading day at $156.52, moving +0.94% from the previous trading session.",https://finnhub.io/api/news?id=99e0bec9eb27443aba26af6f48ed96a81958ff70039d016d9cb045f3e0fa9cb0
company,1628874900,PepsiCo Inc. stock underperforms Friday when compared to competitors despite daily gains,69677480,https://images.mktw.net/im-220105/social,PEP,MarketWatch,"Shares of PepsiCo Inc. inched 0.94% higher to $156.52 Friday, on what proved to be an all-around favorable trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=b4ee0e5279fb6226c937e3026b92094541bf891479bf1d86ddee31987ee74f5c
