category,datetime,headline,id,image,related,source,summary,url
company,1629195300,"Shanghai Softness: China's Weakness Spills Into US Trading, With Tech Under Pressure",69696540,https://cdn.benzinga.com/files/imagecache/og_image_social_share_1200x630/images/story/2012/city-5000648_1920_3.jpg,PG,Benzinga,"If the phrase, “Never sell a dull market” needs a perfect example, yesterday might be the one. We had a really impressive rally despite very little market-related news...",https://finnhub.io/api/news?id=164b9ef65c5515d85c661ef28ccc17df3cceb66e0542adaaff36a27d1eb5ad46
company,1629167940,"Gluskin Sheff & Assoc Inc Buys Barrick Gold Corp, NRG Energy Inc, WM Technology Inc, Sells iShares Russell 2000 ETF, iShares iBoxx USD Investment Grade Corporate Bond , SPDR S&P Regional Banking ETF",69716610,,PG,GuruFocus,,https://finnhub.io/api/news?id=90326b9d2e551865b3fadad8b13f0d265a885b3d0ec57f676a89c2611361c5a3
company,1629109784,Why Walmart stock has suddenly popped ahead of earnings,69678510,https://s.yimg.com/ny/api/res/1.2/3uzmaDDJ1Xk8Fo7CzkuakQ--/YXBwaWQ9aGlnaGxhbmRlcjt3PTIwMDA7aD0xMzMz/https://s.yimg.com/os/creatr-images/2019-02/fec62200-3534-11e9-ad7f-b4b7ab6b48c0,PG,Yahoo,Walmart's stock has come on strong ahead of the company's closely watched second quarter earnings report. Here's why.,https://finnhub.io/api/news?id=925c55126caf2ac7c77568eb01cbd15698b45b0c932789a9ff3c2b1f48f39d43
company,1629098160,Procter & Gamble Co (PG) CEO - Grooming Gary A Coombe Sold $1.9 million of Shares,69696818,,PG,GuruFocus,,https://finnhub.io/api/news?id=5ea147436218b45492198b260f028d32d84452c3877d91902cdba87edd5349d1
company,1629095940,"Wambolt & Associates, LLC Buys Apple Inc, iShares 0-5 Year High Yield Corporate Bond ETF, SPDR S&P 400 Mid Cap Value ETF, Sells ISHARES TRUST, Taiwan Semiconductor Manufacturing Co, Sherwin-Williams Co",69696415,,PG,GuruFocus,,https://finnhub.io/api/news?id=dc76f43bf7d5cd14764d4e06f7e77a50609af9a1731924180420e1663fbbeae2
company,1629085927,Week 33 MDA Breakout Stocks - August 2021: Short-Term Picks To Give You An Edge,69677563,,PG,SeekingAlpha,,https://finnhub.io/api/news?id=20d37a80a71dc0e4aacef4d3fae1a7b8861d848975a095b6969bebd119edd8a3
company,1629085140,"Waycross Partners, Llc Buys DexCom Inc, Intuitive Surgical Inc, NetApp Inc, Sells Microsoft Corp, Goldman Sachs Group Inc, Bank of America Corp",69695043,,PG,GuruFocus,,https://finnhub.io/api/news?id=fc91a4eca0e53b904940e095c499e4257256443e89be88fb4a4ef1187cc539c3
company,1629081540,"Quantitative Value Technologies, Llc Buys Coca-Cola Co, Microsoft Corp, S&P 500 ETF TRUST ETF, Sells Northrop Grumman Corp, Willis Towers Watson PLC, Tyson Foods Inc",69694748,,PG,GuruFocus,,https://finnhub.io/api/news?id=08d0f9eb8d291f1bdf14cdb39e40f9a8c86d0538f95facb57560c7cfb1328930
company,1628881620,U.S. Consumer Spending Preview: Q2 2021,69660534,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1246323239/medium_image_1246323239.jpg,PG,SeekingAlpha,"As U.S. retailers and restaurants report Q2 2021 earnings, bulk of them will be facing easiest comparisons from a year ago, when government required brick and mortar stores to close.",https://finnhub.io/api/news?id=342439cb83de2afcd1ef25bb0819fe5b13fe8b49fcea5104112e1d54d23676e7
company,1628874900,Procter & Gamble Co. stock underperforms Friday when compared to competitors despite daily gains,69667432,https://images.mktw.net/im-220105/social,PG,MarketWatch,"Shares of Procter & Gamble Co. inched 0.48% higher to $143.64 Friday, on what proved to be an all-around favorable trading session for the stock market, with...",https://finnhub.io/api/news?id=a9ef451d236651cc7cefd9dad96bb5d47870c35726aef3ee2330a246ed6a4fe7
company,1628866932,Tent Mender Leads Viewers On Journey of Self-Discovery,69656750,,PG,Yahoo,P&G and Tide Film Partnership Leads To Creation of First Permanent Tide Loads of Hope Laundry Room,https://finnhub.io/api/news?id=d04698a5232004345ae57ee5b3ee570e9b4ec29d9965aa403a7acef679846eed
