category,datetime,headline,id,image,related,source,summary,url
company,1629226980,Parker Hannifin Corp. stock underperforms Tuesday when compared to competitors,69714916,https://images.mktw.net/im-220105/social,PH,MarketWatch,"Shares of Parker Hannifin Corp. slipped 0.89% to $296.34 Tuesday, on what proved to be an all-around poor trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=c6f3ec4fbcd32e9a2b05f1845bbadd1847ca8140e913f763615b9bc2fba637ba
company,1629185266,XLI: Industrials Dashboard For August,69692689,,PH,SeekingAlpha,,https://finnhub.io/api/news?id=525c507fc375be237b769e39d04f531f8dfe850f2c84617547754c9bc6fc2a64
company,1629137051,If You Like EPS Growth Then Check Out Parker-Hannifin (NYSE:PH) Before It's Too Late,69684000,https://s.yimg.com/uu/api/res/1.2/q0yRN_h1fYD6SjjSkWx5lg--~B/aD00MzI7dz0xMTk0O2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/simply_wall_st__316/4afa9747177650711578ccd57242a6b7,PH,Yahoo,"Like a puppy chasing its tail, some new investors often chase 'the next big thing', even if that means buying 'story...",https://finnhub.io/api/news?id=9ceb10353cc4dde9bc2b28c59098d2f3293c7ca2294e45b47c0f2506c3d22197
company,1629134100,"Parker Hannifin Corp. stock rises Monday, outperforms market",69685781,https://images.mktw.net/im-220105/social,PH,MarketWatch,"Shares of Parker Hannifin Corp. rallied 2.05% to $299.00 Monday, on what proved to be an all-around great trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=be9baab9f0f8ee6775a91c3f62d3d0fcb1412c4fe7ca2ef28f1831a126b659a8
company,1629103138,Meggitt takeover advisors set to rake in £200m in bumper payday,69678522,https://s.yimg.com/ny/api/res/1.2/p9AuvxWFrNOckrVLJHOAWQ--/YXBwaWQ9aGlnaGxhbmRlcjt3PTIwMDA7aD0xMjkx/https://s.yimg.com/os/creatr-uploaded-images/2021-08/0d63cbb0-fe68-11eb-8ffb-5e586662a309,PH,Yahoo,Citibank is set to be paid £59m of that total from lending money on the Parker side of the deal.,https://finnhub.io/api/news?id=466e553ae888e5c0317cd6eeea26cab7dac9842e3e4643cec6fec0b6e1881078
company,1629101489,UPDATE 1-Meggitt suitor TransDigm has until Sept. 14 to make rival offer,69680092,https://s.yimg.com/cv/apiv2/social/images/yahoo_default_logo-1200x1200.png,PH,Yahoo,"Meggitt suitor TransDigm has been given a deadline of Sept. 14 by the UK Takeover Panel to formalise a counter bid for the British engineering company or walk away.  The group, which supplies wheels and brakes for aeroplanes, agreed a 6.3 billion pound ($8.7 billion) takeover offer from U.S.-based engineer Parker-Hannifin in early August, in the latest example of corporate America's appetite for British companies.  Days later, Meggitt said it had also been approached by U.S. aircraft components and systems maker TransDigm, at a possible 900 pence per share, higher than Parker-Hannifin's 800 pence level.",https://finnhub.io/api/news?id=0493198b8959a7230d68aff97b5bc6194a56edfd5d711dc9f5223f727a39397f
company,1629097200,Parker Aerospace Named Supplier of the Year by Commercial Aircraft Corporation of China for Support of COMAC’s ARJ21 Aircraft,69684003,https://s.yimg.com/uu/api/res/1.2/Rubp7T8fstIl9cfudLi5ZQ--~B/aD0zNjQ7dz00ODA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/business-wire.com/ecd56858eba3214b2ce0d50874968e7b,PH,Yahoo,"CLEVELAND, August 16, 2021--Customer Support Operations honored for teamwork between Parker Aerospace’s global OEM division and Parker Aerospace China",https://finnhub.io/api/news?id=e82d30a12072c3bc7d371618376c3730674d8a9400b35a2344b9ed52200576bf
company,1629094695,Meggitt publishes Parker-Hannifin takeover documents,69680093,https://s.yimg.com/cv/apiv2/social/images/yahoo_default_logo-1200x1200.png,PH,Yahoo,"Britain's Meggitt said that it published the scheme document for its recommended takeover by Parker-Hannifin, as the process for that offer continues despite the possibility of a higher bid coming in from U.S. rival TransDigm.  Megggitt, which makes components for aircraft, said on Monday that Britain's Takeover Panel is due to announce a deadline by which TransDigm must clarify its intentions.  A meeting to vote on the offer from Parker-Hannifin is set for Sept. 21.",https://finnhub.io/api/news?id=1876a0eaf60a4cbed15d3d964c6039899d74f2f510e216cc28d34a18a74ad8f2
company,1629087300,TOP NEWS: Meggitt backs Parker bid as takeover vote set for September,69679991,,PH,Alliance News,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=d42d97251140fb45825c844f1ce85cae00537c4e0636a92d7d87dc6397e93f3f
company,1629086460,"S&P 500, Dow Cuts Losses to Close at Record Highs Ahead of Powell By Investing.com",69694765,https://i-invdn-com.investing.com/news/LYNXNPEB7N0OT_L.jpg,PH,Investing.com,"S&P 500, Dow Cuts Losses to Close at Record Highs Ahead of Powell",https://finnhub.io/api/news?id=26118968885c5f27f32b520b2f2e090a56e1e0c80b0dc87befd10096a695be97
company,1629082800,Parker Aerospace Named Supplier of the Year by Commercial Aircraft Corporation of China for Support of COMAC’s ARJ21 Aircraft,69679992,,PH,Business Wire,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=78ddd6a3fcf50c3b995ecffbe5c4dc00ced04c3134180e17cae2c8494406a710
company,1629082620,S&P 500 Cuts Losses to Clinch Record Highs By Investing.com,69694770,https://i-invdn-com.investing.com/news/LYNXNPEC2D15L_L.jpg,PH,Investing.com,S&P 500 Cuts Losses to Clinch Record Highs,https://finnhub.io/api/news?id=40ce9a0f216a860b01a00871f1cae3f0f578892d6c07c4c22cae0de6ef8ef582
company,1629075369,The Retirees' Dividend Portfolio: John And Jane's July Taxable Account Update,69677576,,PH,SeekingAlpha,,https://finnhub.io/api/news?id=29c5405a9a97e0e59a78459b971eed457ee0815e61e720d525aa10a2cbe8902c
