category,datetime,headline,id,image,related,source,summary,url
company,1629226980,"PulteGroup Inc. stock falls Tuesday, underperforms market",69711582,https://images.mktw.net/im-220105/social,PHM,MarketWatch,"Shares of PulteGroup Inc. slid 3.97% to $52.45 Tuesday, on what proved to be an all-around rough trading session for the stock market, with the S&P 500 Index...",https://finnhub.io/api/news?id=e65c60d98c12a69772c448643f17bfd88b484120b37be58599b9dd85761f788a
company,1629226467,"As homebuilder stocks sell off, analyst lays out key level to watch",69709162,https://image.cnbcfm.com/api/v1/image/106878844-16202502362021-05-05t134857z_948671508_rc2p9n9lj0ga_rtrmadp_0_usa-economy-housing-florida.jpeg?v=1620250296,PHM,CNBC,Homebuilder stocks sell off after sentiment weakened and Home Depot disappointed with comparable sales. J.C. O'Hara of MKM Partners shares one level to watch.,https://finnhub.io/api/news?id=1a64cb8727974f42b5e6d7038d9095ae3e23bfcfe5518203a4f5ace3cdac65e2
company,1629212849,"David Tepper's Appaloosa trims equity holdings, sells off Disney, PayPal stakes while adding Uber, Pulte bets",69699881,,PHM,Yahoo,"David Tepper's Appaloosa LP disclosed late Monday that it reduced its investment in nearly all of its holdings during the second quarter, as the value of equities held by the hedge fund declined by about 31%. The value of Appaloosa's equity holdings as of June 30 was $4.83 billion, down from $6.96 billion as of March 31, even as the S&P 500 rose 8.2% during that period. Among the fund's largest holdings, the Micron Technology Inc. stake was reduced to 5.65 million shares from 7.28 million shares",https://finnhub.io/api/news?id=2b8e7febe8e08f28b145b508f1f55cbe260a282adcb8a38cdec37f744de7c34e
company,1629201600,PulteGroup Integrating Innovative Technology to Help Customers Furnish their New Home,69705127,,PHM,Yahoo,"ATLANTA, August 17, 2021--From contemporary desert homes in Arizona, to modern farmhouse designs in Texas, to breezy coastal-inspired décor in Florida, the in-house design team at PulteGroup (NYSE: PHM) professionally decorates over 425 homes each year. Now the homebuilder is making it easy for its customers to achieve a designer look in their new home. With MINE x Pulte, an online interior design service, homebuyers can buy the same furniture and décor pieces that Pulte Interiors features in it",https://finnhub.io/api/news?id=9dce5cf444efdb63739d9ac400859cb95135c8e6ddbf84c3ccd53f79a964a8df
company,1629198449,"David Tepper's Appaloosa trims equity holdings, sells off Disney, PayPal stakes while adding Uber, Pulte bets",69711538,https://s.wsj.net/public/resources/MWimages/MW-GP644_MicroS_ZG_20180906154215.jpg,PHM,MarketWatch,"David Tepper's Appaloosa LP disclosed late Monday that it reduced its investment in nearly all of its holdings during the second quarter, as the value of...",https://finnhub.io/api/news?id=fcb6338f0db1eceaabd36ff02923eb28f0447b2b939e85a619d973af95d5cefc
company,1629194400,Home-builder confidence sinks to lowest level in over a year as home prices soar,69707983,https://images.mktw.net/im-386723/social,PHM,MarketWatch,Builders fear that prospective home buyers are being scared away due to sticker shock.,https://finnhub.io/api/news?id=b625ac660e9ceff7b7d1e6367ce5a1ff29c075eaa7e29103119109bd87b6bd83
company,1629187200,PulteGroup Integrating Innovative Technology to Help Customers Furnish their New Home,69694162,,PHM,Business Wire,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=8f7680734f27ffd7f2c54db48c86aa74109ba20dcfb58b1a765976115b639327
company,1629134160,PulteGroup Inc. stock outperforms market on strong trading day,69711585,https://images.mktw.net/im-220105/social,PHM,MarketWatch,"Shares of PulteGroup Inc. inched 0.52% higher to $54.62 Monday, on what proved to be an all-around great trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=313e68b9cdc7f27a1a9706c7b39f25e23f23eadb0fcd83e4ab89034aeea34137
company,1629083940,"Appaloosa adds Uber, cuts T-Mobile in Q2",69694163,,PHM,Thefly.com,"David Tepper's Appal... UBER, PHM, BODY, TCVA, CRM, ADBE, DIS, PYPL, IQ, MOS, PCG, MU, TMUS, AMZN, CHK, FB, GOOG, FCX",https://finnhub.io/api/news?id=306b0cb996f10fdc9f12ced142ee222fe620b3b2e68f37a09fc621d372e1a7ce
company,1628874900,PulteGroup Inc. stock underperforms Friday when compared to competitors,69661110,https://images.mktw.net/im-220105/social,PHM,MarketWatch,"Shares of PulteGroup Inc. slumped 0.22% to $54.34 Friday, on what proved to be an all-around favorable trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=a6963a2e2f08c58df7173ca4fd874dfffef87190f6e6a40f3e5e676650af3c24
