category,datetime,headline,id,image,related,source,summary,url
company,1629183600,Papyrus Therapeutics Inc. Announces Additions to Its Board of Directors,69696035,,PKI,Business Wire,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=5f726b97d066a8c03f27d072e7f0aeabb24e39b48f5c50e9434589856380427d
company,1629137985,Investing in PerkinElmer (NYSE:PKI) five years ago would have delivered you a 237% gain,69688942,https://s.yimg.com/uu/api/res/1.2/qUsXHnhTq9BjFq.vX6I3sw--~B/aD00MzI7dz0xMTk0O2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/simply_wall_st__316/b7362375b2727bfdfe4eb144bcc3fe6a,PKI,Yahoo,"When you buy shares in a company, it's worth keeping in mind the possibility that it could fail, and you could lose...",https://finnhub.io/api/news?id=e43912e8380c5e0ed0919b15fdeca67040565b8ce3ad267b507e5db92011d371
company,1629134160,PerkinElmer Inc. stock outperforms market on strong trading day,69693557,https://images.mktw.net/im-220105/social,PKI,MarketWatch,"Shares of PerkinElmer Inc. inched 0.82% higher to $184.61 Monday, on what proved to be an all-around favorable trading session for the stock market, with the...",https://finnhub.io/api/news?id=e89ed5874b5d3763d443cc0b3963bab66d126c5825aa879df8b0d8110e196783
company,1628874960,"PerkinElmer Inc. stock rises Friday, outperforms market",69693558,https://images.mktw.net/im-220105/social,PKI,MarketWatch,"Shares of PerkinElmer Inc. inched 0.45% higher to $183.11 Friday, on what proved to be an all-around great trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=8d37657beb52afeb4f23d213752389870cffa1763a238bef09e128352327b786
company,1628859901,Here's Why You Should Hold on to PerkinElmer (PKI) Stock Now,69655224,https://s.yimg.com/uu/api/res/1.2/hV9HqOxsOkZmaD4xyKkWQw--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/abdb684baba7aff1209cd5ff357d8a0e,PKI,Yahoo,"PerkinElmer (PKI) continues to gain momentum on the back of a solid product portfolio and improving margins. However, forex woes linger.",https://finnhub.io/api/news?id=af336e0c25eb0752a8e0e8ef11fb737c1cb3c9d50ca8305c59e2b6c491b3b31c
company,1628788560,PerkinElmer Inc. stock outperforms market on strong trading day,69693559,https://images.mktw.net/im-220105/social,PKI,MarketWatch,"Shares of PerkinElmer Inc. rose 1.71% to $182.29 Thursday, on what proved to be an all-around great trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=0a8e8b54acac9552896a7ab783e91c7cef4c2279d51c1abb08233a4c3cc3df4a
company,1628766780,"Video: Daily Dividend Report: PKI,NOC,EBAY,YUM,DLR,RCKY",69655212,,PKI,Market News Video,"I'm sorry, the URL you requested does not exist on marketnewsvideo - om.",https://finnhub.io/api/news?id=3507a958e6a08c996dcca08abbe547e86c8dfb204f86d45973c245528bbf4625
company,1628740575,XLV: Healthcare Dashboard For August,69630198,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1281832252/medium_image_1281832252.jpg,PKI,SeekingAlpha,A dashboard with metrics in healthcare industries. Click here to read about XLV and a list of cheap stocks.,https://finnhub.io/api/news?id=6ec3a8274d3d31f0b2c7ccc59b74fbb37467e961c863343366d6b62207326b29
company,1628702160,"PerkinElmer Inc. stock falls Wednesday, underperforms market",69693560,https://images.mktw.net/im-220105/social,PKI,MarketWatch,"Shares of PerkinElmer Inc. slipped 2.33% to $179.23 Wednesday, on what proved to be an all-around favorable trading session for the stock market, with the...",https://finnhub.io/api/news?id=a2d249a6ed505385289f3367f56d2a2262caaccb99ab9251cd1cfec19d059fdf
company,1628701500,Parkland Corporation Announces August 2021 Dividend,69637436,,PKI,GlobeNewswire,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=c40aab34c496bd55a08fc77100f358d98791b0d1a287c6eb02840c6d34bcfbc7
