category,datetime,headline,id,image,related,source,summary,url
company,1629213399,"Prologis, Inc.'s (NYSE:PLD) Stock is Soaring But Financials Seem Inconsistent: Will The Uptrend Continue?",69703511,https://s.yimg.com/uu/api/res/1.2/SmGj2VIm3yNfOSW01bwFhw--~B/aD00MzI7dz0xMTk0O2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/simply_wall_st__316/e7ca257fc9ee5d26e86cb333ccaf6dec,PLD,Yahoo,Prologis (NYSE:PLD) has had a great run on the share market with its stock up by a significant 16% over the last three...,https://finnhub.io/api/news?id=83c3e9f8f629e98441c0863ba9f77fcde5e32799dc747a3a5ff16ce11acfd727
company,1629203940,"Waterfront Capital Partners, LLC Buys Prologis Inc, Spirit Realty Capital Inc, Fifth Wall Acquisition Corp I, Sells Alexandria Real Estate Equities Inc, Four Corners Property Trust Inc, VEREIT Inc",69716505,,PLD,GuruFocus,,https://finnhub.io/api/news?id=515e3da5ef092f7b87a9be76c1df4827ac7a0a4b69cb1fe232f72029fb45de09
company,1629203412,Here's How Much You'd Have If You Invested $1000 in Prologis a Decade Ago,69703512,https://s.yimg.com/uu/api/res/1.2/eeFsK50..hTdRBoBNDEyoA--~B/aD03MTE7dz05MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/d2f7ed3d1940141716bfd200f5c94c6b,PLD,Yahoo,"Why investing for the long run, especially if you buy certain popular stocks, could reap huge rewards.",https://finnhub.io/api/news?id=dd9ed9a6b76228b2627c06cc75b98196d49ffba24c7dfa3201023ee78471338d
company,1629171540,"Neo Ivy Capital Management Buys AMETEK Inc, Carnival Corp, Global Payments Inc, Sells Danaher Corp, Commercial Metals Co, Marsh & McLennan Inc",69717178,,PLD,GuruFocus,,https://finnhub.io/api/news?id=ebe03015c0cd0b1aae9d3d1839af9da07518cadbdd9c5ed5f9c21cb48732b627
company,1629134160,Prologis Inc. stock underperforms Monday when compared to competitors despite daily gains,69693546,https://images.mktw.net/im-220105/social,PLD,MarketWatch,"Shares of Prologis Inc. rose 1.30% to $133.69 Monday, on what proved to be an all-around favorable trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=0c0d4d3f854f515fd5caaf8469c7841fb3554e1c4162078fac7fcdb0aa4eba76
company,1629108720,Stocks That Hit 52-Week Highs On Monday,69681210,https://cdn.benzinga.com/files/imagecache/og_image_social_share_1200x630/sites/all/themes/bz2/images/bz-icon.png,PLD,Benzinga," 
 
Before 10 a.m. ET on Monday, 71 companies hit new 52-week highs.
Highlights:

Apple (NASDAQ:AAPL) was the largest firm on a market cap basis to set a new 52-week...",https://finnhub.io/api/news?id=e10fab9752a2b5aa4ad163aaf81bc173c5a834f76fc2b8d34c3840afb6c3f22f
company,1629088740,"Banco de Sabadell, S.A Buys Prologis Inc, Goldman Sachs Group Inc, Newmont Corp, Sells Microsoft Corp, Amazon.com Inc, Apple Inc",69695088,,PLD,GuruFocus,,https://finnhub.io/api/news?id=3beea120907065a9d93a34f6bf99652ebf033ce5e260034b2318d02a91ef5589
company,1629081540,"Brasada Capital Management, Lp Buys Churchill Downs Inc, SBA Communications Corp, Entegris Inc, Sells Tyler Technologies Inc, Crown Castle International Corp, Invesco BulletShares 2021 Corporate Bond ETF",69695737,,PLD,GuruFocus,,https://finnhub.io/api/news?id=b90ed54e4b6088a53c45e47689dce7fc57eda4b244e43455db6ee96b03052921
company,1628874960,"Prologis Inc. stock rises Friday, outperforms market",69672766,https://images.mktw.net/im-220105/social,PLD,MarketWatch,"Shares of Prologis Inc. rallied 1.47% to $131.98 Friday, on what proved to be an all-around positive trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=08fa527d53e8caa2329d0c33436a7e84f575dee792a5ffb401a0ff4d32736854
company,1628849640,Stocks That Hit 52-Week Highs On Friday,69654377,https://cdn.benzinga.com/files/imagecache/og_image_social_share_1200x630/sites/all/themes/bz2/images/bz-icon.png,PLD,Benzinga," 
 
During Friday's morning session, 137 companies made new 52-week highs.
Areas of Significance:

Johnson & Johnson (NYSE:JNJ) was the largest company by market...",https://finnhub.io/api/news?id=919cfcf8895b927cd8d83d2ddf6a052a70eae18899fc75129ed7e7bc069e8da4
company,1628838000,STAG Has Swag,69650643,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1147628687/medium_image_1147628687.jpg,PLD,SeekingAlpha,"Within the REIT universe, the industrial sector represents around $172 billion of market capitalization. Those we follow have returned about 27% year-to-date. STAG has returned 35.8%.",https://finnhub.io/api/news?id=803954503cc35a50b8df5cdc2daf765df32c9de24900624e39020a801f29bc3d
company,1628788560,Prologis Inc. stock outperforms competitors on strong trading day,69672767,https://images.mktw.net/im-220105/social,PLD,MarketWatch,"Shares of Prologis Inc. inched 0.91% higher to $130.07 Thursday, on what proved to be an all-around positive trading session for the stock market, with the...",https://finnhub.io/api/news?id=efe14a869ba41037fb53fde972438d643dc87f9d1fc2b63c01e96ee8b7919907
company,1628741700,This Growing Gambling REIT Yields 4.8%,69659360,https://images.barrons.com/im-383595/social,PLD,MarketWatch,"VICI Properties offers a generous payout. And with two big acquisitions announced this year, it’s expanding its footprint on the Sunset Strip and ready to...",https://finnhub.io/api/news?id=33412d32590ce05f49b64d8bda6ad22953b8a5ab73392e5f3fb800157c6bdc4b
company,1628702160,Prologis Inc. stock underperforms Wednesday when compared to competitors,69672769,https://images.mktw.net/im-220105/social,PLD,MarketWatch,"Shares of Prologis Inc. slumped 0.35% to $128.90 Wednesday, on what proved to be an all-around favorable trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=566ab8f46b15e73dc37b487d11036ea22a67f3307a1fe6b8719ef0f0e9e1ca94
company,1628615760,Prologis Inc. stock outperforms competitors despite losses on the day,69605347,https://images.mktw.net/im-220105/social,PLD,MarketWatch,"Shares of Prologis Inc. shed 0.51% to $129.35 Tuesday, on what proved to be an all-around positive trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=60351febdd4fc42d2c30f0dcf4df737d1f1af67506e468e1e233d9e37769be08
company,1628567700,Prologis management to meet with KeyBanc,69598445,,PLD,Thefly.com,Meeting to be held in New... PLD,https://finnhub.io/api/news?id=44e17e39f1fa21f032e47ce4677d2969290aae10174bacb7f19a1124321102d4
company,1628529360,"Prologis Inc. stock rises Monday, outperforms market",69605348,https://images.mktw.net/im-220105/social,PLD,MarketWatch,"Shares of Prologis Inc. inched 0.23% higher to $130.01 Monday, on what proved to be an all-around poor trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=fc164288089c1080ffa20223989b425b9dd26e4a1413f8a5c03b7b4f2e344e2c
company,1628420400,"Rents Paid, Dividends Raised",69570916,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/614972576/medium_image_614972576.jpg,PLD,SeekingAlpha,Real estate equities continued their strong performance; 9 more REITs announced dividend increases this week. Click here to read our Real Estate Weekly Outlook.,https://finnhub.io/api/news?id=5bd64a26e8db948088bb32df2ee90e211c4b4d89428b89f1b319d43a190d733a
company,1628379582,Plymouth Industrial REIT: Set To Soar And Too Cheap To Ignore,69567924,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1217026295/medium_image_1217026295.jpg,PLD,SeekingAlpha,Plymouth Industrial REIT has weathered the current environment rather well and is seeing robust leasing spreads. Click here to see why I assign a Buy rating for this REIT.,https://finnhub.io/api/news?id=0e0cbd1bf82b74884111b3bc1ee53ba2c6acff2c97db272cca795e0d50f7d9b0
company,1628357258,"Barron's Latest Picks And Pans: LyondellBasell, Prologis, Royal Dutch Shell And More",69566787,https://s.yimg.com/uu/api/res/1.2/kb79hNbGTlJkChvJdkCzXA--~B/aD00MDA7dz02MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/Benzinga/041905d05d9d73745b4ab164718d6f82,PLD,Yahoo,"This weekend's Barron's offers investors advice on how to play the return to work trend. Other featured articles discuss overlooked infrastructure picks and how the reopening trade is affecting bank, HVAC and various tech stocks. Also, see the prospects for an oil supermajor, a consumer products picks, a real estate investment trust and a plastics giant. ""Stocks to Play a Return to the Office—When It Comes"" by Daren Fonda explores how the Delta variant is upending return-to-work plans for compan",https://finnhub.io/api/news?id=d6a85e2311d7b9b5099c1e57a4b7340828c94ad274bc967e8556f561321bbc4c
company,1628299200,More E-Commerce Means More Warehouses. That’s a Reason to Buy Stock in This Leading REIT.,69558057,,PLD,Yahoo,Prologis’ total annual return of 28% over the past three years more than makes up for its relatively skimpy dividend. Here’s why it’s a winner among real estate investment trusts.,https://finnhub.io/api/news?id=708b4d0b0a98c9e670b7357b6f5eb944aa7470040dee2bc582ade666423fb808
company,1628270160,"Prologis Inc. stock falls Friday, underperforms market",69557090,https://images.mktw.net/im-220105/social,PLD,MarketWatch,"Shares of Prologis Inc. slipped 0.57% to $129.71 Friday, on what proved to be an all-around great trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=79ed7cffdaeb242eb98a019cdda5db7e9fc2cdeecc44cbfc317c6358bde9a57a
company,1628261398,Why Lexington Property Is The Best Bargain In Industrial,69550343,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1171592572/medium_image_1171592572.jpg,PLD,SeekingAlpha,Lexington Property has done an admirable job of transitioning its portfolio towards primarily industrial properties.,https://finnhub.io/api/news?id=bfe161db8d45a0a78d6bd2e6d62725adc1274347b094afcb3aed22e5aecebe0b
company,1628244000,REIT Earnings Recap: Mega-Mergers And Roaring Rents,69542053,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1149958306/medium_image_1149958306.jpg,PLD,SeekingAlpha,REIT earnings season has provided critical information on the state of the real estate industry. Read more to see how the REITs have performed in 2Q.,https://finnhub.io/api/news?id=2e6f53833aad9ecff9c36fe5a765d5cdfc8f68121a17c4456734c143bc7edacc
company,1628190540,REIT Prologis Is Reaping the Rewards of E-Commerce,69527801,,PLD,Yahoo,Prologis’ total annual return of 28% over the past three years more than makes up for its relatively skimpy dividend. Here’s why it’s a winner among real estate investment trusts.,https://finnhub.io/api/news?id=0628a622f00c6df829cbcc171252f51c70bd7bf44ef84f41386c57fa32229b1c
company,1628183760,Prologis Inc. stock outperforms market on strong trading day,69557091,https://images.mktw.net/im-220105/social,PLD,MarketWatch,"Shares of Prologis Inc. rose 1.20% to $130.45 Thursday, on what proved to be an all-around great trading session for the stock market, with the S&P 500 Index...",https://finnhub.io/api/news?id=e74999fbb18669182d8f8ad096ec42a22faf18d6d35f5b6e22f446b9608a1094
company,1628176140,More E-Commerce Means More Warehouses. That’s a Reason to Buy Stock in This Leading REIT.,69557043,https://images.barrons.com/im-380803/social,PLD,MarketWatch,Prologis’ total annual return of 28% over the past three years more than makes up for its relatively skimpy dividend. Here’s why it’s a winner among real...,https://finnhub.io/api/news?id=76de2f114fd98d463be993e522554e8fe5fcdd0a6a5f432c07f76713a0b3d8bf
company,1628174462,"Iron Mountain (IRM) Beats on Q2 FFO, Increases '21 View",69520839,https://s.yimg.com/uu/api/res/1.2/k801.RUJ07Ee7atwPd.DSQ--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/f54f709ae65e32f6086a21eeef8d44f3,PLD,Yahoo,Iron Mountain's (IRM) Q2 results reflect resiliency in the core storage business and the service segment. The company also raises the guidance for 2021.,https://finnhub.io/api/news?id=786e52c7ff603590f2a46f90e323e5c5a134bcfefa2082e2fbc7a315116ec285
company,1628146800,Realty Income Is The Ultimate Pandemic-Proof SWAN,69512551,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1159672431/medium_image_1159672431.jpg,PLD,SeekingAlpha,Realty Income is my largest stock holding and that's correlated to the fact that I sleep well at night (aka SWAN). See why I say Realty Income is the ultimate Pandemic Proof SWAN!,https://finnhub.io/api/news?id=8efe7266c3dadf48c8d9b1fdc08d9e89386f2d99dd6e9e66a0fad3c9222859d3
company,1628097360,"Prologis Inc. stock falls Wednesday, underperforms market",69557092,https://images.mktw.net/im-220105/social,PLD,MarketWatch,"Shares of Prologis Inc. slumped 0.59% to $128.90 Wednesday, on what proved to be an all-around rough trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=35697951adb9ce251694a9303dee8e559e94271ea432c2520e597eb9a0cfe9d7
company,1628010960,"Prologis Inc. stock rises Tuesday, outperforms market",69557093,https://images.mktw.net/im-220105/social,PLD,MarketWatch,"Shares of Prologis Inc. inched 0.94% higher to $129.67 Tuesday, on what proved to be an all-around positive trading session for the stock market, with the...",https://finnhub.io/api/news?id=d3ada68653a1b6569d15e200b96966571c1bcd69624d1f49476f256770d3dbdb
company,1627995631,3 Safe REITs to Buy in August,69473705,,PLD,Yahoo,"Real estate investment trusts (REITs) are generally considered a safer bet than the average equity investment in the stock market.  The COVID-19 pandemic has deeply disrupted the economy, including shuttering -- in many cases, permanently -- stores and restaurants, while emptying hotels and offices, and generally wreaking havoc on (and tragically, ending for many) life here in America.  Just how much of a return will become clearer in the weeks ahead, but in the meantime here are three REITs to consider that offer good reasons to be considered safe bets for August buys.",https://finnhub.io/api/news?id=bdd0b476c952651e493440295d9bbf10c9108d6c9c50ff7774c8d7410dda6283
company,1627995540,Prologis management to meet with KeyBanc,69493658,,PLD,Thefly.com,Meeting to be held in New... PLD,https://finnhub.io/api/news?id=0fda7a187b20129ddd41a98b6acc0dd393c7ae1d883bf3e3cf4b9f5dc98bf7b2
company,1627975560,Prologis price target raised to $144 from $130 at RBC Capital,69471153,,PLD,Thefly.com,RBC Capital analyst Micha... PLD,https://finnhub.io/api/news?id=785388f3b1cb9982ac58cf0e5e0ece4a5a12bc47bb4f4661cac539edd2cd3a37
company,1627924560,Prologis Inc. stock underperforms Monday when compared to competitors despite daily gains,69557094,https://images.mktw.net/im-220105/social,PLD,MarketWatch,"Shares of Prologis Inc. inched 0.33% higher to $128.46 Monday, on what proved to be an all-around rough trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=81db241945dd9794ed766f865191313ce6e22540298f074eef7253eff48ac05f
company,1627912200,"Prologis: A Strong Ecommerce Play, But Is It Overvalued?",69451652,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1163916840/medium_image_1163916840.jpg,PLD,SeekingAlpha,"Prologis is the largest logistic REIT in the U.S. with well-placed facilities and a strong development initiative. Find out if PLD stock is a buy, sell, or hold.",https://finnhub.io/api/news?id=181011c3c23bbc63f3f347ef0aab6990b8e8d320b557f2b47e1d0f3211b61f92
company,1627911001,Prologis (PLD) Boasts Earnings & Price Momentum: Should You Buy?,69453151,https://s.yimg.com/uu/api/res/1.2/XFzKRSTb2_xUaLSOCP9.Bg--~B/aD02MDI7dz05MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/a41b81fe729c761f3f94f42ff348f70c,PLD,Yahoo,"Finding strong, market-beating stocks with a positive earnings outlook becomes easier with the Focus List, a top feature of the Zacks Premium portfolio service.",https://finnhub.io/api/news?id=75ce55151443b53c63bc0b258036836cf642c7b53eb00deb89a5d7e14049bc8f
