category,datetime,headline,id,image,related,source,summary,url
company,1629227100,"Pinnacle West Capital Corp. stock rises Tuesday, outperforms market",69713015,https://images.mktw.net/im-220105/social,PNW,MarketWatch,"Shares of Pinnacle West Capital Corp. inched 0.01% higher to $80.15 Tuesday, on what proved to be an all-around dismal trading session for the stock market,...",https://finnhub.io/api/news?id=9ac1a224c60accc14d1bbd92d6bb459f6bfe620336c7555d031149965af2e439
company,1629134220,Pinnacle West Capital Corp. stock outperforms market on strong trading day,69695124,https://images.mktw.net/im-220105/social,PNW,MarketWatch,"Shares of Pinnacle West Capital Corp. inched 0.45% higher to $80.14 Monday, on what proved to be an all-around favorable trading session for the stock...",https://finnhub.io/api/news?id=212e33b122cde9dfef92cf3d7f9942ee74cbda17ea52b85541511854354471b9
company,1629085140,"Rare Infrastructure Ltd Buys SBA Communications Corp, Canadian National Railway Co, CenterPoint Energy Inc, Sells Pinnacle West Capital Corp, CSX Corp, NextEra Energy Partners LP",69694981,,PNW,GuruFocus,,https://finnhub.io/api/news?id=8593b4b7f5854a7ed1cdf67d55a75dc87cb9956b50d11d26df999f0a4fa1e0cb
company,1628879346,FirstEnergy (FE) Gains From Investments & Clean Energy Goals,69663329,https://s.yimg.com/uu/api/res/1.2/Ubiv7rFVd_DjCSbkkgz16w--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/3923621f08ea71af5625e3b27511ee03,PNW,Yahoo,FirstEnergy's (FE) strong residential customer base and capital activities to develop infrastructure along with its focus on reducing emissions are likely to drive earnings.,https://finnhub.io/api/news?id=3be4bc6c3eb81691be84f2c1e41115d59341d254c6607eb6540abb9b8a91e87f
company,1628875020,"Pinnacle West Capital Corp. stock rises Friday, still underperforms market",69672765,https://images.mktw.net/im-220105/social,PNW,MarketWatch,"Shares of Pinnacle West Capital Corp. inched 0.14% higher to $79.78 Friday, on what proved to be an all-around positive trading session for the stock market,...",https://finnhub.io/api/news?id=92600a213e250e6febf4972b8a8e54146cd54d5dca78550dfcd100b850cbe00c
company,1628788620,Pinnacle West Capital Corp. stock underperforms Thursday when compared to competitors,69644599,https://images.mktw.net/im-220105/social,PNW,MarketWatch,"Shares of Pinnacle West Capital Corp. shed 0.91% to $79.67 Thursday, on what proved to be an all-around positive trading session for the stock market, with...",https://finnhub.io/api/news?id=70773f48a73f073059e8448c53f4029806da6b3b4f71ec15ffd324cc92a4cc58
company,1628702220,"Pinnacle West Capital Corp. stock rises Wednesday, still underperforms market",69623985,https://images.mktw.net/im-220105/social,PNW,MarketWatch,"Shares of Pinnacle West Capital Corp. inched 0.09% higher to $80.40 Wednesday, on what proved to be an all-around favorable trading session for the stock...",https://finnhub.io/api/news?id=e2ad241a059715883f03f834d43b920484fec248d6779b4279e7a6cd7d107c31
company,1628675820,July 2022 Options Now Available For Pinnacle West Capital (PNW),69618360,,PNW,Stock Options Channel,"Staff article entitled July 2022 Options Now Available For Pinnacle West Capital (PNW), about stock options, from Stock Options Channel.",https://finnhub.io/api/news?id=7fd1e984d53278db15e57be1ff774e8c46a75f5d6f7abe4a0c939f6bfd06fabf
company,1628634427,Nicholas Ward's Dividend Growth Portfolio: July 2021 Update,69608093,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1272890161/medium_image_1272890161.jpg,PNW,SeekingAlpha,My passive income was up 3.76% y/y in July. My portfolio's total returns were 3.74% in July.,https://finnhub.io/api/news?id=9292b486622e65aef54e6a42c2b3cb2115792462875bba67450d0553822ae847
company,1628615820,"Pinnacle West Capital Corp. stock rises Tuesday, still underperforms market",69623986,https://images.mktw.net/im-220105/social,PNW,MarketWatch,"Shares of Pinnacle West Capital Corp. inched 0.01% higher to $80.33 Tuesday, on what proved to be an all-around great trading session for the stock market,...",https://finnhub.io/api/news?id=e00de51043fff439e3553ceae861abadaf88ad9fd34fa68596599c87f865cf6a
company,1628529420,"Pinnacle West Capital Corp. stock falls Monday, still outperforms market",69591969,https://images.mktw.net/im-220105/social,PNW,MarketWatch,"Shares of Pinnacle West Capital Corp. slid 0.02% to $80.32 Monday, on what proved to be an all-around grim trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=cb40770b728dd659df0ddc459ca1161d2abe8605f83f71ff22fd7440beae6f22
company,1628494260,Why Pinnacle West Capital Is a Top 10 Utility Dividend Stock (PNW),69579302,,PNW,Energy Stock Channel,"energy stock channel,PNW,",https://finnhub.io/api/news?id=2d0563f6482553d8c3293aba8b36cc1db3c7800a324f32878bab6d73acd8c8f0
company,1628484965,Pinnacle West Capital Corporation 2021 Q2 - Results - Earnings Call Presentation,69576234,https://static.seekingalpha.com/assets/og_image_1200-29b2bfe1a595477db6826bd2126c63ac2091efb7ec76347a8e7f81ba17e3de6c.png,PNW,SeekingAlpha,The following slide deck was published by Pinnacle West Capital Corporation in conjunction with their 2021 Q2 earnings call.,https://finnhub.io/api/news?id=deb7e52f5284b097c168fbdb7c5ef8f27b7f1e732dc9e86f0a484fc0dc6ce493
company,1628270220,"Pinnacle West Capital Corp. stock rises Friday, outperforms market",69554815,https://images.mktw.net/im-220105/social,PNW,MarketWatch,"Shares of Pinnacle West Capital Corp. advanced 1.11% to $80.34 Friday, on what proved to be an all-around favorable trading session for the stock market,...",https://finnhub.io/api/news?id=47903a7d11d3cb47aa84151275cfd501ba17e49715c959b42d3d77ad536db29d
company,1628238290,High Yield Stock Watchlist - August 2021,69540163,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/639811602/medium_image_639811602.jpg,PNW,SeekingAlpha,There are 15 stocks on my high yield watchlist for August 2021. Seven of the stocks on my watchlist are currently undervalued based on dividend yield theory.,https://finnhub.io/api/news?id=6c7fee24e6e7fec8bdc2131bdcb5d55679e47745516afdeadc3f2580aa5e0fc9
company,1628224740,"Reaves W H & Co Inc Buys Exelon Corp, Ameren Corp, Americold Realty Trust, Sells Eversource Energy, Southwest Gas Holdings Inc, TELUS Corp",69561653,,PNW,GuruFocus,,https://finnhub.io/api/news?id=283495a7d2dd6e89847ac66f30aa2767ca283469d7ee53c4a9fd6371303d2d46
company,1628190097,Pinnacle West Capital Corporation (PNW) Q2 2021 Earnings Call Transcript,69526484,,PNW,Yahoo,"It is now my pleasure to introduce your host Stefanie Layton, Director of Investor Relations.  Jim Hatfield, Chief Administrative Officer; Barbara Lockwood, Senior Vice President, Public Policy; and Jacob Tetlow, Executive Vice President Operations are also here with us.",https://finnhub.io/api/news?id=c4e09fc1038e5a67058b6091590163636ab4a01282223b4db26ddb8e9566a9d5
company,1628187068,Pinnacle West Capital Corp (PNW) CEO Jeffrey Guldner on Q2 2021 Results - Earnings Call Transcript,69529441,https://static.seekingalpha.com/assets/og_image_1200-29b2bfe1a595477db6826bd2126c63ac2091efb7ec76347a8e7f81ba17e3de6c.png,PNW,SeekingAlpha,"Pinnacle West Capital Corp (NYSE:PNW) Q2 2021 Earnings Conference Call August 05, 2021, 12:00 ET Company Participants Stefanie Layton - Director, IR Jeffrey Guldner - Chairman, President...",https://finnhub.io/api/news?id=c76988cc8f7eb2beeb711c68b1c22428abe2f0ec8ff331c1b10220cc88764f52
company,1628184545,Pinnacle West's (PNW) Q2 Earnings & Revenues Beat Estimates,69526394,https://s.yimg.com/uu/api/res/1.2/k801.RUJ07Ee7atwPd.DSQ--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/f54f709ae65e32f6086a21eeef8d44f3,PNW,Yahoo,"Pinnacle West Capital (PNW) reports better-than-expected second-quarter results. On the back of strong customer growth and a favorable weather, earnings and revenues improve on a year-over-year basis.",https://finnhub.io/api/news?id=1f0869471c622f71034fc650c23012f1d318af03db94bd3a93a448ef75abf96c
company,1628183820,"Pinnacle West Capital Corp. stock rises Thursday, outperforms market",69554817,https://images.mktw.net/im-220105/social,PNW,MarketWatch,"Shares of Pinnacle West Capital Corp. rose 1.62% to $79.46 Thursday, on what proved to be an all-around positive trading session for the stock market, with...",https://finnhub.io/api/news?id=d01fede32d20fc2ea3d0a5fd0c78e20f4c41e25f382cbc1dcc3aa89108133ad6
company,1628172302,Pinnacle West (PNW) Q2 Earnings and Revenues Surpass Estimates,69526486,https://s.yimg.com/uu/api/res/1.2/M2z0wFqvnPw7eaLU0tPuyQ--~B/aD02MzY7dz05MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/0c6f98f4bf655bec3b199bc1a71b8b85,PNW,Yahoo,"Pinnacle West (PNW) delivered earnings and revenue surprises of 17.18% and 8.49%, respectively, for the quarter ended June 2021. Do the numbers hold clues to what lies ahead for the stock?",https://finnhub.io/api/news?id=c93f75f54db914c04c48b92248dd37f45055ea6c5ab42b2171f2d5985567a38c
company,1628167200,Pinnacle West Reports 2021 Second-Quarter Results,69514058,https://s.yimg.com/uu/api/res/1.2/xUsGScynge8dKxgX6Pipyg--~B/aD0yMTM7dz0zODE7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/business-wire.com/3345b86e2679190e02af262f93a57950,PNW,Yahoo,"PHOENIX, August 05, 2021--Higher retail electricity sales and strong customer growth drive improved second-quarter 2021 results at Pinnacle West Capital Corp.",https://finnhub.io/api/news?id=25a3da62d227bd84580358d80248d9aa3bf9118621aca1f734e2fb89d746919d
company,1628162520,Wall Street in Fives - Must Read Lists at Midday,69541398,https://image.thefly.com/catalog/201810/img_66.png,PNW,Thefly.com,"Five top five lists with the news and calls moving stocks, powered by The Fly. PENN, SCR, VNE, BKNG, HOOD, OPFI, GSK, TEVA, GENI, CVS, JNJ, SFTBY, ASTR, OCGN, GOGO, DDOG, W, GPRE, NVRO, KPTI, FSLY, FVRR, ETSY, ROKU, EA, ADTN, PNW, WMT, CAR, RVLV, CAH, WDC, UBER, QCOM",https://finnhub.io/api/news?id=dea6554600627903062ab88c4985fe5b93479c0bb9245d262a0a101401b6c1ff
company,1628154120,Pinnacle West: Q2 Earnings Snapshot,69520091,,PNW,"Associated Press, The",Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=c328d4c35d567ef305ffffe6d2f3fc41287d765be01edb45f4de9f936b932c4d
company,1628152800,Pinnacle West Reports 2021 Second-Quarter Results,69520092,,PNW,Business Wire,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=e5bee96573339964657e364f9816e99ec82bff8fec423c215688e6b1d7b7e5c8
company,1628149500,"Pinnacle West reports Q1 EPS $1.91, consensus $1.58",69520093,,PNW,Thefly.com,"Reports Q2 revenue $1B, c... PNW",https://finnhub.io/api/news?id=c6f6d152885a5889cfb113112d202496450a6d3c9d1aae93210a2864ed475680
