category,datetime,headline,id,image,related,source,summary,url
company,1629203940,"Krueger & Catalano Capital Partners, LLC Buys Freedom Day Dividend ETF, Eli Lilly and Co, Pool Corp, Sells Qualcomm Inc, The Walt Disney Co, Hormel Foods Corp",69716841,,POOL,GuruFocus,,https://finnhub.io/api/news?id=d4649ff1fddd1da59bfdbafe788b835582f0c84123fb0d674430c13d08685bce
company,1628868456,Pool (POOL) Presents At Jefferies Industrials Conference - Slideshow,69658739,https://static.seekingalpha.com/assets/og_image_1200-29b2bfe1a595477db6826bd2126c63ac2091efb7ec76347a8e7f81ba17e3de6c.png,POOL,SeekingAlpha,The following slide deck was published by Pool Corporation in conjunction with this event.,https://finnhub.io/api/news?id=66f4d6b63a06a7e3435c38e1bde29b9841433ccc5620ee75c7e148859c148b6e
company,1628700304,3 Reasons Why Growth Investors Shouldn't Overlook Pool Corp. (POOL),69627522,https://s.yimg.com/uu/api/res/1.2/6Ex_CnpNXcMseRWMhPXBow--~B/aD01ODg7dz05MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/3496571a811465d910e99bd171c71a94,POOL,Yahoo,"Pool Corp. (POOL) possesses solid growth attributes, which could help it handily outperform the market.",https://finnhub.io/api/news?id=37d6bdeafd66f754fea6b36bb60c97e05d3201ebe5b366a47cf76765ae3164ef
company,1628654100,Pool Corp. management to meet virtually with Sidoti,69614614,,POOL,Thefly.com,Virtual Meeting to be hel... POOL,https://finnhub.io/api/news?id=698c414d030baa384fe2f34bbf5ed7d218efc8346a83d3a41ee89178426e7630
company,1628557800,7 Consumer Discretionary Stocks to Buy That Are Booking Record Profits,69614000,https://investorplace.com/wp-content/uploads/2019/08/consumerdiscretionary1600a.jpg,POOL,InvestorPlace,All kinds of companies have been reporting record profits in recent weeks. Here are seven of the best consumer discretionary stocks to buy.,https://finnhub.io/api/news?id=52ddc90b00f09314297657a5fb6fa89e9dc5e93fc4f49a77eb002181fae3a8be
company,1628499780,Pool Company’s Stock Is on the Diving Board ,69591874,https://images.wsj.net/im-381841/social,POOL,DowJones,"Low interest rates, the work-from-home wave and the exodus to the Sunbelt have led to a boom in residential swimming-pool construction that the wholesaler is perfectly situated to serve. ",https://finnhub.io/api/news?id=38441e5975d48f38d309c83c740d300f901ff3c0a52c7366a71edd910df4199f
company,1628388424,Dividend Champion And Contender Highlights: Week Of August 8,69568615,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1072593728/medium_image_1072593728.jpg,POOL,SeekingAlpha,A weekly summary of dividend activity for Dividend Champions and Contenders. Companies which changed their dividends. Companies with upcoming ex-dividend dates.,https://finnhub.io/api/news?id=f26cffbb3af02ff855098aafb565db5f260e504cd2b34119cf37f99869e96bb4
company,1627920004,Pool Corp. (POOL) Upgraded to Strong Buy: Here's What You Should Know,69459770,https://s.yimg.com/uu/api/res/1.2/xopQugjeNyS1VO21qlHkcQ--~B/aD02NzU7dz05MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/3cb5117fc22f5e37890d1860dcd61f9f,POOL,Yahoo,"Pool Corp. (POOL) might move higher on growing optimism about its earnings prospects, which is reflected by its upgrade to a Zacks Rank #1 (Strong Buy).",https://finnhub.io/api/news?id=0d055e2071137e078ae60a8d3e2f7e0edfcf7bbaa5250eca131b5e8c01826d90
company,1627897500,Pool Corp. management to meet virtually with Sidoti,69449663,,POOL,Thefly.com,Virtual Meeting to be hel... POOL,https://finnhub.io/api/news?id=f71209063738b661bf4f8e16803bd7b290a2d081d454f339140dbbc15d89d9db
company,1627639380,Stocks That Hit 52-Week Highs On Friday,69405776,https://cdn.benzinga.com/files/imagecache/og_image_social_share_1200x630/sites/all/themes/bz2/images/bz-icon.png,POOL,Benzinga," 
 
On Friday morning, 154 companies achieved new highs for the year.
Significant Points:

The largest company by market cap to break to a new 52-week high was Nike (...",https://finnhub.io/api/news?id=9d6a78bdf3603269682bc1efec3438ef0faf50fcf663b4f5a676cc30a8f5c1e6
