category,datetime,headline,id,image,related,source,summary,url
company,1629180900,3 Undervalued Dividend Stocks to Buy For High Total Returns,69695923,https://investorplace.com/wp-content/uploads/2019/07/dividends-tech.jpg,PRGO,InvestorPlace,"Deep value dividend stocks aren't just cheap; they have high yields and higher growth potential, a potent mix for any investor's portfolio.",https://finnhub.io/api/news?id=771e6077f2497c0b8be30f23e20253dbf24b1b68daa7ca1838debe809aaf06b4
company,1629028860,Israel stocks higher at close of trade; TA 35 up 0.24% By Investing.com,69679123,https://i-invdn-com.investing.com/news/LYNXMPEE0D09K_L.jpg,PRGO,Investing.com,Israel stocks higher at close of trade; TA 35 up 0.24%,https://finnhub.io/api/news?id=65a1336661589aecf46736495c27feec0bffdce3a6bdb76b40f80393fbbd61ce
company,1628887302,Why Perrigo Stock Tumbled 16% This Week,69660015,https://s.yimg.com/uu/api/res/1.2/DUMUImtvqaWnaDYcofpxZA--~B/aD05MzM7dz0xNDAwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/motleyfool.com/66cafc8fc444aa5a75a26dadf15ce831,PRGO,Yahoo,"What happened Shareholders of consumer-focused healthcare company Perrigo (NYSE: PRGO) had a week to forget, as their stock plummeted by over 16% across the Monday-Friday span. The company delivered lackluster quarterly earnings, which were quickly followed by several price-target cuts from analysts.",https://finnhub.io/api/news?id=b9c46a30a96cb5e2054bb7a286239cd8154ced265163b4ed7009482c079950cd
company,1628875020,Perrigo Co. PLC stock underperforms Friday when compared to competitors,69670305,https://images.mktw.net/im-220105/social,PRGO,MarketWatch,"Shares of Perrigo Co. PLC slipped 0.80% to $40.95 Friday, on what proved to be an all-around positive trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=b03c04dc13941f9d3e19b739c30fc588694eaa7ef20ff38e1e486d60a0d95ceb
company,1628870007,Stocks Continue Ascent Despite Dour Consumer Survey: What Moved Markets This Week,69658941,https://static.seekingalpha.com/uploads/2021/8/13/2021_08_13.jpeg,PRGO,SeekingAlpha,Watch Seeking Alpha editors discuss the week in markets in the roundtable video.,https://finnhub.io/api/news?id=63c57a8bd7ad57625613fad06934657e0980af52c49d6bf1ea83509bcba2fad1
company,1628788620,"Perrigo Co. PLC stock falls Thursday, underperforms market",69670306,https://images.mktw.net/im-220105/social,PRGO,MarketWatch,"Shares of Perrigo Co. PLC slipped 3.98% to $41.28 Thursday, on what proved to be an all-around favorable trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=8d28ca3a6de1cf3afa0d1746e774cd3528fd427bfe749d19464872033f14d05c
company,1628764320,RSI Alert: Perrigo Now Oversold,69637685,,PRGO,Dividend Channel,"dividend channel,PRGO,",https://finnhub.io/api/news?id=96da663b265e19a3d8d320eac25f5f11f82148ab55b02822183489f76876a601
company,1628756100,Perrigo price target lowered to $48 from $51 at RBC Capital,69637686,,PRGO,Thefly.com,RBC Capital analyst Danie... PRGO,https://finnhub.io/api/news?id=17c718b6bdada5a0b3d866d23ae37e7c67ba65880026abec0055250b1f1c337f
company,1628746020,66 Biggest Movers From Yesterday,69635335,https://cdn.benzinga.com/files/imagecache/og_image_social_share_1200x630/images/story/2012/yesterdays_movers_264.png,PRGO,Benzinga,"Gainers

Rani Therapeutics Holdings, Inc. (NASDAQ: RANI) shares jumped 50.5% to close at $20.74 on Wednesday. The company, last month, priced its IPO at $11 per share.
Dyadic...",https://finnhub.io/api/news?id=113459457b11eb1ffd1ace77123f18e27743372142f758b17e6e3cb7b129a114
company,1628714928,Why Perrigo Stock Was Slipping Today,69625256,https://s.yimg.com/uu/api/res/1.2/0n0I_O4zQZWmSWepV.ig2w--~B/aD05MzM7dz0xNDAwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/motleyfool.com/f2b70ad581d1a679577ed43340f48594,PRGO,Yahoo,"Shares of Perrigo (NYSE: PRGO) were sliding today after the consumer-facing healthcare company  missed the mark in its second-quarter earnings report.  Perrigo, which sells unbranded over-the-counter medical products like acetaminophen as well as branded products like Prevacid, said that revenue in the second quarter was up 3.4% to $981.1 million, though that missed estimates at $1.02 billion.  Organic sales increased 0.5%, which included a 2.3% decline in cold/cough remedies due to the impact of social distancing.",https://finnhub.io/api/news?id=14a7ee5698def58e818b9a26f542fab752207316d247f0795358dcf3a2e0f5ce
company,1628702220,"Perrigo Co. PLC stock falls Wednesday, underperforms market",69641644,https://images.mktw.net/im-220105/social,PRGO,MarketWatch,"Shares of Perrigo Co. PLC tumbled 12.57% to $42.99 Wednesday, on what proved to be an all-around great trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=c46507d4298f125afd8c063891199528e6aa93fa849bb3fbf931ffd6a11f2cc6
company,1628699415,Perrigo Co PLC (PRGO) Q2 2021 Earnings Call Transcript,69621231,,PRGO,Yahoo,"PRGO earnings call for the period ending July 3, 2021.",https://finnhub.io/api/news?id=9c4a9d837c1346fd2a4e822b2de2bde57576a4d131b4fe6be28c70fbff36ca1c
company,1628698920,"NortonLifeLock, Wendy's rise; WW International, Perrigo fall",69633923,,PRGO,"Associated Press, The",Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=e1ed32243edc646107f5ec0718af308970ec7bec57ec37e899992ace3d132d4c
