category,datetime,headline,id,image,related,source,summary,url
company,1629111120,Video: S&P 500 Analyst Moves: PTC,69696122,,PTC,Market News Video,"The latest tally of analyst opinions from the major brokerage houses shows that among the components of the S&P 500 index, PTC is now the #44 analyst pick, moving up by 1 spot - This rank is formed by averaging the analyst opinions for each component from each broker, and then ranking the 500 components by those average opinion values - PTC.",https://finnhub.io/api/news?id=14b2f56471d903c2ea38cae69ba9945db72f8779bb75c15ad2df610725a68865
company,1629110880,PTC Takes Over #44 Spot From Align Technology,69696123,,PTC,ETF Channel,"Staff article entitled PTC Takes Over #44 Spot From Align Technology, about ETFs, from ETF Channel.",https://finnhub.io/api/news?id=ae24c8abc9defe0110e41ec24ef95b1d4593ee52a7c46f47b54d78e7559aeebe
company,1628165760,Ptc Inc (PTC) President and CEO James E Heppelmann Sold $2 million of Shares,69545345,,PTC,GuruFocus,,https://finnhub.io/api/news?id=cb3057c61c40b1b64ac27941ead91502e679fbb90df69179b3e9565b7eed3acb
company,1627986960,Interesting PTC Put And Call Options For February 2022,69471194,,PTC,Stock Options Channel,"Staff article entitled Interesting PTC Put And Call Options For February 2022, about stock options, from Stock Options Channel.",https://finnhub.io/api/news?id=388b8af75cdc7a8b826f13fe7cd6ea3033cedec6a73f16873707fd3b51c69fe2
company,1627569062,"PTC Beats on Earnings and Revenues in Q3, Raises Outlook",69381189,https://s.yimg.com/uu/api/res/1.2/iA0pEpik6fVUsCBAoxgiUg--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/8a61c7cb9a22ca41cfb9605a78d42897,PTC,Yahoo,PTC's fiscal third quarter performance benefits from continued strength across Core and Growth product groups.,https://finnhub.io/api/news?id=d6b4651f21b249911eb94268cad7c78b5c5a7a97b434e1b1ffc07aeb3eb39bd8
company,1627552800,LTI Wins PTC Partner Network Award for Transformation in Manufacturing Operations,69383798,,PTC,PR Newswire,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=284a65ed6ceaf450ba6bd1393d3990608c5b513978f3161fa568a3d2ab5f7fdf
company,1627537020,PTC price target raised to $170 from $165 at Mizuho,69383799,,PTC,Thefly.com,Mizuho analyst Matthew Br... PTC,https://finnhub.io/api/news?id=2f8e3b39cbf7a073228d4f3589d0cbe54c67f4f0028e397af99138e8124b6ec3
company,1627526340,"BRYN MAWR TRUST Co Buys PTC Inc, Primoris Services Corp, iShares Core MSCI Emerging Markets ETF, Sells Cubic Corp, Kimberly-Clark Corp, Williams-Sonoma Inc",69404906,,PTC,GuruFocus,,https://finnhub.io/api/news?id=db050dfafccae8be5c7f7d4418af426d048b6b2920dcfdcd69310f7c4def003e
company,1627515006,"PTC, Inc. (PTC) CEO James Heppelmann on Q3 2021 Results - Earnings Call Transcript",69375159,https://static.seekingalpha.com/assets/og_image_1200-29b2bfe1a595477db6826bd2126c63ac2091efb7ec76347a8e7f81ba17e3de6c.png,PTC,SeekingAlpha,"PTC, Inc. (NASDAQ:PTC) Q3 2021 Earnings Conference Call July 28, 2021, 05:00 PM ET Company Participants Emily Walt - IR James Heppelmann - President &amp; CEO Kristian Talvitie - EVP &amp;...",https://finnhub.io/api/news?id=d9878246af33f7879241bd2b9860f63d37b5f9f004ae256c59c920dfcf770ba5
company,1627509910,PTC Inc. (PTC) Q3 Earnings and Revenues Surpass Estimates,69372974,https://s.yimg.com/uu/api/res/1.2/w.ILboV799eZj6zbyZJ3SQ--~B/aD02MDE7dz05MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/5ecaf2a9bf082a5f3a554e6526b34be0,PTC,Yahoo,"PTC Inc. (PTC) delivered earnings and revenue surprises of 29.69% and 5.89%, respectively, for the quarter ended June 2021. Do the numbers hold clues to what lies ahead for the stock?",https://finnhub.io/api/news?id=0d32cfc54a3e73c7318f73bca88c694897c04194a804dca8b3da07202dd41273
