category,datetime,headline,id,image,related,source,summary,url
company,1629223500,"Will Google's Latest Product Move Threaten Apple, Samsung, Xiaomi?",69712669,https://cdn.benzinga.com/files/imagecache/og_image_social_share_1200x630/images/story/2012/bz_briefs.jpg,QCOM,Benzinga,"Alphabet Inc (NASDAQ: GOOG) (NASDAQ: GOOGL) is targeting price-conscious shoppers with a smartphone that has a larger screen, water resistance, and a bigger battery,...",https://finnhub.io/api/news?id=2f0e1295ce94e3bce89a2f7a5a72e4ef5894d91fbf0db5299832e646bc59e77c
company,1629216000,Google Adds Larger Screen and Battery to Its Cheapest 5G Phone,69701216,,QCOM,Yahoo,"(Bloomberg) -- Google’s latest entry-level 5G smartphone will offer a larger screen, water resistance and a bigger battery as the company tries to woo budget-minded shoppers and increase its modest market share.The $449 Pixel 5a costs $50 less than last year’s Pixel 4a 5G with a limited update of features and a small downgrade in 5G standards support. It’s still modeled on the idea of offering the flagship Pixel 5’s marquee features in a more affordable package. It inherits the dual-camera syste",https://finnhub.io/api/news?id=6b0a170f4317b02301dd8ad303258f2c000a3bdb941690864b7c415959b85ad0
company,1629205621,AT&T (T) Expands 5G on FirstNet to Support First Responders,69697340,https://s.yimg.com/uu/api/res/1.2/HtyUi9lIxOVw5KyFugy0FQ--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/885d57466f3f91311899d9e04e91c2bb,QCOM,Yahoo,First responders in parts of 38 cities and more than 20 venues have access to AT&T's (T) 5G+ spectrum.,https://finnhub.io/api/news?id=cc1a0da456a6523be339cdfe8b46a50c2495eb6f315d31e4eaa720c2034f0d54
company,1629205440,"Apple Chip Supplier TSMC's Market-Cap Leapfrogs Above High-Profile Chinese Tech Stalwarts Tencent, Alibaba",69704898,https://cdn.benzinga.com/files/imagecache/og_image_social_share_1200x630/images/story/2012/taiwansemiconductor.site_.fab2outr001_66.jpg,QCOM,Benzinga,"Apple Inc (NASDAQ: AAPL) chip supplier Taiwan Semiconductor Manufacturing Co. Ltd. (NYSE: TSM) is making waves in the stock market.
TSMC - The Most Valued Chipmaker...",https://finnhub.io/api/news?id=f1032908e8ba3f0f00e925abfa3f1aea645500259cec97c76dbf5fbf9e977d38
company,1629204672,Turtle Beach (HEAR) Launches Torch Microphone in Global Market,69697411,https://s.yimg.com/uu/api/res/1.2/irNHutLpApSPaMUgcPaq5Q--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/306e94007e8260e95ff74a73f05e6f54,QCOM,Yahoo,Torch's availability in the global market will likely help Turtle Beach (HEAR) tap lucrative opportunities in the thriving content creation market.,https://finnhub.io/api/news?id=4c8c82241381768b139ab854457b0b5c596ae69d820bc6cf7debed672cf84b3c
company,1629204612,Nokia (NOK) Modernizes Vocus' Optical Network in Australia,69697341,,QCOM,Yahoo,"Nokia's (NOK) 1830 Photonic Service Switch has been utilized to modernize Vocus' optical network between Adelaide, Brisbane and Darwin.",https://finnhub.io/api/news?id=4feaf53602e8abec1b16865f053998870304f9d7cabb02f02372565e93a22ae7
company,1629203892,Comtech (CMTL) Unit Secures $1.7 Million Contract for COMET,69697342,,QCOM,Yahoo,Comtech's (CMTL) troposcatter products are increasingly becoming popular among the U.S. and foreign military forces owing to high data rate transmission and reduced operating expenditure.,https://finnhub.io/api/news?id=93f6ba6f40b8fb2c8b122157a8250dbaa31c167ae3fe0b8d9569265af1a25db8
company,1629195000,Blackberry Is Poised to Rise 55% From Growing Software Free Cash Flow,69717413,https://investorplace.com/wp-content/uploads/2019/09/bb-stock.jpg,QCOM,InvestorPlace,"Blackberry's disappointing quarter does not mean BB stock won't benefit from its patent portfolio, giving it a value 55% higher at $15.32.",https://finnhub.io/api/news?id=165f4b06290baecae588584bf06b12c86e09ce412fdcda971ebb72a7b177e37d
company,1629164340,"S&T Bank Buys Lumen Technologies Inc, Colgate-Palmolive Co, Qualcomm Inc, Sells Standard AVB Financial Corp, BTC iShares MSCI USA Value Factor ETF, BTC iShares MSCI USA Min Vol Factor ETF",69716728,,QCOM,GuruFocus,,https://finnhub.io/api/news?id=05e637b44ab6c8d8d504552a484d69392a8abe1ff742ad5261fd7eb621dc0d76
company,1629162060,7 Semiconductor Stocks to Buy in August,69716520,https://investorplace.com/wp-content/uploads/2019/07/semiconductor1600e.jpg,QCOM,InvestorPlace,"Despite the global chip shortage, semiconductor stocks have significant growth potential. Here are seven chip names to consider now.",https://finnhub.io/api/news?id=e9a5aab04a85d9dabe2ddcbc47cbae556e73ffceb470b00aae44011e59eb2d2a
