category,datetime,headline,id,image,related,source,summary,url
company,1629232920,Top donor of Florida’s Ron DeSantis invests in COVID drug that governor promotes,69711560,https://images.mktw.net/im-387336/social,REGN,MarketWatch,Florida Gov. Ron DeSantis — who has been criticized for opposing mask mandates and vaccine passports — is now touting a COVID-19 antibody treatment in which...,https://finnhub.io/api/news?id=aacc9b271e2cf966d9ef20f47f745f126cff064cd4130a75189652c746fb4ada
company,1629227220,Regeneron Pharmaceuticals Inc. stock outperforms market on strong trading day,69711561,https://images.mktw.net/im-220105/social,REGN,MarketWatch,"Shares of Regeneron Pharmaceuticals Inc. rallied 3.00% to $647.44 Tuesday, on what proved to be an all-around grim trading session for the stock market, with...",https://finnhub.io/api/news?id=6bff593b31c89d45c5a8091d00b095efbc8084b61b74f8d46a61dc7f101895e9
company,1629226860,Jim Cramer: The Fortunes Have Been Restored for Regeneron and Abbott,69708748,,REGN,Yahoo,"Florida Governor Ron DeSantis crushed the numbers for Norwegian Cruise Line  by being obstinate that CEO Frank Del Rio had no right to demand that everyone be vaccinated before they take a Norwegian Cruise.  Given that cruises were the epicenter of COVID when this whole thing started, I thought Frank was well within his right to insist that people not get sick on cruises.  Del Rio won a temporary restraining order slapping DeSantis down real hard.",https://finnhub.io/api/news?id=0bc456bd369a2ee67edd695408593a526b44145e3d08b3e436ea0882e35aab6b
company,1629217380,JD.com And Tesla Lead The Nasdaq Lower Tuesday,69705829,https://cdn.benzinga.com/files/imagecache/og_image_social_share_1200x630/sites/all/themes/bz2/images/bz-icon.png,REGN,Benzinga,U.S. indices were trading lower Tuesday amid macro uncertainty due to COVID-19 concerns. Investors also weighed today's Home Depot (NYSE: HD) earnings and a drop in...,https://finnhub.io/api/news?id=5971ab0cd8b41d5c7a1772174794f5d4ce0677b45c61c41d0a10eeda4ce5faee
company,1629195452,Novartis Shares Two Year Beovu Data From Diabetic Macular Edema Studies,69694437,https://s.yimg.com/uu/api/res/1.2/xgXMULSWOy7sxWWJkhjvEQ--~B/aD00MDA7dz02MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/Benzinga/9c1ebede547efef25eed9f48a6500af1,REGN,Yahoo,"Novartis AG (NYSE: NVS) has reported data from two Phase 3 trials assessing Beovu (brolucizumab) 6 mg versus Regeneron Pharmaceuticals Inc's (NASDAQ: REGN) Eylea (aflibercept) 2 mg in patients with diabetic macular edema (DME). Two-year (week 100) data of the KITE study showed consistent results as one year of greater reductions versus aflibercept in central subfield thickness (CSFT), a number of eyes with retinal fluid (a biomarker of the disease), and maintenance of best-corrected visual acuit",https://finnhub.io/api/news?id=92e5005b0fc447249861a12d08f0c0f1d24eed35e20f9f6d690b0d709e4a93e3
company,1629195180,Stocks That Hit 52-Week Highs On Tuesday,69696539,https://cdn.benzinga.com/files/imagecache/og_image_social_share_1200x630/sites/all/themes/bz2/images/bz-icon.png,REGN,Benzinga," 
 
Before 10 a.m. ET on Tuesday, 55 companies set new 52-week highs.
Points of Interest:

Apple (NASDAQ:AAPL) was the largest company by market cap to set a new 52-week...",https://finnhub.io/api/news?id=89bff3b255cda39ced7d3d82f57abf75db82808a9d92ace05c0fdecc8b10cf14
company,1629190560,Early notable gainers among liquid option names on August 17th,69697091,,REGN,Thefly.com,"Notable gainers among liq... KR, MRNA, REGN, CVS, PFE",https://finnhub.io/api/news?id=1e025993517f6096b40d1cb50566c3d8aba3fee9aa14c4dd4895334fee71c5d1
company,1629188160,Regeneron Pharmaceuticals Inc (REGN) President & CEO Leonard S Schleifer Sold $6.2 million of Shares,69718441,,REGN,GuruFocus,,https://finnhub.io/api/news?id=fba85433970d7862365f87841f16609e7d3197083b5e3b0e64c2c186bba8d914
company,1629181020,Novartis Shares Two Year Beovu Data From Diabetic Macular Edema Studies,69701554,https://cdn.benzinga.com/files/imagecache/og_image_social_share_1200x630/images/story/2012/aapharma_1500.png,REGN,Benzinga,Novartis AG (NYSE: NVS) has reported data from two Phase 3 trials assessing Beovu (brolucizumab) 6 mg versus Regeneron Pharmaceuticals Inc's (NASDAQ: REGN...,https://finnhub.io/api/news?id=d19e225ba4513bd7b5ebc62065606abb87c395750fa9b13b26b9288e7f847425
company,1629143622,How investors could pose as a headwind for Moderna,69687326,https://s.yimg.com/ny/api/res/1.2/PvTTBiQq8x5BCMkJj00hfA--/YXBwaWQ9aGlnaGxhbmRlcjt3PTIwMDA7aD0xMTIz/https://s.yimg.com/hd/cp-video-transcode/prod/2021-08/16/611ac24a89e9c765ac71a7a2/611ac24a89e9c765ac71a7a3_o_U_v2.jpg,REGN,Yahoo,"Hartaj Singh, Oppenheimer Analyst,  joins Yahoo Finance to discuss downgrading Moderna earlier this month, future outlook on the stock, and questions around booster shots.",https://finnhub.io/api/news?id=893d6601fc4ed0ba5dde7691aa50d04220b6f00c91bb881ea2c46e91146afe31
