category,datetime,headline,id,image,related,source,summary,url
company,1629165900,"Regions Financial Corp`s 6.375% Fixed-to-Floating Rate Non-Cumulative Perpetual Preferred Stock, Series B Shares Cross 5.5% Yield Mark",69718939,,RF,Preferred Stock Channel,"preferred stock channel,RF.PRB,RF,",https://finnhub.io/api/news?id=6c6637f4256099a286c0dd7203f6298b5b541deecb19ebdb68ec959820790ac2
company,1628800200,Regions Financial Corp. Announces Redemption of Notes,69644189,https://s.yimg.com/uu/api/res/1.2/fvMcH5FqNx5gxkAv7ERTLA--~B/aD03ODt3PTQ4MDthcHBpZD15dGFjaHlvbg--/https://media.zenfs.com/en/business-wire.com/060a4433da130a61fda9438dd834e673,RF,Yahoo,"BIRMINGHAM, Ala., August 12, 2021--Regions Financial Corporation is sending redemption notices to holders of its 3.800% Senior Notes due Aug. 14, 2023.",https://finnhub.io/api/news?id=fcaaa3c6b99bc3bf4424a4c6d387e33c619c65e3c7fb3a2ae989728970cf6150
company,1628785800,Regions Financial Corp. Announces Redemption of Notes,69653178,,RF,Business Wire,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=afe8ac87642811edfca81c98605fe71f3af2120139ff6d6103694228e56144ca
company,1628771412,"If You Invested $1000 in Regions Financial 10 Years Ago, This Is How Much You'd Have Now",69633289,https://s.yimg.com/uu/api/res/1.2/UYup8AGIrn99rMsHiTllqA--~B/aD04NzY7dz05MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/d0d4ab152198da2f423d92da8a7d22ee,RF,Yahoo,"Investing in certain stocks can pay off in the long run, especially if you hold on for a decade or more.",https://finnhub.io/api/news?id=9d4d994b686c25f8d5db0cb39d926568924708424c7444a80427df3f653a58b0
company,1628405220,5 Top Stocks Analysts Want You To Buy Now,69570625,https://247wallst.com/wp-content/uploads/2020/01/imageforentry3-2h0.jpg,RF,247WallSt,"24/7 Wall St. reviews dozens of analyst research reports each day of the week with a goal of finding new ideas for investors and traders alike. The calls seen in the past week show that analysts still favor tech stocks, even though the sector has soared in the past year but struggled lately. Many of […]",https://finnhub.io/api/news?id=d848b39bd99d27d824c796ec5f8d90ecabe77262b38860098d428d4d862187b6
company,1628328600,5 Safe And Cheap Dividend Stocks To Invest In (August 2021),69561544,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1249993252/medium_image_1249993252.jpg,RF,SeekingAlpha,This article is part of our monthly series. Click here to read about the five stocks which are cheap and safe dividend stocks to invest in August 2021.,https://finnhub.io/api/news?id=df611bc1626da2023f4b83b95b56c171e1fab5d433c288f2765e76a3e47d5f55
company,1628270340,"Regions Financial Corp. stock rises Friday, outperforms market",69572670,https://images.mktw.net/im-220105/social,RF,MarketWatch,"Shares of Regions Financial Corp. rallied 2.15% to $19.96 Friday, on what proved to be an all-around positive trading session for the stock market, with the...",https://finnhub.io/api/news?id=a60b06918c5a322e9dba019700fd6acc5853865925981cb6a2992fbb2a506c4f
company,1628183940,Regions Financial Corp. stock outperforms market on strong trading day,69572672,https://images.mktw.net/im-220105/social,RF,MarketWatch,"Shares of Regions Financial Corp. rallied 1.35% to $19.54 Thursday, on what proved to be an all-around great trading session for the stock market, with the...",https://finnhub.io/api/news?id=ef48224d5e4518ba5ef1ed4205fff75d65a915434457310f7ef747190e25377b
company,1628154000,Regions Next Step Expands Financial Wellness Offerings for Students via iGrad and WeAreTeachers Platforms,69521595,,RF,Business Wire,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=ad4bb3fa6816823e48ab9e13661a84a395dab3cfd1308d495fcc4f4e303850d4
company,1628097540,Regions Financial Corp. stock underperforms Wednesday when compared to competitors,69504283,https://images.mktw.net/im-220105/social,RF,MarketWatch,"Shares of Regions Financial Corp. slid 1.73% to $19.28 Wednesday, on what proved to be an all-around dismal trading session for the stock market, with the...",https://finnhub.io/api/news?id=31cb9f27fab5995b8ee6af09d41979a92196f2a2c585b40f995e74845aa2fb9a
company,1628011140,"Regions Financial Corp. stock rises Tuesday, outperforms market",69477601,https://images.mktw.net/im-220105/social,RF,MarketWatch,"Shares of Regions Financial Corp. rose 2.67% to $19.62 Tuesday, on what proved to be an all-around great trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=70542903902b0de01328ba2cb30156c92e807e913b92fb2bdd797739681af830
company,1627994324,The Retiree's Dividend Portfolio - John's June Update: EPR Resumes The Dividend,69471226,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/519910139/medium_image_519910139.jpg,RF,SeekingAlpha,"John's retirement accounts generated a total of $2,007.31 of dividend income for June 2021 vs. $2,020.63 of dividend income for June 2020.",https://finnhub.io/api/news?id=770e5528f30b22684114a3e06e9abd1d5c7fe751b8180ce27421b69f9706b53e
company,1627973725,Dividend Champions For August 2021,69461964,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1072593728/medium_image_1072593728.jpg,RF,SeekingAlpha,"Monthly update of the Dividend Champions List. 78 companies declared higher dividends in the past month, with an average increase of 10.68% over their previous payouts.",https://finnhub.io/api/news?id=490ba1e8c7ea37681742072e1b6889d1ebf8098e5bafc36367b77501689696b9
company,1627972260,5 Favorite Dividend-Paying Banks to Buy Now With Q2 Earnings Over,69465209,https://247wallst.com/wp-content/uploads/2021/07/imageForEntry9-6Xq.jpg,RF,247WallSt,"These five top Jefferies bank stock picks really are value plays when compared to the very overbought and pricey stock market as a whole. With earnings out of the way, investors can feel good about adding positions in these dividend payers.",https://finnhub.io/api/news?id=ab380c203ccf9d81b922c8cc576a7fd8768e237f81ac4ca2095e0df17dafa48b
company,1627971153,Regions Financial (NYSE:RF) Is Increasing Its Dividend To US$0.17,69466384,https://s.yimg.com/uu/api/res/1.2/RvXBP6irJOcli7EUS_oYYw--~B/aD00MzI7dz0xMTk0O2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/simply_wall_st__316/75a6275a0d81fd5fbc47ebecee672e4c,RF,Yahoo,Regions Financial Corporation ( NYSE:RF ) will increase its dividend on the 1st of October to US$0.17. This will take...,https://finnhub.io/api/news?id=ddb0085bb4559197d5fcba238d1c88a58beae3d13fdb7fd90528c202cad9511b
company,1627924740,"Regions Financial Corp. stock falls Monday, underperforms market",69475282,https://images.mktw.net/im-220105/social,RF,MarketWatch,"Shares of Regions Financial Corp. slumped 0.73% to $19.11 Monday, on what proved to be an all-around dismal trading session for the stock market, with the...",https://finnhub.io/api/news?id=2545add69c48bc7e29dcecdcc874cd7491dd5ae1773253a06b21d7f445422ddb
company,1627665540,"Regions Financial Corp. stock falls Friday, underperforms market",69443782,https://images.mktw.net/im-220105/social,RF,MarketWatch,"Shares of Regions Financial Corp. shed 1.43% to $19.25 Friday, on what proved to be an all-around grim trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=8f2d66be7e9d3b4fa2956902d92440c27b9cdce21a266f5745776194eea551e3
company,1627662995,"6 A-Rated, Safe Stocks to Buy With Dividends",69425832,https://s.yimg.com/uu/api/res/1.2/FF3I0S4bEQFdUvHcrRKfkg--~B/aD00MDA7dz03Mjg7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/investorplace_417/226454a23b7c1d0cd1335975d82fa9c2,RF,Yahoo,"The market hates uncertainty. And that’s why it’s smart to have safe stocks in your portfolio that will be shelter from any storms. And speaking of storms, we’re seeing quite a season of them. From super heatwaves, fires and floods to busy hurricane and typhoon seasons, the past few months have been busy. Then, add rising Covid cases, a market that’s seeing rising inflation and trade tensions with China. That’s a lot of uncertainty.InvestorPlace - Stock Market News, Stock Advice & Trading Tips S",https://finnhub.io/api/news?id=670e510dee5829a4cc4692283116916363003a843c486fbee2ede8980d3cd002
company,1627652881,Cullen/Frost (CFR) Q2 Earnings and Revenues Beat Estimates,69409271,https://s.yimg.com/uu/api/res/1.2/nSjhnh4ahDSefziQceMQWw--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/1b52d31540a4ef5a5795817baf5f79d2,RF,Yahoo,"Cullen/Frost's (CFR) Q2 earnings top estimates on higher revenues, solid credit quality and a robust capital position amid a low-rate economy.",https://finnhub.io/api/news?id=e4dec66208e99ede01acab6801dc671fd9d15ce581a939ff6885323a139c4be7
company,1627644960,"6 A-Rated, Safe Stocks to Buy With Dividends",69420620,https://investorplace.com/wp-content/uploads/2019/07/safety-umbrella-protecting-money.jpg,RF,InvestorPlace,"The markets hate uncertainty, so when we're sitting stuck in uncertain times your best bet is to look for safe stocks to buy.",https://finnhub.io/api/news?id=0f9a2d4143ee15ea999d7f18ee90cb5b4b03dd2f9cfc8bef1891ac194fae6e0b
company,1627642829,What EnerBank's Acquisition Says About The Future of Home Improvement Loans,69409272,https://s.yimg.com/cv/apiv2/social/images/yahoo_default_logo-1200x1200.png,RF,Yahoo,"If you've seen crowds at Home Depot and Lowe's and your contractor seems to be backed up for months, you aren't alone.  Home renovation activity has been on an upward trend along with home values in recent years.  The latest update from the Leading Indicator of Remodeling Activity report compiled by the Remodeling Futures Program at the Joint Center for Housing Studies of Harvard University forecasts growth in home renovation could be up 8.6% year over year by the second quarter of next year.",https://finnhub.io/api/news?id=3ecb7fcf49ad056e0ab4bc6995d788d01b53e885c52236c9da9fa5d48b835058
company,1627641000,Regions Financial Continues To Put The Pieces In Place For Better Longer-Term Performance,69406445,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1318294092/medium_image_1318294092.jpg,RF,SeekingAlpha,"Regions Financial (RF): I still wouldn’t call Regions my favorite idea, but shares are more attractively priced now for shareholders looking for a longer-term holding.",https://finnhub.io/api/news?id=acbe3d38f29a885e5fa18251ef42225466196bcca3959660ed975c4ea1184b22
company,1627581153,Delta Variant: The Market's Got It All Wrong,69391883,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1215224972/medium_image_1215224972.jpg,RF,SeekingAlpha,The Delta variant has caused outcomes which are very unequal between different communities and countries. The reopening trade faded as concerns of the variant's impact escalated.,https://finnhub.io/api/news?id=39040468bf3b1e3e8d5d6095944857cd909159a60b67739dc3cd995e4d5dd299
company,1627579140,Regions Financial Corp. stock underperforms Thursday when compared to competitors despite daily gains,69402393,https://images.mktw.net/im-220105/social,RF,MarketWatch,"Shares of Regions Financial Corp. inched 0.62% higher to $19.53 Thursday, on what proved to be an all-around great trading session for the stock market, with...",https://finnhub.io/api/news?id=321c2e35215bdbe3351bc1e8275c2247e425567558aa79f0f6b069b8e30a0002
company,1627556238,Does Regions Financial (NYSE:RF) Deserve A Spot On Your Watchlist?,69391102,https://s.yimg.com/uu/api/res/1.2/RvXBP6irJOcli7EUS_oYYw--~B/aD00MzI7dz0xMTk0O2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/simply_wall_st__316/75a6275a0d81fd5fbc47ebecee672e4c,RF,Yahoo,"It's only natural that many investors, especially those who are new to the game, prefer to buy shares in 'sexy' stocks...",https://finnhub.io/api/news?id=3227342ed70d7f186475c9f20532d0ab6d05e81cd149a61dc84612f1428cdd5e
company,1627526340,"Cozad Asset Management Inc Buys Invesco S&P 500 Quality ETF, FedEx Corp, S&P Global Inc, Sells The Estee Lauder Inc, Edwards Lifesciences Corp, Alexion Pharmaceuticals Inc",69404656,,RF,GuruFocus,,https://finnhub.io/api/news?id=3ed2c4493b01418764041f3c01e71bd850caf9e3aaadccb768670252f9055a42
