category,datetime,headline,id,image,related,source,summary,url
company,1629212700,Robert Half Mobile App Wins Gold Stevie® In 2021 International Business Awards®,69712847,https://s.yimg.com/uu/api/res/1.2/M8tKN4EVWn3fBpI0OL07Tg--~B/aD0xNjt3PTE2O2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/prnewswire.com/d6e7bfdca887e0182ed894bbbf169af9,RHI,Yahoo,The Robert Half Mobile App was named the winner of a Gold Stevie Award in the 18th Annual International Business Awards. The app received the top honor for Mobile Sites and Apps in the Professional Services category.,https://finnhub.io/api/news?id=5090ff7d83c6761f34cfcf2150934d786654409fe0afc050303e1c364c4a4bda
company,1629201720,"Survey Finds Hybrid Work Will Vary By City, Company Size And Job Type Post-Pandemic",69694073,https://s.yimg.com/uu/api/res/1.2/fqBv8IRkdN5wWsNUGqPoqg--~B/aD0yNjA7dz00MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/prnewswire.com/7a08ce4fb75045869d80fc1759ff1946,RHI,Yahoo,"While many U.S. professionals are embracing hybrid work arrangements, new research from talent solutions firm Robert Half shows a majority of companies anticipate a full return to the office once the pandemic ends. According to a survey of more than 2,800 senior managers in the U.S., 71% of respondents said they will require their teams to be on-site full time once COVID-19-related restrictions completely lift. Far fewer will allow employees to follow a hybrid schedule, where they can divide tim",https://finnhub.io/api/news?id=18dd0069a77e6186df50c273577bb9b83b585690baebb29e598b5f95488a4690
company,1629198300,Robert Half Mobile App Wins Gold Stevie® In 2021 International Business Awards®,69720081,,RHI,PR Newswire,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=f5ab58bf75c4101130e75bd4b707f553934b771238f89447328983eb5a015ef2
company,1629187320,"Survey Finds Hybrid Work Will Vary By City, Company Size And Job Type Post-Pandemic",69695077,,RHI,PR Newswire,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=14530b676c6478b8707493be5e7d6eb6c9dd4654e5e07d99856c0e7861b2333d
company,1629134340,"Robert Half International Inc. stock rises Monday, still underperforms market",69688180,https://images.mktw.net/im-220105/social,RHI,MarketWatch,"Shares of Robert Half International Inc. inched 0.20% higher to $103.79 Monday, on what proved to be an all-around positive trading session for the stock...",https://finnhub.io/api/news?id=f3e271d916c65bb73e8d9cb50f39332b83b2007ffce3df9376e35b8ebdd51c49
company,1629128403,MAN vs. RHI: Which Stock Should Value Investors Buy Now?,69682571,https://s.yimg.com/uu/api/res/1.2/OL7xfT5pzuzwP2wxb1pcSw--~B/aD02MjU7dz05MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/7ea641b46fe75c0a913349e5e610d6a2,RHI,Yahoo,MAN vs. RHI: Which Stock Is the Better Value Option?,https://finnhub.io/api/news?id=1f72baf2d7b50b57c0b7f139dc130202451f7ccddbd7eaed31430cd0bc959afb
company,1629126240,Protiviti Named to Consulting Magazine's 2021 'Best Firms to Work For' List,69682572,https://s.yimg.com/uu/api/res/1.2/iKwZ9_3onYcgg4BN853lNA--~B/aD0xMjE7dz00MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/prnewswire.com/ca7594c3d835c85b40e25585754a464c,RHI,Yahoo,"Global consulting firm Protiviti has been named to Consulting magazine's 'Best Firms to Work For' list for the eighth consecutive year. The global list of 21 large firms is compiled based on thousands of survey responses of consulting firm employees who rate their workplace satisfaction across six categories, including culture, career development, client engagement, compensation and benefits, work/life balance and firm leadership.",https://finnhub.io/api/news?id=a51228a9b132a0aeef009a063d54c2f1fbdd8d1673a066fe0ef28d2425419f20
company,1629111840,Protiviti Named to Consulting Magazine's 2021 'Best Firms to Work For' List,69680761,,RHI,PR Newswire,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=faa3df9a58eaea20fb2f0927996d56628e9a14b2790b621916bf011a67ca22cd
company,1629108070,Top 5 Business Services Stocks to Gain From Robust Reopening,69678876,https://s.yimg.com/uu/api/res/1.2/iaKLFcU.DdVA1BhEHS2daw--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/578c75a0bdc2572dd0bbdad8c4aeb25c,RHI,Yahoo,"We have narrowed our search to five large-cap business services stocks as these companies generally have an established business model. These are: IPG, IT, RSG, RHI and TRU.",https://finnhub.io/api/news?id=f68a2b9b69f79a6bf63680c9c4b60c61f7ee614a237efe3f3ded972c7af9d277
company,1628875140,"Robert Half International Inc. stock rises Friday, outperforms market",69674891,https://images.mktw.net/im-220105/social,RHI,MarketWatch,"Shares of Robert Half International Inc. inched 0.98% higher to $103.58 Friday, on what proved to be an all-around favorable trading session for the stock...",https://finnhub.io/api/news?id=f8876cbe99d4e25ded00e6a3745f26bda125870cbe7c4c3c3418364c2f5aaa87
company,1628849640,Stocks That Hit 52-Week Highs On Friday,69654377,https://cdn.benzinga.com/files/imagecache/og_image_social_share_1200x630/sites/all/themes/bz2/images/bz-icon.png,RHI,Benzinga," 
 
During Friday's morning session, 137 companies made new 52-week highs.
Areas of Significance:

Johnson & Johnson (NYSE:JNJ) was the largest company by market...",https://finnhub.io/api/news?id=919cfcf8895b927cd8d83d2ddf6a052a70eae18899fc75129ed7e7bc069e8da4
company,1628788740,Robert Half International Inc. stock outperforms market on strong trading day,69644769,https://images.mktw.net/im-220105/social,RHI,MarketWatch,"Shares of Robert Half International Inc. advanced 1.05% to $102.57 Thursday, on what proved to be an all-around positive trading session for the stock...",https://finnhub.io/api/news?id=f9d24d3860d8e4a2a318eb80e5d721975d0981bc0ac501eb7bc84aa952bd6ca2
company,1628702340,Robert Half International Inc. stock outperforms competitors on strong trading day,69626969,https://images.mktw.net/im-220105/social,RHI,MarketWatch,"Shares of Robert Half International Inc. advanced 1.11% to $101.50 Wednesday, on what proved to be an all-around favorable trading session for the stock...",https://finnhub.io/api/news?id=ce63c4cfe65b7e5ddd8b0accfa8e70e2b0e82e49617dd6b7e02fca94ba2d2911
company,1628615940,Robert Half International Inc. stock outperforms market on strong trading day,69610451,https://images.mktw.net/im-220105/social,RHI,MarketWatch,"Shares of Robert Half International Inc. inched 0.88% higher to $100.39 Tuesday, on what proved to be an all-around positive trading session for the stock...",https://finnhub.io/api/news?id=dffe341228338e1872d7cb84005f0590505fb9d5eceb448f9575be752a21a501
company,1628529540,"Robert Half International Inc. stock falls Monday, underperforms market",69610452,https://images.mktw.net/im-220105/social,RHI,MarketWatch,"Shares of Robert Half International Inc. shed 0.28% to $99.51 Monday, on what proved to be an all-around rough trading session for the stock market, with the...",https://finnhub.io/api/news?id=66d97ebbe234b2d976a5e82f147888a59c14cab5f9583315ab9ed85f1e5ac27b
company,1628514901,"Robert Half (RHI) Soars to 52-Week High, Time to Cash Out?",69582334,https://s.yimg.com/uu/api/res/1.2/wXNaNKXxuWlbebD.cUCv9g--~B/aD02MDA7dz05MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/f541c90e0d995722d10914cb76a7c653,RHI,Yahoo,"Robert Half (RHI) is at a 52-week high, but can investors hope for more gains in the future? We take a look at the company's fundamentals for clues.",https://finnhub.io/api/news?id=d653615e85e2cd39d163001c09ca867a1a294ba3142ce9ad08b88496017071b4
company,1628511492,5 Staffing Stocks to Buy on July's Impressive Jobs Report,69582335,https://s.yimg.com/uu/api/res/1.2/iaKLFcU.DdVA1BhEHS2daw--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/578c75a0bdc2572dd0bbdad8c4aeb25c,RHI,Yahoo,"Hiring is picking up at record pace, which is likely to benefit staffing companies like KornFerry International (KFY), Cross Country Healthcare, (CCRN) and Heidrick & Struggles International (HSII)",https://finnhub.io/api/news?id=121fabade0551861a59d306a5c88c830b3003a94f097e2ca93f5129b289a6df7
company,1628270340,Robert Half International Inc. stock outperforms market on strong trading day,69554799,https://images.mktw.net/im-220105/social,RHI,MarketWatch,"Shares of Robert Half International Inc. inched 0.77% higher to $99.79 Friday, on what proved to be an all-around great trading session for the stock market,...",https://finnhub.io/api/news?id=f371cd9bb6bc5b9701198f398ec1e0432b17a5bd42992b6ee8abbd32b7a693a6
company,1628244180,Stocks That Hit 52-Week Highs On Friday,69543465,https://cdn.benzinga.com/files/imagecache/og_image_social_share_1200x630/sites/all/themes/bz2/images/bz-icon.png,RHI,Benzinga," 
 
Before 10 a.m. ET on Friday, 175 companies set new 52-week highs.
Key Facts:

Nike (NYSE:NKE) was the biggest company by market cap to set a new 52-week high.
The...",https://finnhub.io/api/news?id=f0da0355297f6b31c14aac2944d6c7c8cb6a2f9d5e51e4e2a2106999c8f33db8
company,1628183940,"Robert Half International Inc. stock rises Thursday, outperforms market",69554800,https://images.mktw.net/im-220105/social,RHI,MarketWatch,"Shares of Robert Half International Inc. rose 1.52% to $99.03 Thursday, on what proved to be an all-around positive trading session for the stock market,...",https://finnhub.io/api/news?id=6d39c7684915259400a1b65808dfda6c0fc7d09af47c0ad88db42d8d34286a91
company,1628161508,"Amid The Big Quit, Staffing Stocks Gain As Businesses Struggle To Find Workers",69525548,https://s.yimg.com/hd/cp-video-transcode/prod/2021-08/05/610c28cdddb40d636a652228/610c28cdddb40d636a652229_o_U_v2.jpg,RHI,Yahoo,As U.S. businesses struggle to find enough people to hire coming out of the coronavirus pandemic.,https://finnhub.io/api/news?id=d186667abdf198df1dbf95477fead91390d81a59d08767dc5c01bb373d35e8fb
company,1628097540,Robert Half International Inc. stock outperforms competitors despite losses on the day,69504256,https://images.mktw.net/im-220105/social,RHI,MarketWatch,"Shares of Robert Half International Inc. slipped 1.44% to $97.55 Wednesday, on what proved to be an all-around grim trading session for the stock market,...",https://finnhub.io/api/news?id=b00af5cfe1fae455bf91659422052ab403a3a56a0cfa2187532b8e0ef5fb1c3a
company,1628073540,"CAM Group Holding A Buys Trip.com Group, Oak Street Health Inc, TransUnion, Sells IHS Markit, Mondelez International Inc, Service Corp International",69495192,,RHI,GuruFocus,,https://finnhub.io/api/news?id=36cf0298a2da9d7af11bbb15a9920cb8dda3eac9d34e73f87835f75610dc19a6
company,1628021700,Robert Half Announces Quarterly Dividend,69484181,https://s.yimg.com/uu/api/res/1.2/oio7u7dhs5TJYHAWJqvT2Q--~B/aD01NTt3PTQwMDthcHBpZD15dGFjaHlvbg--/https://media.zenfs.com/en/cnwgroup.com/d7d9b3f3d2b5d9a2014cd5ea427cbe30,RHI,Yahoo,"Robert Half International Inc. (NYSE: RHI) today announced that its board of directors has approved a quarterly cash dividend of $0.38 per share. The cash dividend will be paid on September 15, 2021, to all shareholders of record as of August 25, 2021.",https://finnhub.io/api/news?id=512f78853e4ced12f225e0f833a75050780d214520549f213099d69b7117f9dc
company,1628011140,Robert Half International Inc. stock outperforms competitors on strong trading day,69504258,https://images.mktw.net/im-220105/social,RHI,MarketWatch,"Shares of Robert Half International Inc. rallied 1.33% to $98.98 Tuesday, on what proved to be an all-around positive trading session for the stock market,...",https://finnhub.io/api/news?id=858960fc0e7227028878e1f020beddea15548f7f5cb0b09e955a2b94ed476e50
company,1628007300,Robert Half Announces Quarterly Dividend,69489485,,RHI,PR Newswire,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=24f2bd48516625c1d19897d3660c38374b83d50ae6e033563ada244f73f2101d
company,1628003040,Protiviti Offers Innovative Ransomware Service to Help Companies Combat Disruptive Attacks,69484183,https://s.yimg.com/uu/api/res/1.2/JSgr3kIq0kK75vMPspEeAQ--~B/aD0xMjE7dz00MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/prnewswire.com/d8aef8a244c6bcbcf40db1e67582447a,RHI,Yahoo,Global consulting firm Protiviti has launched an enhanced ransomware offering within the firm's broader cybersecurity and privacy practice to help companies manage the rising threat levels to their business from malicious actors attacking and disrupting mission-critical operations. The newly expanded and specialized Ransomware Advisory and Recovery offering is designed to help organizations manage the short-term crisis of a devastating ransomware attack and get back to business and to build towa,https://finnhub.io/api/news?id=5d523820b9977c9e7908c019069f5d8fa8804b761b675f178de3cfb4608c4584
company,1627988640,Protiviti Offers Innovative Ransomware Service to Help Companies Combat Disruptive Attacks,69469476,,RHI,PR Newswire,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=17fcdc9bbf14e2fe477b3e3297e4e70dd9220a10bef01498c70544433ecabb7b
company,1627924740,"Robert Half International Inc. stock falls Monday, underperforms market",69476391,https://images.mktw.net/im-220105/social,RHI,MarketWatch,"Shares of Robert Half International Inc. dropped 0.54% to $97.68 Monday, on what proved to be an all-around grim trading session for the stock market, with...",https://finnhub.io/api/news?id=25558d203f32a1ce34a051842ae3bcb95c42eb7abc525454cc21bc972758a1ee
company,1627898880,Stocks That Hit 52-Week Highs On Monday,69449072,https://cdn.benzinga.com/files/imagecache/og_image_social_share_1200x630/sites/all/themes/bz2/images/bz-icon.png,RHI,Benzinga," 
 
Before 10 a.m. ET on Monday, 201 companies set new 52-week highs.
Interesting Facts:

General Electric (NYSE:GE) was the biggest company by market cap to set a new...",https://finnhub.io/api/news?id=b9dcc3b6e51a6987d012cf9657b8e2322d2e19526efb939bec192bb4917e74dc
company,1627665540,Robert Half International Inc. stock outperforms competitors on strong trading day,69476393,https://images.mktw.net/im-220105/social,RHI,MarketWatch,"Shares of Robert Half International Inc. inched 0.88% higher to $98.21 Friday, on what proved to be an all-around poor trading session for the stock market,...",https://finnhub.io/api/news?id=b37833e4ce8b2d1256a676071abf1e87f46306e11eebf59a389e50bb5f9af9c0
