category,datetime,headline,id,image,related,source,summary,url
company,1628875140,Raymond James Financial Inc. stock outperforms competitors despite losses on the day,69665307,https://images.mktw.net/im-220105/social,RJF,MarketWatch,"Shares of Raymond James Financial Inc. slid 0.16% to $138.94 Friday, on what proved to be an all-around great trading session for the stock market, with the...",https://finnhub.io/api/news?id=155d969597533282b21f2676e024d9149771cf0be6aabaada1fd3980a8241908
company,1628788740,"Raymond James Financial Inc. stock rises Thursday, outperforms market",69665308,https://images.mktw.net/im-220105/social,RJF,MarketWatch,"Shares of Raymond James Financial Inc. inched 0.49% higher to $139.16 Thursday, on what proved to be an all-around favorable trading session for the stock...",https://finnhub.io/api/news?id=622152ca0e9ac66944e4a7581e73aae17c457fe20cf506adcf88a16676c89115
company,1628702340,Raymond James Financial Inc. stock outperforms competitors on strong trading day,69665309,https://images.mktw.net/im-220105/social,RJF,MarketWatch,"Shares of Raymond James Financial Inc. inched 0.95% higher to $138.48 Wednesday, on what proved to be an all-around positive trading session for the stock...",https://finnhub.io/api/news?id=7523e3b4e7c07598b2349cbb65e0f30f0fb4e3095eaf96d17ce28dd0e30d69a8
company,1628615940,Raymond James Financial Inc. stock underperforms Tuesday when compared to competitors despite daily gains,69609821,https://images.mktw.net/im-220105/social,RJF,MarketWatch,"Shares of Raymond James Financial Inc. rose 1.29% to $137.18 Tuesday, on what proved to be an all-around positive trading session for the stock market, with...",https://finnhub.io/api/news?id=653c95e7f32111950eedb315d65d9a630ba7552d35e99c26d18df7bd26fa0fc0
company,1628599092,Here's Why You Should Buy Raymond James (RJF) Stock Right Now,69602124,https://s.yimg.com/uu/api/res/1.2/Fc2U_MPNP8m6S7MvytHNIg--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/3485a80ca9f149b05be325eb24f7ab6b,RJF,Yahoo,"Solid organic growth and strategic acquisitions are likely to keep supporting Raymond James (RJF). So, the stock seems worth adding to your portfolio now.",https://finnhub.io/api/news?id=0bd7b9c92026f29c0dc694618dcdd2316624be2e8c222b01ac40ddba0367b4af
company,1628529540,"Raymond James Financial Inc. stock rises Monday, outperforms market",69609822,https://images.mktw.net/im-220105/social,RJF,MarketWatch,"Shares of Raymond James Financial Inc. rose 1.16% to $135.43 Monday, on what proved to be an all-around poor trading session for the stock market, with the...",https://finnhub.io/api/news?id=01ea75a50c83618be91e649b7706b4a17b64e81d7d939d602702cd71ae4b5236
company,1628270340,Raymond James Financial Inc. stock underperforms Friday when compared to competitors despite daily gains,69568799,https://images.mktw.net/im-220105/social,RJF,MarketWatch,"Shares of Raymond James Financial Inc. rose 2.61% to $133.88 Friday, on what proved to be an all-around favorable trading session for the stock market, with...",https://finnhub.io/api/news?id=b8fc26a6c4ec4aaab8f5c41fd829f34dc8e8a2343501d54a7e2f9035c4bb2226
company,1628246340,"Premier Fund Managers Ltd Buys Raymond James Financial Inc, Prosperity Bancshares Inc, Qiagen NV, Sells Floor & Decor Holdings Inc, Comerica Inc, Goosehead Insurance Inc",69562203,,RJF,GuruFocus,,https://finnhub.io/api/news?id=5aebe4f858198e9c411caa486e3e4b4475a6d541667f144d1c04ed1e2dc0036d
company,1628183940,Raymond James Financial Inc. stock outperforms market on strong trading day,69568800,https://images.mktw.net/im-220105/social,RJF,MarketWatch,"Shares of Raymond James Financial Inc. advanced 1.60% to $130.47 Thursday, on what proved to be an all-around favorable trading session for the stock market,...",https://finnhub.io/api/news?id=b1620e82cbaf4d8a56c44be675ded8cea7c6c6445ae257a9e48d7250f34aad56
company,1628097540,Raymond James Financial Inc. stock underperforms Wednesday when compared to competitors,69568801,https://images.mktw.net/im-220105/social,RJF,MarketWatch,"Shares of Raymond James Financial Inc. slid 0.85% to $128.42 Wednesday, on what proved to be an all-around poor trading session for the stock market, with...",https://finnhub.io/api/news?id=6c7d71481f5ae776a5f2042f3fe2e3906d13acc9e5e8dad3a6dfe9127675dbab
