category,datetime,headline,id,image,related,source,summary,url
company,1629227280,Ralph Lauren Corp. Cl A stock outperforms competitors despite losses on the day,69711600,https://images.mktw.net/im-220105/social,RL,MarketWatch,"Shares of Ralph Lauren Corp. Cl A shed 2.69% to $119.21 Tuesday, on what proved to be an all-around poor trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=e4d4f3116c4acd27bb907e20fa34109ebcf1b63ef59720fda13ad97d4c1eac27
company,1629216900,"Home Depot, KB Home fall; Fabrinet, Moderna rise",69717447,,RL,"Associated Press, The",Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=9cb882697272f7a66fa184d27481ff7baeeb2072fdaa243ac1e4423f403e0249
company,1629134400,"Ralph Lauren Corp. Cl A stock falls Monday, underperforms market",69711602,https://images.mktw.net/im-220105/social,RL,MarketWatch,"Shares of Ralph Lauren Corp. Cl A shed 1.57% to $122.50 Monday, on what proved to be an all-around favorable trading session for the stock market, with the...",https://finnhub.io/api/news?id=40c54a61bd26db937f36c1dffaedeff38875f895dd5eaed66051aee8645b0d9b
company,1629099540,"Willis Investment Counsel Buys Fortinet Inc, Laboratory Corp of America Holdings, Dollar General Corp, Sells Eaton Corp PLC, The Home Depot Inc, Sysco Corp",69694947,,RL,GuruFocus,,https://finnhub.io/api/news?id=c557788a2f9e9b7dbfcd049f9927cd7f79216d2fe6cfb41c0125819cd258c5e4
company,1629092340,"Barrow, Hanley, Mewhinney & Strauss Buys Merck Inc, Pioneer Natural Resources Co, Ralph Lauren Corp, Sells Westinghouse Air Brake Technologies Corp, Chevron Corp, Citigroup Inc",69694948,,RL,GuruFocus,,https://finnhub.io/api/news?id=0a1532eef18608492dca94b5732d5e659b388b560d40aab3db8523a9f9fc9379
company,1629081540,"Hickory Lane Capital Management LP Buys Ralph Lauren Corp, Nexstar Media Group Inc, Sherwin-Williams Co, Sells Spirit AeroSystems Holdings Inc, Nuance Communications Inc, Square Inc",69694949,,RL,GuruFocus,,https://finnhub.io/api/news?id=54ef45f2a717c35aa5a17d43b99f6dc79b4b1bcb8c52d2100f9d4df1bbcd4780
company,1628875200,Ralph Lauren Corp. Cl A stock underperforms Friday when compared to competitors despite daily gains,69711604,https://images.mktw.net/im-220105/social,RL,MarketWatch,"Shares of Ralph Lauren Corp. Cl A inched 0.19% higher to $124.45 Friday, on what proved to be an all-around favorable trading session for the stock market,...",https://finnhub.io/api/news?id=4b950a7bbd3bd7ea1959a6ba3abd90b0bc61c0260960f6a8391fb9bdb2bfb2cc
company,1628802669,5 Companies with Triple-Digit Surprises and Strong Estimate Revisions Trends,69646042,,RL,Yahoo,It is time to diversify your portfolio with stocks that are showing significant upside potential.,https://finnhub.io/api/news?id=637fb541782bb3d26d3985ea5e603beb9ef5c77624d5d1c4469f76b3da59e95a
company,1628788800,"Ralph Lauren Corp. Cl A stock rises Thursday, outperforms market",69711605,https://images.mktw.net/im-220105/social,RL,MarketWatch,"Shares of Ralph Lauren Corp. Cl A rallied 1.17% to $124.21 Thursday, on what proved to be an all-around great trading session for the stock market, with the...",https://finnhub.io/api/news?id=07957ad2a75db2e45609fa78593ecd1c17915ee25caa64b8ec2cff3ce9c15df3
company,1628702340,Ralph Lauren Corp. Cl A stock outperforms competitors on strong trading day,69636514,https://images.mktw.net/im-220105/social,RL,MarketWatch,"Shares of Ralph Lauren Corp. Cl A rallied 1.47% to $122.77 Wednesday, on what proved to be an all-around favorable trading session for the stock market, with...",https://finnhub.io/api/news?id=0e5b7aa353281bbbaa3809408a8b0382cbb0a53a2f4b680d288501120cb6c201
company,1628616000,Ralph Lauren Corp. Cl A stock underperforms Tuesday when compared to competitors despite daily gains,69636515,https://images.mktw.net/im-220105/social,RL,MarketWatch,"Shares of Ralph Lauren Corp. Cl A inched 0.22% higher to $120.99 Tuesday, on what proved to be an all-around positive trading session for the stock market,...",https://finnhub.io/api/news?id=94dffebf5a7ebdd8401e08c14600da2115b0e0415effd089948a756d18fb05b7
company,1628529600,"Ralph Lauren Corp. Cl A stock falls Monday, underperforms market",69636516,https://images.mktw.net/im-220105/social,RL,MarketWatch,"Shares of Ralph Lauren Corp. Cl A shed 1.96% to $120.73 Monday, on what proved to be an all-around grim trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=5d3755548bd223240b8bebda33f95c195b82ea4dabb163855456e9639495e01a
company,1628270400,"Ralph Lauren Corp. Cl A stock falls Friday, underperforms market",69556329,https://images.mktw.net/im-220105/social,RL,MarketWatch,"Shares of Ralph Lauren Corp. Cl A shed 1.12% to $123.14 Friday, on what proved to be an all-around favorable trading session for the stock market, with the...",https://finnhub.io/api/news?id=07f32204d5d87d117a91053a216f28621f8222c6d058fd3fc15e2df4bad8c52b
company,1628266444,Top Ranked Momentum Stocks to Buy for August 6th,69553943,https://s.yimg.com/uu/api/res/1.2/LMZ2h3SvAUErqtJ.pMLxTA--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/44e7a6d36fffa6d0c6778ba072de07e8,RL,Yahoo,"GSKY, IT, RL, and NVT made it to the Zacks Rank #1 (Strong Buy) momentum stocks list on August 6, 2021",https://finnhub.io/api/news?id=3f25e4bf1bf6ba200e3aa11f719a8c89eb0b3fe8ac7fb8ab6cb4390bf54d6ce3
company,1628236980,3 Stocks Insiders Are Selling,69543448,https://cdn.benzinga.com/files/imagecache/og_image_social_share_1200x630/images/story/2012/insider-selling_1.jpg,RL,Benzinga,"When insiders sell shares, it indicates their concern in the company’s prospects or that they view the stock as being overpriced. Either way, this signals an opportunity to...",https://finnhub.io/api/news?id=b8199e247062e6b940fc858d38d45394e2bfc249c3c9dfc74d1e895708d4308a
