category,datetime,headline,id,image,related,source,summary,url
company,1629227280,ResMed Inc. stock outperforms market on strong trading day,69711611,https://images.mktw.net/im-220105/social,RMD,MarketWatch,"Shares of ResMed Inc. inched 0.13% higher to $280.60 Tuesday, on what proved to be an all-around dismal trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=0c7b4ab837961578a59ea61a09ead65b6efc4d63e0fab0d59a722397fc3f62b1
company,1629219582,We Like ResMed's (NYSE:RMD) Returns And Here's How They're Trending,69703574,,RMD,Yahoo,"Finding a business that has the potential to grow substantially is not easy, but it is possible if we look at a few key...",https://finnhub.io/api/news?id=9aa738f981bc4b277da1e1048b9ec36d139838f2707277393804490a84cf8dee
company,1629210962,ResMed (RMD) Hits New 52-Week High: What's Behind the Rally?,69702731,https://s.yimg.com/uu/api/res/1.2/Mjurn80_ji38Biba0d.Z4Q--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/fbcc46c8695be25f9de8dc5957119a03,RMD,Yahoo,Investors are optimistic about ResMed's (RMD) potential in digital health and its strong emphasis on product development.,https://finnhub.io/api/news?id=54e722d5018d1baa449dae9cd3f95be9d671e79fe3757cb3c3207cb6a8ebf76b
company,1629195180,Stocks That Hit 52-Week Highs On Tuesday,69696539,https://cdn.benzinga.com/files/imagecache/og_image_social_share_1200x630/sites/all/themes/bz2/images/bz-icon.png,RMD,Benzinga," 
 
Before 10 a.m. ET on Tuesday, 55 companies set new 52-week highs.
Points of Interest:

Apple (NASDAQ:AAPL) was the largest company by market cap to set a new 52-week...",https://finnhub.io/api/news?id=89bff3b255cda39ced7d3d82f57abf75db82808a9d92ace05c0fdecc8b10cf14
company,1629188880,"The Daily Biotech Pulse: Lilly Reorganizes Business Units In Neuroscience Focus, Helius Medical Spikes On Breakthrough Designation, Ra Medical Sells Dermatology Business",69696484,https://cdn.benzinga.com/files/imagecache/og_image_social_share_1200x630/images/story/2012/cells-1872666_1920_86.jpg,RMD,Benzinga,"Here's a roundup of top developments in the biotech space over the last 24 hours:
Scaling The Peaks
(Biotech Stocks Hitting 52-week Highs Aug. 16)

Bio-Rad Laboratories, Inc...",https://finnhub.io/api/news?id=05dbaa731e5879ae8257a9deade3e4709469b9c725264c7c31c6ff745ecbd891
company,1629188160,Resmed Inc (RMD) President and COO ResMed Inc. Robert Andrew Douglas Sold $2.2 million of Shares,69717081,,RMD,GuruFocus,,https://finnhub.io/api/news?id=0783225abe7db5ccb67c2bb934c0928dd049fc827036884f8540f70cdb323de1
company,1629134400,ResMed Inc. stock outperforms competitors on strong trading day,69687739,https://images.mktw.net/im-220105/social,RMD,MarketWatch,"Shares of ResMed Inc. advanced 1.87% to $280.24 Monday, on what proved to be an all-around positive trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=018be61b71e7def0e39c6a0e97bd37425b52245e9f50a276c587e1cefbf81caf
company,1629129240,Suffers' Lose Sleep After Philips' Recall Of Sleep Apnea Machine: WSJ,69701557,https://cdn.benzinga.com/files/imagecache/og_image_social_share_1200x630/images/story/2012/sleep_apnea_machine_0.png,RMD,Benzinga,"Millions of Koninklijke Philips NV's (NYSE: PHG) CPAP machines and ventilators are under a recall posing severe health problems, as many people are having...",https://finnhub.io/api/news?id=b03b78b42d2c5fbad3bd328da0d7ff092b3eece99c2015d6bc5bddf598b829a5
company,1629118800,"ResMed Launches AirSense 11 PAP Series, Advancing Digital Health in Sleep Apnea Treatment",69683348,https://s.yimg.com/ny/api/res/1.2/nJzXboEzHKrLzq.NZfjZ4g--/YXBwaWQ9aGlnaGxhbmRlcjt3PTIwMDA7aD0xMzMz/https://s.yimg.com/uu/api/res/1.2/knbm60S0weVq_FaY1TzVGg--~B/aD0zNjQ4O3c9NTQ3MjthcHBpZD15dGFjaHlvbg--/https://media.zenfs.com/en/globenewswire.com/e0f4a3b68444f3707ce7d5c6150dbec8,RMD,Yahoo,"New digital features designed to make therapy setup and nightly use easier for patients, and help clinicians provide care more efficiently Woman Sleeping with Nasal Pillow PAP mask and AirSense 11 Woman sleeping with nasal pillow PAP mask and AirSense 11, ResMed's next-generation PAP series for treating sleep apnea Man Sleeping with Nasal Pillow PAP mask and AirSense 11 Man sleeping with nasal pillow PAP mask and AirSense 11, ResMed's next-generation PAP series for treating sleep apnea AirSense",https://finnhub.io/api/news?id=32aa52d494e15a68a04027845be06fef85fe38f46c2fc05c34af946940c6327d
company,1629104400,"ResMed Launches AirSense 11 PAP Series, Advancing Digital Health in Sleep Apnea Treatment",69680919,,RMD,GlobeNewswire,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=140cc425329fc6cc1d01f917c440e0b1cf3744f15fd71d3f6711eeb390959098
company,1629101280,"ResMed launches AirSense 11 PAP series, advancing digital health",69680920,,RMD,Thefly.com,ResMed launched AirSense ... RMD,https://finnhub.io/api/news?id=cba6e0c4d12ed7d0d853ea7af1b700a3d3f206f1e27d9520784153d638aba1cb
company,1628994724,Dividend Challenger Highlights: Week Of August 15,69673739,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1072593728/medium_image_1072593728.jpg,RMD,SeekingAlpha,A weekly summary of dividend activity for Dividend Challengers. Companies which changed their dividends. Companies with upcoming ex-dividend dates. Companies with upcoming pay dates.,https://finnhub.io/api/news?id=76874e06ea6b8cd156c39ddbe109ecc0b58a096a6e4d022943c443714bf939b8
company,1628875200,"ResMed Inc. stock falls Friday, underperforms market",69667368,https://images.mktw.net/im-220105/social,RMD,MarketWatch,"Shares of ResMed Inc. shed 0.04% to $275.10 Friday, on what proved to be an all-around positive trading session for the stock market, with the S&P 500 Index...",https://finnhub.io/api/news?id=6bb93bd91f22c9067db28846451d3b3a3f94a1c244a1c9d40888d42a00e02283
company,1628788800,ResMed Inc. stock outperforms market on strong trading day,69667369,https://images.mktw.net/im-220105/social,RMD,MarketWatch,"Shares of ResMed Inc. inched 0.99% higher to $275.20 Thursday, on what proved to be an all-around favorable trading session for the stock market, with the...",https://finnhub.io/api/news?id=35189782c1c6af9a7607f4f778069540da3f1626d4c612f859720aaee6aeffdc
company,1628734560,"Resmed Inc (RMD) CFO Brett Sandercock Sold $695,125 of Shares",69656117,,RMD,GuruFocus,,https://finnhub.io/api/news?id=95b09410f8a4a411cc771acb05d701d0f67729c77f43f3e2aa61093cf33d5d05
company,1628702400,"ResMed Inc. stock falls Wednesday, underperforms market",69628026,https://images.mktw.net/im-220105/social,RMD,MarketWatch,"Shares of ResMed Inc. shed 0.95% to $272.51 Wednesday, on what proved to be an all-around favorable trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=3511fbe439319e6f2194e3d83ae01c7e56bd653951c5c446fb2533411c3b64c3
company,1628685540,"Ownership Capital B.V. Buys Abiomed Inc, ResMed Inc, Maravai LifeSciences Holdings Inc, Sells Visa Inc",69614353,,RMD,GuruFocus,,https://finnhub.io/api/news?id=74af335123be830ab5c4df95614cf320f44c62c1b190589e42707b3504e6e83f
company,1628616000,"ResMed Inc. stock falls Tuesday, underperforms market",69628027,https://images.mktw.net/im-220105/social,RMD,MarketWatch,"Shares of ResMed Inc. slipped 1.03% to $275.12 Tuesday, on what proved to be an all-around great trading session for the stock market, with the S&P 500 Index...",https://finnhub.io/api/news?id=4eaed7625e5c7c143af76d3cf70f4f02176e33799ed36c723cfb3aa5362f2bca
company,1628529600,"ResMed Inc. stock rises Monday, outperforms market",69599294,https://images.mktw.net/im-220105/social,RMD,MarketWatch,"Shares of ResMed Inc. rallied 1.19% to $277.97 Monday, on what proved to be an all-around grim trading session for the stock market, with the S&P 500 Index...",https://finnhub.io/api/news?id=34572878086396a41f14d4d6ea078766e2a2bf1a01dcdf746ffd96577d93129c
company,1628484660,ResMed upgraded to Underperform from Sell at CLSA,69580611,,RMD,Thefly.com,CLSA analyst Andrew Paine... RMD,https://finnhub.io/api/news?id=cb2c7285e1d37e1698387da179dc755c269d7376fdc7eba46de1df2ee26cddb3
company,1628412840,ResMed downgraded to Neutral from Outperform at Macquarie,69580612,,RMD,Thefly.com,Macquarie analyst David B... RMD,https://finnhub.io/api/news?id=a37a45209441c0941f0a3e685bda1f4a7f40f12da15f059ce933b935f9996cce
