category,datetime,headline,id,image,related,source,summary,url
company,1629128766,Rockwell Automation Advanced Tech Lead on Why Industrial Automation Matters for U.S. Economy,69683950,https://s.yimg.com/uu/api/res/1.2/6zzAHrpQlXVzxzjSzCDOAw--~B/aD05MTA7dz02NTA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/news_direct/68c44aa03d7e6dea97a7e01094c6ff3d,ROK,Yahoo,"MILWAUKEE, August 16, 2021, /3BL Media/ - From bottle manufacturing to machine repair, automation has made just about every industry more efficient and adaptive to consumer demands. But despite its...",https://finnhub.io/api/news?id=bbb5b27d3b72e84f70e6ba8b03aa5768593b61d904b2c5cdf0f260bbfe4a7dc8
company,1628946060,Does This Hot Stock's Run Have Room to Run?,69670350,,ROK,Yahoo,"Rockwell Automation (NYSE: ROK) is on a roll.  The latest third-quarter earnings were ahead of expectations, and management upgraded earnings guidance for the third time this year.  Here's why the best is yet to come for Rockwell in 2021.",https://finnhub.io/api/news?id=a2ff1cbd3e92ea4d1660357231941e97861fe685ecf48776638ad94afd54567e
company,1628875200,"Rockwell Automation Inc. stock rises Friday, still underperforms market",69672808,https://images.mktw.net/im-220105/social,ROK,MarketWatch,"Shares of Rockwell Automation Inc. inched 0.13% higher to $316.53 Friday, on what proved to be an all-around favorable trading session for the stock market,...",https://finnhub.io/api/news?id=9e89cede41870eeb650ff708b9126d86dd838175e92ce768b6647f89ccb908f2
company,1628869680,Eaton and Rockwell Have Exploded Higher. These Industrial Stocks Could Be Next.,69655434,,ROK,Yahoo,"Industrial stocks as a whole are near record highs, but only a few are boosting the entire sector. Now a few others look ready to rise if the Delta wave subsides.",https://finnhub.io/api/news?id=d73ad75729d64569724b4f21ebf8126f57cecd75b5a01e61aace80264dbb3ea7
company,1628855280,Eaton and Rockwell Have Exploded Higher. These Industrial Stocks Could Be Next.,69670323,https://images.barrons.com/im-385097/social,ROK,MarketWatch,"Industrial stocks as a whole are near record highs, but only a few are boosting the entire sector. Now a few others look ready to rise if the Delta wave...",https://finnhub.io/api/news?id=5c322189d05341a460dab7c7440bd6bf0b229069af95e023031c30267ebea2e5
company,1628788800,"Rockwell Automation Inc. stock rises Thursday, still underperforms market",69644684,https://images.mktw.net/im-220105/social,ROK,MarketWatch,"Shares of Rockwell Automation Inc. inched 0.24% higher to $317.19 Thursday, on what proved to be an all-around positive trading session for the stock market,...",https://finnhub.io/api/news?id=07cf27c676b2f985adcd1d1e88c0721cef061263f4263307ae8ab42f06826deb
company,1628778667,Rockwell Automation Helps Boys and Girls Clubs Showcase STEAM Programming,69640671,https://s.yimg.com/uu/api/res/1.2/0XwbVgUW9LND2f3VYqqZWw--~B/aD00MzQ7dz02NTA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/news_direct/8277dbdae5333a0e2af9ec0ebf881e69,ROK,Yahoo,"MILWAUKEE, August 12, 2021, /3BL Media/ - With Rockwell Automation support, the Boys and Girls Clubs (BGCGM) of Greater Milwaukee showcased its interactive STEAM (Science, Technology, Engineering, ...",https://finnhub.io/api/news?id=ef38e8971f9d7401bdf941cf1d3b831be7fe1d01b60e079ac894d33ef1eb8bce
company,1628702400,Rockwell Automation Inc. stock underperforms Wednesday when compared to competitors,69628144,https://images.mktw.net/im-220105/social,ROK,MarketWatch,"Shares of Rockwell Automation Inc. slumped 0.62% to $316.42 Wednesday, on what proved to be an all-around great trading session for the stock market, with...",https://finnhub.io/api/news?id=bdd868ad6e95f36a14f851f690ed53b04107503679ed4a87896cd7c0e2fbb9ae
company,1628616000,"Rockwell Automation Inc. stock rises Tuesday, outperforms market",69628145,https://images.mktw.net/im-220105/social,ROK,MarketWatch,"Shares of Rockwell Automation Inc. advanced 1.39% to $318.41 Tuesday, on what proved to be an all-around favorable trading session for the stock market, with...",https://finnhub.io/api/news?id=4db616b301a77a2622f9470b357d08910c2717e5ff5b8671549a67138882aace
company,1628604132,ARC Advisory Group White Paper Explores How Rockwell Automation Helps Customers Accelerate Digital Transformation While Keeping Workers Safe,69602878,https://s.yimg.com/uu/api/res/1.2/NDuZCUaevXjS8pWt3i4pwg--~B/aD0zNzg7dz02NTA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/news_direct/fd6f348efb6ea287fb7900951b0dd82a,ROK,Yahoo,"MILWAUKEE, August 10, 2021, /3BL Media/ - A new white paper from leading technology market research firm ARC Advisory Group explores how Rockwell Automation’s expanding smart safety solutions portf...",https://finnhub.io/api/news?id=62f74db85536dfef0f74c6f3d77b55739ab4fb17870b89961812f460f79b8e07
