category,datetime,headline,id,image,related,source,summary,url
company,1629171540,"Ambassador Advisors, LLC Buys Inspire Corporate Bond Impact ETF, Inspire Faithward Large Cap Momentum ESG ETF, Inspire Faithward Mid Cap Momentum ESG ETF, Sells iShares 3-7 Year Treasury Bond ETF, Vanguard Mortgage-Backed Securities ETF, iShares Gold Trus",69716927,,ROL,GuruFocus,,https://finnhub.io/api/news?id=caaace261a60272e3ce569383bfd7b646ddf498387dd156d437f9f068dfc38de
company,1629167940,"SevenOneSeven Capital Management Buys PIMCO Investment Grade Corporate Bond Index Exchan, Vanguard S&P 500 ETF, Schwab US Dividend Equity ETF, Sells SPDR Portfolio Intermediate Term Corporate Bond ET, Vanguard Total International Stock, iShares 3-7 Year T",69716449,,ROL,GuruFocus,,https://finnhub.io/api/news?id=1bc143814641e1db02269917036a457c8cd9a7b756062476b3404f9ea3753ac7
company,1629073997,"GAB: Tempting Distribution Yield, Potential Opportunity",69677578,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1282691609/medium_image_1282691609.jpg,ROL,SeekingAlpha,GAB carries a high distribution rate on a fairly vanilla portfolio. Click here to read about this CEF and its holdings and why it's potentially presenting an opportunity to enter a position.,https://finnhub.io/api/news?id=434d6214d06ead0509afedac34eec23e73a59d81d62dee2d73e175f3774f17d9
company,1628875200,"Rollins Inc. stock falls Friday, underperforms market",69662707,https://images.mktw.net/im-220105/social,ROL,MarketWatch,"Shares of Rollins Inc. sank 0.11% to $37.15 Friday, on what proved to be an all-around positive trading session for the stock market, with the S&P 500 Index...",https://finnhub.io/api/news?id=5806428cf2966912d306f5b9a3befd14783a53a1909f84706bca82b355d7022b
company,1628788800,Rollins Inc. stock underperforms Thursday when compared to competitors,69647346,https://images.mktw.net/im-220105/social,ROL,MarketWatch,"Shares of Rollins Inc. dropped 0.53% to $37.19 Thursday, on what proved to be an all-around favorable trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=03ceb97b909ec23a3b3eff11e7548c8a037874eef2ad1925e92f594dcd0baa07
company,1628702400,"Rollins Inc. stock rises Wednesday, still underperforms market",69647348,https://images.mktw.net/im-220105/social,ROL,MarketWatch,"Shares of Rollins Inc. inched 0.03% higher to $37.39 Wednesday, on what proved to be an all-around great trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=e6f538a0638018a27a965b230c76a9e4bf5ab4e557beb8f02c5ca19b33a964ac
company,1628616000,"Rollins Inc. stock falls Tuesday, underperforms market",69647350,https://images.mktw.net/im-220105/social,ROL,MarketWatch,"Shares of Rollins Inc. sank 0.80% to $37.38 Tuesday, on what proved to be an all-around favorable trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=7de30c92f800e9631840e4b7daebf13dd42a0d274505c07b7f803503bb98406d
company,1628529600,Rollins Inc. stock underperforms Monday when compared to competitors,69586459,https://images.mktw.net/im-220105/social,ROL,MarketWatch,"Shares of Rollins Inc. slipped 1.05% to $37.68 Monday, on what proved to be an all-around poor trading session for the stock market, with the S&P 500 Index...",https://finnhub.io/api/news?id=ebb17ad4b6602118e747c6741901979192701b974c392fbeb9d6a4cf08892723
company,1628270400,Rollins Inc. stock underperforms Friday when compared to competitors,69554618,https://images.mktw.net/im-220105/social,ROL,MarketWatch,"Shares of Rollins Inc. dropped 0.65% to $38.16 Friday, on what proved to be an all-around great trading session for the stock market, with the S&P 500 Index...",https://finnhub.io/api/news?id=d458846bd6def4c7b5ac327e61942647f69c7d55716e654dad35f2d1d90566f6
company,1628184000,Rollins Inc. stock underperforms Thursday when compared to competitors,69554619,https://images.mktw.net/im-220105/social,ROL,MarketWatch,"Shares of Rollins Inc. slipped 1.51% to $38.41 Thursday, on what proved to be an all-around favorable trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=e061c02eb077edbafb86819f63224c6836a06757555ce17b9e02403b4dd69cdc
company,1628097600,Rollins Inc. stock outperforms competitors on strong trading day,69503240,https://images.mktw.net/im-220105/social,ROL,MarketWatch,"Shares of Rollins Inc. inched 0.03% higher to $39.00 Wednesday, on what proved to be an all-around poor trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=5fc5b1235ad05430b5678836e267464121b749d6c1bdfa4427db669ca2f73f32
company,1628077820,There's A Lot To Like About Rollins' (NYSE:ROL) Upcoming US$0.08 Dividend,69501316,https://s.yimg.com/uu/api/res/1.2/D8P2dzqO3aYlIUk60ncgmw--~B/aD00MzI7dz0xMTk0O2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/simply_wall_st__316/0f73f62416a2e777bfbf08e8e1baa10a,ROL,Yahoo,"Regular readers will know that we love our dividends at Simply Wall St, which is why it's exciting to see Rollins, Inc...",https://finnhub.io/api/news?id=05d808fb72d2000d766fd506e69b842ec101ac13acc0c16ce5ae96ecbb9fb10b
company,1628059140,"Capital Square, LLC Buys iShares iBoxx USD Investment Grade Corporate Bond , CapStar Financial Holdings Inc, AT&T Inc, Sells Iron Mountain Inc, Landmark Infrastructure Partners LP, Carnival Corp",69491171,,ROL,GuruFocus,,https://finnhub.io/api/news?id=ef2e28e220edc68dd981b3659765b66e92db4cb68a455f31be0441d2843a4320
company,1628011200,Rollins Inc. stock outperforms competitors on strong trading day,69503241,https://images.mktw.net/im-220105/social,ROL,MarketWatch,"Shares of Rollins Inc. rose 1.17% to $38.99 Tuesday, on what proved to be an all-around great trading session for the stock market, with the S&P 500 Index...",https://finnhub.io/api/news?id=c73bc783897c80876b77d0c9bd6541d28d75a82e4088e9c576387f00b64b0f19
company,1627924800,Rollins Inc. stock outperforms competitors on strong trading day,69503242,https://images.mktw.net/im-220105/social,ROL,MarketWatch,"Shares of Rollins Inc. inched 0.55% higher to $38.54 Monday, on what proved to be an all-around grim trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=3634e486cf51c8f8396302f85ad02da6251c9676d994094d9b92e7ea97b07eb6
company,1627921204,Earnings Estimates Moving Higher for Rollins (ROL): Time to Buy?,69454044,https://s.yimg.com/uu/api/res/1.2/t6.OdXEVKQihFo9otNenfg--~B/aD01NjU7dz05MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/4f1a8d86cead9f96536efb147945dcc9,ROL,Yahoo,"Rollins (ROL) shares have started gaining and might continue moving higher in the near term, as indicated by solid earnings estimate revisions.",https://finnhub.io/api/news?id=83f6ac5919806bfa9d35e7d96e2af247b040922ab6d7d42890d4f4ab2192739b
company,1627861372,Rollins: Strong Q2 But Questionable Valuation,69441303,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1220175025/medium_image_1220175025.jpg,ROL,SeekingAlpha,"Last year, I said the stock might be considered if EV/EBITDA dips below 30x, and I still think it might be worth considering with the multiple in the 20s. Read on to know my analysis now.",https://finnhub.io/api/news?id=cb84d4f188d15763306e087602b94e85143cae5f40bfb62c8adb6989503a04b4
company,1627720035,Rollins (NYSE:ROL) Has Announced A Dividend Of US$0.08,69422145,https://s.yimg.com/uu/api/res/1.2/D8P2dzqO3aYlIUk60ncgmw--~B/aD00MzI7dz0xMTk0O2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/simply_wall_st__316/0f73f62416a2e777bfbf08e8e1baa10a,ROL,Yahoo,"The board of Rollins, Inc. ( NYSE:ROL ) has announced that it will pay a dividend of US$0.08 per share on the 10th of...",https://finnhub.io/api/news?id=e091113f08c71d962d8caf7d4372eead113355775c538019149156beac8e22c7
company,1627665600,"Rollins Inc. stock rises Friday, outperforms market",69442757,https://images.mktw.net/im-220105/social,ROL,MarketWatch,"Shares of Rollins Inc. rose 1.32% to $38.33 Friday, on what proved to be an all-around poor trading session for the stock market, with the S&P 500 Index...",https://finnhub.io/api/news?id=2fb2a778edf38c9ddd4c5f5145406fa2e68390f7a0357e08a40ee35fadef8b26
company,1627579200,Rollins Inc. stock outperforms market on strong trading day,69442759,https://images.mktw.net/im-220105/social,ROL,MarketWatch,"Shares of Rollins Inc. rose 2.69% to $37.83 Thursday, on what proved to be an all-around great trading session for the stock market, with the S&P 500 Index...",https://finnhub.io/api/news?id=963a1510561e1d899e238d6b3d76b7bd2fb967454954328e7bc73e49210e9f38
company,1627492800,Rollins Inc. stock underperforms Wednesday when compared to competitors,69442760,https://images.mktw.net/im-220105/social,ROL,MarketWatch,"Shares of Rollins Inc. slumped 0.83% to $36.84 Wednesday, on what proved to be an all-around poor trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=692479b849dfb5095b8c143fa399caa8610ee2ba131fa8dfdde0444d3fee568d
company,1627487583,Rollins' (ROL) Q2 Earnings & Revenues Surpass Estimates,69369686,https://s.yimg.com/uu/api/res/1.2/k801.RUJ07Ee7atwPd.DSQ--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/f54f709ae65e32f6086a21eeef8d44f3,ROL,Yahoo,Rollins' (ROL) second-quarter 2021 earnings and revenues increase year over year.,https://finnhub.io/api/news?id=740310d0f5ef8144c0108330c832c4c92b07e0a3faefc5ab09cda817df5c7663
company,1627482970,"Rollins, Inc. (ROL) CEO Gary Rollins on Q2 2021 Results - Earnings Call Transcript",69368369,https://static.seekingalpha.com/assets/og_image_1200-29b2bfe1a595477db6826bd2126c63ac2091efb7ec76347a8e7f81ba17e3de6c.png,ROL,SeekingAlpha,"Rollins, Inc. (NYSE:ROL) Q2 2021 Earnings Conference Call July 28, 2021, 10:00 AM ET Company Participants Joseph Calabrese - IR Gary Rollins - Chairman &amp; CEO John Wilson - Vice Chairman...",https://finnhub.io/api/news?id=b0f538b31da4ea3d70581b02f44a5ca5a57ee5ff83242d31f777b6b48a490e1a
company,1627476312,Rollins (ROL) Tops Q2 Earnings and Revenue Estimates,69382349,https://s.yimg.com/uu/api/res/1.2/auhFPLcthJM50UYepXcODg--~B/aD02MDA7dz05MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/2f0d6efdd8740952a371c97ddea6e926,ROL,Yahoo,"Rollins (ROL) delivered earnings and revenue surprises of 11.11% and 5.87%, respectively, for the quarter ended June 2021. Do the numbers hold clues to what lies ahead for the stock?",https://finnhub.io/api/news?id=96b50b955f65fa6bb29011ae87fb2dded32e95b224786e3cfd8d5bec77433ddb
company,1627471800,"Rollins, Inc. Reports Second Quarter And Six Month 2021 Financial Results",69382352,https://s.yimg.com/uu/api/res/1.2/gZgyBGeHS7FSEqs6S0mxig--~B/aD0xNjt3PTE2O2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/prnewswire.com/8efb5ace82a094ee48d4c32ca0b20c78,ROL,Yahoo,"Rollins, Inc. (NYSE:ROL), a premier global consumer and commercial services company, reported strong unaudited financial results for its second quarter and six months ended June 30, 2021.",https://finnhub.io/api/news?id=8d7a16916495dfd8735ba7fd7a6c6e971de9e2f1d680d979bbd3b6d5ceaeeab3
company,1627471800,"Rollins, Inc. Announces New Executive Leadership Appointment",69382350,https://s.yimg.com/uu/api/res/1.2/mzxbt92gIjqNjGA_2t.AmA--~B/aD0xNjt3PTE2O2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/prnewswire.com/d7eb17251d55159c2a3270901c8068b2,ROL,Yahoo,"Rollins, Inc. (NYSE:ROL), a premier global consumer and commercial services company, announced today that Julie Bimmerman was appointed as the Company's Interim Chief Financial Officer and Treasurer, effective July 27, 2021.",https://finnhub.io/api/news?id=2b5cf54925c9598b7438312cbace7e82fd200945a879d407f50bb667a4579f16
company,1627468260,Rollins Names Interim Finance Chief Amid SEC Probe ,69393006,https://images.wsj.net/im-376543/social,ROL,DowJones,"Julie Bimmerman, who has been vice president of finance and investor relations since 2018, will serve as interim chief financial officer and treasurer. ",https://finnhub.io/api/news?id=9c40c6994272480294a47324ac3e35263e210191c142bfd56a023e7a8ee40229
