category,datetime,headline,id,image,related,source,summary,url
company,1629117540,"Sandbar Asset Management LLP Buys Otis Worldwide Corp, Sealed Air Corp, First Solar Inc, Sells Lowe's Inc, Boeing Co, General Electric Co",69694917,,SEE,GuruFocus,,https://finnhub.io/api/news?id=4948c7e6d2f04784ad24c8c028aed4c0765c2e7db764f4d4887c7ba7498d1d94
company,1628875260,Sealed Air Corp. stock outperforms competitors on strong trading day,69672189,https://images.mktw.net/im-220105/social,SEE,MarketWatch,"Shares of Sealed Air Corp. inched 0.17% higher to $60.42 Friday, on what proved to be an all-around favorable trading session for the stock market, with the...",https://finnhub.io/api/news?id=2a65ed8b3c0efb6850f433d6ff1eaa7847c1ad06596d86ec85d11ce8e5036166
company,1628788860,"Sealed Air Corp. stock falls Thursday, underperforms market",69672190,https://images.mktw.net/im-220105/social,SEE,MarketWatch,"Shares of Sealed Air Corp. slipped 0.54% to $60.32 Thursday, on what proved to be an all-around favorable trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=01716ba3651cd009f459d3569b89a6d59853539f025294d4cf97d034fbc88272
company,1628702460,Sealed Air Corp. stock underperforms Wednesday when compared to competitors despite daily gains,69623879,https://images.mktw.net/im-220105/social,SEE,MarketWatch,"Shares of Sealed Air Corp. inched 0.93% higher to $60.65 Wednesday, on what proved to be an all-around positive trading session for the stock market, with...",https://finnhub.io/api/news?id=bbb069d29897c0bad7f0dc7821b992f286b18054bf8c600fbc2011645fa05919
company,1628699760,IN BRIEF: Seeing Machines notes driver safety measures in US bill,69634832,,SEE,Alliance News,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=efa29dc9e88e8da9ef494e7c39fcd114603bbbf8039a0a90c268fc863199abe4
company,1628616060,Sealed Air Corp. stock outperforms market on strong trading day,69623881,https://images.mktw.net/im-220105/social,SEE,MarketWatch,"Shares of Sealed Air Corp. advanced 1.64% to $60.09 Tuesday, on what proved to be an all-around favorable trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=4d7cc09e3911411b002d358768e90d9c8ce2fb973af140ca9691e3dd9837d022
company,1628529660,Sealed Air Corp. stock underperforms Monday when compared to competitors despite daily gains,69587616,https://images.mktw.net/im-220105/social,SEE,MarketWatch,"Shares of Sealed Air Corp. inched 0.70% higher to $59.12 Monday, on what proved to be an all-around grim trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=79c20b51b173d630b3ff2863b1781961b3dad60cfe67800bd0d2ee4d700d6e52
company,1628270460,Sealed Air Corp. stock outperforms competitors on strong trading day,69557103,https://images.mktw.net/im-220105/social,SEE,MarketWatch,"Shares of Sealed Air Corp. rose 1.03% to $58.71 Friday, on what proved to be an all-around favorable trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=80c793a84eb4c0ef26590c451de38d483f9c1427f56dc272021a5045c9dee25f
company,1628184060,"Sealed Air Corp. stock rises Thursday, still underperforms market",69557104,https://images.mktw.net/im-220105/social,SEE,MarketWatch,"Shares of Sealed Air Corp. inched 0.22% higher to $58.11 Thursday, on what proved to be an all-around great trading session for the stock market, with the...",https://finnhub.io/api/news?id=e1c235577d67463e4ecaa9e2948c7edaa4a1430a522d9592794e5b5ad43b30fa
company,1628146200,Sealed Air price target raised to $62 from $52 at BMO Capital,69516069,,SEE,Thefly.com,BMO Capital analyst Mark ... SEE,https://finnhub.io/api/news?id=098b65d691d0b6c2e174b5f0e464f69ae8ff4af7c005e662bc70b89e276987ee
company,1628097660,Sealed Air Corp. stock outperforms competitors despite losses on the day,69557105,https://images.mktw.net/im-220105/social,SEE,MarketWatch,"Shares of Sealed Air Corp. sank 0.84% to $57.98 Wednesday, on what proved to be an all-around poor trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=da8e21f48cefcbf26d143f67434aa91e242728ab3d22883250126bc758f9a713
company,1628064068,DS Smith: Ride The E-Commerce And Sustainability Wave And Expect 25% Annual Returns,69487647,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1205083122/medium_image_1205083122.jpg,SEE,SeekingAlpha,I assess the valuation and show you why I think DS Smith is strongly undervalued and is an interesting investment right now.,https://finnhub.io/api/news?id=cc41ef91fe342d98039d270e7ced08bcc494ee2a03fa81d40d3f888d46267698
company,1628031670,Sealed Air Corporation (SEE) Q2 2021 Earnings Call Transcript,69480145,,SEE,Yahoo,"SEE earnings call for the period ending July 31, 2021.",https://finnhub.io/api/news?id=fc9e1608af863ca2e4e49218f852f84fe993207c2d8a0ad0ba346e59264ab15d
company,1628011260,Sealed Air Corp. stock outperforms competitors on strong trading day,69557106,https://images.mktw.net/im-220105/social,SEE,MarketWatch,"Shares of Sealed Air Corp. rallied 3.84% to $58.47 Tuesday, on what proved to be an all-around positive trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=69707f64b0eb2d6f7dca63c9b46182207c3b7ddccac992b59c67e8214963e114
