category,datetime,headline,id,image,related,source,summary,url
company,1629220604,Why Home Depot stock just got hammered,69703391,,SHW,Yahoo,Home Depot's stock gets nailed after its second quarter earnings report. Here's why.,https://finnhub.io/api/news?id=04cf4754e5446e5b06959f1b3c504edc6b5ff83e144c4929bc0ade61b05f2786
company,1629196164,Sherwin-Williams: Lots Of Concerns At These Prices,69696081,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/660246447/medium_image_660246447.jpg,SHW,SeekingAlpha,"At these prices, I estimate that Sherwin-Williams Stock is about 30% overvalued, and I'm bearish. Read more to see my analysis of SHW stock.",https://finnhub.io/api/news?id=b652c155ee7757360684732c204a051a12505f406dbd2eefa35942a53cd57118
company,1629190800,"Ex-Dividend Reminder: Sherwin-Williams, Materion Corp and United States Lime & Minerals",69700431,,SHW,Dividend Channel,"dividend channel,SHW,MTRN,USLM,",https://finnhub.io/api/news?id=6dd0220fbd713de6b56dd4c75c2e0e7f0423810065c53b5ca84dd816ca2d521f
company,1629171540,"Pin Oak Investment Advisors Inc Buys Chevron Corp, The Kraft Heinz Co, Invesco S&P 500 Equal Weight ETF, Sells Ares Capital Corp, AerCap Holdings NV, Main Street Capital Corp",69717514,,SHW,GuruFocus,,https://finnhub.io/api/news?id=bf8ee5aba26a542edc8187e7e964d60bb7628f79135294b4deab23c69df71c09
company,1629171540,"Alkeon Capital Management Llc Buys DoorDash Inc, Full Truck Alliance Co, Elastic NV, Sells ServiceNow Inc, Pinterest Inc, Okta Inc",69716938,,SHW,GuruFocus,,https://finnhub.io/api/news?id=de3258bb390a8c344ef5be9f816be0777db735224e44bd0af74b7d70e8efc042
company,1629117540,"Elo Mutual Pension Insurance Co Buys Sherwin-Williams Co, Marvell Technology Inc, CoStar Group Inc, Sells iShares iBoxx USD Investment Grade Corporate Bond , iShares iBoxx USD High Yield Corporate Bond ETF, iShares MSCI Taiwan ETF",69695314,,SHW,GuruFocus,,https://finnhub.io/api/news?id=62e190e2c14692b17c6860bd07f8ef3241ea3eb4b5da733f82cdeb05e6909b41
company,1629081540,"Hickory Lane Capital Management LP Buys Ralph Lauren Corp, Nexstar Media Group Inc, Sherwin-Williams Co, Sells Spirit AeroSystems Holdings Inc, Nuance Communications Inc, Square Inc",69694949,,SHW,GuruFocus,,https://finnhub.io/api/news?id=54ef45f2a717c35aa5a17d43b99f6dc79b4b1bcb8c52d2100f9d4df1bbcd4780
company,1628994498,Dividend Champion And Contender Highlights: Week Of August 15,69673743,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1072593728/medium_image_1072593728.jpg,SHW,SeekingAlpha,A weekly summary of dividend activity for Dividend Champions and Contenders. Companies which changed their dividends. Companies with upcoming ex-dividend dates.,https://finnhub.io/api/news?id=4a63e7f6faf9ad1926f278b7a06d1ba07e96955f94d8649c85040248ae6fc984
company,1628875260,"Sherwin-Williams Co. stock rises Friday, outperforms market",69677478,https://images.mktw.net/im-220105/social,SHW,MarketWatch,"Shares of Sherwin-Williams Co. inched 0.64% higher to $305.66 Friday, on what proved to be an all-around great trading session for the stock market, with the...",https://finnhub.io/api/news?id=543e3fd3a8ae191b2c6266b3eabd1461936f1e6463623e2d8e4f64eeb5b9a419
company,1628866864,"Planes, Paints, and Automobiles",69655435,,SHW,Yahoo,"AerCap (NYSE: AER) wins regulatory approval to buy General Electric's (NYSE: GE) aircraft leasing business.  In this episode of MarketFoolery, Asit Sharma analyzes those stories and discusses the importance of finding management teams with strong capital allocation skills.  Asit Sharma: Chris, thank you for having me.",https://finnhub.io/api/news?id=e0239461cd589bfa531dcd4f0c100357e3c96201bcbd382de9ed871f0e195977
company,1628841814,XLB: Materials Dashboard For August,69651115,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/627021250/medium_image_627021250.jpg,SHW,SeekingAlpha,"Here is a dashboard with metrics in materials industries, covering value and quality scores, and their evolution since last month, with a focus on the ETF XLB.",https://finnhub.io/api/news?id=f6d0ee45e567e4b17053fb96c4c583d50709de87d5ca687b5d88431aa71f4980
company,1628788860,"Sherwin-Williams Co. stock rises Thursday, outperforms market",69677479,https://images.mktw.net/im-220105/social,SHW,MarketWatch,"Shares of Sherwin-Williams Co. inched 0.46% higher to $303.71 Thursday, on what proved to be an all-around great trading session for the stock market, with...",https://finnhub.io/api/news?id=274c3c316b77c65852caa6aa7bdee70919222ce02655b5d700426e3124f1073a
company,1628702460,"Sherwin-Williams Co. stock rises Wednesday, outperforms market",69623926,https://images.mktw.net/im-220105/social,SHW,MarketWatch,"Shares of Sherwin-Williams Co. rallied 2.11% to $302.33 Wednesday, on what proved to be an all-around positive trading session for the stock market, with the...",https://finnhub.io/api/news?id=fab2bde5d2b47eff7673e54c522a4fa773fc69bd8634d783b3a6d008901fb97e
company,1628616060,"Sherwin-Williams Co. stock falls Tuesday, underperforms market",69605345,https://images.mktw.net/im-220105/social,SHW,MarketWatch,"Shares of Sherwin-Williams Co. slumped 0.45% to $296.07 Tuesday, on what proved to be an all-around great trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=d42580d34e5571ce4029fbee8a23af90eb15d3481a86b9dbbe891bf3da64af97
company,1628529660,Sherwin-Williams Co. stock outperforms competitors on strong trading day,69605346,https://images.mktw.net/im-220105/social,SHW,MarketWatch,"Shares of Sherwin-Williams Co. inched 0.15% higher to $297.41 Monday, on what proved to be an all-around poor trading session for the stock market, with the...",https://finnhub.io/api/news?id=203ccf0213595e875df371b9063c749b6f7189d20d67374fddcf7c020dc177ba
company,1628270460,Sherwin-Williams Co. stock outperforms market on strong trading day,69559829,https://images.mktw.net/im-220105/social,SHW,MarketWatch,"Shares of Sherwin-Williams Co. inched 0.44% higher to $296.95 Friday, on what proved to be an all-around great trading session for the stock market, with the...",https://finnhub.io/api/news?id=ebf1f512ae49801eb56e7d911b568fef1732a174c503dc11010f00a5acfb31e7
company,1628184060,Sherwin-Williams Co. stock underperforms Thursday when compared to competitors,69530967,https://images.mktw.net/im-220105/social,SHW,MarketWatch,"Shares of Sherwin-Williams Co. slid 0.19% to $295.66 Thursday, on what proved to be an all-around positive trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=be40031b3295c1d7f7756ca055196defab56bf6af548620d089624a64aa83aa9
company,1628170898,High Growth Dividend Stocks For August 2021,69525037,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1257149042/medium_image_1257149042.jpg,SHW,SeekingAlpha,"I present 30 High Growth Dividend Stocks for consideration in August 2021. There are 4 new stocks on this month's watchlist, 3 with dividend yields above 2%.",https://finnhub.io/api/news?id=707c7745c50f9a6c045917873a1afc369958de41776cd7a66c298bba7c9ebed4
company,1628159940,"Wcm Investment Management Buys EPAM Systems Inc, Entegris Inc, Stryker Corp, Sells Accenture PLC, Ecolab Inc, Canadian National Railway Co",69541900,,SHW,GuruFocus,,https://finnhub.io/api/news?id=4e2453ef950c676ad13cd38d566f0365a51df1d5757e2a8cbee5a6f5f0d7e801
company,1628097660,Sherwin-Williams Co. stock outperforms competitors on strong trading day,69506099,https://images.mktw.net/im-220105/social,SHW,MarketWatch,"Shares of Sherwin-Williams Co. inched 0.08% higher to $296.23 Wednesday, on what proved to be an all-around grim trading session for the stock market, with...",https://finnhub.io/api/news?id=180bc0c3c44849d61766bd31bce0c0c9204ac175503666b4a2ffb360a0acdb90
company,1628052300,Inflation Is a Hot Topic This Earning Season. What CEOs Are Saying.,69505202,https://images.barrons.com/im-379838/social,SHW,MarketWatch,"Price increases, margin pressure, wage gains, and more have come up on more than half of calls.",https://finnhub.io/api/news?id=441064d6964492e08c44b450f645d3d7bc77ef7091a742c7eeafd5e96eee8a5b
company,1628044740,"Strategy Asset Managers Llc Buys Sherwin-Williams Co, First Trust Ultra Short Duration Municipal ETF, iShares 20+ Year Treasury Bond ETF, Sells Merck Inc, iShares 1-3 Year Treasury Bond ETF, First Trust Capital Strength ETF",69514638,,SHW,GuruFocus,,https://finnhub.io/api/news?id=0d7da7862050ec4a5ed43bca06e3d9a2c50b477ffabc0402574242335580a2de
company,1628011260,Sherwin-Williams Co. stock outperforms competitors on strong trading day,69477541,https://images.mktw.net/im-220105/social,SHW,MarketWatch,"Shares of Sherwin-Williams Co. advanced 1.51% to $295.98 Tuesday, on what proved to be an all-around great trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=bc18846fe896e8f0f695c523c6e82c3953e1cde5f8e8598e42bf3240ce27870c
company,1627987140,"Jackson Wealth Management, LLC Buys Alphabet Inc, iShares Core S&P 500 ETF, iShares Core S&P Total U.S. Stock Market ETF, Sells SPDR Bloomberg Barclays Convertible Securities ETF, Vanguard S&P 500 ETF, Invesco S&P MidCap Momentum ETF",69470466,,SHW,GuruFocus,,https://finnhub.io/api/news?id=5bbc58142d7b65251a8b8411142ca23ba2c0fd4f163d003f8f8f08c722bc760f
company,1627924860,"Sherwin-Williams Co. stock rises Monday, outperforms market",69476395,https://images.mktw.net/im-220105/social,SHW,MarketWatch,"Shares of Sherwin-Williams Co. inched 0.19% higher to $291.57 Monday, on what proved to be an all-around rough trading session for the stock market, with the...",https://finnhub.io/api/news?id=83b7bcd65f71ac8af4e16518b98c243f31ec3b68f0a4329a6a42e617a16cd28d
company,1627915066,A Closer Look At The Sherwin-Williams Company's (NYSE:SHW) Impressive ROE,69454974,https://s.yimg.com/uu/api/res/1.2/Sggd_o44s7dflk40u15qfA--~B/aD00MzI7dz0xMTk0O2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/simply_wall_st__316/ef975e11af88470f7f200c4452d777bf,SHW,Yahoo,"While some investors are already well versed in financial metrics (hat tip), this article is for those who would like...",https://finnhub.io/api/news?id=55345f5547376e74ba92087aefb421735da3dfc9f4f30eed1951326d79a6211f
company,1627907940,"Salient Trust Co Lta Buys Sherwin-Williams Co, Canadian Pacific Railway, International Flavors & Fragrances Inc, Sells Walmart Inc, Chubb, The Walt Disney Co",69465387,,SHW,GuruFocus,,https://finnhub.io/api/news?id=fa566a33c208b1bc6bacfb921da47f1cfe4dbdc1631877221ebc650074f26a3b
company,1627887180,Sherwin-Williams price target raised to $330 from $320 at KeyBanc,69448261,,SHW,Thefly.com,KeyBanc analyst Kenneth Z... SHW,https://finnhub.io/api/news?id=8d54cb4f5555ce2866f1d8f207576bc411c9e717794c679498d6ad0001fc5651
company,1627886340,"TriaGen Wealth Management LLC Buys Constellation Brands Inc, Sherwin-Williams Co, Direxion Auspice Broad Commodity Strategy ETF, Sells Dollar Tree Inc, Diodes Inc, CME Group Inc",69465220,,SHW,GuruFocus,,https://finnhub.io/api/news?id=f374a6c6978051d35cdf946762faa92f659c8b9f543bb9e1aed5e34f700e91f1
company,1627879140,"First Personal Financial Services Buys Sherwin-Williams Co, Kimberly-Clark Corp, Vornado Realty Trust, Sells Invesco Dynamic Large Cap Value ETF, SPDR S&P Regional Banking ETF, Facebook Inc",69464833,,SHW,GuruFocus,,https://finnhub.io/api/news?id=db69085cd5efac4a9445579a1eafeb834d077657433078ce01b9c3b3deb9cd61
company,1627812408,One leading S&P 500 sector just posted its best win streak in more than a year,69433055,https://image.cnbcfm.com/api/v1/image/106847211-1614616231994-rare.jpg?v=1614616276,SHW,CNBC,"One S&P 500 sector has quietly broken out in recent days, and two market watchers see even more gains ahead. ",https://finnhub.io/api/news?id=c739ea6a54275a0d1a919ce2b83dcfecc3b79cbe9323675354d4c4a3dc35dc5d
company,1627665660,Sherwin-Williams Co. stock outperforms market on strong trading day,69476397,https://images.mktw.net/im-220105/social,SHW,MarketWatch,"Shares of Sherwin-Williams Co. inched 0.57% higher to $291.03 Friday, on what proved to be an all-around grim trading session for the stock market, with the...",https://finnhub.io/api/news?id=7cad80506eb42d10a6013747cbb01bd32a6167df4ed1232c07b2d73f7c594d72
company,1627636560,Sherwin-williams Co (SHW) SVP - Finance & CFO Allen J Mistysyn Sold $6.5 million of Shares,69421189,,SHW,GuruFocus,,https://finnhub.io/api/news?id=9d55712c6abcd96225602e055630ddfa7d56e7277b5e08fba86f452958e0cf48
company,1627579260,"Sherwin-Williams Co. stock rises Thursday, outperforms market",69476399,https://images.mktw.net/im-220105/social,SHW,MarketWatch,"Shares of Sherwin-Williams Co. inched 0.64% higher to $289.39 Thursday, on what proved to be an all-around great trading session for the stock market, with...",https://finnhub.io/api/news?id=25ec7ec9f0da997bab5ed8b6b238a7cfac064a81bb6166131e76072351a4dd9c
company,1627564620,3 Great Income Stocks That Could Double Their Dividends,69391238,,SHW,Yahoo,"These companies can afford to keep increasing their dividends, maybe even double them, in the next few years.",https://finnhub.io/api/news?id=3ce558ca21c726484de0ae01d5a2cee52ec363fab5c9a99c3339f8fdd03d65d2
company,1627555140,"Jlb & Associates Inc Buys Sherwin-Williams Co, Allegion PLC, Canadian Pacific Railway",69382638,,SHW,GuruFocus,,https://finnhub.io/api/news?id=d9e5d757b2645d1fc78a31df77aa28b2b1838dfdb751b638b1b5ed305838010f
company,1627492860,"Sherwin-Williams Co. stock falls Wednesday, underperforms market",69476401,https://images.mktw.net/im-220105/social,SHW,MarketWatch,"Shares of Sherwin-Williams Co. slipped 0.06% to $287.54 Wednesday, on what proved to be an all-around poor trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=b0eb33c9c658e8f8f2fabd49a10d265b19475b8d0f4064f62a17d456f9b0f7cc
company,1627466429,"A record profit margin reading shows companies are winning inflation battle, for now at least",69367080,https://image.cnbcfm.com/api/v1/image/106895753-1623414234049-gettyimages-1322906438-dsc03667_2021061020939421.jpeg?v=1623414301,SHW,CNBC,"Corporations are reporting record profitability, showing that while input costs are rising, inflation is being passed on to customers through higher prices.",https://finnhub.io/api/news?id=cef258b5c13cb434ac7046fdb90f82d03bd41ae0ba3be0d013da3ea0a66f0f56
company,1627453920,Sherwin-Williams price target raised to $325 from $317 at Wells Fargo,69362802,,SHW,Thefly.com,Wells Fargo analyst Truma... SHW,https://finnhub.io/api/news?id=571699a7de8129a17ab84364f60047f5bb68c293afe2d025af7b9a5505f4da55
