category,datetime,headline,id,image,related,source,summary,url
company,1629171540,"Second Curve Capital Llc Buys QCR Holdings Inc, ConnectOne Bancorp Inc, Stock Yards Bancorp Inc, Sells Triton International, TriState Capital Holdings Inc, OceanFirst Financial Corp",69716496,,SIVB,GuruFocus,,https://finnhub.io/api/news?id=dcedf8fa022decc6ddbe61d9d5ced77ed83b478026d8b4cdf6807707806001e6
company,1628897400,"Splunk Stock Is Ready to Climb, Says UBS",69660981,https://s.yimg.com/uu/api/res/1.2/rCqeWNOEplBrMmfiwcMeLg--~B/aD02NDA7dz0xMjgwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/Barrons.com/a794352352ff9ef96363dbd22bfe4cc5,SIVB,Yahoo,"Splunk stock could climb thanks to greater stability and stronger growth. Also, Wall Street opinions on Petco Health & Wellness, SVB Financial Group, Albertsons Companies, and Lightning eMotors.",https://finnhub.io/api/news?id=2a5c4e366c685462c630934dd6e257452eea331af07ba1f2f51171c7fb590693
company,1628883000,"Splunk Stock Is Ready to Climb, Says UBS",69662742,https://images.barrons.com/im-319998/social,SIVB,MarketWatch,"Splunk stock could climb thanks to greater stability and stronger growth. Also, Wall Street opinions on Petco Health & Wellness, SVB Financial Group,...",https://finnhub.io/api/news?id=07bf833147959264f814ca2305bb818160f6ab88bbeb27f7d605c4a041d9103e
company,1628782803,EWBC vs. SIVB: Which Stock Should Value Investors Buy Now?,69639770,https://s.yimg.com/uu/api/res/1.2/Fj4TPQveJWuth16WIsEVAw--~B/aD01OTQ7dz05MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/46ebfcbff417ac1bbde85ad33fa0d4be,SIVB,Yahoo,EWBC vs. SIVB: Which Stock Is the Better Value Option?,https://finnhub.io/api/news?id=cf8fd39a3ee6fec189b80e5321e449e4ee194239b4d29706fe0087880b83e249
company,1628761200,First Week of February 2022 Options Trading For SVB Financial Group (SIVB),69638128,,SIVB,Stock Options Channel,,https://finnhub.io/api/news?id=53a406723bb60ea66363b20b15f80ee70ef8eb402163bb4952117691585e419e
company,1628698589,This Bank Is a True Growth Stock,69620134,,SIVB,Yahoo,"Whether you look at loans, deposits, fee income, or profits, this bank is simply running at a higher, more consistent pace.",https://finnhub.io/api/news?id=c3de66dba28edd5a141406aa9954aea0c5b981966fd8ed5b40176e13eb68494f
company,1628687521,First Republic (FRC) to Raise $390M With Common Stock Offering,69620135,https://s.yimg.com/uu/api/res/1.2/DcMZ9lIjEMApSMdRivdKVw--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/05236d657e2bb736deac198d8d405a97,SIVB,Yahoo,"First Republic (FRC) will use the net proceeds from the 2-million share offering for general corporate purposes, including the funding of loans or buying investment securities for its portfolio.",https://finnhub.io/api/news?id=1f652701910cf144651cec3743df271480d1bca06d59383b7b66b4f93d92dc3f
company,1628668800,Most Banks Are Buying Back Stock. Why SVB Financial Is Selling Shares.,69612984,https://s.yimg.com/uu/api/res/1.2/ii4RoKp6ct7KOsPj7qh.HA--~B/aD02NDA7dz0xMjgwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/Barrons.com/2bdd0998ac556a0527beb34e2370f80f,SIVB,Yahoo,"SVB Financial plans to issue about $1.3 billion of stock, suggesting its balance sheet growth momentum is strong, one analyst says.",https://finnhub.io/api/news?id=d1f3c437a7de3dc4767bd1b391808d68e30fb4574bdba51fa3b259151b529425
company,1628654400,Most Banks Are Buying Back Stock. Why SVB Financial Is Selling Shares.,69648318,https://images.barrons.com/im-383269/social,SIVB,MarketWatch,"SVB Financial plans to issue about $1.3 billion of stock, suggesting its balance sheet growth momentum is strong, one analyst says.",https://finnhub.io/api/news?id=9a24ddf9dfb28e9206c5f5409fc618e4215191eb3f44ae8798bd85d0571f5b7f
company,1628578500,"AMC, Moderna, Kansas City Southern: What to Watch When the Stock Market Opens Today",69593645,https://images.wsj.net/im-372681/social,SIVB,DowJones,AMC Entertainment jumps after earnings; vaccine makers extend gains .,https://finnhub.io/api/news?id=fcff04fe559af002a2d0d55c901f21c8673c4e7de5870675eb542045ed4e4fba
company,1628569800,SVB Financial 2.23M share Spot Secondary priced at $564.00,69616816,,SIVB,Thefly.com,Goldman Sachs acted as so... SIVB,https://finnhub.io/api/news?id=510878b639d9ca16351e12d23be445cdecc309b5bce52880a64fe0d3ea5a8b56
company,1628565360,SVB Financial Group Announces Pricing of Offering of Common Stock,69593682,https://s.yimg.com/uu/api/res/1.2/MtPlfyIl_LJqUu.7JuebOw--~B/aD0xMTA7dz00MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/prnewswire.com/6df600f7b54bc43a90f9e8057cb1488a,SIVB,Yahoo,"SVB Financial Group (""SVB"") (NASDAQ: SIVB), announced today the pricing of its underwritten public offering of 2,227,000 shares of its common stock at a price to the public of $564.00 per share for expected gross proceeds of approximately $1.25 billion before underwriting discounts and commissions and offering expenses. SVB has also granted the underwriter an option to purchase up to an additional 334,000 shares of its common stock. SVB intends to use the net proceeds from the offering for gener",https://finnhub.io/api/news?id=dfbe04ce6f1a482d726186a6c9ca27e45904dbe1d19f0a85bcf697b80d81e3cd
company,1628550960,SVB Financial Group Announces Pricing of Offering of Common Stock,69616817,,SIVB,PR Newswire,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=e92389692d0753ae54623c4650aeb28eb9317be03dc88aea584c06c646dad191
company,1628543580,SVB Financial Group Announces Proposed Offering of Common Stock,69586729,https://s.yimg.com/uu/api/res/1.2/MtPlfyIl_LJqUu.7JuebOw--~B/aD0xMTA7dz00MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/prnewswire.com/6df600f7b54bc43a90f9e8057cb1488a,SIVB,Yahoo,"SVB Financial Group (""SVB"") (NASDAQ: SIVB), announced today that it intends to offer 2,227,000 shares of its common stock in an underwritten registered public offering. SVB also intends to grant the underwriter an option to purchase up to an additional 334,000 shares of its common stock to cover over-allotments. SVB intends to use the net proceeds from the offering for general corporate purposes, including supporting capital ratios at SVB and its subsidiary bank, Silicon Valley Bank.",https://finnhub.io/api/news?id=7a589327bbedb8432f59248b13c051e4234f56264954a0751452716bb0765a7c
company,1628529180,SVB Financial Group Announces Proposed Offering of Common Stock,69616818,,SIVB,PR Newswire,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=6db4a3e9b06c3cff2cc99f02f9499f93eb6ba3012cb3d887eafbf595a392455c
company,1628489100,"Roger Salazar, Jr. Joins SVB Leerink as Managing Director and Head of SPACs",69580964,,SIVB,PR Newswire,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=5b540a2dfdd64d6ddcc193542dc4812e0169633772c8e08b78bd25fe1a82c16b
company,1628482500,SVB Financial announces offering of 2.23M shares of common stock,69616819,,SIVB,Thefly.com,SVB Financial Group  anno... SIVB,https://finnhub.io/api/news?id=90a8ddcb24e6081af87cee3897c80314182acb8c4a6c766262ffe9088e1c7cb9
company,1628067360,SoFi Is an Excellent Buying Opportunity After a Massive Dip,69490783,https://investorplace.com/wp-content/uploads/2021/04/ipoe-sofi-1600.jpg,SIVB,InvestorPlace,SOFI stock has all the hallmarks of a long-term winner. The momentary blip is customary price correction after every SPAC merger closes.,https://finnhub.io/api/news?id=2a217e95fa29f07a0cd7ff19427a43025e0051e472e5c78f63cbe571e687da8a
company,1628051940,"Gateway Advisory, LLC Buys Invesco DWA Momentum ETF, IQ Real Return ETF, BTC iShares MSCI USA Min Vol Factor ETF, Sells Apple Inc, Salesforce.com Inc, General Electric Co",69517006,,SIVB,GuruFocus,,https://finnhub.io/api/news?id=589db1145d91041ae41ad42c6824d38e9e0a789791259af764e39bf1a5dd49df
