category,datetime,headline,id,image,related,source,summary,url
company,1629220604,Why Home Depot stock just got hammered,69703391,,SNA,Yahoo,Home Depot's stock gets nailed after its second quarter earnings report. Here's why.,https://finnhub.io/api/news?id=04cf4754e5446e5b06959f1b3c504edc6b5ff83e144c4929bc0ade61b05f2786
company,1629128703,Are You Looking for a High-Growth Dividend Stock? Snap-On (SNA) Could Be a Great Choice,69685186,https://s.yimg.com/uu/api/res/1.2/HIalcDlt7JZPKSITVlxPuw--~B/aD02MDA7dz05MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/c2fdcaac033e049c74f38d188afcc9f9,SNA,Yahoo,"Dividends are one of the best benefits to being a shareholder, but finding a great dividend stock is no easy task. Does Snap-On (SNA) have what it takes? Let's find out.",https://finnhub.io/api/news?id=0acea36061c999939ce7b4dd9e79a9df21379738f1fd393eb23eb5553eea10dd
company,1629121120,Snap-on: Assembling A Path Toward Automotive Revolution,69682782,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/154934986/medium_image_154934986.jpg,SNA,SeekingAlpha,"Despite Snap-on's positive quarter, not all key drivers have been priced in, as its key industry continues to be weak at today’s level.",https://finnhub.io/api/news?id=cf595468d3b5228494ee57ff67eced7bcaef1244df19651f5f5b1342d124123a
company,1629119521,Here's Why Snap-on (SNA) is Marching Ahead of the Industry,69685187,https://s.yimg.com/uu/api/res/1.2/WqLQmuLsbHftjRjByqDTDA--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/08fe12bfa59b2e54ecad39f0d468b183,SNA,Yahoo,"Despite higher pandemic-led expenses, Snap-on (SNA) is likely to continue gaining from cost-reduction initiatives, particularly the RCI initiative, along with robust top-line growth.",https://finnhub.io/api/news?id=e0b0cd224e01bde87aa34a66a5350114f4bf3cd8ff3e06dc587ca0727dcb1097
company,1629110299,Snap-on (NYSE:SNA) Could Be A Buy For Its Upcoming Dividend,69685189,https://s.yimg.com/uu/api/res/1.2/q0yRN_h1fYD6SjjSkWx5lg--~B/aD00MzI7dz0xMTk0O2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/simply_wall_st__316/4afa9747177650711578ccd57242a6b7,SNA,Yahoo,It looks like Snap-on Incorporated ( NYSE:SNA ) is about to go ex-dividend in the next 2 days. The ex-dividend date is...,https://finnhub.io/api/news?id=eed59728b2cf6070e5cad5bcd4fd1ae40073c66b98e41e86524b987ac9b87bef
company,1628994498,Dividend Champion And Contender Highlights: Week Of August 15,69673743,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1072593728/medium_image_1072593728.jpg,SNA,SeekingAlpha,A weekly summary of dividend activity for Dividend Champions and Contenders. Companies which changed their dividends. Companies with upcoming ex-dividend dates.,https://finnhub.io/api/news?id=4a63e7f6faf9ad1926f278b7a06d1ba07e96955f94d8649c85040248ae6fc984
company,1628766960,"Snap-on Inc (SNA) Chairman, President and CEO Nicholas T Pinchuk Sold $5.6 million of Shares",69653327,,SNA,GuruFocus,,https://finnhub.io/api/news?id=c76d0ade5c67946ad4e42cc62be455afd736bd388ff40456444d0d072343535a
company,1628702460,"Snap-On Inc. stock rises Wednesday, outperforms market",69639184,https://images.mktw.net/im-220105/social,SNA,MarketWatch,"Shares of Snap-On Inc. rose 1.99% to $229.84 Wednesday, on what proved to be an all-around favorable trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=8103d431ba349c5456c667cfa0886ea800210ca8a13fe93121592ef8864551ae
company,1628653020,"Snap-On Moves Up In Market Cap Rank, Passing FMC",69636989,,SNA,The Online Investor,"the online investor,SNA,FMC,",https://finnhub.io/api/news?id=c500b93acdde0431664d1d83c7531acab845a37a8f6a9ec4c5b6a3d9ff26f655
company,1628616060,Snap-On Inc. stock outperforms market on strong trading day,69639185,https://images.mktw.net/im-220105/social,SNA,MarketWatch,"Shares of Snap-On Inc. inched 0.85% higher to $225.35 Tuesday, on what proved to be an all-around positive trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=b36eaf27128cef5e4b84183164e38a8a0480d7cce819fa88baddeaada181fcd7
