category,datetime,headline,id,image,related,source,summary,url
company,1629174780,UBS technology specialist to hold an analyst/industry conference call,69720557,,SNPS,Thefly.com,US Technology Sector Spec... SNPS,https://finnhub.io/api/news?id=b4c9e5304ff85dd2da66a59e6574afe8268cdd72366dac6ca4e99082649c5c6f
company,1629167940,"Epoch Investment Partners, Inc. Buys Raytheon Technologies Corp, Synopsys Inc, Splunk Inc, Sells Microsoft Corp, Bank of America Corp, Alphabet Inc",69716586,,SNPS,GuruFocus,,https://finnhub.io/api/news?id=27b7d04dd79dce0cd890e8bf08918cc698bda2941d37fcc50c2701dcd87e783f
company,1629134520,"Synopsys Inc. stock rises Monday, outperforms market",69687813,https://images.mktw.net/im-220105/social,SNPS,MarketWatch,"Shares of Synopsys Inc. inched 0.44% higher to $294.42 Monday, on what proved to be an all-around favorable trading session for the stock market, with the...",https://finnhub.io/api/news?id=177eefe10a6cebcc179c685788dc99aacd20daf98b447b8a6d0535bc502be18a
company,1629099540,"Force Hill Capital Management LP Buys Amazon.com Inc, Electronic Arts Inc, Facebook Inc, Sells Accenture PLC, NVIDIA Corp, The Walt Disney Co",69694446,,SNPS,GuruFocus,,https://finnhub.io/api/news?id=7c54078169d88d26d82a03c30e3956c98aa8f25b0b8939d418a0e9fdd9d635cb
company,1629081540,"RMB Capital Management, LLC Buys S&P 500 ETF TRUST ETF, WisdomTree International Hedged Quality Dividend G, Synopsys Inc, Sells Morgan Stanley, Raytheon Technologies Corp, ",69694447,,SNPS,GuruFocus,,https://finnhub.io/api/news?id=2ae43f9b4df2d1b8eef2f0d7d3e1ddb7cc761c3cfeb193f2ab2aeb534bc28cd9
company,1628875320,Synopsys Inc. stock outperforms market on strong trading day,69673278,https://images.mktw.net/im-220105/social,SNPS,MarketWatch,"Shares of Synopsys Inc. inched 0.32% higher to $293.12 Friday, on what proved to be an all-around positive trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=9dc559a773fcf38a63c91e93db208f781e11b95aeea61d68058080c2faa12498
company,1628858532,Synopsys (SNPS) to Report Q3 Earnings: What's in Store?,69658663,https://s.yimg.com/uu/api/res/1.2/_UZhnrWxZJ1XiwdkcazjcA--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/5dcd790012cf43a97b1b8987189f433e,SNPS,Yahoo,"Synopsys' (SNPS) Q3 results are likely to reflect solid demand for its product portfolio on rising adoption of AI, 5G, Internet of things, high-performance computing and the Cloud, and automotive.",https://finnhub.io/api/news?id=7ee703a7a852204ac5e373cae8760d8a17b10b1f357ece20adab59eb718270f6
company,1628852580,Global company events calendar - next 7 days,69653928,,SNPS,Alliance News,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=af1f5116c91eb39b3c1d824fa15ababdeda499eb242f19fbe40c66c597447307
company,1628849220,Price Over Earnings Overview: Synopsys,69660146,https://cdn.benzinga.com/files/imagecache/og_image_social_share_1200x630/sites/all/themes/bz2/images/bz-icon.png,SNPS,Benzinga," 
In the current session, Synopsys Inc. (NASDAQ:SNPS) is trading at $292.25, after a 0.1% increase. Over the past month, the stock increased by 5.67%, and in the past year,...",https://finnhub.io/api/news?id=6e31a8393b66e21851c393bfaed405205d9a39c15e01fbede223f6897c63bd1d
company,1628788920,"Synopsys Inc. stock rises Thursday, outperforms market",69673279,https://images.mktw.net/im-220105/social,SNPS,MarketWatch,"Shares of Synopsys Inc. advanced 1.12% to $292.19 Thursday, on what proved to be an all-around great trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=c4007497bc4975ebd459e1a865379c3c05b9ea6f081da7e969bb29093d5502fd
company,1628752200,Synopsys price target raised to $325 from $310 at Wells Fargo,69638463,,SNPS,Thefly.com,Wells Fargo analyst Gary ... SNPS,https://finnhub.io/api/news?id=52382b849223bdf70810bb9047f5eeaa79fad7190ee8b02649e4c4e319cc4fc8
company,1628708407,Synopsys (SNPS) Earnings Expected to Grow: What to Know Ahead of Next Week's Release,69630115,https://s.yimg.com/uu/api/res/1.2/64vRzkiY9LXGPrpW4r2GRQ--~B/aD00Njc7dz05MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/b95cfdd8768bc3c4620e666dbcb0b248,SNPS,Yahoo,Synopsys (SNPS) doesn't possess the right combination of the two key ingredients for a likely earnings beat in its upcoming report. Get prepared with the key expectations.,https://finnhub.io/api/news?id=e7bce5089b8552e596f860f57076a93ed0de3b5d61b76bedb61657d9090d4718
company,1628702520,"Synopsys Inc. stock rises Wednesday, still underperforms market",69673280,https://images.mktw.net/im-220105/social,SNPS,MarketWatch,"Shares of Synopsys Inc. inched 0.24% higher to $288.95 Wednesday, on what proved to be an all-around favorable trading session for the stock market, with the...",https://finnhub.io/api/news?id=94555dc19dfb7b425c7af59477718d87f5542a9ce66a4c9fe1bdeae53dcc2618
company,1628616120,"Synopsys Inc. stock falls Tuesday, underperforms market",69605282,https://images.mktw.net/im-220105/social,SNPS,MarketWatch,"Shares of Synopsys Inc. shed 1.08% to $288.25 Tuesday, on what proved to be an all-around favorable trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=c26c90a76a4211748936691db4bcb6eab87e4ca13543c6f1386c95ed69d2bc80
