category,datetime,headline,id,image,related,source,summary,url
company,1629203940,"Centersquare Investment Management Llc Buys Ventas Inc, Simon Property Group Inc, MGM Growth Properties LLC, Sells Federal Realty Investment Trust, VEREIT Inc, Douglas Emmett Inc",69716433,,SPG,GuruFocus,,https://finnhub.io/api/news?id=cee52440575ec7076e1539be8d98c51f67b5b62ee041140d14ad4d4ed7b1324f
company,1629117600,"Is Simon Property Group A Good Dividend Stock? No, Why It's A Sell",69682149,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1253594454/medium_image_1253594454.jpg,SPG,SeekingAlpha,Simon Property Group shareholders are setting themselves up for failure as the risk is not priced in. See why SPG stock is a sell despite a 4.4% dividend yield.,https://finnhub.io/api/news?id=7f5009350e008c2a2094d8a0babaaff0185fb63c7d8bd445cce549fa0d3f34a6
company,1629106740,"Hutchinson Capital Management Buys Adobe Inc, Simon Property Group Inc, The Home Depot Inc, Sells Toyota Motor Corp, CVS Health Corp, Merck Inc",69694278,,SPG,GuruFocus,,https://finnhub.io/api/news?id=27c36b26c36111f07fa1d1d51f6189e7c44b2272bd535e3749c49693f53624ef
company,1629103080,Simon Property price target raised to $136 from $130 at Truist,69679830,,SPG,Thefly.com,Truist analyst Ki Bin Kim... SPG,https://finnhub.io/api/news?id=d2d6906328a3daca868e78deb9f73a32528fef3b4eae57fa6c0773eeb0f54a43
company,1629102840,Home - The Fly,69679831,,SPG,Thefly.com,The Fly is a leading digital publisher of real-time financial news. The Fly team scours all sources of company news and delivers short-form stories consisting of only market moving content.,https://finnhub.io/api/news?id=9daa33c3778b2429b73c3549b45b677a031ea2e8a9e3144aa4082e694e75be5c
company,1629097200,"My Oh My, 3 Strong Buys (Back-To-School Edition)",69678213,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1256524224/medium_image_1256524224.jpg,SPG,SeekingAlpha,"Analysts who can understand a REIT's balance sheet, liquidity, and cash flow can easily screen for the best ideas. See our 3 Strong Buys in the equity REIT sector.",https://finnhub.io/api/news?id=4aaf64601f98589cd3a1397e00b9c5f3399a4072a966ec4b397d103fe290baa6
company,1629088740,"Banco de Sabadell, S.A Buys Prologis Inc, Goldman Sachs Group Inc, Newmont Corp, Sells Microsoft Corp, Amazon.com Inc, Apple Inc",69695088,,SPG,GuruFocus,,https://finnhub.io/api/news?id=3beea120907065a9d93a34f6bf99652ebf033ce5e260034b2318d02a91ef5589
company,1629086640,"Earnings Scheduled For August 16, 2021",69681197,https://cdn.benzinga.com/files/imagecache/og_image_social_share_1200x630/images/story/2012/earnings_scheduled_1923.png,SPG,Benzinga," 
Companies Reporting Before The Bell
• Entera Bio (NASDAQ:ENTX) is likely to report earnings for its second quarter.
• Data Storage (NASDAQ:DTST) is expected to...",https://finnhub.io/api/news?id=d5e06853def4b2be877ad686006065bd4badbba3fa72f30687ce0763827f0c2f
company,1629075369,The Retirees' Dividend Portfolio: John And Jane's July Taxable Account Update,69677576,,SPG,SeekingAlpha,,https://finnhub.io/api/news?id=29c5405a9a97e0e59a78459b971eed457ee0815e61e720d525aa10a2cbe8902c
company,1628935200,Inflation Is A Problem,69667041,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/905569088/medium_image_905569088.jpg,SPG,SeekingAlpha,Real estate equities delivered a mixed week as a historically strong second quarter earnings season wrapped-up with several strong reports.,https://finnhub.io/api/news?id=8dde5f99d2c159b5b59b2e548ba5e55afafc2c174a5f6075775d8c9d5b04e777
