category,datetime,headline,id,image,related,source,summary,url
company,1629171540,"Bain Capital Public Equity Management II, LLC Buys Amazon.com Inc, StoneCo, Driven Brands Holdings Inc, Sells Las Vegas Sands Corp, MetLife Inc, Aon PLC",69717436,,STZ,GuruFocus,,https://finnhub.io/api/news?id=bb9bb560aefe9ed09a36186172ed4420c6aeb1dc4d81264fce216d631b7aa20c
company,1629138000,Is Hard Seltzer Flat? Can Pinterest Monetize Its Users? And More,69683932,https://s.yimg.com/cv/apiv2/social/images/yahoo_default_logo-1200x1200.png,STZ,Yahoo,Has the market overreacted to these stock market darlings? Or was their decline on lofty valuations inevitable?,https://finnhub.io/api/news?id=35ec2a00cda20ab7c19383d58a68fd7fc40ea492ea57efd61f285842e8827d4d
company,1629134580,"Constellation Brands Inc. Cl A stock rises Monday, still underperforms market",69687240,https://images.mktw.net/im-220105/social,STZ,MarketWatch,"Shares of Constellation Brands Inc. Cl A inched 0.19% higher to $214.05 Monday, on what proved to be an all-around favorable trading session for the stock...",https://finnhub.io/api/news?id=142c195d85247cb0347edb3d1c25fa3a8fcb9957c70421cffa2a956720efe522
company,1629099123,Anheuser-Busch: Your Buy-The-Drop Opportunity Is Knocking,69678301,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/162799451/medium_image_162799451.jpg,STZ,SeekingAlpha,Anheuser-Busch is a premium-quality enterprise that's trading at a bargain-basement valuation. The recent material drop presents a buying opportunity for value seekers.,https://finnhub.io/api/news?id=3300d9c693a3f9dcb7dcb545b00819d0fa81507b38505f5c19790aba5be4a241
company,1629095940,"Chiron Investment Management, LLC Buys Constellation Brands Inc, Schlumberger, Philip Morris International Inc, Sells T-Mobile US Inc, Pinduoduo Inc, Caesars Entertainment Inc",69694931,,STZ,GuruFocus,,https://finnhub.io/api/news?id=a34d028711783185b3bffb4f63cde51a742b96d163dcaef324a52def53bca128
company,1629092340,"Gmo Llc Buys Constellation Brands Inc, Kansas City Southern, Nuance Communications Inc, Sells Charles Schwab Corp, , Baidu Inc",69696135,,STZ,GuruFocus,,https://finnhub.io/api/news?id=dc318f4e8ce7ec284251e69f7f8306e19f009a5808da177adfd370727bc3e65b
company,1629085140,"BancorpSouth Bank Buys Invesco S&P Ultra Dividend Revenue ETF, Constellation Brands Inc, Valero Energy Corp, Sells Nucor Corp, General Electric Co, Linde PLC",69695004,,STZ,GuruFocus,,https://finnhub.io/api/news?id=b50e229c8a714a07b65251f3022b486f0e24228c439aa3a87bf99d7779a1585b
company,1629085140,"HS Management Partners, LLC Buys Best Buy Co Inc, Constellation Brands Inc, Apple Inc, Sells Campbell Soup Co, Johnson & Johnson, Domino's Pizza Inc",69694244,,STZ,GuruFocus,,https://finnhub.io/api/news?id=deb78952380632d9de06a1e11221e282047c6df03fe8e226c39f5585b725a954
company,1628936309,"Four things to watch in the cannabis market amid earnings season, possible legislation",69672894,https://image.cnbcfm.com/api/v1/image/106875510-1619655477196-gettyimages-1232582143-joint_on_mall108_042821.jpeg?v=1619655531,STZ,CNBC,"Earnings, consolidation, technicals and the macro layout should all be on cannabis investors' radars heading into the fourth quarter, Tim Seymour says.",https://finnhub.io/api/news?id=ee42fbef22a8a2c3c9014273d9f8c5aa2c2a300402f688a0469c660551558340
company,1628891409,Constellation Brands (STZ) Outpaces Stock Market Gains: What You Should Know,69663757,https://s.yimg.com/uu/api/res/1.2/kz0ozt3ejWMPXKci2JxOBw--~B/aD03NTQ7dz0xMDAwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/zacks.com/d7dcbe11345e3f8e5e71e6827fe3c4c9,STZ,Yahoo,"In the latest trading session, Constellation Brands (STZ) closed at $213.64, marking a +0.8% move from the previous day.",https://finnhub.io/api/news?id=81f997c98bf38895f3cebd2c19f78f5332aab16f0baff47420cdb2e66189c777
