category,datetime,headline,id,image,related,source,summary,url
company,1629227580,"Skyworks Solutions Inc. stock falls Tuesday, underperforms market",69712960,https://images.mktw.net/im-220105/social,SWKS,MarketWatch,"Shares of Skyworks Solutions Inc. slipped 1.66% to $178.66 Tuesday, on what proved to be an all-around rough trading session for the stock market, with the...",https://finnhub.io/api/news?id=ac9278be83ad4631919104a287cb78775aad0c7d7b89bc6c0fd8e6f0ba9951d1
company,1629162060,7 Semiconductor Stocks to Buy in August,69716520,https://investorplace.com/wp-content/uploads/2019/07/semiconductor1600e.jpg,SWKS,InvestorPlace,"Despite the global chip shortage, semiconductor stocks have significant growth potential. Here are seven chip names to consider now.",https://finnhub.io/api/news?id=e9a5aab04a85d9dabe2ddcbc47cbae556e73ffceb470b00aae44011e59eb2d2a
company,1629134580,"Skyworks Solutions Inc. stock falls Monday, underperforms market",69692850,https://images.mktw.net/im-220105/social,SWKS,MarketWatch,"Shares of Skyworks Solutions Inc. slipped 0.63% to $181.67 Monday, on what proved to be an all-around favorable trading session for the stock market, with...",https://finnhub.io/api/news?id=d01eaf50bc23a21c2737144be28c09fa80bf7556f397a13d2d16ab4722950f75
company,1629099540,"Capital Management Associates  Buys SolarEdge Technologies Inc, Kinder Morgan Inc, Chart Industries Inc, Sells Salesforce.com Inc, iShares Russell 2000 ETF, Grayscale Bitcoin Trust",69695606,,SWKS,GuruFocus,,https://finnhub.io/api/news?id=1dcd77983947b09a6ac049ec92a20356317c8f0915ae3fbbcb332e1dfe52d972
company,1629095940,"PAX Financial Group, LLC Buys iShares Global Financials ETF, BTC iShares MSCI EAFE Value ETF, iShares Commodities Select Strategy ETF, Sells iShares iBoxx USD Investment Grade Corporate Bond , iShares Global Tech ETF, iShares U.S. Medical Devices ETF",69694281,,SWKS,GuruFocus,,https://finnhub.io/api/news?id=807635f5d82c2b38a9b2ce978df27c2f0f0d35b285d1501dbc20c7e4112b275c
company,1628936400,3 5G Stocks to Buy Right Now,69665950,https://s.yimg.com/uu/api/res/1.2/SDiIFOvKMqMdFyJGdqZkig--~B/aD05MzM7dz0xNDAwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/motleyfool.com/0f25bd51fd894b9e6f6972266703f72e,SWKS,Yahoo,The 5G wireless technology rollout is just getting started.  Just 30% of the world has access to the network today and an even smaller percentage of consumers own 5G-enabled smartphones.  Here are three stocks that stand to benefit from the rollout of 5G wireless technology.,https://finnhub.io/api/news?id=2a24469a4364d44152978d2b6b6526af571073b604ee4252c6ed865d83bcb3e2
company,1628875380,"Skyworks Solutions Inc. stock rises Friday, still underperforms market",69692852,https://images.mktw.net/im-220105/social,SWKS,MarketWatch,"Shares of Skyworks Solutions Inc. inched 0.06% higher to $183.39 Friday, on what proved to be an all-around favorable trading session for the stock market,...",https://finnhub.io/api/news?id=1a8af61732960433b59b767b6821260da3aed097b02fb8c659209f089c9a535a
company,1628811307,13 Upcoming Dividend Increases Including 1 Dividend King,69646756,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1273237907/medium_image_1273237907.jpg,SWKS,SeekingAlpha,All stocks have at least five fiscal years of dividend growth history and come from the U.S. Dividend Champions List. They have an average increase of 8.6% and a median increase of 5.8%.,https://finnhub.io/api/news?id=e06544e92d1e632f7dc9cacfe13189b5d8aaea353b80f01067f087a5e6d13c43
company,1628788980,"Skyworks Solutions Inc. stock falls Thursday, underperforms market",69692853,https://images.mktw.net/im-220105/social,SWKS,MarketWatch,"Shares of Skyworks Solutions Inc. slumped 0.81% to $183.28 Thursday, on what proved to be an all-around great trading session for the stock market, with the...",https://finnhub.io/api/news?id=7c69081ed84e4830c5dc28235da1daa04f8ae2aba0f3d4af38163ccad2d5f845
company,1628768460,October 1st Options Now Available For Skyworks Solutions (SWKS),69654950,,SWKS,Stock Options Channel,"Staff article entitled October 1st Options Now Available For Skyworks Solutions (SWKS), about stock options, from Stock Options Channel.",https://finnhub.io/api/news?id=86189536d21f7b4443935d7aed5ef8fb57983e76398d2f98b5751f81b0edd1f4
company,1628768365,There Are Reasons To Feel Uneasy About Skyworks Solutions' (NASDAQ:SWKS) Returns On Capital,69638641,https://s.yimg.com/uu/api/res/1.2/AkhBH_k5gBqIX8a81ksk_Q--~B/aD00MzI7dz0xMTk0O2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/simply_wall_st__316/1d618ff9ab875bb9b8cc70f749d1f2d0,SWKS,Yahoo,"If you're not sure where to start when looking for the next multi-bagger, there are a few key trends you should keep an...",https://finnhub.io/api/news?id=8da06e2d238645633f8f32acba1a21649b379c18e1e188dda206dd7a9eb36f88
company,1628702580,Skyworks Solutions Inc. stock outperforms competitors despite losses on the day,69630492,https://images.mktw.net/im-220105/social,SWKS,MarketWatch,"Shares of Skyworks Solutions Inc. slipped 0.02% to $184.78 Wednesday, on what proved to be an all-around great trading session for the stock market, with the...",https://finnhub.io/api/news?id=89247f0d0aead282ca95c465722f99e0a8e9a8f2995a794d68e12aba58bc0e8b
company,1628671295,IYW: Technology Dashboard For August,69613403,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1263041709/medium_image_1263041709.jpg,SWKS,SeekingAlpha,"A dashboard with metrics in technology industries. Value and quality scores, and their evolution since last month.",https://finnhub.io/api/news?id=7c3aca22f8448479a01f4d8fd371a03d4799215e54de569a40398d78f5a42c26
company,1628621997,Cramer's lightning round: People will regret selling Skyworks Solutions,69625740,https://image.cnbcfm.com/api/v1/image/102079128-1539342565979105501689.jpg?v=1539342593,SWKS,CNBC,"""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed.",https://finnhub.io/api/news?id=1dc53ae9d1d0afa7b364076906bd68e45d006f71433cef63b0a4cfbbeb0dd632
company,1628616180,"Skyworks Solutions Inc. stock falls Tuesday, underperforms market",69630494,https://images.mktw.net/im-220105/social,SWKS,MarketWatch,"Shares of Skyworks Solutions Inc. sank 0.47% to $184.82 Tuesday, on what proved to be an all-around positive trading session for the stock market, with the...",https://finnhub.io/api/news?id=62fb5361a0c4c3ab3c5659aca723f56e671ca6d7c5b5d10dea0b84ac239bd15b
company,1628603640,These Apple Suppliers Could Benefit From New iPhone Models,69625560,https://images.barrons.com/im-383163/social,SWKS,MarketWatch,"Qualcomm, Skyworks Solutions, Qorvo, and Broadcom are among the suppliers that may be set to benefit with Apple's new iPhone models.",https://finnhub.io/api/news?id=fada0602c1af512d816103edf7692ee4540779e253393aa3a7ace5ea7ff8676f
company,1628529780,Skyworks Solutions Inc. stock underperforms Monday when compared to competitors,69586346,https://images.mktw.net/im-220105/social,SWKS,MarketWatch,"Shares of Skyworks Solutions Inc. shed 0.18% to $185.70 Monday, on what proved to be an all-around poor trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=7100ed63daf1590f0a97f03d30809400a84e0a30a0b6e1a86c2811e4d65d3ad1
company,1628420400,Love AMD Stock? Here Are 3 Better Chip Stocks to Buy Right Now,69570000,https://s.yimg.com/uu/api/res/1.2/QJsLbrXNp6Yja4Pspy4hMg--~B/aD05MzM7dz0xNDAwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/motleyfool.com/a58f336afc12851b36363e7f5979df88,SWKS,Yahoo,"AMD is still a top semiconductor investment, but these three stocks look like better deals at the moment.",https://finnhub.io/api/news?id=6dc5cd2f8c26df091bb615560bad6d253e7bc40130f3739f70622ce8c35fc8e5
