category,datetime,headline,id,image,related,source,summary,url
company,1629223145,Synchrony Financial's (SYF) Bank Issues Cards for Walgreens,69704838,https://s.yimg.com/uu/api/res/1.2/Fbx7tYt_FYh9Bb9XeNExJw--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/02ced337774b592b5cbede20e1f497b9,SYF,Yahoo,Synchrony Financial (SYF) bank offers exclusive cards for Walgreens with lucrative rewards and a wide array of wellbeing choices.,https://finnhub.io/api/news?id=456676a9dd73d56fa8934ba33048c0084e34826dcd9bc818ba9176b240549c98
company,1629116182,Walgreens launches healthy rewards credit card,69683001,https://s.yimg.com/ny/api/res/1.2/Um3Fl.92jNrYHh0s8UxrRg--/YXBwaWQ9aGlnaGxhbmRlcjt3PTIwMDA7aD0xMzMz/https://s.yimg.com/os/creatr-uploaded-images/2021-08/5cc22a30-fe8b-11eb-9ffd-337ca8718541,SYF,Yahoo,"Walgreens (WBA) is launching a new credit card program, with two cards focused on rewards for pharmacy purchases as well as swipes and taps for other health and wellness bills.",https://finnhub.io/api/news?id=a98486a56ca1b54fbd67bfadc7b9e4bb34a69b76f5b2ec73af5a7f760a2887a6
company,1629115200,Walgreens Launches Industry-First myWalgreens Credit Card Program – The Credit Card That Pays Well to Stay Well®,69683002,https://s.yimg.com/uu/api/res/1.2/gdfQTXahG7PRsaz4fhXDmg--~B/aD0zMjI7dz00ODA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/business-wire.com/3e1564ad26ff6a49b5649449c6d9f0d6,SYF,Yahoo,"DEERFIELD, Ill. & STAMFORD, Conn., August 16, 2021--Walgreens (Nasdaq: WBA) today introduced the new myWalgreens Credit Card program, featuring two industry-first retail health and wellness credit cards, issued by Synchrony Bank (NYSE: SYF). The myWalgreens Mastercard and the myWalgreens Credit Card are the first ever of their kind to reward more personalized wellbeing choices and offer industry-leading rewards at more than 9,000 Walgreens locations, Walgreens.com, Duane Reade stores, via the Wa",https://finnhub.io/api/news?id=36601ae1dc57b4abdd55ccf6842cbddf8d6d2c8859d05ac977d62404c33fbbf5
company,1629106680,Interesting SYF Put And Call Options For March 2022,69682305,,SYF,Stock Options Channel,"Staff article entitled Interesting SYF Put And Call Options For March 2022, about stock options, from Stock Options Channel.",https://finnhub.io/api/news?id=8b7dbf65bda726c3fa6b3dadb5276b0ef0dca63dd6842fb6b3b820e78889a084
company,1629103140,Synchrony reports July net charge-off rate 2.24% vs. 2.83% last month,69682306,,SYF,Thefly.com,Reports July 30-plus day ... SYF,https://finnhub.io/api/news?id=0e354000685a9cc55a66fcb11e422cb129827b866b79a95bd218240dcbfecd44
company,1629100800,Walgreens Launches Industry-First myWalgreens Credit Card Program – The Credit Card That Pays Well to Stay Well®,69679400,,SYF,Business Wire,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=7d4050d68c317b2593431e3f34ec38f7a8d5e58eb83817dad35f730aca9a8ea8
company,1628899200,Synchrony’s Margaret Keane Credits These Advisers With Helping Her Reach the Top,69685196,https://images.wsj.net/im-379140/social,SYF,DowJones,The former CEO and current executive chair describes mentors who taught her to tackle sensitive issues such as work blunders and uncooperative colleagues.,https://finnhub.io/api/news?id=f86b01de8c6942e866542b44ec7fedb3c87b7eea2d7fc18c02254d3c5b17136a
company,1628862634,"7 A-Rated, Large-Cap Stocks You Want in Your Portfolio",69675837,,SYF,Yahoo,"This week the major indices continue to hit and retreat from highs. These are the dog days of the market, and like the thermometer, we’re stuck near highs but there’s not a lot of drama about it. Except some quality, hidden large-cap stocks. Most investors are waiting right now. They want to see if inflation is “transitory” or whether it’s a real issue. At this point, there’s some evidence it is, but not enough to hang your hat on it. Also, there are big infrastructure bills heading through Cong",https://finnhub.io/api/news?id=6e0a46a085ba264b020d5742b6dfeae715044378561f4800c6351f2a5ff8e594
company,1628849640,Stocks That Hit 52-Week Highs On Friday,69654377,https://cdn.benzinga.com/files/imagecache/og_image_social_share_1200x630/sites/all/themes/bz2/images/bz-icon.png,SYF,Benzinga," 
 
During Friday's morning session, 137 companies made new 52-week highs.
Areas of Significance:

Johnson & Johnson (NYSE:JNJ) was the largest company by market...",https://finnhub.io/api/news?id=919cfcf8895b927cd8d83d2ddf6a052a70eae18899fc75129ed7e7bc069e8da4
company,1628844660,"7 A-Rated, Large-Cap Stocks You Want in Your Portfolio",69652575,https://investorplace.com/wp-content/uploads/2019/07/large-cap-crushing-it.jpg,SYF,InvestorPlace,"The news cycle continues to play on the same large-cap stocks over and over, but there are still some great choices at great prices.",https://finnhub.io/api/news?id=4dfec2064378fdd046e6755f12e37dfeff3ca95ab49b0c4955c63cd7421c9880
