category,datetime,headline,id,image,related,source,summary,url
company,1628875380,"Sysco Corp. stock rises Friday, outperforms market",69664420,https://images.mktw.net/im-220105/social,SYY,MarketWatch,"Shares of Sysco Corp. inched 0.84% higher to $79.44 Friday, on what proved to be an all-around great trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=6c18972adaca1494bdca548cd37687d9b19edcb5f0a62509420fba0d2c30168c
company,1628826660,"Nelson Peltz's Trian Fund boosts Janus Henderson, cuts Sysco in Q2",69667083,,SYY,Thefly.com,"Nelson Peltz's Trian... JHG, CMCSA, IVZ, GE, PG, SYY, MDLZ, FERG",https://finnhub.io/api/news?id=a8cdffdc90fe9f8e3d663c316422e8d4a3469004ffac20e7d28cc98a202433ea
company,1628788980,Sysco Corp. stock underperforms Thursday when compared to competitors despite daily gains,69648282,https://images.mktw.net/im-220105/social,SYY,MarketWatch,"Shares of Sysco Corp. inched 0.79% higher to $78.78 Thursday, on what proved to be an all-around great trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=dd73d332882ba4efb7356d0136cdc15a8796f8e0fbb8a5aa4bc6abf83f3f47d0
company,1628702580,"Sysco Corp. stock falls Wednesday, underperforms market",69648283,https://images.mktw.net/im-220105/social,SYY,MarketWatch,"Shares of Sysco Corp. shed 0.10% to $78.16 Wednesday, on what proved to be an all-around great trading session for the stock market, with the S&P 500 Index...",https://finnhub.io/api/news?id=81c637f57731894fb761748d036356a2788b185c21f1fee96801626b75224c5a
company,1628689201,"Company News for Aug 11, 2021",69617640,https://s.yimg.com/uu/api/res/1.2/F_dsxdYZI1pWBR6DVA7KLA--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/15f5baeafb14c64987f41a90b679855d,SYY,Yahoo,"Companies In The News Are: VSH, SYY, NOVT, BEAM",https://finnhub.io/api/news?id=f169a79a10e36418bf593f21db99147f10fc4abaa0951476f330a37fc888e172
company,1628684235,Sysco Corporation (NYSE:SYY) Shares Could Be 38% Below Their Intrinsic Value Estimate,69620619,https://s.yimg.com/uu/api/res/1.2/qD9N5kLj9T0w7Ns8NRurOg--~B/aD00MzI7dz0xMTk0O2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/simply_wall_st__316/83f76d21c91eb2ec8cc8f3adfb3843d7,SYY,Yahoo,"Does the August share price for Sysco Corporation ( NYSE:SYY ) reflect what it's really worth? Today, we will estimate...",https://finnhub.io/api/news?id=d5694fa58aa57755d75f31c82c347b9e49b518076c9170138404b41f0fa722aa
company,1628641843,Sysco Corporation (SYY) Q4 2021 Earnings Call Transcript,69608195,,SYY,Yahoo,"SYY earnings call for the period ending June 30, 2021.",https://finnhub.io/api/news?id=0116a056e03338acd9c71d8495ea8f423b28bd2e35b50d4571195a6ce4141fe7
company,1628616180,Sysco Corp. stock outperforms market on strong trading day,69648285,https://images.mktw.net/im-220105/social,SYY,MarketWatch,"Shares of Sysco Corp. advanced 6.52% to $78.24 Tuesday, on what proved to be an all-around favorable trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=7aa51ef57012303a61463344122f0aaec33cad493e5d3e535656c38cbd8bf3de
company,1628612520,How major US stock indexes fared Tuesday,69616954,,SYY,"Associated Press, The",Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=5df174ff455a312406d2758f1a2b588dcd0c8542135c860096b4e4a12899bafe
company,1628612340,"Kansas City Southern, Sysco rise; Aramark, RealReal fall",69614017,,SYY,"Associated Press, The",Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=2c74c46f5110ee57dc9e8aecf8238d9809c1d1703989c7e161ea73743f4f2b05
company,1628610720,Sysco Reports FX Boost to Sales in Fiscal 4Q -- Currency Comment,69648286,https://mw3.wsj.net/mw5/content/logos/mw_logo_social.png,SYY,MarketWatch,By Paulo Trevisani Sysco Corp. said Tuesday that foreign exchange increased sales in the past quarter. The Houston-based foodservice company reported total...,https://finnhub.io/api/news?id=c87fae51ab417b1d7810757834e3889fcfd1570fc3cb82861697136183653097
company,1628606886,Sysco Corporation (SYY) CEO Kevin Hourican on Q4 Fiscal Year 2021 Results - Earnings Call Transcript,69602290,https://static.seekingalpha.com/assets/og_image_1200-29b2bfe1a595477db6826bd2126c63ac2091efb7ec76347a8e7f81ba17e3de6c.png,SYY,SeekingAlpha,"Sysco Corporation (NYSE:SYY) Q4 Fiscal Year 2021 Results Conference Call August 10, 2021, 10:00 AM ET Company Participants Kevin Hourican – President and Chief Executive Officer Neil...",https://finnhub.io/api/news?id=7ca71e951aba1af1a9811e4ed11b2196c415d0d28c9a68fe22f4de2852416a04
company,1628606820,Why Sysco Shares Are Trading Higher Tuesday,69619712,https://cdn.benzinga.com/files/imagecache/og_image_social_share_1200x630/sites/all/themes/bz2/images/bz-icon.png,SYY,Benzinga,Sysco (NYSE: SYY) shares moved higher on Tuesday after the company reported better-than-expected Q4 results. Sysco reported fourth-quarter FY21 sales growth of...,https://finnhub.io/api/news?id=59bcaa91c75b4ade65b40f3358417e683b79bed467ded68b71fd0be871e3ee84
