category,datetime,headline,id,image,related,source,summary,url
company,1629238800,Movie Theatres Are Reopening. So Where Do Streaming Services Go From Here?,69709880,https://static.seekingalpha.com/assets/og_image_1200-29b2bfe1a595477db6826bd2126c63ac2091efb7ec76347a8e7f81ba17e3de6c.png,T,SeekingAlpha,"Andriy Yastreb, Telecom and Media Analyst at TD Asset Management, discusses what the economic reopening means for streaming subscribers growth going forward.",https://finnhub.io/api/news?id=ea3929ef90833f9bf87ad72207c2f78e30dacda8c4976720fa0d9a3dcd1baade
company,1629234875,Should Amazon (AMZN) Antitrust Concerns Worry Investors?,69706605,https://s.yimg.com/cv/apiv2/social/images/yahoo_default_logo-1200x1200.png,T,Yahoo,"While some are worried about Amazon's (AMZN) antitrust issues, past examples suggest that investors shouldn't stress too much.",https://finnhub.io/api/news?id=c6a7b6ccd9affcadfce5eb95afaa1dd9f75603f9e63ad3e56b9d8d82b6d72a26
company,1629227640,AT&T Inc. stock underperforms Tuesday when compared to competitors,69712984,https://images.mktw.net/im-220105/social,T,MarketWatch,"Shares of AT&T Inc. sank 0.04% to $28.19 Tuesday, on what proved to be an all-around rough trading session for the stock market, with the S&P 500 Index...",https://finnhub.io/api/news?id=375d26abea0beb3aaa8c8c80270e4f8fead793443366a95528ca70729fb496ce
company,1629207000,"The University of Tennessee and AT&T are Bringing 5G to the University's Knoxville Campus to Power Research, Education and Innovation",69702862,https://s.yimg.com/uu/api/res/1.2/mULd2MuvYaCN7ITNl9UdTw--~B/aD0yMzI7dz00MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/prnewswire.com/e74556dee80fca8306e44ff7866f93d7,T,Yahoo,"What's the news? The University of Tennessee, Knoxville (UT) and AT&T* are working together to accelerate research and develop innovative new capabilities powered by AT&T 5G using millimeter wave spectrum (5G+) and Multi-Access Edge Computing (MEC) technology on the UT campus. The AT&T 5G+ network is expected to enable the university to help make an impact on society beyond conventional engineering through potential uses in several industries including defense, public safety, healthcare, educati",https://finnhub.io/api/news?id=62cc8a3e74880eddbd76fa65c5d2e62db2ae11caf2ca141bed6786fae631b982
company,1629205621,AT&T (T) Expands 5G on FirstNet to Support First Responders,69697340,https://s.yimg.com/uu/api/res/1.2/HtyUi9lIxOVw5KyFugy0FQ--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/885d57466f3f91311899d9e04e91c2bb,T,Yahoo,First responders in parts of 38 cities and more than 20 venues have access to AT&T's (T) 5G+ spectrum.,https://finnhub.io/api/news?id=cc1a0da456a6523be339cdfe8b46a50c2495eb6f315d31e4eaa720c2034f0d54
company,1629203580,"Oil Up Over Investors’ Bargain Hunt, but COVID-19 Fears Cap Gains By Investing.com",69695260,https://i-invdn-com.investing.com/news/LYNXNPEC1S0Y5_L.jpg,T,Investing.com,"Oil Up Over Investors’ Bargain Hunt, but COVID-19 Fears Cap Gains",https://finnhub.io/api/news?id=913627b547725186e0975718bcf6be6a9ec17a32437005ef834d0877c1c673ae
company,1629200220,5 High-Yield Dividend Stocks to Watch,69693336,,T,Yahoo,"Three of them cut their dividends recently, one will cut its soon, and one is largely overlooked by the market. But all five have real growth potential and could prove to be great long-term buys.",https://finnhub.io/api/news?id=40ce54aae4f89029221695b9e47721499127593a59dc7811ad0a4406b3d34a2a
company,1629199320,Weekly Comic: Biden's Tug of War With OPEC Will Be Settled in China By Investing.com,69717007,https://i-invdn-com.investing.com/news/BidenandOPECinatug-of-warashighercrudepricesfuelsinflation_800x533_L_1629185421.jpg,T,Investing.com,Weekly Comic: Biden's Tug of War With OPEC Will Be Settled in China,https://finnhub.io/api/news?id=2d2111b7fad2a2ea4545beb965281a7fac17023e9c44ffa5ad5ab330561e7c9d
company,1629198000,Scarlett Johansson Inks First Film Role After Disney Lawsuit,69701552,https://cdn.benzinga.com/files/imagecache/og_image_social_share_1200x630/images/story/2012/scarjo.png,T,Benzinga,Scarlett Johansson has signed for her first film role since she filed a breach of contract lawsuit against Walt Disney Co (NYSE: DIS) over her “Black Widow”...,https://finnhub.io/api/news?id=6c9071b14e9ff8abce9342a26242143060a5a6c5722c37f849dd8419fa8de095
company,1629196866,AT&T Vs. T-Mobile Stock: Which Is The Better Buy?,69696708,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/486922886/medium_image_486922886.jpg,T,SeekingAlpha,T-Mobile and AT&T are both companies in the midst of major transformations. Read more to find out which stock is the better buy.,https://finnhub.io/api/news?id=a22d445de779123c19ee8f1c514c6d4715d35d5dc84c4fa07a50600769b0b07c
