category,datetime,headline,id,image,related,source,summary,url
company,1629227640,"TransDigm Group Inc. stock falls Tuesday, still outperforms market",69714025,https://images.mktw.net/im-220105/social,TDG,MarketWatch,"Shares of TransDigm Group Inc. slid 0.06% to $603.45 Tuesday, on what proved to be an all-around poor trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=2a65fdcb05ffb670308e055c93fb3c0451105367a766e64c98716b7e148263c8
company,1629221765,Huntington Ingalls (HII) Issues Notes to Execute Acquisition,69709160,https://s.yimg.com/uu/api/res/1.2/ifZYmYqQQnW7pBSbPpE3Mw--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/8e72554280660e0ae053c5e4c6cf3a4f,TDG,Yahoo,"Huntington Ingalls (HII) completes offering 0.670% and 2.043% senior notes worth $400 million and $600 million, respectively, to finance its already-announced Alion Science and Technology buyout.",https://finnhub.io/api/news?id=569eb9e7e1ae63cb2b13760442fef4391e574eb46e4e64a31cbbce08282c0bc2
company,1629134640,"TransDigm Group Inc. stock falls Monday, underperforms market",69690980,https://images.mktw.net/im-220105/social,TDG,MarketWatch,"Shares of TransDigm Group Inc. slumped 0.35% to $603.84 Monday, on what proved to be an all-around great trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=59808802f1530c0f2cf6d53a02fa770810859cefd6c709eb0816cccb20218167
company,1629117480,"Notable Monday Option Activity: TDG, DISCA, DHI",69698496,,TDG,Stock Options Channel,"Staff article entitled Notable Monday Option Activity: TDG, DISCA, DHI, about stock options, from Stock Options Channel.",https://finnhub.io/api/news?id=81d21e9faef680999025e6f054ab1bf9ffac4cf78ecd3e31be60e81eb6e06f3e
company,1629103138,Meggitt takeover advisors set to rake in £200m in bumper payday,69678522,https://s.yimg.com/ny/api/res/1.2/p9AuvxWFrNOckrVLJHOAWQ--/YXBwaWQ9aGlnaGxhbmRlcjt3PTIwMDA7aD0xMjkx/https://s.yimg.com/os/creatr-uploaded-images/2021-08/0d63cbb0-fe68-11eb-8ffb-5e586662a309,TDG,Yahoo,Citibank is set to be paid £59m of that total from lending money on the Parker side of the deal.,https://finnhub.io/api/news?id=466e553ae888e5c0317cd6eeea26cab7dac9842e3e4643cec6fec0b6e1881078
company,1629101489,UPDATE 1-Meggitt suitor TransDigm has until Sept. 14 to make rival offer,69680092,https://s.yimg.com/cv/apiv2/social/images/yahoo_default_logo-1200x1200.png,TDG,Yahoo,"Meggitt suitor TransDigm has been given a deadline of Sept. 14 by the UK Takeover Panel to formalise a counter bid for the British engineering company or walk away.  The group, which supplies wheels and brakes for aeroplanes, agreed a 6.3 billion pound ($8.7 billion) takeover offer from U.S.-based engineer Parker-Hannifin in early August, in the latest example of corporate America's appetite for British companies.  Days later, Meggitt said it had also been approached by U.S. aircraft components and systems maker TransDigm, at a possible 900 pence per share, higher than Parker-Hannifin's 800 pence level.",https://finnhub.io/api/news?id=0493198b8959a7230d68aff97b5bc6194a56edfd5d711dc9f5223f727a39397f
company,1629095940,"Altarock Partners Llc Buys Microsoft Corp, TransDigm Group Inc",69696416,,TDG,GuruFocus,,https://finnhub.io/api/news?id=154dabf02fb0c76c21f7a5fb5091257c95a544e163afec50f3a571934c08a5ba
company,1629094695,Meggitt publishes Parker-Hannifin takeover documents,69680093,https://s.yimg.com/cv/apiv2/social/images/yahoo_default_logo-1200x1200.png,TDG,Yahoo,"Britain's Meggitt said that it published the scheme document for its recommended takeover by Parker-Hannifin, as the process for that offer continues despite the possibility of a higher bid coming in from U.S. rival TransDigm.  Megggitt, which makes components for aircraft, said on Monday that Britain's Takeover Panel is due to announce a deadline by which TransDigm must clarify its intentions.  A meeting to vote on the offer from Parker-Hannifin is set for Sept. 21.",https://finnhub.io/api/news?id=1876a0eaf60a4cbed15d3d964c6039899d74f2f510e216cc28d34a18a74ad8f2
company,1629087300,TOP NEWS: Meggitt backs Parker bid as takeover vote set for September,69679991,,TDG,Alliance News,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=d42d97251140fb45825c844f1ce85cae00537c4e0636a92d7d87dc6397e93f3f
company,1629083460,"LONDON BRIEFING: BHP, Ultra and Future keep M&A bandwagon moving",69680375,,TDG,Alliance News,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=6150a054d99455d84b6cdc31ae63dde693a5ab0eb7042cac62734df261cf97ef
company,1629082140,LONDON MARKET PRE-OPEN: Ultra Electronics agrees to Cobham offer,69680802,,TDG,Alliance News,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=14c7fc22c379a8edc73c0236db71e274250f0fbc6b93fe3bb883d918be1024b3
company,1628875440,"TransDigm Group Inc. stock falls Friday, underperforms market",69674780,https://images.mktw.net/im-220105/social,TDG,MarketWatch,"Shares of TransDigm Group Inc. slid 1.37% to $605.97 Friday, on what proved to be an all-around positive trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=ed90754da9fc9630529e4ea14641819c76d89134e24f503658ad62bf9f990dec
