category,datetime,headline,id,image,related,source,summary,url
company,1629228740,Teledyne Technologies Incorporated's (NYSE:TDY) Stock Has Seen Strong Momentum: Does That Call For Deeper Study Of Its Financial Prospects?,69712762,https://s.yimg.com/uu/api/res/1.2/IyMkmLaJHOnNINjqghKGMQ--~B/aD00MzI7dz0xMTk0O2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/simply_wall_st__316/4a39ac79965dbdc4c586d12ea5141f62,TDY,Yahoo,Teledyne Technologies (NYSE:TDY) has had a great run on the share market with its stock up by a significant 11% over...,https://finnhub.io/api/news?id=99f2d1b5ef4e0c69725c08ab1c6b4f134ea5ad797809f4df86df0c0fe62a88e7
company,1629164340,"King Luther Capital Management Corp Buys Teledyne Technologies Inc, Axon Enterprise Inc, Ansys Inc, Sells , Becton, Dickinson and Co, RealPage Inc",69716568,,TDY,GuruFocus,,https://finnhub.io/api/news?id=0b4906c40049e3496baaf3d22275256c79b72417010a9c8812c085399416771b
company,1629117540,"Northwestern Mutual Investment Management Company, Buys Organogenesis Holdings Inc, Macerich Co, Construction Partners Inc, Sells iShares iBoxx USD Investment Grade Corporate Bond , S&P 500 ETF TRUST ETF, Whiting Petroleum Corp",69694923,,TDY,GuruFocus,,https://finnhub.io/api/news?id=590bfc962d6b5999d7352a02b257bc04ed4f68d2fa613e35c4d46ed1e030dc00
company,1628694843,Bull Of The Day: Teledyne Technologies (TDY),69625652,https://s.yimg.com/uu/api/res/1.2/FiRwrU7OOA94jC22HaKTsQ--~B/aD01MDY7dz05MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/6e1507b36b8e281ab843d77eb9da3e49,TDY,Yahoo,TDY is an under-the-radar recovery stock that hasn't gained the market traction that it deserves,https://finnhub.io/api/news?id=2136d4502f53b44d8bb91147c1daad327677e6a92b995f1862a4837926fe8d68
company,1628598612,"If You Invested $1000 in Teledyne Technologies a Decade Ago, This is How Much It'd Be Worth Now",69604558,https://s.yimg.com/uu/api/res/1.2/XxozWWpdDFgGg6m0CzltLg--~B/aD02MDI7dz05MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/45c083e4721b0d0d1f6e431ec0bb5cc1,TDY,Yahoo,"Why investing for the long run, especially if you buy certain popular stocks, could reap huge rewards.",https://finnhub.io/api/news?id=253fe99ab8bd7969bf169aa7dfcbd1f5d4e8876bf14edcbd4a658e6cd1593444
company,1628596800,Teledyne’s new AI software allows learning at runtime,69593867,https://s.yimg.com/uu/api/res/1.2/JphVZHngeA56jlEShB5ZEA--~B/aD00ODI7dz05MzA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/globenewswire.com/a21e32385086f511001947a35aa6fc2d,TDY,Yahoo,"Teledyne releases new version of Sapera Vision Software The new version of Sapera Vision Software allows learning at runtime WATERLOO, Ontario, Aug. 10, 2021 (GLOBE NEWSWIRE) -- Teledyne is pleased to announce its Sapera Vision Software Edition 2021-07 is now available. Sapera™ Vision Software from Teledyne DALSA offers field proven image acquisition, control, image processing and artificial intelligence functions to design, develop and deploy high-performance machine vision applications. The ne",https://finnhub.io/api/news?id=d7c7967e8789f004a6d98f37e92aeaa46ee7b2d4fb695b3794ab146afaca0eae
company,1628582400,Teledyne’s new AI software allows learning at runtime,69596219,,TDY,GlobeNewswire,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=e3bfd1c4e942453d890ef46b4514a2890650ea3956b47861ba6abd7eda17ee37
company,1628580660,Teledyne announces Sapera Vision Software Edition 2021-07,69596220,,TDY,Thefly.com,Teledyne is pleased to an... TDY,https://finnhub.io/api/news?id=83a09e562e51ff2df9d6e572c1c24f16acf664ec9ef71744f8bea4d58755a10d
company,1628506811,Bull Of The Day: Teledyne Technologies (TDY),69581986,https://s.yimg.com/uu/api/res/1.2/2AdTU2ywooE3STHKtt7FIw--~B/aD00MTA7dz02MjA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/0e39103ffbd8e5653a6e4efbc43a0122,TDY,Yahoo,TDY is an excellent inflation play that provides shareholders with a nice mix of cyclical-value and innovation-driven profitable growth,https://finnhub.io/api/news?id=74ca63d36f1061de72bfb4b67b4f1a687575bdc61068da5f3e0822a9307afc4c
company,1628496900,"Monday’s Top Analyst Upgrades and Downgrades: Activision, AMD, Beyond Meat, Darden, Dollar Tree, DraftKings, HP, Tesla, Victoria’s Secret and More",69578951,https://247wallst.com/wp-content/uploads/2020/04/imageForEntry1-Qgh.jpg,TDY,247WallSt,"Monday’s top analyst upgrades and downgrades included Activision Blizzard, Advanced Micro Devices, Beyond Meat, Darden Restaurants, Dollar Tree, DraftKings, HP, Tesla and Victoria's Secret.",https://finnhub.io/api/news?id=a3cab873b3e63694b89b3b8c5f7257517a87c17bc202aa56363af5f1ed67baf1
