category,datetime,headline,id,image,related,source,summary,url
company,1629223364,"Dow, S&P 500 are flat ahead of Fed minutes",69722072,https://image.cnbcfm.com/api/v1/image/106929310-1629226397421-nys.jpg?v=1629226478,TJX,CNBC,The Federal Reserve publishes its meeting minutes from its July gathering at 2 p.m. ET.,https://finnhub.io/api/news?id=2c4589f5c66697dffbd3b2ce6b00d7180658a44ae532dd02b983f91398a603b1
company,1629199680,Video: S&P 500 Analyst Moves: TJX,69720420,,TJX,Market News Video,"The latest tally of analyst opinions from the major brokerage houses shows that among the components of the S&P 500 index, TJX Companies (TJX) is now the #46 analyst pick, moving up by 34 spots - This rank is formed by averaging the analyst opinions for each component from each broker, and then ranking the 500 components by those average opinion values - TJX.",https://finnhub.io/api/news?id=2a3fa9d9db1e877adcfb92fe7e94a49c90caef7aba23b811a803defb3d3f3c78
company,1629199560,"TJX Companies Moves Up In Analyst Rankings, Passing NVIDIA Corp",69720421,,TJX,ETF Channel,"Staff article entitled TJX Companies Moves Up In Analyst Rankings, Passing NVIDIA Corp, about ETFs, from ETF Channel.",https://finnhub.io/api/news?id=45886d8ffe07d603fc27b10328a6f5ff16ee69ec9413038a578fd8cc60be8cd0
company,1629193860,November 19th Options Now Available For TJX Companies (TJX),69702284,,TJX,Stock Options Channel,"Staff article entitled November 19th Options Now Available For TJX Companies (TJX), about stock options, from Stock Options Channel.",https://finnhub.io/api/news?id=adfbfc34ded934af97b4a784c2f92cebf668feef1f23923b6ffcc9042bae3dbd
company,1629189600,Unusually active option classes on open August 17th,69695528,,TJX,Thefly.com,"Unusual total active opti... DEO, TJX, YUM, HD, BBY, ASO, WMT, IWM, TIGR, BIDU",https://finnhub.io/api/news?id=c11aefe713eb93d8ee1c3f0927497e7424af6b0a713b9323d00be7043cd9d0d4
company,1629185100,Notable companies reporting before tomorrow's open,69716460,,TJX,Thefly.com,"Notable companies reporti... LOW, TGT, ADI, LITE, EAT, PLCE, TJX",https://finnhub.io/api/news?id=13b9e3179059a0d53b42d68ab41eb58732ddf250eb5d10c2cef28d41e4f46e9d
company,1629172920,S&P 500 Snaps 5-Day Streak as Retail Sales Flag Consumer Worries By Investing.com,69717944,https://i-invdn-com.investing.com/news/LYNXMPEE0G158_L.jpg,TJX,Investing.com,S&P 500 Snaps 5-Day Streak as Retail Sales Flag Consumer Worries,https://finnhub.io/api/news?id=328d7701ee9fe64804d6b125776529824d5e9b9a8cd4222869b1e745e63646fb
company,1629167940,"Longview Partners (Guernsey) LTD Buys Marsh & McLennan Inc, TJX Inc, Sells Emerson Electric Co, Omnicom Group Inc, Willis Towers Watson PLC",69717541,,TJX,GuruFocus,,https://finnhub.io/api/news?id=7895620f6ff37db706974277b7b724464ec2ae9ffe997e64e208217eb6522486
company,1629163740,Notable companies reporting before tomorrow's open,69716463,,TJX,Thefly.com,"Notable companies reporti... LOW, TGT, ADI, LITE, EAT, PLCE, TJX",https://finnhub.io/api/news?id=2d67e4353f1bcdddf64202b16633a718433fa0b290b5a58beb37cc845e67c27a
company,1629136574,Countdown to retail earnings,69685912,https://image.cnbcfm.com/api/v1/image/106928536-16291509432ED3-FM-C-BLOCK-081621.jpg?v=1629150942,TJX,CNBC,"Retailers are on deck to report earnings this week, but some macro headwinds could create uncertainty for the group. With CNBC's Courtney Reagan and the Fast Money traders, Tim Seymour, Karen Finerman, Nadine Terman and Guy Adami.",https://finnhub.io/api/news?id=8d414ca029697bb2e14fcedc3ed086187a5e6e67b988db128dfa1065500ddd02
