category,datetime,headline,id,image,related,source,summary,url
company,1629216900,"Bronstein, Gewirtz & Grossman, LLC Notifies Shareholders of T-Mobile US, Inc. (TMUS) Investigation",69702480,https://s.yimg.com/uu/api/res/1.2/0WwjcnfZ2QRE9Y56Y16Z0Q--~B/aD0zMTA7dz0zMTA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/accesswire.ca/7b10fe747b5a66f1809d7c9ba7c9a8cd,TMUS,Yahoo,"NEW YORK, NY / ACCESSWIRE / August 17, 2021 / Bronstein, Gewirtz & Grossman, LLC is investigating potential claims on behalf of purchasers of T-Mobile US, Inc. (""T-Mobile"" or the ""Company"") (NASDAQ:TMUS).",https://finnhub.io/api/news?id=649e53d27f7aafc1da4f6deb32990e6a7c1c09188d14e1e7c9ca86b54e942963
company,1629202020,T-Mobile confirms data breach as hacker posts claims on dark web,69725908,https://image.cnbcfm.com/api/v1/image/106929168-16292156601629215658-18107957123-1080pnbcnews.jpg?v=1629215660,TMUS,CNBC,CNBC's Eamon Javers reports that T-Mobile has confirmed a massive data breach as a hacker on the dark web attempts to sell data presumedly stolen from the telecom company.,https://finnhub.io/api/news?id=a8cb107c4fef95339cc31db3862350a7a93b73ccd12ba9f463c1ba88176b451a
company,1629196866,AT&T Vs. T-Mobile Stock: Which Is The Better Buy?,69696708,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/486922886/medium_image_486922886.jpg,TMUS,SeekingAlpha,T-Mobile and AT&T are both companies in the midst of major transformations. Read more to find out which stock is the better buy.,https://finnhub.io/api/news?id=a22d445de779123c19ee8f1c514c6d4715d35d5dc84c4fa07a50600769b0b07c
company,1629187020,Wall Street Breakfast: Boosters Are Coming (Podcast),69693189,https://static3.seekingalpha.com/assets/podcasts/wsb-d57bf915fd82bac19817953c2e226c7610de9fc3a36c166d7c276e18e86311ea.png,TMUS,SeekingAlpha,"Our top stories today are: Boosters Are Coming, a Big Day for Retail and another crackdown by China’s market regulator.",https://finnhub.io/api/news?id=24790d5ef7e63416d5fea36eb0d42d62a02783d7a1e022b13681df11893980eb
company,1629182387,Wall Street Breakfast: Boosters Are Coming,69691997,https://static.seekingalpha.com/assets/og_image_1200-29b2bfe1a595477db6826bd2126c63ac2091efb7ec76347a8e7f81ba17e3de6c.png,TMUS,SeekingAlpha,"Listen on the go! A daily podcast of Wall Street Breakfast will be available by 8:00 a.m. on Seeking Alpha, iTunes, Stitcher and Spotify.",https://finnhub.io/api/news?id=79b48b0521329c76764ffb540a391a7fcc739f3b68794d2b7d6a502528641eb8
company,1629176940,David Tepper's Firm Trims Several Top Holdings in 2nd Quarter,69716944,https://static.gurufocus.com/photos/others/portfolio_10.17.14.jpg,TMUS,GuruFocus,"Firm reduces holdings of Facebook, Amazon, buys stake in Uber",https://finnhub.io/api/news?id=8fab9a27ebc340f77e834bac8ed642e507d50427674e3a887ceef49b94d9e16c
company,1629169500,"Market Briefing For Tuesday, Aug. 17",69696273,,TMUS,TalkMarkets,,https://finnhub.io/api/news?id=097f912110989ecb6d81833ad9b9170cbcb836ed7530c98e7e8311d584d2c344
company,1629143740,UPDATE 1-T-Mobile says it found unauthorized access to data,69689824,https://s.yimg.com/cv/apiv2/social/images/yahoo_default_logo-1200x1200.png,TMUS,Yahoo,"T-Mobile US Inc on Monday acknowledged a data breach but said it was yet to find if any customer information has been compromised, a day after an online forum alleged that personal data of more than 100 million of its users was leaked.  The telecom operator said in a blogpost https://www.t-mobile.com/news/network/cybersecurity-incident-update-august-2021 that it was confident the entry point used to access the data had been closed.  U.S.-based digital media outlet Vice first reported the claims of a data breach on Sunday.",https://finnhub.io/api/news?id=dd69c6c5f423f6fe25f274c19cd9d8192160d1af8ed002e1b06590b5fb236052
company,1629142576,T-Mobile says it found unauthorized access to data,69689825,https://s.yimg.com/uu/api/res/1.2/FTTf2Ohm9sragogSNgimdA--~B/aD01NjI7dz04MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/reuters-finance.com/2edbd03e1560ce5927d414cd437ab6bb,TMUS,Yahoo,"U.S.-based digital media outlet Vice first reported the claims of a data breach on Sunday.  According to the report in Vice's Motherboard, the forum's post does not mention T-Mobile, but the hacker told Vice they have obtained data of over 100 million people and that the data came from T-Mobile servers.  Shares of T-Mobile were down 2.8% in afternoon trading.",https://finnhub.io/api/news?id=7f4b8fd5441b582746e14445b8946fdc06310b8dce816f7ee9635c5a0ad0653c
company,1629134340,T-Mobile Says Hackers Breached Company Database ,69707286,https://images.wsj.net/im-386182/social,TMUS,DowJones,The U.S. wireless operator said it is determining whether customers’ personal information was accessed by hackers. ,https://finnhub.io/api/news?id=1a4d5611773fe53902c6d3af9ae4bb785a28a2e99a48c6c6bd9df604ed7f7790
company,1629130500,Qurate Retail Announces Semi-Annual Interest Payment and Regular Additional Distribution on 3.75% Senior Exchangeable Debentures Due 2030,69694627,,TMUS,Business Wire,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=524f1d8a4fd856432c84b001ce6526d69dad8106986b3d9c91dae013936748c2
