category,datetime,headline,id,image,related,source,summary,url
company,1629167940,"Capital Directions Investment Advisors, LLC Buys SPDR Portfolio S&P 500 Growth ETF, iShares Russell 2000 ETF, SPDR S&P 600 Small Cap Growth ETF, Sells The Travelers Inc",69717016,,TRV,GuruFocus,,https://finnhub.io/api/news?id=68df819200b5eb8049f9b95f2163132a07089b779bdc34f484e56618c60a0ca2
company,1629134700,"Travelers Cos. Inc. stock rises Monday, outperforms market",69689295,https://images.mktw.net/im-220105/social,TRV,MarketWatch,"Shares of Travelers Cos. Inc. inched 0.91% higher to $157.74 Monday, on what proved to be an all-around positive trading session for the stock market, with...",https://finnhub.io/api/news?id=452d92f7d4ef63574922601ce88c23c8697a3e6f3006eb3d330d2867d56f1496
company,1629131855,Employers Holdings Leveraged To Improving Employment And Rates,69684648,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1276731907/medium_image_1276731907.jpg,TRV,SeekingAlpha,"Employers Holdings is still seeing the financial impact of weaker workers comp demand during the pandemic, with underwriting income missing expectations and coming in at a small loss.",https://finnhub.io/api/news?id=8db3b7d6419dac353abdb9bda212ba9ade6b56d5e9c690a21ca59e92a93f12ed
company,1629113940,"Systematic Alpha Investments, LLC Buys Invesco S&P SmallCap 600 Pure Value ETF, Vanguard Growth ETF, NVIDIA Corp, Sells Jacobs Engineering Group Inc, Alibaba Group Holding, D.R. Horton Inc",69694473,,TRV,GuruFocus,,https://finnhub.io/api/news?id=7a47513966dcd80d2d5e8b31991c950aea0a0574c02a6ecd7abb1f2325de17a2
company,1629095940,"Crestline Management, LP Buys Sana Biotechnology Inc, Petroleo Brasileiro SA Petrobras, Ameriprise Financial Inc, Sells Micron Technology Inc, UDR Inc, Equitable Holdings Inc",69694404,,TRV,GuruFocus,,https://finnhub.io/api/news?id=47e4ce537a68119b4d10394d425082bee56a371ebdd67e29b4cbba6ed9ea016e
company,1629085440,Travelers initiated with an Outperform at Wolfe Research,69701012,,TRV,Thefly.com,Wolfe Research analyst Mi... TRV,https://finnhub.io/api/news?id=d484e6dd47c69dd01c88e29302b4c9f31e7242589e24de9e9ec1e3d1feffd257
company,1628875500,Travelers Cos. Inc. stock outperforms competitors despite losses on the day,69689296,https://images.mktw.net/im-220105/social,TRV,MarketWatch,"Shares of Travelers Cos. Inc. slipped 0.12% to $156.31 Friday, on what proved to be an all-around favorable trading session for the stock market, with the...",https://finnhub.io/api/news?id=e17907eab51a79e28ba92008d7cf8b3d99bb9fd7dc750e1010ed9019b1219ff2
company,1628789100,"Travelers Cos. Inc. stock rises Thursday, still underperforms market",69689297,https://images.mktw.net/im-220105/social,TRV,MarketWatch,"Shares of Travelers Cos. Inc. inched 0.18% higher to $156.49 Thursday, on what proved to be an all-around great trading session for the stock market, with...",https://finnhub.io/api/news?id=ddbaff87ef652461bfee978b304d6a5c8f5a207e986ed6e750c802db2b81d2e5
company,1628754720,20 Dividend Growth Stocks A Rated Or Better Attractively Valued Blue-Chip,69651945,,TRV,TalkMarkets,,https://finnhub.io/api/news?id=02e738957867b3db0eba472b5855eb7958e8235333924e37dfbdcd13e4d3a59c
company,1628702700,Travelers Cos. Inc. stock outperforms competitors on strong trading day,69689298,https://images.mktw.net/im-220105/social,TRV,MarketWatch,"Shares of Travelers Cos. Inc. rose 1.29% to $156.21 Wednesday, on what proved to be an all-around favorable trading session for the stock market, with the...",https://finnhub.io/api/news?id=41770af17fb05cf4eb6e7f5707acce7f7057ee6fedeccc145554f3d2f7e3892d
company,1628686800,Simply Business Offers Insurance to Third-Party Sellers Through Amazon Insurance Accelerator,69618939,https://s.yimg.com/uu/api/res/1.2/oohSu2wW6e71n3uCfjcpmQ--~B/aD0yNjc7dz00MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/prnewswire.com/5798e9780bc9c98772f184cb1b5b1789,TRV,Yahoo,"Simply Business, Inc., a Boston-based digital insurance agency focused on small businesses, today announced its participation in the newly created Amazon Insurance Accelerator to distribute product liability insurance solutions to its third-party sellers.",https://finnhub.io/api/news?id=8e36952279c29f631de01c32ebf1a8546cf0e0e08f79cbc955e4019349cf8d42
company,1628680980,7 Best Funds to Buy for Income and Growth,69633007,https://investorplace.com/wp-content/uploads/2020/11/dividends-1600.jpg,TRV,InvestorPlace,"In the vast sea of exchange-traded funds, these seven could generate lucrative returns for investors in the coming months.",https://finnhub.io/api/news?id=cc7c99239b35a2eda369c1727444927b32dd99a10f048ce719403cd681f59972
company,1628672400,Simply Business Offers Insurance to Third-Party Sellers Through Amazon Insurance Accelerator,69617266,,TRV,PR Newswire,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=54541e2fa5d7360a9bfa0f18edc25edab1ab3128533caa48cb86fd83b9c1e3ce
