category,datetime,headline,id,image,related,source,summary,url
company,1629177360,7 Solar Stocks to Buy to Beat the Summer Heat,69716498,https://investorplace.com/wp-content/uploads/2020/07/solar-energy-panels.jpg,TT,InvestorPlace,"Alternative energy use is on the rise. That said, here are seven best solar stocks to buy now in long-term renewable energy portfolios.",https://finnhub.io/api/news?id=e6bf03656cce2268d9664c996998558a129891c52e3177017449b4173a9e864a
company,1629130303,"Trane Seeing All The Demand It Can Handle, If Not More",69684370,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1219403908/medium_image_1219403908.jpg,TT,SeekingAlpha,"Trane has put together two better-than-expected quarters, with improving commercial HVAC-R demand and more residential demand than the supply chain can currently handle.",https://finnhub.io/api/news?id=e1799bc14b6448ba41e54ee0e9f078ad618343a28f74d4a9e251e0198d28418c
company,1629110766,Trane Technologies Named One of the Best Employers for Women by Forbes,69683739,https://s.yimg.com/cv/apiv2/social/images/yahoo_default_logo-1200x1200.png,TT,Yahoo,"SWORDS, Ireland, August 16, 2021 /3BL Media/ - Trane Technologies plc (NYSE:TT), a global climate innovator, has been named to Forbes list of The Best Employers for Women in 2021.",https://finnhub.io/api/news?id=baa99d4d4b8da7f5ef4b6ff19ed99d5c617b6cb08eda4db06656793e430334b0
company,1629095400,Trane Technologies Named One of The Best Employers for Women by Forbes,69681602,,TT,Business Wire,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=015369ec8c6b55b6e8c9db655d5d5192fe54c666d4a3d9fb6de35fa6b07ae698
company,1628875560,Trane Technologies PLC stock outperforms competitors despite losses on the day,69673642,https://images.mktw.net/im-220105/social,TT,MarketWatch,"Shares of Trane Technologies PLC slumped 0.33% to $191.18 Friday, on what proved to be an all-around great trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=6c0186185af803a2031f359aee21132667dd17a657ee83c2020ce35142348e35
company,1628860081,Are You a Growth Investor? This 1 Stock Could Be the Perfect Pick,69656565,https://s.yimg.com/uu/api/res/1.2/tOBz_qCByJO0HnfH4oUL8w--~B/aD03NDU7dz05MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/0b7fd86309a053886475931bab708af5,TT,Yahoo,"Wondering how to pick strong, market-beating stocks for your investment portfolio? Look no further than the Zacks Style Scores.",https://finnhub.io/api/news?id=aab723c14a5557cd86be0dd8eede80143ce422f961250da12cfcf044885350c6
company,1628789160,Trane Technologies PLC stock underperforms Thursday when compared to competitors,69647302,https://images.mktw.net/im-220105/social,TT,MarketWatch,"Shares of Trane Technologies PLC slid 0.79% to $191.81 Thursday, on what proved to be an all-around favorable trading session for the stock market, with the...",https://finnhub.io/api/news?id=dd21d401c1c9b998dfc0bba287cb185b7c22b2b2ddffacaac2792822ec878068
company,1628782920,"Trane Technologies, Nexii Partner To Create Sustainable High-Performance Buildings",69654355,https://cdn.benzinga.com/files/imagecache/og_image_social_share_1200x630/images/story/2012/industrial_pic_285.jpg,TT,Benzinga,Trane Technologies PLC (NYSE: TT) and Nexii Building Solutions Inc. (Nexii) have collaborated to create sustainable commercial buildings with...,https://finnhub.io/api/news?id=aef724c8f5e36b49193efc32fe2994b5ec23570947dc1d67cbed6ab421a81e76
company,1628765166,Trane Technologies and Nexii Join Forces to Create Sustainable High-Performance Buildings of the Future,69631286,https://s.yimg.com/cv/apiv2/social/images/yahoo_default_logo-1200x1200.png,TT,Yahoo,Collaboration propels innovative solutions that can help reduce emissions by approximately 30% compared to traditionally constructed buildings,https://finnhub.io/api/news?id=a3f7cb89083295b9dcdcc3a5b74bb3a32af4eff66f0b7dc8a4f88ccf020e66b5
company,1628749800,Trane Technologies and Nexii Join Forces to Create Sustainable High-Performance Buildings of the Future,69635312,,TT,Business Wire,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=00d74c38bec6ff2743868b146438546ce8986e099a173c642c6d1bbf14e0af18
company,1628747100,Trane and Nexii partner for sustainable commercial buildings,69635313,,TT,Thefly.com,Trane and Nexii Building ... TT,https://finnhub.io/api/news?id=36cec4a6cd0f110a7f14c6c1ecaee50283f784943b493bae01306e5bf5ed2c6d
