category,datetime,headline,id,image,related,source,summary,url
company,1629162060,7 Semiconductor Stocks to Buy in August,69716520,https://investorplace.com/wp-content/uploads/2019/07/semiconductor1600e.jpg,TXN,InvestorPlace,"Despite the global chip shortage, semiconductor stocks have significant growth potential. Here are seven chip names to consider now.",https://finnhub.io/api/news?id=e9a5aab04a85d9dabe2ddcbc47cbae556e73ffceb470b00aae44011e59eb2d2a
company,1629119461,"Data Center, Gaming Segments to Aid NVIDIA's (NVDA) Q2 Earnings",69688424,https://s.yimg.com/uu/api/res/1.2/pXM1demKWkcUam5GodRDIw--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/cbfcc2d36e5d5391b79e00de30b0354f,TXN,Yahoo,NVIDIA's (NVDA) Q2 performance is likely to reflect strength in its data-center business on the growing adoption of cloud-based storage and solutions and stellar demand for gaming chips.,https://finnhub.io/api/news?id=c1a60d516638ceea8688a2abd8f27a21a045c5cd28e0fe69914d61fa9590466a
company,1629085140,"Howe & Rusling Inc Buys U.S. Bancorp, Texas Instruments Inc, Philip Morris International Inc, Sells Corteva Inc, Allstate Corp, MetLife Inc",69694418,,TXN,GuruFocus,,https://finnhub.io/api/news?id=b79bbd7677290c577dba60327569721bb44be0cfd920361e419677919ea78a9a
company,1629075369,The Retirees' Dividend Portfolio: John And Jane's July Taxable Account Update,69677576,,TXN,SeekingAlpha,,https://finnhub.io/api/news?id=29c5405a9a97e0e59a78459b971eed457ee0815e61e720d525aa10a2cbe8902c
company,1629025200,3 Tech Stocks With Surprisingly Solid Dividends,69675620,https://s.yimg.com/uu/api/res/1.2/uiQElN429Kz92.ein8xKaA--~B/aD05MzM7dz0xNDAwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/motleyfool.com/2673ca73b37d74b2918f995fc9589dd6,TXN,Yahoo,"The technology sector is filled with high-growth companies vying for market share.  Rather than pay dividends, many of these businesses prefer to reinvest excess cash in their operations, a strategy that makes sense given the quickly changing nature of technology.  With that in mind, we asked three Motley Fool contributors to write about tech stocks with strong dividends.",https://finnhub.io/api/news?id=dcc614c91de4885ac4c9d48b4801d6de40125691b005cc1013a8231a71cff5a0
company,1628851848,"One key indicator for the SMH semiconductor ETF just flashed an ominous signal, trader warns",69661653,https://image.cnbcfm.com/api/v1/image/106893894-1623168050622-gettyimages-1320074520-vcg111331428198.jpeg?v=1623168149,TXN,CNBC,"One popular semiconductor ETF could be headed for a pullback after a ""death cross"" in a key momentum indicator, says Miller Tabak's Matt Maley.",https://finnhub.io/api/news?id=ad157e1c6fbf9fca28386dbbf7a4e40850eea9fee43adce9bd4d54a0a7be4b59
company,1628825280,"Soros Fund buys Figs, exits Denbury in Q2",69667092,,TXN,Thefly.com,"George Soros' Soros ... FIGS, INFO, PTRA, MQ, PPD, BIDU, DEN, VIPS, TME, IQ, AMZN, MXIM, ELAN, GOOGL, CLVT, LQD, VICI, UPST, TXN, QS, LBRDK, QQQ, DHI",https://finnhub.io/api/news?id=bd3aaacd13d287b4791f297e6ca8acfeea729b216893306937cb0c1c2f052ac7
company,1628789160,Texas Instruments Inc. stock underperforms Thursday when compared to competitors,69647309,https://images.mktw.net/im-220105/social,TXN,MarketWatch,"Shares of Texas Instruments Inc. shed 0.86% to $187.87 Thursday, on what proved to be an all-around favorable trading session for the stock market, with the...",https://finnhub.io/api/news?id=b39b97ec7ff042cccfff6ff2cade9808d101aa794e9a7f558cb09a3764e609cc
company,1628787034,3 Stocks to Supplement Your Social Security Income,69639527,https://s.yimg.com/uu/api/res/1.2/uWjEKb4MI2ZlwOCL6Bwv0Q--~B/aD05MzM7dz0xNDAwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/motleyfool.com/793515f321ed21b85302c832daab81d4,TXN,Yahoo,"These companies' yields may not be stellar, but their dividend payments are rooted in rock-solid business models.",https://finnhub.io/api/news?id=011d2afb9a5efb2e885a70919e39c84a1287166da995fd889f2571095a1a2189
company,1628776561,"Avnet's (AVT) Q4 Earnings Beat, Revenues Meet Estimates",69637393,,TXN,Yahoo,Avnet's (AVT) fourth-quarter fiscal 2021 top-line results reflect stellar growth across Asia and EMEA regions as well as impressive performance of the Farnell business unit which boosted sales.,https://finnhub.io/api/news?id=424350ef95c5bc7e650c8ae814b45f83198e03c8b836a848ae9bf3964be0d47c
company,1628771940,"Transamerica Financial Advisors, Inc. Buys Invesco DWA Consumer Cyclicals Momentum ETF, Invesco DWA Energy Momentum ETF, Invesco DWA Industrials Momentum ETF, Sells iShares 20+ Year Treasury Bond ETF, FIRST TR EXCH ALPH, Duke Energy Corp",69651878,,TXN,GuruFocus,,https://finnhub.io/api/news?id=83d15db3d81f436b8b27a3a3abbc70f190d47d51cf39058b6da19915bd83e770
company,1628770392,Supply Crunch Puts Microchips in Focus: 5 Stocks to Buy,69633758,https://s.yimg.com/uu/api/res/1.2/4NwKkurRBU8_esdmz5IRdQ--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/c63097631eea65259644ae1a55a1f22b,TXN,Yahoo,"Growing demand for microchips is driving sales, which is helping companies like Maxim Integrated Products (MXIM) and Texas Instruments Incorporated (TXN).",https://finnhub.io/api/news?id=57e29b387033b2dde1ce5b2c4a979d78c39d6acc8a084577b968620b9a02c28f
company,1628768760,Interesting TXN Put And Call Options For October 1st,69654821,,TXN,Stock Options Channel,"Staff article entitled Interesting TXN Put And Call Options For October 1st, about stock options, from Stock Options Channel.",https://finnhub.io/api/news?id=938e44c0d30141e0fc765e485b0455fbe59435ce7d13789d808298b837ebe16f
company,1628764800,3 Dividend-Paying Tech Stocks to Buy in August,69631851,,TXN,Yahoo,Who said technology can't deliver both dividends and growth? Here are three stocks that do just that.,https://finnhub.io/api/news?id=9bd2ac2b8eb7da46d4cf961941c43c10d64b137b3ddad25096c47f76747987bf
company,1628702760,"Texas Instruments Inc. stock falls Wednesday, underperforms market",69628982,https://images.mktw.net/im-220105/social,TXN,MarketWatch,"Shares of Texas Instruments Inc. slipped 0.08% to $189.50 Wednesday, on what proved to be an all-around great trading session for the stock market, with the...",https://finnhub.io/api/news?id=41c2215e61b35d6a4791678fc5cda830f40b5f7fea559fce0e2f6a450cac41dc
company,1628696703,Why Texas Instruments (TXN) is a Great Dividend Stock Right Now,69627454,https://s.yimg.com/uu/api/res/1.2/I67vygGrP1BjgOjVx.apeA--~B/aD03Mjg7dz05MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/b9775f315e7b6c4ada6e36d0048a929a,TXN,Yahoo,"Dividends are one of the best benefits to being a shareholder, but finding a great dividend stock is no easy task. Does Texas Instruments (TXN) have what it takes? Let's find out.",https://finnhub.io/api/news?id=29a293e17de29061570460663c0b52305d42a697e337a994b0962253b756415d
company,1628688481,NortonLifeLock (NLOK) Boosts Cyber Safety Portfolio on Avast Buyout,69615740,https://s.yimg.com/uu/api/res/1.2/sW7ajMQeV24IT0CUoAjL7A--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/69287b4cbf03894d9df83a7d49330362,TXN,Yahoo,Merger of NortonLifeLock (NLOK) and Avast will create a global leader in consumer security software market.,https://finnhub.io/api/news?id=9412465196cb65084263b9101abc589818e88c293bb780f76c0018c65f01b07a
