category,datetime,headline,id,image,related,source,summary,url
company,1629227820,"Textron Inc. stock falls Tuesday, underperforms market",69711522,https://images.mktw.net/im-220105/social,TXT,MarketWatch,"Shares of Textron Inc. slipped 1.96% to $72.15 Tuesday, on what proved to be an all-around rough trading session for the stock market, with the S&P 500 Index...",https://finnhub.io/api/news?id=938fef8694740f0872920809e11d58ba96ec000e90f2f4f02e3038e375c4e562
company,1629221765,Huntington Ingalls (HII) Issues Notes to Execute Acquisition,69709160,https://s.yimg.com/uu/api/res/1.2/ifZYmYqQQnW7pBSbPpE3Mw--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/8e72554280660e0ae053c5e4c6cf3a4f,TXT,Yahoo,"Huntington Ingalls (HII) completes offering 0.670% and 2.043% senior notes worth $400 million and $600 million, respectively, to finance its already-announced Alion Science and Technology buyout.",https://finnhub.io/api/news?id=569eb9e7e1ae63cb2b13760442fef4391e574eb46e4e64a31cbbce08282c0bc2
company,1629187200,"Textainer Announces Pricing of 6,000,000 Depositary Shares Representing Interests in Series B Preference Shares",69697909,,TXT,PR Newswire,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=73f1d067382a17f6ddc595b0d89e6e51c663a3e0af76e19daf4d0723d8b70187
company,1629134760,Textron Inc. stock underperforms Monday when compared to competitors,69711523,https://images.mktw.net/im-220105/social,TXT,MarketWatch,"Shares of Textron Inc. dropped 0.33% to $73.59 Monday, on what proved to be an all-around favorable trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=7a6ac7590a5a0b60c6ba09647fad970be1d1d6154dfe432e1df557caa5e65e6e
company,1629123302,"Embraer (ERJ) Q2 Earnings Beat Estimates, Revenues Rise Y/Y",69682940,https://s.yimg.com/uu/api/res/1.2/k801.RUJ07Ee7atwPd.DSQ--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/f54f709ae65e32f6086a21eeef8d44f3,TXT,Yahoo,"Embraer (ERJ) delivers 34 jets in the second quarter of 2021, up 100% year over year.",https://finnhub.io/api/news?id=833daa53bc37c033f392d52cee189b7caf7b57a1920a3377d5f33d6664b63c25
company,1629117012,The 5 Best Stocks to Buy Now on Relative Price Strength,69680660,https://s.yimg.com/uu/api/res/1.2/7hBFEWQLcyWjWnaSa5EcIg--~B/aD0zNjQ7dz02MjA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/2b1a3153f140c0e1b0f6c5ceabcb802e,TXT,Yahoo,"Avis Budget Group (CAR), Rent-A-Center (RCII), Petrobras (PBR), Sonos (SONO) and Textron (TXT) are five stocks with explosive relative price strength.",https://finnhub.io/api/news?id=ee6a1a9a20415dfaee75901885a561ddf023bb2e59e65f4d577b44ef84765a4b
company,1628875560,Textron Inc. stock underperforms Friday when compared to competitors,69661782,https://images.mktw.net/im-220105/social,TXT,MarketWatch,"Shares of Textron Inc. dropped 0.66% to $73.83 Friday, on what proved to be an all-around favorable trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=aff9516f476f63d59ee8c7d697da4573df2217485152c03ed1bcd231a5df50c9
company,1628849640,Stocks That Hit 52-Week Highs On Friday,69654377,https://cdn.benzinga.com/files/imagecache/og_image_social_share_1200x630/sites/all/themes/bz2/images/bz-icon.png,TXT,Benzinga," 
 
During Friday's morning session, 137 companies made new 52-week highs.
Areas of Significance:

Johnson & Johnson (NYSE:JNJ) was the largest company by market...",https://finnhub.io/api/news?id=919cfcf8895b927cd8d83d2ddf6a052a70eae18899fc75129ed7e7bc069e8da4
company,1628789160,"Textron Inc. stock falls Thursday, underperforms market",69643585,https://images.mktw.net/im-220105/social,TXT,MarketWatch,"Shares of Textron Inc. slumped 0.19% to $74.32 Thursday, on what proved to be an all-around positive trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=4a9312964fb2d56b9ba84406f7a4b8396db3e242287756132eb482bee06c3318
company,1628765350,"Inflation Seems to Have Picked Up, May Stay Elevated: 5 Picks",69631834,https://s.yimg.com/uu/api/res/1.2/zmoJN6wa50FLkBP_Pycpvg--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/8416ac9fde0ef2eb53d31e00e785e189,TXT,Yahoo,"We have narrowed down our search to five large-cap growth stocks that have strong upside left for the rest of 2021. These are: JLL, LAD, NUE, IT and TXT.",https://finnhub.io/api/news?id=e836c9dba8d7c09f6dadd15dc94cb0300fda947e799f337d73e32edcf83b0d63
company,1628702760,Textron Inc. stock outperforms market on strong trading day,69643586,https://images.mktw.net/im-220105/social,TXT,MarketWatch,"Shares of Textron Inc. rallied 1.67% to $74.46 Wednesday, on what proved to be an all-around great trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=9637489ff00d9c28cabdfff1a1e5ec72e27ba6fedfba50d19b16d3cb59f35b16
