category,datetime,headline,id,image,related,source,summary,url
company,1629206220,Tyler Technologies Expands Partnership with the Administrative Office of the Illinois Courts Through 2026,69699811,https://s.yimg.com/uu/api/res/1.2/mOu1rqMpSMjGaqXU.jK0hg--~B/aD0xMDM7dz0zMDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/business-wire.com/8456e7689bb5d95447b8ca643c59ddc2,TYL,Yahoo,"PLANO, Texas, August 17, 2021--Tyler Technologies announced a five-year agreement with the Administrative Office of the Illinois Courts.",https://finnhub.io/api/news?id=1d9ccafe2e4615736903c60db2f51f6eea607d93fd35f7fa1cf967fec037dbf9
company,1629191820,Tyler Technologies Expands Partnership with the Administrative Office of the Illinois Courts Through 2026,69697080,,TYL,Business Wire,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=0855b6e492130d50f5639009c6413a09cdc2d9496d959e9c81bd7b331963bc93
company,1629188640,Tyler Technologies announces five-year expansion of AOIC agreement,69697081,,TYL,Thefly.com,Tyler Technologies announ... TYL,https://finnhub.io/api/news?id=9ba43c6ebcb3827a6588dc6eab5a129954b346a0e6f2030162e8f50e07fd3c0f
company,1629167940,"American Capital Management Inc Buys Cognyte Software, Cognyte Software, Brooks Automation Inc, Sells RealPage Inc, HMS Holdings Corp, Proofpoint Inc",69717748,,TYL,GuruFocus,,https://finnhub.io/api/news?id=73aba1f4926d2b16b801b6ad16f1d80249cc01773adc47ec9930351129740e7f
company,1629115020,Tyler Technologies management to meet virtually with BTIG,69697083,,TYL,Thefly.com,Virtual Meeting to be hel... TYL,https://finnhub.io/api/news?id=0bd4a7808186f0f2cdd73647b97bee9900a629eb17b6d2a788d944b51d902063
company,1629085140,"RGM Capital, LLC Buys Guidewire Software Inc, ServiceNow Inc, Mimecast, Sells Proofpoint Inc, Nuance Communications Inc, Cloudera Inc",69695816,,TYL,GuruFocus,,https://finnhub.io/api/news?id=c8698e13e67997972986f306b36cd0b0001d0d646b14d8788193e222959d7d2c
company,1628774220,New Hanover County Schools First District in North Carolina to Go Live on Tyler Technologies ERP Solution,69640946,https://s.yimg.com/uu/api/res/1.2/9bQXuzGiOYwVi_NxaTMiOQ--~B/aD0xMDM7dz0zMDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/business-wire.com/cf4191e65c18af8098ba65b549e2a176,TYL,Yahoo,"PLANO, Texas, August 12, 2021--New Hanover County Schools is the first district in North Carolina to go live on Tyler’s Munis® ERP solution within North Carolina’s SBSM program.",https://finnhub.io/api/news?id=01024a245d5464440a9b0fd2380b2ef4b218a88027a2870fac7397ecdfdb6f8d
company,1628766257,Palantir Looks Bullish After Q2 Earnings,69634348,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/127935121/medium_image_127935121.jpg,TYL,SeekingAlpha,Palantir released its second quarter earnings today and beat both revenue and EPS expectations. Click here to see why I’m bullish on PLTR stock.,https://finnhub.io/api/news?id=4568da09cad28bb85a3441c3d2acf12d3cbf24e511b7896cb37f6a843b9a21b3
company,1628759820,New Hanover County Schools First District in North Carolina to Go Live on Tyler Technologies ERP Solution,69636742,,TYL,Business Wire,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=84bad2e83c720680a8db0a1f6dac6def312edeba0a601dce82d16ff6dbadacc2
company,1628167212,Betting on These 5 Low-Beta Stocks is Ideal in a Choppy Market,69520382,https://s.yimg.com/uu/api/res/1.2/Fbx7tYt_FYh9Bb9XeNExJw--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/02ced337774b592b5cbede20e1f497b9,TYL,Yahoo,"It is imperative to build a portfolio of low-beta stocks to sail through choppy market conditions. VSTO, CAJ, AMEH, TYL and RMD are the frontrunners.",https://finnhub.io/api/news?id=200132b8cfb30542827fa71e4fd498de9830495c53c50784bb5ec98f6174c5f6
company,1628044740,"Illinois Municipal Retirement Fund Buys Public Storage, Agilent Technologies Inc, Capital One Financial Corp, Sells PNC Financial Services Group Inc, Digital Realty Trust Inc, S&P Global Inc",69516929,,TYL,GuruFocus,,https://finnhub.io/api/news?id=20df9ba8631c88d6d559522f436a1dae4e073ce51cb8be9d9cc8733bb6d7d85e
