category,datetime,headline,id,image,related,source,summary,url
company,1629134820,Universal Health Services Inc. Cl B stock outperforms competitors on strong trading day,69692862,https://images.mktw.net/im-220105/social,UHS,MarketWatch,"Shares of Universal Health Services Inc. Cl B rose 1.38% to $151.45 Monday, on what proved to be an all-around favorable trading session for the stock...",https://finnhub.io/api/news?id=e994837312eda87566fd53295a52d928a46d1283302c870e5191925a0de14adc
company,1628880006,Tenet Healthcare (THC) Announces Partial Redemption of Notes,69660243,https://s.yimg.com/uu/api/res/1.2/Mjurn80_ji38Biba0d.Z4Q--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/fbcc46c8695be25f9de8dc5957119a03,UHS,Yahoo,"To boost financial flexibility, Tenet Healthcare (THC) announces partial redemption of senior secured notes to procure funds for paying down its future annual cash interest payments.",https://finnhub.io/api/news?id=1d38322012d8d7ca7eb9edecc503f5df9bf2a6b644eac019c73fa5c2b3abf328
company,1628875620,Universal Health Services Inc. Cl B stock outperforms competitors on strong trading day,69676673,https://images.mktw.net/im-220105/social,UHS,MarketWatch,"Shares of Universal Health Services Inc. Cl B inched 0.50% higher to $149.39 Friday, on what proved to be an all-around favorable trading session for the...",https://finnhub.io/api/news?id=793b319d0121df3e3ecb15edb386e1e898ab0cf66faaab6a48a7a2b7b6934826
company,1628789220,"Universal Health Services Inc. Cl B stock rises Thursday, still underperforms market",69659388,https://images.mktw.net/im-220105/social,UHS,MarketWatch,"Shares of Universal Health Services Inc. Cl B inched 0.20% higher to $148.65 Thursday, on what proved to be an all-around favorable trading session for the...",https://finnhub.io/api/news?id=245983bfd5020f74badbb5cd8be7134456e0df28b07e014d1e91d4fea47ab285
company,1628759820,"Clover Health, Palantir, Coupang: What to Watch When the Stock Market Opens Today",69643433,https://images.wsj.net/im-382569/social,UHS,DowJones,Occasional meme stock Clover Health was soaring premarket after its earnings report.,https://finnhub.io/api/news?id=c3abcaa760fae3b5fc04de0a2ef97348dcc13b6e6a5dc9aa666c344074f46f63
company,1628745120,Universal Health assumed at Underweight from Overweight at Barclays,69636225,,UHS,Thefly.com,Barclays analyst Sarah Ja... UHS,https://finnhub.io/api/news?id=54296658e13f5a8a2c04736b7b61ef5c692afd281c0e5076a726274b7eef4ea2
company,1628743080,Home - The Fly,69636226,,UHS,Thefly.com,The Fly is a leading digital publisher of real-time financial news. The Fly team scours all sources of company news and delivers short-form stories consisting of only market moving content.,https://finnhub.io/api/news?id=b82613280ac25c515e57bc247cd16683295734f66a184912a82d398e40ac9f22
company,1628702820,Universal Health Services Inc. Cl B stock outperforms competitors on strong trading day,69639307,https://images.mktw.net/im-220105/social,UHS,MarketWatch,"Shares of Universal Health Services Inc. Cl B inched 0.86% higher to $148.36 Wednesday, on what proved to be an all-around great trading session for the...",https://finnhub.io/api/news?id=a96a4a2f8dda59401f766e0d9d9115f89d50286c73d67c0a4b14d8cb6daed61f
company,1628685900,"Universal Health Services, Inc. Announces Pricing Of Senior Secured Notes Offering",69616150,https://s.yimg.com/uu/api/res/1.2/5VP5woQPMiYFfzqb0VluhA--~B/aD0xNjt3PTE2O2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/prnewswire.com/51dd824c3f769cbe28e5eda0d77e5c9b,UHS,Yahoo,"Universal Health Services, Inc. (NYSE: UHS) announced the pricing of its previously announced private offering of senior secured notes. The Company priced the offering of $700 million aggregate principal amount of its 1.650% senior secured notes due 2026 (the ""2026 Notes"") and $500 million aggregate principal amount of its 2.650% senior secured notes due 2032 (the ""2032 Notes"", and together with the 2026 Notes, the ""Notes""). The Notes will pay interest semi-annually in arrears, on March 1 and Se",https://finnhub.io/api/news?id=1fc5d5e9d96dbf3033f590f0ed993720e687babf364169810a30dffe7840f391
company,1628671500,"Universal Health Services, Inc. Announces Pricing Of Senior Secured Notes Offering",69614734,,UHS,PR Newswire,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=f8f9c070f97aa6b2be045e166f79c1a1fbead810f48ef835ebff6795cb16724d
company,1628616420,"Universal Health Services Inc. Cl B stock falls Tuesday, underperforms market",69639309,https://images.mktw.net/im-220105/social,UHS,MarketWatch,"Shares of Universal Health Services Inc. Cl B slid 2.25% to $147.10 Tuesday, on what proved to be an all-around positive trading session for the stock...",https://finnhub.io/api/news?id=d80d90d230544b9e5b9ed45e004791bae0f61789efb60b1991ca29d14abfa089
company,1628605560,IN BRIEF: Umuthi Healthcare shares remain temporarily suspended,69614735,,UHS,Alliance News,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=f92b79e7f35a389e1e5d55f6e4828bac0b2c0b0780202257151c95ecf6f3cdac
company,1628603269,10 Best Healthcare Stocks to Buy According to Larry Robbins’ Glenview Capital,69596208,https://s.yimg.com/uu/api/res/1.2/mkH_OADC7Nn5JDlqwSAfQQ--~B/aD02MDA7dz01MDg7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/insidermonkey.com/0f9a8923ca777e6205051860563353a9,UHS,Yahoo,"In this article, we will discuss the 10 best healthcare stocks to buy according to Larry Robbins’ Glenview Capital. If you want to skip our detailed analysis of Robbins’ history and hedge fund performance, go directly to the 5 Best Healthcare Stocks to Buy According to Larry Robbins’ Glenview Capital. Larry Robbins, born in 1969, […]",https://finnhub.io/api/news?id=5a0b8e7e0a8eded4d50f9ec170931e7331e6e096e42643dae297c7bb633bb82f
company,1628600340,"Universal Health Services, Inc. Announces Offering Of Senior Secured Notes",69601368,https://s.yimg.com/uu/api/res/1.2/PX.GQ2g9y.hXZUcHcM_7ZA--~B/aD0xNjt3PTE2O2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/prnewswire.com/0ff74378c76e81a06f99a9fc0b972509,UHS,Yahoo,"Universal Health Services, Inc. (NYSE: UHS) today announced an offering of senior secured notes in two tranches due September 2026 and January 2032 (the ""Notes""). The Company intends to use the net proceeds of the offering to redeem all of the outstanding $400 million aggregate principal amount of its 5.00% Senior Secured Notes due 2026 ( the ""Existing 2026 Notes"") on or about September 13, 2021, to pay accrued and unpaid interest on the Existing 2026 Notes to but excluding the date of redemptio",https://finnhub.io/api/news?id=91a24b476d1db4f312539add214d0482042ab4277d37070ecb241bb4e13c3862
company,1628585940,"Universal Health Services, Inc. Announces Offering Of Senior Secured Notes",69597793,,UHS,PR Newswire,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=06b67ed6910eac8decf3081f180252a9f401bea1fd2c8416ee3580c8b0d5af55
company,1628567700,Universal Health management to meet virtually with Mizuho,69597794,,UHS,Thefly.com,Virtual Meeting to be hel... UHS,https://finnhub.io/api/news?id=d0d7f3850950325e3c0b2bede702e77e1f7ed706c23526c1734b606a655cb39b
company,1628559900,"Texas governor asks hospitals to delay elective procedures, Texas Tribune says",69614344,,UHS,Thefly.com,"Texas governor Greg Abbot... THC, UHS, LPNT, CYH, HCA",https://finnhub.io/api/news?id=8282d37164b3b28a349a0eebefc37104bba4108bb6a684d60db6316ef4063e9a
company,1628530020,"Universal Health Services Inc. Cl B stock falls Monday, underperforms market",69587605,https://images.mktw.net/im-220105/social,UHS,MarketWatch,"Shares of Universal Health Services Inc. Cl B shed 1.49% to $150.49 Monday, on what proved to be an all-around dismal trading session for the stock market,...",https://finnhub.io/api/news?id=2eed7f7ea0689a31a9eff22d38630687187f7f022f8d956b4b0c8ea1ba35157b
company,1628514541,3 Hospital Stocks to Buy as the Top-Ranked Industry Rebounds,69581417,https://s.yimg.com/uu/api/res/1.2/w34Zg9uJv8hyoTaMya5UGQ--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/cb4f131331213a56b5523449ac78f660,UHS,Yahoo,Stocks in the hospital industry look set to grow on the back of higher patient admissions.,https://finnhub.io/api/news?id=208ed1119c4db8daae4f96173c5dce67819080512997e79635653904bcb55863
company,1628270820,"Universal Health Services Inc. Cl B stock rises Friday, still underperforms market",69571503,https://images.mktw.net/im-220105/social,UHS,MarketWatch,"Shares of Universal Health Services Inc. Cl B inched 0.16% higher to $152.77 Friday, on what proved to be an all-around great trading session for the stock...",https://finnhub.io/api/news?id=664925c5def1e09902a64c4dd3d757428d6862cd99619fd91e9448cb6f030ffd
company,1628184420,Universal Health Services Inc. Cl B stock underperforms Thursday when compared to competitors,69571504,https://images.mktw.net/im-220105/social,UHS,MarketWatch,"Shares of Universal Health Services Inc. Cl B slid 1.24% to $152.53 Thursday, on what proved to be an all-around favorable trading session for the stock...",https://finnhub.io/api/news?id=c67d503237fb52c58427566ee486d2b8b92c31e8a5ee4f7c67733cc578502471
company,1628098020,Universal Health Services Inc. Cl B stock underperforms Wednesday when compared to competitors,69571505,https://images.mktw.net/im-220105/social,UHS,MarketWatch,"Shares of Universal Health Services Inc. Cl B shed 3.85% to $154.44 Wednesday, on what proved to be an all-around rough trading session for the stock market,...",https://finnhub.io/api/news?id=6e6e90dd6c274fec0b842c59e64c107faa1d191ca9d21e96008c9af2a95606ba
company,1628080740,"Sector Gamma As Buys Organon, Henry Schein Inc, Bristol-Myers Squibb Company, Sells LivaNova PLC, Ionis Pharmaceuticals Inc, Alexion Pharmaceuticals Inc",69517072,,UHS,GuruFocus,,https://finnhub.io/api/news?id=e07e9712186de22cfa480a79b8fb897ab3d229f1418cbdf713af261b146a322f
company,1628011560,"Universal Health Services Inc. Cl B stock rises Tuesday, still underperforms market",69479885,https://images.mktw.net/im-220105/social,UHS,MarketWatch,"Shares of Universal Health Services Inc. Cl B inched 0.62% higher to $160.62 Tuesday, on what proved to be an all-around great trading session for the stock...",https://finnhub.io/api/news?id=26b414bca664e77afde7ed03985828a5d1bbb0e394266411275c03f40af25ae6
company,1628010665,Ensign Group (ENSG) Buyouts to Bolster Its Position in Texas,69474245,https://s.yimg.com/uu/api/res/1.2/2jf8ct.1e_03uWVPZd.cOw--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/28545f4b6c3471390df30d387719fbdd,UHS,Yahoo,Ensign Group (ENSG) buys operations in Texas to boost its portfolio and also strengthen its relationship with CareTrust REIT.,https://finnhub.io/api/news?id=afae4f6f1870a981abaf841a81a02ba2bd9d24cfa7d8d303d07cbbc46d7f540e
company,1627925220,"Universal Health Services Inc. Cl B stock falls Monday, underperforms market",69479886,https://images.mktw.net/im-220105/social,UHS,MarketWatch,"Shares of Universal Health Services Inc. Cl B slid 0.49% to $159.63 Monday, on what proved to be an all-around poor trading session for the stock market,...",https://finnhub.io/api/news?id=0877ad426b7334f05ee8b768f48ad6a1ac1c696ead1d85ddc2f40ab654b66cb7
company,1627909080,Universal Health management to meet virtually with Mizuho,69469643,,UHS,Thefly.com,Virtual Meeting to be hel... UHS,https://finnhub.io/api/news?id=99a7213d02bba62c035e8d3d0491edd8117245c17b16ae6037f6ccbfa62f5345
company,1627665960,Universal Health Services Inc. Cl B stock outperforms competitors on strong trading day,69479887,https://images.mktw.net/im-220105/social,UHS,MarketWatch,"Shares of Universal Health Services Inc. Cl B inched 0.91% higher to $160.41 Friday, on what proved to be an all-around poor trading session for the stock...",https://finnhub.io/api/news?id=a6c107c3dab31fe933317669ff6403f87d907ca7c6fb9640b61c1441f2e05842
company,1627644060,3 Rising Hospital Stocks to Buy Right Now,69404583,https://s.yimg.com/uu/api/res/1.2/YKhhFAzjJlZ90vVVwC7OsA--~B/aD05MzM7dz0xNDAwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/motleyfool.com/971725a84e088a608bba673876612ca9,UHS,Yahoo,For-profit hospital companies are seeing earnings spring back to life this year after getting hit hard by the COVID-19 pandemic.,https://finnhub.io/api/news?id=415fcd4f5c346b053aafd360a81182a4987a3a33867683740e9342bdc7cb41c4
company,1627579620,"Universal Health Services Inc. Cl B stock rises Thursday, outperforms market",69402985,https://images.mktw.net/im-220105/social,UHS,MarketWatch,"Shares of Universal Health Services Inc. Cl B inched 0.68% higher to $158.97 Thursday, on what proved to be an all-around positive trading session for the...",https://finnhub.io/api/news?id=698dfcca64a405cd0c1484b8142c4202ee00e77fe4e27acfe7176fec71d4f9da
company,1627493220,"Universal Health Services Inc. Cl B stock falls Wednesday, underperforms market",69402987,https://images.mktw.net/im-220105/social,UHS,MarketWatch,"Shares of Universal Health Services Inc. Cl B slumped 0.77% to $157.90 Wednesday, on what proved to be an all-around grim trading session for the stock...",https://finnhub.io/api/news?id=38fedeb6bf307a2f541b24bf895f8c222f800f528e57baea763ffd5153461231
