category,datetime,headline,id,image,related,source,summary,url
company,1629144900,Unum Group to present at the 2021 Barclays Global Financial Services Conference,69686325,https://s.yimg.com/uu/api/res/1.2/uBJyxVNUftwdk0_JRN.TbQ--~B/aD0yMjE7dz00MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/prnewswire.com/e554c5d42722990118b6172efae71f39,UNM,Yahoo,"Unum Group's (NYSE: UNM) President & CEO, Rick McKenney, will represent the company at the 2021 Barclays Global Financial Services Conference.",https://finnhub.io/api/news?id=ef806b729beab24cd1c9a14b0f173d9a39485e821978d5e374c5d1ca5d33eacf
company,1629130500,Unum Group to present at the 2021 Barclays Global Financial Services Conference,69695629,,UNM,PR Newswire,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=9a6fa352b674dbea0f9f9a12942319a6b82a24db3f7a4144a3fddb7cc51b9631
company,1628994498,Dividend Champion And Contender Highlights: Week Of August 15,69673743,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1072593728/medium_image_1072593728.jpg,UNM,SeekingAlpha,A weekly summary of dividend activity for Dividend Champions and Contenders. Companies which changed their dividends. Companies with upcoming ex-dividend dates.,https://finnhub.io/api/news?id=4a63e7f6faf9ad1926f278b7a06d1ba07e96955f94d8649c85040248ae6fc984
company,1628875620,"Unum Group stock falls Friday, underperforms market",69663596,https://images.mktw.net/im-220105/social,UNM,MarketWatch,"Shares of Unum Group slipped 1.10% to $27.05 Friday, on what proved to be an all-around positive trading session for the stock market, with the S&P 500 Index...",https://finnhub.io/api/news?id=c5293ecb1b243feb6d0768122cb2d77f91d80e6f84f31d80c66dedcc50b4908c
company,1628789220,"Unum Group stock falls Thursday, underperforms market",69649780,https://images.mktw.net/im-220105/social,UNM,MarketWatch,"Shares of Unum Group slumped 0.11% to $27.35 Thursday, on what proved to be an all-around favorable trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=2e594cf71853409e950a4ed3d970b220cf4b3c8daec52985b74b3e8f24d189c2
company,1628702820,Unum Group stock outperforms market on strong trading day,69649781,https://images.mktw.net/im-220105/social,UNM,MarketWatch,"Shares of Unum Group rose 1.75% to $27.38 Wednesday, on what proved to be an all-around favorable trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=0a03187d6373848b666ca70bb9b1539eb894d3c0ac3283d25481f365cbc2000e
company,1628616420,Unum Group stock outperforms competitors on strong trading day,69649782,https://images.mktw.net/im-220105/social,UNM,MarketWatch,"Shares of Unum Group advanced 1.24% to $26.91 Tuesday, on what proved to be an all-around great trading session for the stock market, with the S&P 500 Index...",https://finnhub.io/api/news?id=573db2cae1d10fb410ec1f9d097f9c25f1ff6b5b491a706b45530826eee864e0
company,1628612684,10 Best Dividend Stocks to Buy in August According to Hedge Funds,69600378,https://s.yimg.com/uu/api/res/1.2/.bYgcRIT5z8DjPsKPABz0A--~B/aD00MjI7dz03NTA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/insidermonkey.com/f672f3ee560581084143c1645d9d38c2,UNM,Yahoo,"In this article, we will be looking at the 10 best dividend stocks to buy in August according to hedge funds. To skip our detailed analysis of dividend investing and these stocks, you can go directly to see the 5 Best Dividend Stocks to Buy in August According to Hedge Funds. As the global community rapidly […]",https://finnhub.io/api/news?id=a47c87c8615173e52531a980588d0ec7836706f1f542beaa8970c5b85b10a1f7
company,1628530020,Unum Group stock outperforms competitors despite losses on the day,69649783,https://images.mktw.net/im-220105/social,UNM,MarketWatch,"Shares of Unum Group slid 0.19% to $26.58 Monday, on what proved to be an all-around poor trading session for the stock market, with the S&P 500 Index...",https://finnhub.io/api/news?id=1858ed5fa65862eac97de8a9985b397d37ea08ef4d0d67c0b6f0eb74f9166162
company,1628270820,"Unum Group stock rises Friday, outperforms market",69586330,https://images.mktw.net/im-220105/social,UNM,MarketWatch,"Shares of Unum Group rallied 4.43% to $26.63 Friday, on what proved to be an all-around positive trading session for the stock market, with the S&P 500 Index...",https://finnhub.io/api/news?id=10dc423b2bf70745f76b8afd0f68345a0abc1a4eedd1c8b88b111be80c67ffcf
company,1628240100,Early notable gainers among liquid option names on August 6th,69542992,,UNM,Thefly.com,"Notable gainers among liq... CTVA, REG, MNST, UNM, AIG",https://finnhub.io/api/news?id=731f7d79bd3bfb08ace2b98451758382c220f34a0f4980ac4a13eb5a1c7be436
