category,datetime,headline,id,image,related,source,summary,url
company,1629185266,XLI: Industrials Dashboard For August,69692689,,UNP,SeekingAlpha,,https://finnhub.io/api/news?id=525c507fc375be237b769e39d04f531f8dfe850f2c84617547754c9bc6fc2a64
company,1629171540,"Soroban Capital Partners LLC Buys Facebook Inc, Twitter Inc, Netflix Inc, Sells Alibaba Group Holding, Comcast Corp, Domino's Pizza Inc",69716461,,UNP,GuruFocus,,https://finnhub.io/api/news?id=28cf6cb9751263938c227867b9d54fc5597d1c285d2439be1e27e4fe108d7891
company,1629142629,"Charts suggest infrastructure winners like Nucor have more room to run, Jim Cramer says",69686798,https://image.cnbcfm.com/api/v1/image/106928513-1629149222776-gettyimages-151230363-CONSTRUCTION_SPENDING.jpeg?v=1629149279,UNP,CNBC,"""Even though the infrastructure stocks have already run, the charts ... suggest that many of them could have a lot more upside here,"" CNBC's Jim Cramer said.",https://finnhub.io/api/news?id=8da8ade19afd68d56ae43075439cf906c7e14b5a4e9c1648a2c663d91fb60934
company,1629134820,Union Pacific Corp. stock outperforms competitors despite losses on the day,69687740,https://images.mktw.net/im-220105/social,UNP,MarketWatch,"Shares of Union Pacific Corp. slumped 0.14% to $227.49 Monday, on what proved to be an all-around great trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=527f51c73ed293f6f473a98d19c8936ebd1b913621b75d14f3ff126061427977
company,1629120601,3 Railroad Stocks to Overcome Industry's Near-Term Challenges,69682995,https://s.yimg.com/uu/api/res/1.2/PxOsKZ7mUiZUC0_3631rDw--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/6532783c7cf070d2adbe0a4c88dc4b19,UNP,Yahoo,"Rising fuel expenses are a threat to the Zacks Transportation - Rail industry's prospects. However, continued improvement in volumes is expected to buoy UNP, CSX and NSC.",https://finnhub.io/api/news?id=2caf7fd7dcf99896415818a6b7c1d0c44dc96194c417e91466b65f166a384944
company,1629117540,"Bell Asset Management Ltd Buys Amazon.com Inc, Keysight Technologies Inc, Nike Inc, Sells UnitedHealth Group Inc, Avery Dennison Corp, Facebook Inc",69697303,,UNP,GuruFocus,,https://finnhub.io/api/news?id=ef3b121400fe181e7779a8403a82619b9dc62f3daf8cfaaed227fc6ad37dcd7b
company,1629117540,"Public Sector Pension Investment Board Buys Microsoft Corp, Apple Inc, Union Pacific Corp, Sells Canadian National Railway Co, Shopify Inc, Canadian Natural Resources",69695315,,UNP,GuruFocus,,https://finnhub.io/api/news?id=693afd35d1318393e0f24d705dd68b3edc82209d256af751ad8f00962d856dec
company,1629117540,"Transcend Wealth Collective, Llc Buys Blue Owl Capital Inc, Microsoft Corp, iShares Interest Rate Hedged Long-Term Corporate B, Sells Owl Rock Capital Corp, Zoom Video Communications Inc, Merck Inc",69695002,,UNP,GuruFocus,,https://finnhub.io/api/news?id=6d774b19745a8c09339844bd1c71f5f51ed622ca4afa8768a2c4fdf070739c2b
company,1629099540,"Kesler, Norman & Wride, LLC Buys iShares iBonds Dec 2024 Term Corporate ETF, iShares North American Tech-Multimedia Networking , iShares iBonds Dec 2025 Term Corporate ETF, Sells iShares U.S. Healthcare ETF, First Trust Enhanced Short Maturity ETF, Invesc",69695257,,UNP,GuruFocus,,https://finnhub.io/api/news?id=38e2db545969760c963922ffa6339ec46e4551408464e759f285f2ead053aae4
company,1629027000,"Upcoming Ex-Dividend Dates: August 17-30, 2021",69676325,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1164904198/medium_image_1164904198.jpg,UNP,SeekingAlpha,We provide a summary of upcoming ex-dividend dates. Check out these dividend stocks from our list which includes relevant data and key statistics.,https://finnhub.io/api/news?id=bfbb2937babefb37876fbc2957e086e25382fb7c913a73dd6fc70fdc2c775325
company,1628875620,"Union Pacific Corp. stock rises Friday, still underperforms market",69671358,https://images.mktw.net/im-220105/social,UNP,MarketWatch,"Shares of Union Pacific Corp. inched 0.06% higher to $227.80 Friday, on what proved to be an all-around positive trading session for the stock market, with...",https://finnhub.io/api/news?id=96b6cf190e8a3d1cc13cb2c2a221cef749aecd7d4ffa90e9cb6cc790235fc7e6
company,1628789220,Union Pacific Corp. stock outperforms competitors on strong trading day,69649723,https://images.mktw.net/im-220105/social,UNP,MarketWatch,"Shares of Union Pacific Corp. inched 0.56% higher to $227.66 Thursday, on what proved to be an all-around favorable trading session for the stock market,...",https://finnhub.io/api/news?id=9b48f5c65b01ae44d0eac57c36178d883578c7decbca34b27268daf9b86444c4
company,1628702820,Union Pacific Corp. stock outperforms market on strong trading day,69649725,https://images.mktw.net/im-220105/social,UNP,MarketWatch,"Shares of Union Pacific Corp. advanced 2.11% to $226.39 Wednesday, on what proved to be an all-around great trading session for the stock market, with the...",https://finnhub.io/api/news?id=ad9082173b950ce983005bf2e23cb2c1fcb14d2bffcd4149794c4281de475044
company,1628698260,"Container Terminal Berthing 22,000-TEU Ships In Louisiana Moves Forward",69635377,https://cdn.benzinga.com/files/imagecache/og_image_social_share_1200x630/images/story/2012/container-3859710_1920_109.jpg,UNP,Benzinga,"Plaquemines Port announced Wednesday that development partner LA23 Development Co. (LA23 Devco) has secured the site for a future container terminal.

The land sits on the west...",https://finnhub.io/api/news?id=52c81f66f0961ddb83e5f359c5c37ea48e50f7bd0a4f3de95dcdfe582615867a
company,1628695443,"Allegiant (ALGT) to Add 22 New Routes, 2 Aircraft & Crew Bases",69621356,https://s.yimg.com/uu/api/res/1.2/bpPnTCuDrdmFSVA4OvuFcw--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/85cbd46ec3e2aaf428d759aa70865294,UNP,Yahoo,"Allegiant (ALGT) plans to add 22 new nonstop routes, and two aircraft and crew bases to capitalize on the rebounding leisure air-travel demand.",https://finnhub.io/api/news?id=5aefbd79ecb2b3670c5c9b7c76f190981ef8408d90e027a2466d54bb3196e7a6
company,1628686500,North American rail traffic rose 1.1% in week ended August 7,69632730,,UNP,Thefly.com,"The Association of Americ... CNI, CP, CSX, KSU, NSC, UNP, TRN, GBX, RAIL",https://finnhub.io/api/news?id=baaa60fd0b45321b7d0dc0a434a54356440b9106f078cc900e168bbfa1eb69f9
company,1628620626,"Top Stock Reports for Thermo Fisher, McDonald's & Union Pacific",69603551,,UNP,Yahoo,"Today's Research Daily features new research reports on 16 major stocks, including Thermo Fisher Scientific Inc. (TMO), McDonald's Corporation (MCD), and Union Pacific Corporation (UNP).",https://finnhub.io/api/news?id=f3b7465a9b93e7a2fa963a8f26ac6b742ed09815e8467745c075364c8047b8da
company,1628616420,"Union Pacific Corp. stock rises Tuesday, outperforms market",69649727,https://images.mktw.net/im-220105/social,UNP,MarketWatch,"Shares of Union Pacific Corp. inched 0.80% higher to $221.71 Tuesday, on what proved to be an all-around favorable trading session for the stock market, with...",https://finnhub.io/api/news?id=475b2e1b222b1e17b08947648b0c558151524fa3749f70120fc6105eaf8c72d7
company,1628606702,UPS Boosts Shareholder Value With $5B Share Buyback Program,69599876,https://s.yimg.com/uu/api/res/1.2/ZNqc9J0T_qh2YJdOfvDy1w--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/b0d1589815a497a00bec580e2895f6b1,UNP,Yahoo,UPS' solid free cash flow generation capacity supports its efforts to reward shareholders through dividends and buybacks.,https://finnhub.io/api/news?id=dd374033e38595f3c497d2190d9535015cb6eb6fc38d29877ef7b9919744c24f
