category,datetime,headline,id,image,related,source,summary,url
company,1629108000,Phillips 66 Stock: Advantaged By Its Refining-Adjacent Businesses,69679319,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1205312744/medium_image_1205312744.jpg,VLO,SeekingAlpha,I recommend Phillips 66 stock to dividend and growth investors. Read more to see my full investment analysis of PSX stock.,https://finnhub.io/api/news?id=895029fe0f88099f98e53f92c2e108da948cdc882234e8ed32255bdb78be5c64
company,1629085140,"BancorpSouth Bank Buys Invesco S&P Ultra Dividend Revenue ETF, Constellation Brands Inc, Valero Energy Corp, Sells Nucor Corp, General Electric Co, Linde PLC",69695004,,VLO,GuruFocus,,https://finnhub.io/api/news?id=b50e229c8a714a07b65251f3022b486f0e24228c439aa3a87bf99d7779a1585b
company,1629085140,"Morse Asset Management, Inc Buys Shopify Inc, Newmont Corp, Horizon Therapeutics PLC, Sells DraftKings Inc, D.R. Horton Inc, BorgWarner Inc",69696110,,VLO,GuruFocus,,https://finnhub.io/api/news?id=f0d813d316c9cc96875ef1305211ab005ba77cf998f7753a81cbc3a6c7b44d01
company,1628899343,UPDATE 1-Valero Energy to require new refinery workers be vaccinated -sources,69663093,https://s.yimg.com/cv/apiv2/social/images/yahoo_default_logo-1200x1200.png,VLO,Yahoo,"The second-largest U.S. oil refiner will require newly hired workers in Texas and Louisiana to be vaccinated against COVID-19 as a condition of employment, six people familiar with the matter said on Friday.  San Antonio-based Valero Energy Corp becomes the first U.S. refiner to require vaccinations as a condition for new workers, the people said.  Current employees at the firm's Gulf Coast refineries are not required to be vaccinated, the sources added.",https://finnhub.io/api/news?id=1cd0e2d1056c19805fdefa5ee354cfcdf05650dc36730645d148b52acc34f37c
company,1628875680,Valero Energy Corp. stock underperforms Friday when compared to competitors,69663566,https://images.mktw.net/im-220105/social,VLO,MarketWatch,"Shares of Valero Energy Corp. slipped 1.49% to $66.25 Friday, on what proved to be an all-around positive trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=14076456c203154c872f93892b5839ed3dca0eb3eb4b76dba215721c7bf21f53
company,1628789280,Valero Energy Corp. stock outperforms market on strong trading day,69663567,https://images.mktw.net/im-220105/social,VLO,MarketWatch,"Shares of Valero Energy Corp. inched 0.61% higher to $67.25 Thursday, on what proved to be an all-around great trading session for the stock market, with the...",https://finnhub.io/api/news?id=fd0f4d5dc70b628cfc4226a85c339eccd9c14fd811c8fa579544a4d88a4ba21e
company,1628762220,October 1st Options Now Available For Valero Energy (VLO),69638695,,VLO,Stock Options Channel,"Staff article entitled October 1st Options Now Available For Valero Energy (VLO), about stock options, from Stock Options Channel.",https://finnhub.io/api/news?id=41c51156b9712262ca6b6655fa4db27a2ee355568627c8de1ddfcefdc0eef070
company,1628743636,Valero Energy Looks Compelling Despite Uncertainties,69630563,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1329714001/medium_image_1329714001.jpg,VLO,SeekingAlpha,Valero Energy just reported positive quarterly EPS after four negative quarters. Read more to know why I am bullish on VLO stock.,https://finnhub.io/api/news?id=1e8f14bb45848ab6ee05a7f4e6171ec1d691e5757ded89ceb38050704817f784
company,1628702880,"Valero Energy Corp. stock falls Wednesday, underperforms market",69628092,https://images.mktw.net/im-220105/social,VLO,MarketWatch,"Shares of Valero Energy Corp. sank 0.09% to $66.84 Wednesday, on what proved to be an all-around favorable trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=748e9ca8bf1ef9280c876d9ea101d8b362706cef6c87bfa2ef7a2ccaa9836df0
company,1628688721,New Strong Sell Stocks for August 11th,69618172,https://s.yimg.com/uu/api/res/1.2/6iD5E1j49yhM4DW3STpL8A--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/a162db310eadf3a53e7c1325236322af,VLO,Yahoo,"FSLY, LGO, PETQ, VLO, and ICAD have been added to the Zacks Rank #5 (Strong Sell) List on August 11, 2021",https://finnhub.io/api/news?id=7e89397271a8a4f78777e25903d3e9f15bb181d6e2aec137ccff888dd2810a54
company,1628647740,VLO Crosses Above 6% Yield Territory,69638696,,VLO,Dividend Channel,"dividend channel,VLO,",https://finnhub.io/api/news?id=3fe699711f0073be21de421ea6950ddccbbe591d381d3ce396bfdd6c9fa31a38
company,1628616480,Valero Energy Corp. stock outperforms market on strong trading day,69608270,https://images.mktw.net/im-220105/social,VLO,MarketWatch,"Shares of Valero Energy Corp. rallied 1.36% to $66.90 Tuesday, on what proved to be an all-around favorable trading session for the stock market, with the...",https://finnhub.io/api/news?id=e3cc2fed01cd23a9c281ea567f3bdb5a60d6d775652c272da1006e97f2980bf6
company,1628564400,Valero Energy (VLO) Shares Cross Above 200 DMA,69616020,,VLO,Energy Stock Channel,"energy stock channel,VLO,",https://finnhub.io/api/news?id=e9e2eaf874bc6fd3bf4ecb1210550052aba335e1f533987e6916c608f2b2f218
company,1628530080,Valero Energy Corp. stock outperforms competitors despite losses on the day,69608273,https://images.mktw.net/im-220105/social,VLO,MarketWatch,"Shares of Valero Energy Corp. slid 0.75% to $66.00 Monday, on what proved to be an all-around grim trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=e098a34722c079fef518c29c58974838654aa7803884c73b1e70f763433b5393
company,1628306786,Valero Energy: A Solid Quarter At Last,69559454,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1267704493/medium_image_1267704493.jpg,VLO,SeekingAlpha,Valero Energy's better-than-expected results were bolstered by increased refinery throughput and higher renewable diesel sales volumes. Click here to see my recommendation on the stock.,https://finnhub.io/api/news?id=d5175e0c30112bd0f41c1747fc595a47b6c4aa2ca78361356e3184da19b4e1df
company,1628270880,Valero Energy Corp. stock outperforms market on strong trading day,69608275,https://images.mktw.net/im-220105/social,VLO,MarketWatch,"Shares of Valero Energy Corp. rose 1.20% to $66.50 Friday, on what proved to be an all-around great trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=53570a64f70703b49ea1697f893c1cad0559c18d528a51bea2d47fcd904cf89c
