category,datetime,headline,id,image,related,source,summary,url
company,1629208802,Verisk (VRSK) Appoints Sunita Holzer as CHRO and Executive VP,69700600,https://s.yimg.com/uu/api/res/1.2/iaKLFcU.DdVA1BhEHS2daw--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/578c75a0bdc2572dd0bbdad8c4aeb25c,VRSK,Yahoo,Verisk (VRSK) welcomes Sunita Holzer to the position of executive vice president and chief human resources officer.,https://finnhub.io/api/news?id=739556c14a3070b4a44af54c419d0fbbbe5aa5a8c3b1a203969365422a4abff3
company,1629205200,Joyn Insurance Leverages Robust Analytics from Verisk to Transform Commercial Underwriting,69694129,,VRSK,Yahoo,"Access to Verisk’s Ecosystem Enables Joyn to Enhance its Speed to Market and Provide Coverage to Small and Medium-Sized BusinessesJERSEY CITY, N.J., Aug. 17, 2021 (GLOBE NEWSWIRE) -- New InsurTech Joyn Insurance is using robust analytics and technology from Verisk (Nasdaq:VRSK), a leading global data analytics provider, to transform the experience of transacting insurance for brokers who serve small and medium-sized businesses. “The data and technology that Verisk provides gives us the insights",https://finnhub.io/api/news?id=fab3e804d5bc96fd6ab89488a5b99d42f73da6adbd67c4a6cdadf8218e4a6e65
company,1629190800,Joyn Insurance Leverages Robust Analytics from Verisk to Transform Commercial Underwriting,69699646,,VRSK,GlobeNewswire,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=084d7f08f223788931e8f840a4a5e05c3ef2f1bedfeeb72ad0c74111f8ac008a
company,1629188340,Verisk Analytics is chosen by Joyn to transform commercial underwriting,69699647,,VRSK,Thefly.com,New InsurTech Joyn Insura... VRSK,https://finnhub.io/api/news?id=a764b4b87d438df5d53cb14df04693aa36fff96c9669fa71d5ddfefce70ac04b
company,1629122400,Verisk Names Sunita Holzer Chief Human Resources Officer,69682328,https://s.yimg.com/uu/api/res/1.2/fgcY8UNf836rbQOS3qzzBw--~B/aD0yNDA7dz00MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/globenewswire.com/6893b11dd1d1b1c00ecd1abbc7ab43d6,VRSK,Yahoo,"JERSEY CITY, N.J., Aug. 16, 2021 (GLOBE NEWSWIRE) -- Verisk (Nasdaq:VRSK), a leading global data analytics provider, announced today the appointment of Sunita Holzer as executive vice president and Chief Human Resources Officer (CHRO). Bringing three decades of HR leadership experience across relevant industries, Holzer will oversee Verisk’s global human resources operations and strategy. “Sunita is joining the team at a pivotal time in Verisk’s history,” said Scott Stephenson, chairman, preside",https://finnhub.io/api/news?id=732ed5678f4197d60fe3a5becfe9ad6fae90ae5dfb7e162d54d72fc8854ad75a
company,1629118800,Verisk Analytics Lauded by Frost & Sullivan for Pioneering Telematics Data Exchange for Usage-Based Insurance in North America,69682329,https://s.yimg.com/cv/apiv2/social/images/yahoo_default_logo-1200x1200.png,VRSK,Yahoo,"Based on its recent analysis of the North American telematics data exchange market, Frost & Sullivan recognizes Verisk Analytics (Nasdaq: VRSK) with the 2021 North American Company of the Year Award for pioneering connected telematics data exchange technology. With the largest data repository of connected vehicle driving data in North America, the Verisk Data Exchange provides significant value to consumers, insurers, and original equipment manufacturers (OEMs). Consumers benefit from personaliz",https://finnhub.io/api/news?id=455312930fdfc7da32d75879db94d9b3fca141a3592e2090ad413b02b28b8066
company,1629108000,Verisk Names Sunita Holzer Chief Human Resources Officer,69679682,,VRSK,GlobeNewswire,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=1d131e2b7b1bcd748a4e8f654c566c555f4f5a9550ab3ab73c0501e03ae7523d
company,1629104460,Verisk Analytics names Sunita Holzer as Chief Human Resources Officer,69682184,,VRSK,Thefly.com,"Verisk (VRSK), a leading ... VRSK, RLGY",https://finnhub.io/api/news?id=53f01642240c683d9ff923feae3546683173612d77e35ca20669441c6facd3c5
company,1629104400,Verisk Analytics Lauded by Frost & Sullivan for Pioneering Telematics Data Exchange for Usage-Based Insurance in North America,69679683,,VRSK,PR Newswire,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=47f5e8d46cd82f2fdc89917eb85961fc5cec439956ce137e75270a639d34b9f5
company,1629085140,"Rudius Management LP Buys Verisk Analytics Inc, Clarivate PLC",69699629,,VRSK,GuruFocus,,https://finnhub.io/api/news?id=5d799a24be4e4c6826cfe9c16e0e0c224fec2f9e8a1c50e35c6a12ee38d07a8a
